Bloomberg symbol,Primary Exchange,me,Industry me,Country,Country Premium,$/Local currency,Market Cap in $,FCFF,FCFE,Market Capitalization,Firm Value,Enterprise Value,Cash & near Cash,Invested Capital,Total Debt,Book Equity,Revenues,Net Cap Ex,EBIT,EBITDA,EBIT (1-t),Chg in non-cash WC,Reinvestment,Tax Rate,Net Income,Standard deviation in stock prices,Beta,Geo growth in earnings per share,Cash/Firm Value,Payout Ratio,Reinvestment Rate,Net Margin,After-tax Margin,PE,PBV,PS,EV/EBITDA,EV/EBIT,Firm Value/BV,EV/Sales,ROE,ROIC,Market Debt to Capital,Market Debt to Equity,Book Debt to Equity,Interest Coverage Ratio
ITC IN Equity     ,Bombay,ITC LTD,Tobacco,India,0.02,0.0221,5689.424,12705.048780000001,20939.71574496929,257440,259185.9,258570.3,615.6,55002.8,1745.9,53872.5,61707,2517.2,19483.4,22081.8,12794.748780000002,-2427.5,89.70000000000027,0.3433,21026.6,0.29724,0.679,0.2104,0.0023751292026302356,0.15793804038693846,0.007010688645971231,0.34074902361158377,0.20734679663571395,12.243539136141841,4.778690426469906,4.1719740061905455,11.70965682145477,13.271313015182153,4.660074723472808,4.190291214935097,0.39030303030303026,0.23261995352963852,0.006736091739558364,0.006781774394033562,0.03240800037124693,46.73398896617895
JI IN Equity     ,Bombay,JAIN IRRIGATION SYSTEMS LTD,Rubber/Plastic Products,India,0.02,0.0221,85.77418850000001,57.17127400000001,-42.844028521675135,3881.185,7314.905,7251.115,63.79,4690.51,3433.72,1320.58,3691.58,-125.06,209.79,395.5,54.67127400000001,122.56,-2.5,0.7394,-43.53844200000002,0.7357299999999999,0.806,,0.008720550711184903,,-0.04572785335128644,-0.054827472247655475,0.01480972212440202,,2.9390002877523513,1.0513614766576913,18.334045512010114,34.5636827303494,1.5385871737164254,1.9642307629795372,-0.03296918172318225,0.011655720593283037,0.4694141619064089,0.884709180314775,2.6001605355222703,0.5566788727909568
JP IN Equity     ,Bombay,JAIPRAKASH INDUSTRIES LTD,Building-Heavy Construct,India,0.02,0.0221,520.291239,-2137.1265599999997,-135.1848692013482,23542.59,35904.39,34962.49,941.9,21569.8,12361.8,10149.9,16716.7,1288,3043.9,3613.4,2099.07344,2948.2,4236.2,0.3104,1774.8,0.73002,1.13,0.4465,0.026233560854257654,0,2.0181285319869513,0.10616927982197442,0.12556745290637505,13.264925625422583,2.3194898471906127,1.4083276005431693,9.675787347096916,11.486083642695226,1.5949213075867217,2.091470804644457,0.17485886560458724,0.09731538725440202,0.344297730723179,0.5250824144667176,1.2179233292938847,1.7968713105076741
J&KBK IN Equity     ,Bombay,JAMMU & KASHMIR BANK LTD,Money Center Banks,India,0.02,0.0221,417.107002,3014.7780549999998,3386.1955482934145,18873.62,44110.14,36904.53,7205.61,30450.87,25236.52,12419.96,17129.13,53.86,4701.45,4998.75,3365.768055,297.13,350.99,0.2841,3501.96,0.49848,1.089,,0.16335495647939452,0.06924693600155342,0.10428228988583707,0.20444470910081247,0.19649381229519536,5.389444768072736,1.5196200309823864,1.1018434678235263,7.3827516879219806,7.849605972625467,1.1713824552905636,2.1544894574330393,0.2819622607480218,0.11053109664847016,0.5721251394804007,1.3371319333545977,2.031932469991852,
JBCP IN Equity     ,Bombay,J.B. CHEMICALS & PHARMA LTD,Medical-Drugs,India,0.02,0.0221,118.75083610000001,43.377635000000055,253.0484102519519,5373.341,5536.831,5451.7210000000005,85.11,2330.43,163.49,2252.05,2782.17,136.64,560.35,633.67,434.88763500000005,254.87,391.51,0.22390000000000002,618.06,0.40270000000000006,0.969,0.099,0.015371608777656387,0.12966378668737663,0.9002555338231218,0.22215033588889246,0.1563123874529594,8.693882470957513,2.3859776647942983,1.9313489111017659,8.603407136206542,9.72913536182743,2.2921711087375907,1.9595211651336908,0.2744432850069936,0.18661261441021618,0.029527720820808873,0.030426135248070054,0.07259607912790568,36.38636363636364
JISC IN Equity     ,Bombay,JINDAL IRON & STEEL CO LTD,Steel-Producers,India,0.02,0.0221,255.13013500000002,-752.0399990000001,1063.583687581389,11544.35,20023.41,20000.79,22.62,17255.48,8479.06,8799.04,13692.74,-73.76,829.53,1250.59,548.900001,1374.7,1300.94,0.3383,1726.1,0.61192,0.713,,0.0011296777122378257,0,2.3700856214791663,0.12605950306512795,0.04008693665402249,6.688111928625225,1.3120010819362111,0.8431000661664503,15.993083264699063,24.11099056092004,1.1588895769789502,1.460685735652616,0.1961691275411863,0.031810184416776584,0.423457343179808,0.734477038551326,0.9636346692366439,0.7813003305925235
JDPS IN Equity     ,Bombay,JINDAL POLYESTER,Textile-Products,India,0.02,0.0221,93.13183077900001,0,,4214.10999,4214.10999,4214.10999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34208,0.496,,0,,,,,,,,,,,,,,0,0,,
JSP IN Equity     ,Bombay,JINDAL STEEL & POWER LTD,Steel-Producers,India,0.02,0.0221,333.59729000000004,-1119.9269999999995,1037.8830909659532,15094.9,23947.4,23828.82,118.58,14462.04,8852.5,5728.12,8805.98,3184.32,2399.3,2975.68,1943.4330000000002,-120.96,3063.36,0.19,2241.35,0.4966,1.274,,0.004951685777996776,0.09243090101947486,1.5762622122810508,0.2545259017167879,0.2206946870195027,6.734735761929195,2.6352276139466353,1.714164692629327,8.00785702763738,9.931571708414953,1.642413011243692,2.705981617037513,0.3912889394775249,0.1343816639976103,0.36966434769536566,0.586456352807902,1.5454459752938137,3.226123085611327
JDSL IN Equity     ,Bombay,JINDAL STAINLESS LTD,Steel-Producers,India,0.02,0.0221,202.9627535,881.4236699999999,1399.5484505590682,9183.835,19798.355,19587.114999999998,211.24,14459.6,10614.52,4056.32,17249.89,-121.82,1318.05,2419.4,908.66367,149.06,27.240000000000066,0.3106,1407.08,,,,0.010669573305458964,0.050729169627881855,0.029978088592449246,0.08157037523137829,0.052676490690665274,6.526874804559798,2.2640804966077623,0.5323996268961715,8.095856410680334,14.860676757330905,1.3495038457238986,1.135492168355856,0.34688584727043226,0.06284154955877064,0.5361314109177253,1.1557829599508267,2.6167856579362576,1.3457866631270485
JDVS IN Equity     ,Bombay,JINDAL VIJAYGAR STEEL LTD,Steel-Producers,India,0.02,0.0221,344.36993500000005,1890.6144800000002,-1173.7021542115879,15582.35,72869.05,72580.45,288.6,64642.5,57286.7,7644.4,24455.2,-2137,3002.6,5808.5,825.1144800000001,1071.5,-1065.5,0.7252,-1299.1444800000004,0.62473,0.948,,0.003960529195865735,,-1.2913359610414301,-0.04525417907029998,0.033739837744119865,,2.0384006593061588,0.6371794137852073,12.495558233623138,24.1725338040365,1.1222518947006905,2.967894353757074,-0.16994721364659102,0.012764272421394595,0.7861595560803935,3.6763838573770964,7.493943278739993,0.38842462032030217
