Bloomberg symbol,Primary Exchange,me,Industry me,Country,Country Premium,$/Local currency,Market Cap in $,FCFF,FCFE,Market Capitalization,Firm Value,Enterprise Value,Cash & near Cash,Invested Capital,Total Debt,Book Equity,Revenues,Net Cap Ex,EBIT,EBITDA,EBIT (1-t),Chg in non-cash WC,Reinvestment,Tax Rate,Net Income,Standard deviation in stock prices,Beta,Geo growth in earnings per share,Cash/Firm Value,Payout Ratio,Reinvestment Rate,Net Margin,After-tax Margin,PE,PBV,PS,EV/EBITDA,EV/EBIT,Firm Value/BV,EV/Sales,ROE,ROIC,Market Debt to Capital,Market Debt to Equity,Book Debt to Equity,Interest Coverage Ratio
BL3M IN Equity     ,Bombay,3M INDIA LTD,Diversified Operations,India,0.02,0.0221,109.24279730000002,300.206375,407.06622355293956,4943.113,4978.323,4918.523,59.8,820.26,35.21,844.85,2100.34,-34.73,318.53,377.48,187.136375,-78.34,-113.07,0.4125,298.52,0.32646000000000003,0.627,0.4391,0.012012077159316499,0,-0.6042117680221176,0.1421293695306474,0.08909813411162001,16.55873308321051,5.850876486950346,2.3534822933429824,13.02989032531525,15.441317929237437,5.656799536395246,2.341774665054229,0.35334082973308867,0.22814275351717744,0.007072662822400233,0.007123041694575867,0.04167603716636089,15.447623666343354
ARTO IN Equity     ,Bombay,AARTI INDUSTRIES,Chemicals-Diversified,India,0.02,0.0221,52.18808920000001,-221.24659600000007,104.10289968959432,2361.452,3932.9320000000002,3907.202,25.73,2931.69,1571.48,1385.94,4730.31,117.92,514.76,689.94,354.10340399999995,457.43,575.35,0.3121,373.73,0.53716,1.035,,0.006542192949178882,0,1.6248078767409988,0.07900750690758111,0.07485839279032451,6.318604340031574,1.7038630820959062,0.49921717604131655,5.663104038032293,7.590337244541146,1.3298523713236539,0.8259927996262402,0.2696581381589391,0.1207847364489424,0.3995695832015402,0.6654719215126964,1.1338730392369079,3.634540704652969
ABAN IN Equity     ,Bombay,ABAN LOYD CHILES OFFSHORE,Diversified Operations,India,0.02,0.0221,68.1820581,-449.10655,176.3341181935275,3085.161,6181.201,6020.411,160.79,4295.63,3096.04,1360.38,2684.09,844.86,659.34,1070.71,176.37345,-219.38,625.48,0.7325,367.27,0.4077,0.719,-0.2823,0.026012744125292156,0.08026792278160481,3.546338748830961,0.13683222246645976,0.0657107064219158,8.400253219702128,2.267867066554933,1.1494253173328763,5.622821305488881,9.130965814299147,1.3870328649454047,2.2429989307363014,0.26997603610755816,0.041058808603161814,0.5008800069759906,1.0035262341252207,2.275864096796483,1.78026784749973
ABB IN Equity     ,Bombay,ABB LTD INDIA,Engineering/R&D Services,India,0.02,0.0221,644.217652,1401.64125,1786.8565854069793,29150.12,30907.99,29754.73,1153.26,5726.33,1757.87,5121.72,11757.58,9.13,987.5,1170.72,653.23125,-757.54,-748.41,0.3385,1229.68,0.36603,0.733,0.0403,0.03731268193111231,0.1717113395354889,-1.145704526536353,0.10458614782974048,0.055558307917105386,23.705451824865005,5.691470834016697,2.4792618889261226,25.415752699193657,30.131372151898734,4.4927081410374745,2.5306848858353503,0.2400912193559976,0.1140750271116055,0.05687429043428576,0.060304039914758495,0.3432186843482267,165.4103852596315
BOOT IN Equity     ,Bombay,ABBOTT INDIA LTD,Medical-Drugs,India,0.02,0.0221,140.938109,478.524998,885.1942654360068,6377.29,6452.07,6338.54,113.53,1687.13,74.78,1725.88,3549.69,11.49,687.98,741.14,474.774998,-15.24,-3.749999999999991,0.3099,881.6,0.34781,0.562,0.19030000000000002,0.017595903330249053,0.1837568058076225,-0.007898478259800848,0.2483597159188549,0.13375111573123286,7.233768148820326,3.6950946763390267,1.7965766024638772,8.552419246026393,9.213262013430622,3.583169504515011,1.7856601562389955,0.5108118756808121,0.28140984867793234,0.01159007884291398,0.011725983921069922,0.0433286207615825,546.015873015873
ABIN IN Equity     ,Bombay,ABHISHEK INDUSTRIES LTD,Textile-Products,India,0.02,0.0221,68.03115930000001,385.57764299999997,375.5210635043236,3078.333,4665.383,4646.563,18.82,3955.87,1587.05,2387.64,3064.13,-190.92,500.03,780.49,294.06764300000003,99.41,-91.51,0.4119,320.55,0.71923,0.342,,0.0040339667718598884,0,-0.31118690606841076,0.10461370764295248,0.09597100743114685,9.603284978942442,1.28927853445243,1.0046352471990418,5.953392099834719,9.292568445893247,1.1737727973753929,1.5164379448652636,0.13425390762426498,0.07433703407847075,0.34017571547716446,0.5155550098056317,0.6646940074718132,2.6300757416368605
ADX IN Equity     ,Bombay,ADANI EXPORTS,Distribution/Wholesale,India,0.02,0.0221,163.78824930000002,594.9897920000001,990.6990768971195,7411.233,11788.233,11542.123,246.11,10185.23,4377,6054.34,44838.71,21.19,960.62,1002.96,904.519792,288.34,309.53,0.0584,1170.35,0.69894,1.163,0.1241,0.02087759887338501,0.06892809843209297,0.3422036783911523,0.02610133074747244,0.02017274341746228,6.33249284402102,1.2241190616978894,0.16528649017779504,11.508059144931003,12.015284920155732,1.130078494229888,0.25741425210493346,0.19330761073874278,0.08880700700916917,0.37130246746904305,0.5905899868483422,0.7229524605489616,2.0356862828201487
ADLF IN Equity     ,Bombay,ADLABS FILMS LTD,Motion Pictures&Services,India,0.02,0.0221,56.949379500000006,-189.71430000000004,-37.69751926745522,2576.895,2692.985,2680.065,12.92,1035.48,116.09,932.31,739,-11.14,249,291.51,154.20569999999998,355.06,343.92,0.3807,268.14,0.6674800000000001,1.315,,0.004797650191144771,0.10024614007607967,2.2302677527484396,0.3628416779431664,0.20866806495263868,9.610259565898412,2.7639894455706795,3.487002706359946,9.193732633528867,10.763313253012049,2.5686617703166736,3.6266102841677945,0.2876081989896065,0.14892194924093174,0.04310829804102139,0.045050341593274076,0.12451866868316333,23.782234957020055
ABM IN Equity     ,Bombay,AFTEK INFOSYS LIMITED,Decision Support Softwar,India,0.02,0.0221,96.46650000000001,-106.12214399999999,-99.9462578897606,4365,4373.03,3512.29,860.74,1487.24,8.03,2339.95,962.54,352.77,451.68,499.33,424.21785600000004,177.57,530.34,0.0608,428.58,0.7537699999999999,1.121,,0.1968292008058486,0.048135703952587615,1.2501595406677082,0.4452594177904295,0.4407275084671806,10.184796304073918,1.865424474881942,4.534876472666071,7.034005567460397,7.776058271342543,1.862464756940008,3.6489808215762465,0.18315775978119192,0.2852383314058256,0.0018362554110079282,0.0018396334478808704,0.003431697258488429,82.87706422018348
AECL IN Equity     ,Bombay,AHMEDABAD ELECTRICITY CO,Electric-Integrated,India,0.02,0.0221,148.8577324,891.406604,860.6412799765719,6735.644,7762.894,7711.814,51.08,6402.71,1027.25,5426.54,11155.18,-248.28,703.67,1771.38,465.266604,-177.86,-426.14,0.33880000000000005,502.33,0.72222,0.829,0.0207,0.006580020286248917,0.12706786375490214,-0.9159049807924751,0.04503109766045908,0.04170856983033891,13.408802978121953,1.241241011768088,0.6038131164176642,4.3535627589788755,10.959418477411287,1.2028426707407587,0.6913213412961512,0.09256911402108894,0.07266713688422557,0.1323282270761394,0.15250954474434814,0.18930110162276514,1.6701160610447867
ALBC IN Equity     ,Bombay,ALEMBIC LIMITED,Medical-Drugs,India,0.02,0.0221,60.3245578,-161.04414199999997,61.56851472296236,2729.618,4980.718,4976.8679999999995,3.85,3801.77,2251.1,1554.52,5030.55,470.43,510.91,769.75,431.105858,121.72,592.15,0.1562,303.45,0.38936,0.908,,0.0007729809236339018,0.10548690064260999,1.3735605513391098,0.06032143602588186,0.08569755951138544,8.995280935903773,1.7559233718446852,0.5426082635099542,6.465564144202663,9.741183378677261,1.3087796469432051,0.9893288010257326,0.19520495072433935,0.11339609129431817,0.45196294992007174,0.8246941513427886,1.4480997349664204,2.079321150950307
ALFA IN Equity     ,Bombay,ALFA-LAVAL (INDIA) LTD,Engineering/R&D Services,India,0.02,0.0221,220.8610573,295.58387400000004,585.6023503702502,9993.713,10066.873,9897.463,169.41,1432.21,73.16,1528.46,2905.69,-100.11,415.57,544.97,277.683874,82.21,-17.9,0.3318,568.52,0.36253,0.463,,0.01682846301925136,0.5104305917118132,-0.06446179154069286,0.19565748582952758,0.09556555379273081,17.578472173362414,6.53841971657747,3.4393596701644014,18.161482283428445,23.81659648194047,6.285431625479202,3.406235007863881,0.37195608651845646,0.19388488699282927,0.007267400711223833,0.007320602462768343,0.047865171479790115,526.0379746835442
ALBK IN Equity     ,Bombay,ALLAHABAD BANK,Commer Banks Non-US,India,0.02,0.0221,222.20003,3422.48181,3151.4587299883906,10054.3,18231.7,2774.1,15457.6,5043,8177.4,12323.2,30963.1,-107.5,3076.7,3472.9,1736.18181,-1578.8,-1686.3,0.4357,2137.8,0.47336,,,0.8478419456221857,0.07503040508934418,-0.9712692474297954,0.06904347432912081,0.05607260933175296,4.7031059968191595,0.8158838613347181,0.3247187781585177,0.7987848771919712,0.9016478694705357,0.8893251904822297,0.08959374222865271,0.17347766813814594,0.34427559190957774,0.4485264676360406,0.8133236525665636,0.6635776421708647,
ALOK IN Equity     ,Bombay,ALOK INDUSTRIES LTD,Textile-Products,India,0.02,0.0221,112.30649820000001,-1537.37628,-15.754597968763733,5081.742,10523.442,10506.442,17,7928.9,5441.7,2504.2,7936,732.5,1106.8,1361,396.1237200000001,1201,1933.5,0.6420999999999999,593.6,0.72764,1.463,,0.0016154410315560252,0.07260781671159029,4.881050798977651,0.0747983870967742,0.04991478326612905,8.560886118598383,2.0292875968373134,0.6403404737903226,7.719648787656134,9.492629201301048,1.3243864131187153,1.3238964213709676,0.23704176982669117,0.0499594798774105,0.5171026742010837,1.0708335842315488,2.1730293107579266,2.069171807814545
ABBAP IN Equity     ,Bombay,ALSTOM PROJECTS INDIA LTD,Power Conv/Supply Equip,India,0.02,0.0221,173.3039568,-586.985805,-176.4512641859593,7841.808,7948.248,7598.678,349.57,2317.68,106.44,2560.81,5944.26,-104.9,297.63,465.09,275.754195,967.64,862.74,0.0735,651.86,0.60755,1.102,,0.043980761546443946,0,3.1286559393955913,0.10966209418834304,0.046389995558740696,12.02989598993649,3.0622373389669675,1.3192235871243856,16.338080801565287,25.53061855323724,2.9799411378760894,1.2783219441949039,0.2545522705706398,0.11897854535570053,0.01339163045742911,0.013573400419903165,0.04156497358257739,18.49782473586078
MDCM IN Equity     ,Bombay,AMBUJA CEMENT EASTERN LTD,Bldg Prod-Cement/Aggreg,India,0.02,0.0221,158.85636910000002,1618.7558969999998,523.4026022916837,7188.071,9213.351,9097.881000000001,115.47,3541.23,2025.28,1631.42,3652.05,-144.97,626.93,874.15,626.93,70.28,-74.69,0,490.08,0.57623,0.542,,0.01253289926759547,0,-0.11913610769942419,0.13419312440957817,0.17166522911789267,14.66713801828273,4.40602113496218,1.9682290768198683,10.407688611794317,14.511797170338,2.5195807695463124,2.491170986158459,0.30040087776293045,0.177037357076496,0.21982012842015894,0.28175570330343147,1.2414215836510525,3.6804626042033575
AMTK IN Equity     ,Bombay,AMTEK AUTO LIMITED,Metal Processors&Fabrica,India,0.02,0.0221,139.15673850000002,0,,6296.685,6296.685,6296.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57436,0.481,,0,,,,,,,,,,,,,,0,0,,
ANDB IN Equity     ,Bombay,ANDHRA BANK LTD,Money Center Banks,India,0.02,0.0221,464.98400000000004,2939.04608,3792.4852849851227,21040,32322.27,19400.62,12921.65,9440.57,11282.27,11079.95,28005.54,651.01,5401.76,5769.72,3824.44608,234.39,885.4,0.292,4231.18,0.47595999999999994,0.808,,0.3997754489396939,0.14889463459365945,0.23151065055674674,0.15108367844362222,0.13656034056118896,4.972608114048563,1.8989255366675841,0.7512799253290599,3.3624889942666196,3.5915368324397976,1.4453962978630923,0.6927422217175603,0.3818771745359862,0.4051075390574933,0.3490556201652916,0.5362295627376426,1.018260010198602,
APHS IN Equity     ,Bombay,APOLLO HOSPITALS ENTERPRISE,Medical-Hospitals,India,0.02,0.0221,146.15846050000002,-232.1962999999999,108.60368589399963,6613.505,9375.155,9104.125,271.03,4765.55,2761.65,2274.93,4620.54,531.72,554.41,806.37,316.01370000000003,16.49,548.21,0.43,356.22,0.44290999999999997,0.694,-0.011399999999999999,0.028909388698106855,0.2773847622255909,1.7347665623357464,0.07709488501343999,0.06839323975119792,18.565787996182134,2.9071246148233136,1.431327290749566,11.290257574066496,16.42128569109504,1.8614129032001876,1.9703595250771555,0.1565850377813823,0.0663121150759094,0.29457112975732136,0.41757736631332404,1.213949440202556,2.237960683001655
APTY IN Equity     ,Bombay,APOLLO TYRES LIMITED,Rubber-Tires,India,0.02,0.0221,204.89663610000002,-222.34259999999995,312.4236555619218,9271.341,12119.841,11284.741,835.1,6495.1,2848.5,4481.7,16083.3,783.1,1786.5,2123.6,1299.8574,739.1,1522.2,0.2724,1243.1,0.5340699999999999,1.002,0.20309999999999997,0.06890354419666067,0.1279060413482423,1.171051532268078,0.07729135189917492,0.08082031672604503,7.458242297482102,2.068710757078787,0.576457629964,5.313967319645885,6.316675622726001,1.6534120487844808,0.7016433816443143,0.27737242564205544,0.2001289279610784,0.23502783576121172,0.30723710841829677,0.6355847111587121,5.415277356774781
APTR IN Equity     ,Bombay,APTECH LTD,Educatiol Software,India,0.02,0.0221,57.2081484,-77.42190400000001,-74.53476732719517,2588.604,2690.004,2649.584,40.42,922.95,101.4,861.97,1166.22,-45.16,70.32,176.84,64.188096,186.77,141.61,0.0872,52.17,0.7475499999999999,,,0.01502599996133835,0,2.206172309582138,0.04473426969182487,0.05503944024283583,49.6186313973548,3.0031253987957816,2.2196532386685184,14.982945035059942,37.67895335608646,2.7922854147419995,2.2719418291574485,0.06052414817221017,0.06954666666666666,0.03769511123403534,0.03917169254161703,0.11763750478554938,5.114181818181818
ARVND IN Equity     ,Bombay,ARVIND MILLS LIMITED,Textile-Apparel,India,0.02,0.0221,258.14855300000005,1809.9602,834.5378051553652,11680.93,31581.83,31298.55,283.28,26981.52,19900.9,7363.9,18092.4,-1443.9,2680.1,4569.1,2680.1,2319.4,875.5,0,1071,0.51488,1.156,,0.008969714547890351,0.062464985994397766,0.326666915413604,0.05919612655037474,0.14813402312573234,10.9065639589169,1.5862423444098916,0.6456263403418009,6.850047055218752,11.67812768180292,1.158337123323846,1.7299280360814486,0.1454392373606377,0.09933094947949558,0.6301376456019173,1.7037085232083404,2.702494602045112,1.457685195257261
AISG IN Equity     ,Bombay,ASAHI INDIA GLASS LTD,Auto/Trk Prts&Equip-Orig,India,0.02,0.0221,235.12587800000003,368.53490200000005,365.04837043932616,10639.18,11513.41,11417.49,95.92,1569.13,874.23,790.82,4120.16,-188.1,397.23,835.73,392.22490200000004,211.79,23.69,0.0126,376.3,0.47054,0.649,0.6743000000000001,0.008331154714372197,0.10815838426787139,0.06039902076385756,0.09133140460564639,0.09519652197972896,28.27313313845336,13.453352216686477,2.582224962137393,13.66169695954435,28.742768673060944,6.914753310711389,2.7711278202788243,0.47583520902354515,0.24996329303499393,0.07593145731803176,0.08217080639673358,1.105472800384411,5.050603941513033
ALF IN Equity     ,Bombay,ASHOK LEYLAND FINCE LTD,Fince-Commercial,India,0.02,0.0221,63.33778230000001,914.0072439999999,868.7143064746231,2865.963,13310.863,12594.943,715.92,11845.12,10444.9,2116.14,3565.51,-180.59,788.34,1026.26,501.857244,-231.56,-412.15,0.36340000000000006,799.28,0.54012,0.633,,0.053784641912398914,0.17519517565809228,-0.821249478666487,0.224169894348915,0.14075328466334408,3.585680862776499,1.3543352519209506,0.8038017001775342,12.27266287295617,15.976536773473374,1.0596943405960015,3.532437996247381,0.3777065789598042,0.04236827013993949,0.7846899183020665,3.6444643563088563,4.93582655211848,
AL IN Equity     ,Bombay,ASHOK LEYLAND LIMITED,Auto-Med&Heavy Duty Trks,India,0.02,0.0221,685.339564,2879.240592,2453.963728898654,31010.84,39142.94,37368.7,1774.24,15952.71,8132.1,9594.85,26986.63,213.51,2105.76,3135.45,1488.1405920000002,-1604.61,-1391.1,0.2933,1701.02,0.47855,0.907,0.45539999999999997,0.045327203321978364,0.3146229909113355,-0.9347907096132754,0.0630319532301736,0.05514362452814598,18.230732148945926,3.2320296825901393,1.149118656164182,11.918129774035625,17.745944457108124,2.208103480858241,1.3847116146032314,0.17728468918221754,0.09328450100327781,0.20775393979093038,0.2622341091050742,0.8475484244151811,2.2023322700413117
AHOT IN Equity     ,Bombay,ASIAN HOTELS LIMITED,Hotels&Motels,India,0.02,0.0221,77.2820646,-778.736096,-291.3258880232382,3496.926,6561.596,6542.276,19.32,5709.19,3064.67,2663.84,1066.48,965.42,163.28,225.44,122.753904,-63.93,901.49,0.2482,127.88,0.64321,0.662,-0.32799999999999996,0.0029444055988817356,0.7132467938692524,7.343880484648374,0.11990848398469732,0.11510192783737154,27.345370659993744,1.3127387530782628,3.2789419398394717,29.020031937544356,40.06783439490446,1.1454280432433563,6.134457280024004,0.04800588623941377,0.0215011068119996,0.46706167219072925,0.876389720571725,1.1504707489939334,4.486946963451498
APNT IN Equity     ,Bombay,ASIAN PAINTS (INDIA) LTD,Coatings/Paint,India,0.02,0.0221,733.583863779,978.2783319999999,2031.2814180966616,33193.83999,35455.79999,34786.39999,669.4,6367.92,2261.96,4775.36,16577.59,-105.36,2152.89,2657.77,1332.208332,459.29,353.93,0.3812,2271.45,0.22545,0.517,0.1812,0.018879844769792205,0.2901450615245768,0.2656716607294121,0.13701931342251797,0.08036200267952097,14.613502383939775,6.951065467315554,2.0023320633457575,13.08856672699293,16.158001565337756,5.038253197239858,2.098399103247215,0.47566047376532866,0.2092061979421852,0.06379661439420253,0.06814396890150219,0.4736731890370569,15.679047410967883
ASN IN Equity     ,Bombay,ASIAN STAR CO LIMITED,Retail-Jewelry,India,0.02,0.0221,245.266905,0,,11098.05,11098.05,11098.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27341,0.446,,0,,,,,,,,,,,,,,0,0,,
ACC IN Equity     ,Bombay,ASSOCIATED CEMENT COS LTD,Bldg Prod-Cement/Aggreg,India,0.02,0.0221,920.8186000000001,493.07797000000016,1200.924274533227,41666,56216.6,55825.3,391.3,25392.1,14550.6,11232.8,30201.1,1032.3,1492.9,3310.2,1297.77797,-227.6,804.7,0.1307,1551.5,0.42672,1.027,0.5649000000000001,0.006960577480672969,0.32613599742184984,0.6200598396657941,0.05137230100890365,0.04297121528686042,26.855301321301965,3.709315575813689,1.3796186231627325,16.86463053591928,37.393864290977284,2.1803408394548427,1.8484525398081526,0.1381222847375543,0.05110951713328161,0.25883102144206516,0.3492199875198003,1.2953671390926573,1.068417662635082
ASTR IN Equity     ,Bombay,ASTRAZENECA PHARMA INDIA LTD,Medical-Drugs,India,0.02,0.0221,110.74310000000001,19.368849999999995,100.82,5011,5011,4961.55,49.45,710.41,0,759.86,1377.19,7.61,139.82,188.35,86.33885,59.36,66.97,0.3825,167.79,0.64078,0.55,0.08070000000000001,0.009868289762522452,0.0896358543417367,0.7756647210380959,0.12183504091664911,0.06269203958785642,29.864711842183684,6.5946358539731005,3.6385683892563843,26.342182107778076,35.48526677156344,6.5946358539731005,3.6026619420704478,0.2208169926039007,0.12153383257555496,0,0,0,176.9873417721519
ATCP IN Equity     ,Bombay,ATLAS COPCO (INDIA) LIMITED,Machinery-Constr&Mining,India,0.02,0.0221,98.4631245,188.4044,584.5543506750408,4455.345,4476.895,4289.3150000000005,187.58,1025.68,21.55,1191.71,2457.7,24.28,308,360.78,174.5744,-38.11,-13.83,0.43320000000000003,570.97,0.59356,0.749,0.0866,0.0418995754870284,0.07813019948508677,-0.0792212374781182,0.23231883468283357,0.07103161492452294,7.803115750389688,3.7386150993110743,1.8128107580257966,11.889004379400191,13.926347402597404,3.689971646637984,1.7452557268991338,0.47911824185414237,0.17020357226425395,0.004813604071571926,0.004836886930192835,0.018083258510879326,123.69477911646585
ARBP IN Equity     ,Bombay,AUROBINDO PHARMA LTD,Medical-Drugs,India,0.02,0.0221,419.07567000000006,-2472.1139999999996,-192.5223630564185,18962.7,25926.3,25525,401.3,11543.4,6963.6,4981.1,12497.6,3614.7,1362.4,1673.3,957.0860000000001,-185.5,3429.2,0.2975,1237.5,0.53761,1.034,0.2494,0.01547849095320196,0.04977777777777778,3.582959107123079,0.09901901165023684,0.07658158366406351,15.32339393939394,3.8069301961414146,1.5173073230060172,15.25428793402259,18.735320023487965,2.1705275142950433,2.0423921392907443,0.24843909979723353,0.08291196701145243,0.26859212459934506,0.3672261861443782,1.3980044568468812,2.849613051662832
ATXL IN Equity     ,Bombay,AUTOMOTIVE AXLES LIMITED,Auto/Trk Prts&Equip-Repl,India,0.02,0.0221,78.50072490000001,51.66932000000003,207.15652616852145,3552.069,3804.889,3784.909,19.98,766.27,252.82,533.43,2103.28,-3.13,314.8,407.63,203.32932000000002,154.79,151.66,0.35409999999999997,310.05,0.5261399999999999,0.821,,0.005251138732299418,0.4445734558942106,0.7458835744889127,0.14741261268114564,0.09667249248792363,11.456439283986454,6.658922445306788,1.6888236468753564,9.2851581090695,12.023217916137229,4.839286486486487,1.799526929367464,0.5812384005399022,0.26534944601772226,0.06644609080580274,0.0711754191711929,0.4739515962731755,27.397737162750218
HOEC IN Equity     ,Bombay,AVENTIS PHARMA LTD,Medical-Drugs,India,0.02,0.0221,345.467863,646.380157,1011.73,15632.03,15632.03,15045.19,586.84,2104.67,0,2691.51,6160.83,-18.25,816.61,966.62,550.150157,-77.98,-96.23,0.32630000000000003,915.5,0.36517000000000005,0.624,0.24710000000000001,0.037540869611944194,0.15094483888585472,-0.17491588210162048,0.14860010745305421,0.0892980583784977,17.074855270344074,5.807903370227121,2.5373253279184786,15.564741056464795,18.423960029879623,5.807903370227121,2.4420719286200074,0.34014363684325893,0.26139497260853245,0,0,0,200.64127764127764
BJA IN Equity     ,Bombay,BAJAJ AUTO LIMITED,Motorcycle/Motor Scooter,India,0.02,0.0221,2199.817867,3757.9237439999997,8187.218240865299,99539.27,107944.07,107656.69,287.38,40523.48,8404.8,32406.06,41556.71,-598.17,4960.12,6671.69,3378.833744,219.08,-379.09,0.3188,7886.2,0.35905000000000004,0.879,0.064,0.0026623046546234543,0.1789619842256093,-0.1121955173654735,0.18976959436875537,0.08130657465424958,12.621956075169283,3.07162518368478,2.3952634845251226,16.136344764220162,21.704452714853673,2.644983957701455,2.5905970419698767,0.24335571803545386,0.08337965406722225,0.07786254492720164,0.0844370267131756,0.2593588976876547,443.66010733452595
BJH IN Equity     ,Bombay,BAJAJ HINDUSTHAN LIMITED,Sugar,India,0.02,0.0221,59.41379470000001,1295.260593,762.1604922760941,2688.407,3554.047,3527.367,26.68,1804,865.64,965.04,5909.57,35.16,250.69,434.94,205.490593,-1124.93,-1089.77,0.18030000000000002,187.69,0.71489,1.235,,0.007506935051787441,0.11503010282913315,-5.303259794476334,0.03176034804562769,0.034772511874806455,14.323656028557728,2.7857985161236845,0.4549243007528467,8.110008277003725,14.070633052774344,1.9413807983918545,0.5968906367129927,0.19448934759180966,0.11390831097560976,0.24356458988865368,0.3219899367915646,0.8969990881206997,1.1750175767518163
BJT IN Equity     ,Bombay,BAJAJ TEMPO LIMITED,Auto-Cars/Light Trucks,India,0.02,0.0221,136.20599070000003,32.089960000000005,287.6828443339474,6163.167,6777.347000000001,6582.887000000001,194.46,1808.61,614.18,1388.89,6996.65,-108.03,138.96,390.11,126.93996,202.88,94.85,0.08650000000000001,353.45,0.60104,0.668,,0.028692643301279984,0,0.7472036386335713,0.05051703315157968,0.01814296270357957,17.43716791625407,4.437476690018648,0.8808739896950685,16.874437979031555,47.372531663788145,3.3834798584173296,0.9408626985771763,0.25448379641296287,0.07018647469603728,0.0906224810386719,0.09965331135761855,0.44220924623260294,2.284774745149622
BLJT IN Equity     ,Bombay,BALAJI TELEFILMS LTD,Broadcast Serv/Program,India,0.02,0.0221,110.9477018,299.37518400000005,639.49,5020.258,5020.258,5013.308,6.95,1057.49,0,1064.44,1859.66,119.48,890.88,933.31,565.085184,146.23,265.71,0.3657,905.2,0.5483,0.858,,0.0013843910014186523,0.11382015024304021,0.4702122928071672,0.48675564350472666,0.3038647838852263,5.546020768890853,4.716337228965465,2.699556908252046,5.371535716964353,5.627366199712644,4.716337228965465,2.6958196659604443,0.850400210439292,0.5343645651495522,0,0,0,1509.9661016949153
BILT IN Equity     ,Bombay,BALLARPUR INDUSTRIES LTD,Paper&Related Products,India,0.02,0.0221,243.95902700000005,2243.9843,1586.1511734429514,11038.87,22871.72,22820.8,50.92,23687.26,11832.85,11905.33,16673.39,-413.08,2475.25,3861.05,1725.7443,-105.16,-518.24,0.3028,1326.24,0.45508000000000004,1.005,,0.0022263301579417724,0.23935335987453252,-0.3002994128388544,0.07954231263108462,0.10350290492815199,8.323433164434794,0.9272208330218483,0.6620651229294103,5.910516569326997,9.219593980406021,0.9634993078660622,1.368695868086814,0.11139884404716208,0.07285537879856091,0.5173572429183289,1.0719258402354588,0.9939119705207667,1.6619108365784878
BRCM IN Equity     ,Bombay,BALRAMPUR CHINI MILLS,Sugar,India,0.02,0.0221,100.6903625,-862.4163920000001,-153.06009462545876,4556.125,7821.755,7800.465,21.29,5609.33,3265.63,2364.99,5323.05,732.02,498.28,711.05,392.943608,523.34,1255.36,0.2114,374.22,0.57575,0.944,-0.07440000000000001,0.0027218955336749872,0.430922986478542,3.1947586738705778,0.0703018006593964,0.07381925925925925,12.17499064721287,1.9264880612603015,0.8559237655103746,10.97034667041699,15.65478245163362,1.3891463107082347,1.4654126863358412,0.15823322720180638,0.07005179014249474,0.4175060456380953,0.7167560152541909,1.380821906223705,3.484475524475524
BOI IN Equity     ,Bombay,BANK OF INDIA,Money Center Banks,India,0.02,0.0221,709.84095,19419.354919999998,14515.552009621213,32119.5,144429.5,110931.59,33497.91,115298.29,112310,36486.2,75307.57,-936.66,11144.08,13371.32,8207.61492,-10275.08,-11211.74,0.2635,11766.33,0.44673999999999997,0.937,0.255,0.23193260379631586,0.10380891917870738,-1.3660168160033512,0.15624365518632455,0.10898791343287267,2.7297806537807454,0.8803191343576476,0.4265109072036184,8.296233281381344,9.954306681215497,0.970653148400295,1.4730469991263824,0.32248713212118557,0.0711859206238011,0.777611222084131,3.4966297731907408,3.0781500951044505,
BOB IN Equity     ,Bombay,BANK OF BARODA,Money Center Banks,India,0.02,0.0221,1528.1177600000003,15937.901986,16370.521283837925,69145.6,102874.42,68216.18,34658.24,42940.34,33728.82,43869.76,73528.46,-5280.38,11640.93,17856.78,7685.341986,-2972.18,-8252.56,0.3398,11705,0.52939,1.104,0.10869999999999999,0.3368985215177883,0.16469030328919265,-1.0738051754929412,0.15919006055614382,0.10452200394241902,5.907355830841521,1.5761563318331353,0.9403923324383511,3.82018370613291,5.860028365431286,1.3257255480705963,0.9277520568226237,0.26681249224978665,0.17897720386005328,0.3278640112867708,0.48779416188448715,0.7688398568854719,
BOP IN Equity     ,Bombay,BANK OF PUNJAB LIMITED,Money Center Banks,India,0.02,0.0221,68.10667500000001,0,,3081.75,3081.75,3081.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6079,0.668,,0,,,,,,,,,,,,,,0,0,,
BOR IN Equity     ,Bombay,BANK OF RAJASTHAN,Money Center Banks,India,0.02,0.0221,95.0889628,-283.3240729999999,373.7509867524104,4302.668,10415.277999999998,6628.767999999998,3786.51,5176.63,6112.61,2850.53,5993.33,187.07,1105.53,1197.32,680.8959270000001,777.15,964.22,0.38409999999999994,680.4,0.45049,0.754,,0.36355342603433155,0,1.4161048139152694,0.11352620329599739,0.11360894978250825,6.323733098177542,1.509427369647048,0.717909409293331,5.5363378211338645,5.9960091539804425,1.1620121966185957,1.1060241968988855,0.2386924536840517,0.1315326625623234,0.5868887993196149,1.4206557419721904,2.1443766597790583,
