Country,GDP (in millions) in 2021,Economy,US dollars)
Romania,284087.563695798,Malta,17189.7304695554
Russia,1775799.91935298,Marshall Islands,248.6656
Rwanda,11070.3565194804,Mauritania,8227.58074049889
Saudi Arabia,833541.236569315,Mauritius,11156.6577696974
Senegal,27625.3883521688,Mexico,1293037.8663601698
Serbia,63068.1346011254,"Micronesia, Fed. Sts.",404.17804975397803
Sharjah,24800,Moldova,13679.2213332052
Singapore,396986.89988835104,Monaco,6816.21930325528
Slovakia,114870.706410165,Mongolia,15098.0228286106
Slovenia,61526.331889499,Montenegro,5809.17096178285
Solomon Islands,1645.21388162016,Morocco,132725.261467431
South Africa,419946.428126008,Mozambique,16095.828896634199
Spain,1425276.5862829199,Myanmar,65067.8089846792
Sri Lanka,84518.83039261571,Namibia,12236.250784133601
St. Maarten,11900,Nauru,133.21889693260698
St. Vincent & the Grenadines,8100,Nepal,36288.8303734106
Suriname,2862.13197969543,Netherlands,1018007.0569496
Swaziland,4941.37318208261,New Caledonia,9435.5299272471
Sweden,627437.89888729,New Zealand,249991.512236526
Switzerland,812866.92886747,Nicaragua,14013.0220920645
Taiwan,689000,Niger,14950.9498752729
Tajikistan,8746.270636401421,Nigeria,440776.971536015
Tanzania,67775.10179434781,North Macedonia,13879.2691515718
Thailand,505981.655622305,Northern Mariana Islands,1182
Togo,8413.2005676151,Norway,482437.01979045395
Trinidad and Tobago,21391.802311011797,Oman,85868.6265279584
Tunisia,46840.042941492204,Pakistan,346343.170486072
Turkey,815271.751724423,Palau,257.7
Turks and Caicos Islands,943.269768,Panama,63605.0658
Uganda,40434.701516952795,Papua New Guinea,26594.277245782003
Ukraine,200085.537744354,Paraguay,38986.8109890011
United Arab Emirates,358868.765174924,Peru,223249.497500387
United Kingdom,3186859.73918502,Philippines,394086.41934305604
United States of America,22996100,Poland,674048.266397369
Uruguay,59319.5476360876,Portugal,249886.464354752
Uzbekistan,69238.90310617379,Puerto Rico,103138.3
Venezuela,98400,Qatar,179570.783550549
Vietnam,362637.52407096897,Romania,284087.563695798
Zambia,21203.0590803507,Russian Federation,1775799.91935298
,,Rwanda,11070.3565194804
,,Samoa,788.389971603065
Algeria,167983.141738311,San Marino,1544.7137846767098
Brunei,14007,São Tomé and Principe,547.092915036334
Gambia,2078,Saudi Arabia,833541.236569315
Guinea,15850.5203839941,Senegal,27625.3883521688
Guinea-Bissau,1638.51753316504,Serbia,63068.1346011254
Guyana,7409.17992086331,Seychelles,1320.05379303903
Haiti,20944.392615080298,Sierra Leone,4200.38012432911
Iran,231548,Singapore,396986.89988835104
"Korea, D.P.R.",28500,Slovak Republic,114870.706410165
Liberia,3486.74137,Slovenia,61526.331889499
Libya,41879.5796771747,Solomon Islands,1645.21388162016
Madagascar,14637.400395689,Somalia,7292.72182000001
Malawi,12626.718073743901,South Africa,419946.428126008
Myanmar,65067.8089846792,Spain,1425276.5862829199
Sierra Leone,4200.38012432911,Sri Lanka,84518.83039261571
Somalia,7292.72182000001,St. Kitts and Nevis,976.150666666667
Sudan,34326.0585574359,St. Lucia,1764.9011333333299
Syria,21450,St. Vincent and the Grenadines,889.775243378352
"Yemen, Republic",21062,Sudan,34326.0585574359
Zimbabwe,26217.7267173386,Suriname,2862.13197969543
,,Sweden,627437.89888729
,,Switzerland,812866.92886747
,,Tajikistan,8746.270636401421
,,Tanzania,67775.10179434781
,,Thailand,505981.655622305
,,Timor-Leste,1959.13474383541
,,Togo,8413.2005676151
,,Tonga,488.82996407082
,,Trinidad and Tobago,21391.802311011797
,,Tunisia,46840.042941492204
,,Türkiye,815271.751724423
,,Turkmenistan,45231.428571428594
,,Turks and Caicos Islands,943.269768
,,Tuvalu,63.1009615384615
,,Uganda,40434.701516952795
,,Ukraine,200085.537744354
,,United Arab Emirates,358868.765174924
,,United Kingdom,3186859.73918502
,,United States,22996100
,,Uruguay,59319.5476360876
,,Uzbekistan,69238.90310617379
,,Vanuatu,983.469256849629
,,Vietnam,362637.52407096897
,,Vietnam,261.9
,,Virgin Islands (U.S.),4204
,,Virgin Islands (U.S.),3.9
,,West Bank and Gaza,18036.8
,,West Bank and Gaza,14.6
,,"Yemen, Rep.",21061.6916295369
,,"Yemen, Rep.",27.6
,,Zambia,21203.0590803507
,,Zambia,23.1
,,Zimbabwe,26217.7267173386
,,Zimbabwe,21.4
