Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Price to Book,Return on Equity,Tier 1 Capital/ Risk Adjusted Assets,Tier 1 Capital / Total Assets,Change in Market Cap (from start of 2008),Change in Market Cap (from start of 2009),Change in Common Equity (from start of 2009),Change in Tier 1 Capital (from start of 2009),Dividends Paid (since 2009),Buybacks since 2009,Net Income (since 2009),Cash Return/ Net Income
Amana Bank PLC (COSE:ABL-N-0000),COSE:ABL-N-0000,Diversified Banks (Primary),34.1,0.86,0.0249,0.1197,0.8489, NA , NA , NA , NA ,0,0,-3.46,0
Sanasa Development Bank PLC (COSE:SDB-N-0000),COSE:SDB-N-0000,Diversified Banks (Primary),33.2,0.9,0.0943,0.123,0.9864, NA , NA ,29, NA ,6.7,0,21.5,0.3114
Sandnes Sparebank (OB:SADG),OB:SADG,Regional Banks (Primary),31.8,0.14,-0.013,0.1384,1.0555,-178.9,-9,4,-16,11.96,0,87.72,0.1363
Harford Bank (OTCPK:HFBK),OTCPK:HFBK,Regional Banks (Primary),29.2,0.86,0.0541,0.1427,1,-11.8, NA ,10,10,5.27,0.95,14.01,0.444
Skye Bank Plc (NGSE:SKYEBANK),NGSE:SKYEBANK,Diversified Banks (Primary),29.1,0.06,-0.3952,0.0856,0.7551,-1059.7,-702.9,-287,-387,157.59,0,170.97,0.9218
Dexia SA (ENXTBR:DEXB),ENXTBR:DEXB,Diversified Banks (Primary),27.9,0.01,-0.0102,0.1604,2.0027,-29344.5,-5142.9,-1000,-13577,0,251.2,-18530.2,-0.0136
PT Bank Dinar Indonesia Tbk (JKSE:DNAR),JKSE:DNAR,Regional Banks (Primary),24.3,0.77,0.0325,0.2931,0.9363, NA , NA , NA , NA ,0,0,3,0
PT Bank Mitraniaga Tbk (JKSE:NAGA),JKSE:NAGA,Diversified Banks (Primary),23.8,1.54,0.057,0.1524,0.871, NA , NA , NA , NA ,0,0,2.27,0
PT Bank Harda Internasional Tbk (JKSE:BBHI),JKSE:BBHI,Diversified Banks (Primary),21.1,0.78,-0.1313,0.2108,0.886, NA , NA , NA , NA ,0,0,4.68,0
National Bank of Kenya Ltd. (NASE:NBK.O),NASE:NBK.O,Diversified Banks (Primary),21,0.4,-0.4848,0.1299,1.8175, NA ,-89,46,23,32,0,82.36,0.3886
Goldfields Money Limited (ASX:GMY),ASX:GMY,Regional Banks (Primary),13.9,1.1,-0.0056,0.2056,0.9286, NA , NA ,8,8,0,0,0.59,0
PT Bank Artos Indonesia Tbk (JKSE:ARTO),JKSE:ARTO,Diversified Banks (Primary),13.7,1.76,-0.1338,0.1846,0.9717, NA , NA , NA , NA ,0,0,0.48,0
AMB Financial Corp. (OTCBB:AMFC),OTCBB:AMFC,Regional Banks (Primary),13,0.88,0.0973,0.1227,1.223, NA ,9.28,2,3,0.97,0,3.27,0.297
PWC Capital Inc. (TSX:PWC),TSX:PWC,Diversified Banks (Primary),4.58,NA,NA,0.129,NA,-106.32,-31.52,-18,64,0.47,0,-45.71,-0.0104
