Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Price to Book,Return on Equity,Tier 1 Capital/ Risk Adjusted Assets,Tier 1 Capital / Total Assets,Change in Market Cap (from start of 2008),Change in Market Cap (from start of 2009),Change in Common Equity (from start of 2009),Change in Tier 1 Capital (from start of 2009),Dividends Paid (since 2009),Buybacks since 2009,Net Income (since 2009),Cash Return/ Net Income
National Bank of Malawi (MAL:NBM),MAL:NBM,Diversified Banks (Primary),166.7,2.04,0.2472,0.1516,0.5802, NA , NA , NA , NA ,77.28,0,174.7,0.4424
alizz islamic bank SAOG (MSM:BKIZ),MSM:BKIZ,Diversified Banks (Primary),166.2,0.74,-0.0511,0.3422,0.9512, NA , NA , NA , NA ,0,0,-35.4,0
Public Joint Stock Company Raiffeisen Bank Aval (UKR:BAVL),UKR:BAVL,Diversified Banks (Primary),165.7,0.73,-0.3264,0.1142,0.7391,-4393.1,-576.9,-794,-853,57.39,0.86,-322.66,-0.1805
PT Bank of India Indonesia Tbk (JKSE:BSWD),JKSE:BSWD,Regional Banks (Primary),164.7,2.04,-0.5421,0.2342,0.7908, NA , NA ,55,40,9.19,0,30.88,0.2976
"GrønlandsBANKEN, A/S (CPSE:GRLA)",CPSE:GRLA,Regional Banks (Primary),164,1.23,0.0759,0.2078,0.9249,-162.9,54.4,16,11,61.49,1.59,91.67,0.6881
Export Import Bank Of Bangladesh Limited (DSE:EXIMBANK),DSE:EXIMBANK,Diversified Banks (Primary),163.7,0.51,0.0956,0.0975,0.9091,41.3,38.4,249,220,0,0,206.8,0
Khaleeji Commercial Bank BSC (BAX:KHCB),BAX:KHCB,Diversified Banks (Primary),161.5,0.56,0.0656,0.1811,0.9829, NA ,-342.4,-80,-85,39.1,7.78,-29.82,-1.5721
"Premier Financial Bancorp, Inc. (NasdaqGM:PFBI)",NasdaqGM:PFBI,Regional Banks (Primary),161.3,1.1,0.0802,0.1357,0.7901,94.4,116.4,58,55,23.03,0,74.56,0.3089
Banque Cantonale du Jura (SWX:BCJ),SWX:BCJ,Regional Banks (Primary),160.1,0.72,0.0405,0.1564,0.9758,4.2,-11.7,30, NA ,36.99,0.7,62.65,0.6016
PT Bank Nationalnobu Tbk (JKSE:NOBU),JKSE:NOBU,Diversified Banks (Primary),159.9,1.85,0.0242,0.2629,0.9513, NA , NA ,79, NA ,0,0,4.7,0
"The Tottori Bank, Ltd. (TSE:8383)",TSE:8383,Regional Banks (Primary),156.9,0.34,0.0426,0.1074,0.9682,-91.8,-153.2, NA , NA ,10.95,0.14,96.74,0.1147
Soneri Bank Limited (KASE:SNBL),KASE:SNBL,Diversified Banks (Primary),155.5,0.9,0.1256,0.1166,0.8259,-134.1,98.1,83,59,10.5,0,69.9,0.1502
"Philippine Business Bank, Inc. (PSE:PBB)",PSE:PBB,Regional Banks (Primary),154.8,0.93,0.0687,0.1696,1.1094, NA , NA ,141, NA ,3.84,0,98.78,0.0389
Bank of Africa - Niger (BRVM:BOAN),BRVM:BOAN,Diversified Banks (Primary),154,3.38,0.2259,0.135,0.7982, NA , NA ,30, NA ,0,0,37.64,0
Siauliu Bankas AB (NSEL:SAB1L),NSEL:SAB1L,Diversified Banks (Primary),150.7,1.01,0.2599,0.1212,0.8556,-85.9,82.2,32,16,0.68,0,31.62,0.0214
First Investment Bank AD (BUL:5F4),BUL:5F4,Diversified Banks (Primary),150.6,0.36,0.1429,0.1423,1.2099, NA , NA ,154,270,0,0,244.12,0
Trust Bank Limited (DSE:TRUSTBANK),DSE:TRUSTBANK,Diversified Banks (Primary),150.2,1.19,0.166,0.0753,0.9849, NA ,52.6,81,80,6.06,0,81.42,0.0744
Dhaka Bank Limited (DSE:DHAKABANK),DSE:DHAKABANK,Diversified Banks (Primary),149.8,0.86,0.0989,0.0856,0.9457,-9.8,49,117,108,28.46,0,146.8,0.1939
