Company Name,Price,DCF Model,DCF Value,Multiple used,Relative Value,Option Value,Recommendation
"salesforce.com, inc.",159.93,FCFF,179.79,EV/Sales,215.23,,Buy
"salesforce.com, inc.",162.15,FCFF,57.65,EV/Sales,182.24,,Sell
Salvatore Ferragamo,19.35,FCFF,16.7,P/Sales,12.87,,Sell
Samsung,42900,FCFF,62557,EV/EBITDA,84678,,Buy
SATS Ltd,5.32,FCFF,4.31,EV/EBITDA,3.97,,Sell
Saudi Aramco ,0.603,FCFE,0.603,EV/Sales,2.76,,Hold
Scandic Hotel Group (SHOT),85.4,FCFF,125.15,EV/EBITDA,133.4,,Buy
Schlumberger,38.94,FCFF,24.74,EV/Sales,18.03,,Sell
Sempra Energy (NYSE: SRE),126.2,FCFF,171.98,PE,113.07,,Buy
Servicenow,274,FCFF,105.65,EV/Sales,417.3,,Hold
Shake Shack,60.39,FCFF,31.19,EV/EBITDA,56.67,,Sell
Shake Shack,60.39,FCFF,54.5,EV/Sales,58.5,,Sell
Shake Shack Inc.,60.39,FCFF,39,EV/Sales,50.48,,Sell
"Shake Shack, Inc.",60.37,FCFF,27.19,EV/EBITDA,35.92,,Sell
Shopify,259.19,FCFF,95.81,PS,92.04,,Sell
Shopify,258.69,FCFF,126.11,EV/EBITDA,228.85,,Sell
Shopify,265.52,FCFF,241.31,EV/Sales,178.38,,Sell
Shutterfly ,44.07,FCFF,58.58,EV/Sales,40.15,,Buy
"SIGA Technologies, Inc",5.61,FCFF,4.71,EV/Sales,23.25,,Sell
Sinclair Broadcast Group,44.95,FCFF,44.95,EV/Sales,27.65,,Sell 
Sinclair Broadcast Group,44.95,FCFF,46.62,EV/Sales,27.65,,Sell
SJM,126.9,FCFF,94,EV/EBITDA,53.98,,Sell
SK Hynix,74400,FCFF,87228,EV/Sales,80126,,Buy
SL Green Realty Corp (SLG),84.55,Dividends,82.17,TEV/LTM EBIT,113.13,,Hold
SNAP,11.66,FCFF,7.26,EV/Sales,10.27,9.43,Sell
Snap,10.49,FCFF,10.49,EV/Sales,7.6,,Hold
SNAP,11.2,FCFF,6.5,EV/Sales,7.58,,Sell
Snap,10.49,FCFF,4.22,EV/Sales,5.79,,Sell
Snap (SNAP),10.5,FCFF,6.4,EV/Sales,3.6,,Sell
Snap Inc.,10.79,FCFF,14.63,EV/Sales,10.49,,Buy
Snap Inc.,10.49,FCFF,10.22,EV/Sales,9.75,,Hold
Snap Inc.,11.39,FCFF,10.33,EV/Sales,7.97,,Buy
Snap Inc. ,11.17,FCFF,10.29,EV/Sales,9.02,,Sell
"Snap, Inc.",10.49,FCFF,27.78,PBV,10.93,,Buy
Snapchat,10.48,FCFF,6.76,EV/Sales,6.54,,Sell
SNC Lavalin,27.13,FCFF,26.89,EV/Sales,20.14,,Hold
SNC-Lavalin Group Inc.,27.13,FCFF,26.89,EV/Sales,20.14,,Hold
Solaria Energia,4.57,FCFF,4.77,PBV,3.73,,Hold
Southwest,53.9,FCFF,63.14,EV/EBITDA,47.13,,Buy
Southwest,54.23,FCFF,116.64,EV/EBITDA,79.74,,Buy
Southwest Airlines,53.37,FCFF,79.54,EV/EBITDA,51.14,,Buy
Southwest Airlines,52.41,FCFF,57.75,EV/EBITDA,47.17,,Buy
Southwest Airlines,52.41,FCFF,53.22,EV/EBITDA,128.94,,Buy
Spotify,137.85,FCFF,130.78,EV/Sales,85.36,,Sell
Spotify,137.85,FCFF,144.75,EV/Sales,75.87,,Buy
Spotify,137.85,FCFF,144.75,EV/Sales,75.87,,Buy
Spotify,137.79,FCFF,140.39,EV/Sales,307.76,,Buy
Spotify,122.51,FCFF,178.92,EV/Sales,176.97,,Buy
Spotify,134.16,FCFF,203.31,EV/Sales,181.67,,Buy
Spotify,137.85,FCFF,163.55437549804347,EV/Sales,194.48628020653666,,Buy
Spotify,137.85,FCFF,148.27,EV/Sales,265,,Hold
Spotify,122.51,FCFF,100.96,Other,124.24,,Sell
Spotify,122.73,FCFF,145.39,EV/Sales,91.35,,Buy
Spotify (SPOT),137.85,FCFF,153.33,EV/Sales,167.25,,Buy
Spotify Technology S.A.,137.85,FCFF,150.58,EV/Sales,185.35,,Buy
Spotify Technology S.A.,137.85,FCFF,80.86,EV/Sales,101.72181155067656,,Sell
Spotify Technology S.A.,137.85,FCFF,131.34,EV/Sales,73.83,,Sell
Spotify Technology S.A.,124.23,FCFF,89.02,Other,96.79,,Sell
Spotify Technology SA,137.85,FCFF,150.8,EV/Sales,188.25,,Buy
Spring Airlines,39.93,FCFF,32.45,PE,37.85,,Sell
Square,68.52,FCFF,81.35,Other,52.57,63.65,Buy
Square,65.99,FCFF,62.03,EV/EBITDA,34.31,,Sell
Square,68.52,FCFF,52.22,EV/Sales,23.52,,Sell
Square,68.52,FCFF,59.98,EV/Sales,23.22,,Sell
Square,65.99,FCFF,56.4,EV/Sales,27.93,,Sell
Square,65.46,FCFF,43.21,EV/Sales,99.5,,Sell
Square,65.99,FCFF,81.17,TEV/LTM EBITDA,108.58,,Buy
Square,65.99,FCFF,81.02,EV/Sales,68.49,,Buy
Square,65.99,FCFF,41.93,EV/Sales,61.54,,Sell
Square,65.99,FCFF,69.44,EV/Sales,75.68584057225439,,Buy
Square,65.99,FCFF,52.1,EV/Sales,51.53,,Sell
Square Inc,66.53,FCFF,81.76,EV/Sales,92.71,73.88,Buy
Square Inc.,65.99,FCFF,90.71,EV/Sales,146.57,,Buy
"Square, Inc.",68.66,FCFF,71.3,EV/Sales,41.19,,Hold
"Square, Inc.",65.99,FCFF,29.37,EV/Sales,35.5,,Sell
"Square, Inc.",65.99,2Stg - FCFF,52.05,TEV/Sales,61.2,,Sell
"Square, Inc. ",65.99,FCFF,63.6,EV/Sales,51.95,,Hold
"Square, Inc. (NYSE: SQ)",65.99,FCFF,14.17,EV/Sales,67.85,,Hold
Stamps.com,85.43,FCFF,82.71,EV/Sales,87.88,,Sell
Stitch Fix,27.01,FCFF,26.87,EV/EBITDA,25.44,,Hold
Stitch Fix,27,FCFF,37.9,PBV,28.52,,Buy
Stitch Fix,27,FCFF,37.9,PBV,28.52,,Buy
Stitch Fix,26.67,FCFF,28.49,EV/Sales,28.35,,Buy
Stitchfix,27.37,FCFF,28.43,EV/Sales,43.29,,Hold
Sun Pharma,439.35,FCFF,438.22,PBV,635.4,,Hold
Suncor Energy,42.76,FCFF,26.92203346033611,EV/EBITDA,40.7,,Sell
Supernus Pharmaceuticals,36.41,FCFF,40.48,EV/Sales,31.25,,HOLD
"T. Rowe Price Group, Inc.",105.59,Dividends,93.1,PE,130.34,,Sell
Tableau,125.52,FCFF,94.78,EV/Sales,113.04,,Sell
Tableau,124,FCFF,112.4,EV/Sales,73.35,,Hold
Tableau,124,FCFF,124.82,EV/Sales,115.51,,Hold
Tableau Software Inc.,124,FCFF,130.89,EV/Sales,126.79,,Buy
"Tableau Software, Inc (DATA)",124,FCFF,109.83,EV/Sales,124.49,,Hold
"Tableau Software, Inc.",124,FCFE,121.42,EV/Sales,140.49,,Buy
"Tableau Software, Inc.",124,FCFF,98.86,Other,90.12,,Sell
"Tableau Software, Inc.",124,FCFF,142.08,EV/Sales,167.42,,Buy
"Tableau Software, Inc.",124,FCFF,55.34,EV/Sales,208.52,,Sell
"Tailored Brands, Inc. (NYSE: TLRD)",7.95,FCFF,13.75,EV/EBITDA,16.41,,Buy
Taiwan Semiconductor Manufacturing Company,256.5,FCFF,227,PBV,275.17,,Sell
Taiwan Semiconductor Manufacturing Company,256.5,FCFF,226.996,PBV,275.17,,Sell
Target,75.95,FCFF,85.87,EV/EBITDA,112.64,,Buy
Target,75.98,FCFF,64.22,PBV,85.92,,Sell
Target Corp,74.64,FCFF,75.64,PE,95.02,,Hold
Target Corp.,83.72,FCFF,83.72,EV/Sales,97.2,,Buy
Tata Consultancy Services,30.83,FCFF,34.35,PE,31.49,,Buy
Tata Motors,186.35,FCFF,257.16,EV/EBITDA,INR298.16,,Buy
Tata Motors,186.35,FCFF,257.16,EV/EBITDA,298.16,,Buy
Tata Steel,520,FCFF,526.01,EV/EBITDA,687.37,,Buy
Technogym,10.35,FCFF,6.14,Other,8.32,,Sell
Teladoc,60.97,FCFF,66.35,EV/Sales,32.91,,Buy
Tencent,332.9,FCFF,299.02,EV/Sales,222.6,,Hold
Tencent,332.1,FCFF,214.4,EV/Sales,279.5,,Sell
Tencent,382,FCFF,296.21,PE,104.45,,Sell
Tencent Holdings(HKEX:700),382,FCFF,289.36,PE,381.19,,Sell
Tencent Music Entertainment Group,16.59,FCFF,17.99,EV/EBITDA,12.35,,Hold
Tesla,267.54,FCFF,502.12,PEG,422.39,,Buy
Tesla,239.52,HiGrowth,180.1,EV/EBITDA,137.37,,Sell
Tesla,250.09,FCFF,228.44,EV/Sales,226.73,,Sell
Tesla,264.47,FCFF,114.86,EV/Sales,34.94,84.67,Sell
Tesla,239.52,FCFF,193.52,EV/Inv Cap,235.7,,SELL
"Tesla, Inc.",244.4,FCFF,210.39,EV/Sales,284.02,,Hold
"Tesla, Inc. (NasdaqGS: TSLA)",238.28,FCFF,225.85,EV/Sales,183.71,,Sell
The Boeing Company,354.67,FCFF,388.65,EV/EBITDA,458.4787692680411,,Buy
The Boeing Company,354.67,FCFF,215.64,EV/EBITDA,272.51,,Sell
The Boeing Company ,376.46,FCFF,573.54,PE,487.89,,Buy
The Boston Beer Company,329.73,FCFF,264.95,EV/EBITDA,282.83,,Sell
The Bread Talk Group,0.86,FCFF,1.6,PE,1.17,,Buy
The Cheesecake Factory,47.77,FCFF,37.26,EV/Sales,62.73,,Hold
The Clorox Company,148.82,FCFF,125.76,EV/Sales,129.52,,Sell
The Clorox Company,148.82,FCFF,125.76,EV/Sales,129.52,,Sell
The Clorox Company,148.82,FCFF,125.76,EV/Sales,129.52,,Sell
The Estee Lauder Companies Inc,167.29,FCFF,117.61,EV/EBITDA,158.19,,Sell
The Kroger Co.,25.17,FCFF,53.24,EV/EBITDA,47.69,,Buy
The Trade Desk,186.03,FCFF,175.11,EV/Sales,137.7,,Sell
The Warehouse Group,2.13,FCFF,1,EV/Sales,1.49,,Sell
Thomas Cook Group plc,0.26,FCFF,2.66,EV/Sales,5.26,,Buy
Tiffany,104.85,FCFF,84.42,EV/EBITDA,68.77,,SELL
Tiffany,104.85,FCFF,93.44,EV/Sales,84.09,,Sell
Tiffany & Co.,104.92,FCFF,92.2,PE,91.4,,Sell
Tiffany & Co.,104.42,FCFF,67.06,PE,73.7,,Sell
Tiffany and Co.,104.85,FCFF,98.01,PE,89.67,,Sell
Townsquare Media,6.2,FCFF,9.79,EV/EBITDA,13,,Buy
TripAdvisor,54.94,FCFE,38.07,EV/Sales,46.3,,Sell
Trivago,4.21,FCFF,2.38,EV/Sales,5.97,,Sell
TrueBlue,24,FCFF,14.1,PE,14,,Sell
Twilio,134.28,FCFF,113.53,EV/Sales,116.15,,Sell
Twist Bioscience,22,FCFF,22.75,EV/Sales,10.49,,Hold
Twitter,38.45,FCFF,17.69,EV/Sales,14.56169704,,Sell
Twitter (TWTR),38.45,FCFF,42.29,EV/EBITDA,41.05,,Buy
Twitter Inc. (NYSE: TWTR),41.41,FCFF,37.63,EV/Sales,37.63,,Hold
Ulta,348.15,FCFF,241.93,EV/Sales,327.06,,SELL
Ulta,335.47,FCFF,302.39,EV/Sales,140.93,,Hold
Ulta Beauty,342.88,FCFF,271.26,PE,341.28,,Sell
"Ulta Beauty, Inc.",341.96,FCFF,307.2,PE,341.28,,Buy
Ultragenyx,62.57,FCFF,45.68,P/S,48.53,,Sell
Ultragenyx,62.57,FCFF,45.68,P/S,48.53,,Sell
Under Armour,21.79,FCFF,2.55,EV/EBITDA,11.7,,Sell
Under Armour,21.79,FCFF,22.6,EV/EBITDA,15.29,,Hold
"Under Armour, Inc.",19.23,FCFF,11.82,PBV,6.59,,Sell
"Under Armour, Inc.",21.79,FCFF,17.52,EV/EBITDA,17.91,,Sell
Unilever,52.9,FCFF,51.57,EV/EBITDA,66.0491732492398,,Hold
Unilever N.V.,52.9,FCFF,49.82,EV/EBITDA,46.87,,Hold
Unite Health Group,240.59,FCFF,293.73,EV/Sales,237.31,,Hold
Unite Health Group,240.59,FCFF,293.73,EV/Sales,237.31,,Buy
United Parcel Service,99.81,FCFF,127.75,PE,121.19,,Buy
United Technologies,137.17,FCFF,100.31,EV/EBITDA,129.46,,Sell
Urban Outfitters,28.05,FCFF,31.79,EV/Sales,18.87,,Buy
US Steel,15.32,FCFF,27.5,EV/EBIT,26.68,,Buy
Vail Resorts,225.09,FCFF,184.18,EV/Sales,103.82,,Sell
Vail Resorts,225.09,FCFF,184.18,EV/Sales,103.82,,Sell
Varian Medical System,134.87,FCFF,43.46,EV/Sales,173.84,,Buy
Veeva Systems ,144.16,FCFE,74.82,EV/Sales,50.74,,Sell
"Verisk Analytics, Inc.",140.63,FCFF,124.53,Other,99.23,,Sell
Verizon,57.24,FCFF,69.94,Market Cap/EBITDA ,56.4,,Buy
Vestas,563.2,FCFE,868.8,EV/EBITDA,855.47,,Buy
Via,531,FCFF,531,EV/Sales,1761,,Sell
Vinamilk,131100,FCFF,101273,EV/EBITDA,165943,139634,Hold
Vinda,13.72,FCFF,12.255413521422375,EV/Sales,22,,Sell
Vingroup,112700,FCFF,42782.65,EV/Sales,42383.6,,Sell
Visa,161.21,FCFF,173.54,EV/EBITDA,239.29,,Buy
Visa Inc,160.7,FCFF,143.45,EV/EBITDA,177.94,,Hold
Vuzix,2.65,FCFF,3.05,EV/Sales,5.68,,Buy
Walmart,100.35,FCFF,450.1,PE,93.05,,Hold
Walmart,101.91,FCFF,89.75,PE,110.9,,Hold
Walmart,103.52,FCFF,86.55,PBV,106.26,,Hold
Walt Disney,134.04,FCFF,72.03,PS,65.123,,Hold
Walt Disney Co.,134.07,FCFF,106.13,EV/EBITDA,305.98,,Sell
Wayfair,144.25,FCFF,123.62,EV/Sales,267.59,,Sell
Wells Fargo & Company ,47.15,Dividends,46.06,PBV,52.3,,Sell
WH Group (HKSE:288),0.99,FCFF,1.68,EV/EBITDA,1.13,,Buy
Williams Companies Inc (WMB),27.55,FCFF,32.23,PE,31.65,,Buy
Wingstop,75.3,FCFF,37.53,EV/SALES,31.2,,Sell
Workday,203.53,FCFF,208.51,Other,138.2,,Hold
Workday,203.53,FCFF,106.54,EV/Sales,106.8,,Hold
"Workday, Inc.",203.53,FCFF,162.44,EV/Sales,179.16,,Sell
World Wrestling Entertainment,84.03,FCFF,74.46,PE,34.13,,Sell
Wyndham Hodels and Resorts,56.59,FCFF,14.49,EV/EBITDA,81.02,,Sell
"Wynn Resort, Inc.",129.89,FCFF,114.76,PBV,54.12,,Sell
X5 (GDR),29.36,FCFF,35.12,PBV,43.86,,BUY
"Xero, Ltd.",38.549862780000005,FCFF3,18.310136130000004,EV/Sales,24.434488650000002,,Sell
XPO Logistics,61.02,FCFF,46.6,PE,63.02,,Sell
XPO Logistics,61.45,FCFF,69.46,PE,61.65,,Buy
Yelp,34.02,FCFF,37.25,EV/Sales,34.01,,HOLD
Yelp,39.73,FCFF,37.67,PE,38.28,,Hold
Yelp,33.65,FCFF,10,P/S,32.34,,Hold
Yelp (YELP),40.98,FCFF,55.72,EV/EBITDA,37.87,,Buy
Yelp Inc.,34.02,FCFF,24.81,EV/EBITDA,20.9,,Sell
Yelp Inc. ,40.73,FCFF,33.66,PBV,29.5,,Hold
"Yelp, Inc",34.02,FCFF,49.97,PBV,36.71,,Buy
Zillow,40.59,FCFF,35.85,EV/Sales,11.05,,Sell
Zillow,35.24,FCFF,28.4,EV/Sales,34.78,,Sell
Zillow,34.2,FCFF,20.47,EV/Sales,35.02,,Sell
Zillow,35.41,FCFF,44.29,EV/Sales,51.39,,Buy
Zillow,35.41,FCFF,34.2,EV/Sales,118.23,,Buy
Zillow,35.41,FCFF,34.2,EV/Sales,118.23,,Buy
Zillow Group,33.85,FCFF,29.99,EV/Sales,45.58,,Hold
"Zillow Group, Inc.",35.41,FCFF,36.7,EV/EBITDA,39.12,,Buy
"Zillow Group, Inc.",36,FCFF,24.42,PE,21.13,,Sell
Zscaler,73.55,FCFF,65.02,EV/Sales,47.12,,Sell
