Company Name,Exchange:Ticker,Geographic Region,Actual PE,Predicted PE,% Under or Over value,Expected growth rate,Emerging Market Dummy
"Grupo Bimbo, S.A.B. de C.V. (BMV:BIMBO A)",BMV:BIMBO A,Latin America and Caribbean,66.63941908713693,59.919585,0.11214754052680664,0.45,1
Lancaster Colony Corporation (NasdaqGS:LANC),NasdaqGS:LANC,United States and Canada,21.5970695970696,19.4020955,0.11313077482118339,0.085,0
Limoneira Company (NasdaqGS:LMNR),NasdaqGS:LMNR,United States and Canada,58.107667210440454,52.140805,0.11443747771904267,0.35,0
The WhiteWave Foods Company (NYSE:WWAV),NYSE:WWAV,United States and Canada,31.732913669064747,28.420683399999998,0.11654294945858856,0.158,0
Toyo Suisan Kaisha Ltd. (TSE:2875),TSE:2875,Asia / Pacific,15.687226809130646,14.02362055,0.1186288699982434,0.0785,1
Calavo Growers Inc. (NasdaqGS:CVGW),NasdaqGS:CVGW,United States and Canada,27.965714285714284,24.961499,0.12035396134319831,0.13,0
"McCormick & Company, Incorporated (NYSE:MKC)",NYSE:MKC,United States and Canada,22.516564417177914,19.73565971,0.1409076133274043,0.0877,0
Unilever NV (ENXTAM:UNA),ENXTAM:UNA,Europe,18.258514230583696,15.96761956,0.14347127084130618,0.0572,0
CJ Cheiljedang Corporation (KOSE:A097950),KOSE:A097950,Asia / Pacific,20.33974784339748,17.544576099999997,0.1593182831814035,0.107,1
"Chuying Agro-pastoral Group Co., Ltd (SZSE:002477)",SZSE:002477,Asia / Pacific,55.15079365079365,47.565355,0.15947402580709547,0.35,1
"Inventure Foods, Inc. (NasdaqGM:SNAK)",NasdaqGM:SNAK,United States and Canada,33.500761035007606,28.667768,0.16858630344042158,0.16,0
Barry Callebaut AG (SWX:BARN),SWX:BARN,Europe,32.570605187319885,27.8029719,0.17147926863602247,0.153,0
Ülker Bisküvi Sanayi Anonim Sirketi (IBSE:ULKER),IBSE:ULKER,Africa / Middle East,33.440000000000005,28.1692139,0.1871115792833682,0.193,1
"Inner Mongolia Yili Industrial Group Co., Ltd (SHSE:600887)",SHSE:600887,Asia / Pacific,51.2120582120582,42.8707476,0.19456881624472078,0.312,1
Want Want China Holdings Ltd. (SEHK:151),SEHK:151,Asia / Pacific,31.48691514670896,26.316079400000003,0.19648959360978968,0.17800000000000002,1
Bega Cheese Limited (ASX:BGA),ASX:BGA,Asia / Pacific,26.00429184549356,21.621472,0.20270682058527556,0.14,1
Nestlé S.A. (SWX:NESN),SWX:NESN,Europe,20.50400259533016,17.042437569999997,0.20311443190636047,0.0659,0
J&J Snack Foods Corp. (NasdaqGS:JJSF),NasdaqGS:JJSF,United States and Canada,25.61949685534591,21.25523,0.2053267292495029,0.1,0
Eurogerm S.A (ENXTPA:ALGEM),ENXTPA:ALGEM,Europe,25.37091988130564,21.0081454,0.20767061528932662,0.098,0
Mead Johnson Nutrition Company (NYSE:MJN),NYSE:MJN,United States and Canada,25.942585249801745,21.25523,0.22052714789732897,0.1,0
"Bright Dairy & Food Co., Ltd (SHSE:600597)",SHSE:600597,Asia / Pacific,73.80169491525425,59.7960427,0.23422373091679938,0.449,1
GlaxoSmithKline Consumer Healthcare Limited (BSE:500676),BSE:500676,Asia / Pacific,39.12155388471178,31.504856,0.24176266302286153,0.22,1
"The Hain Celestial Group, Inc. (NasdaqGS:HAIN)",NasdaqGS:HAIN,United States and Canada,35.64341761115955,28.667768,0.24332726604873978,0.16,0
PT Indofood Sukses Makmur Tbk (JKSE:INDF),JKSE:INDF,Asia / Pacific,18.030852994555353,14.3324763,0.2580417101094634,0.081,1
"Qiaqia Food Co., Ltd. (SZSE:002557)",SZSE:002557,Asia / Pacific,25.966442953020135,20.5095913,0.266063402883125,0.131,1
The Hershey Company (NYSE:HSY),NYSE:HSY,United States and Canada,28.497386204258575,22.490653000000002,0.2670768698560497,0.11,0
PT Salim Ivomas Pratama (JKSE:SIMP),JKSE:SIMP,Asia / Pacific,19.67924528301887,15.444357,0.27420295212153345,0.09,1
Danone (ENXTPA:BN),ENXTPA:BN,Europe,19.581595252639843,15.325199600000001,0.2777383501510702,0.052000000000000005,0
Kikkoman Corp. (TSE:2801),TSE:2801,Asia / Pacific,28.123630672926446,21.745014299999998,0.29333695921857594,0.141,1
Orion Corporation (KOSE:A001800),KOSE:A001800,Asia / Pacific,42.1611253196931,31.7519406,0.3278283003493996,0.222,1
Kellogg Company (NYSE:K),NYSE:K,United States and Canada,24.232665964172813,18.129609809999998,0.33663472176916187,0.0747,0
Agro Tech Foods Limited (BSE:500215),BSE:500215,Asia / Pacific,26.16580310880829,19.150626,0.3663158117550984,0.12,1
