Company Name,Exchange:Ticker,Geographic Region,Actual PE,Predicted PE,% Under or Over value,Expected growth rate,Emerging Market Dummy
Oceana Group Ltd. (JSE:OCE),JSE:OCE,Africa / Middle East,15.786738351254481,24.586487199999997,-0.3579099680716291,0.16399999999999998,1
Pioneer Food Group Ltd. (JSE:PFG),JSE:PFG,Africa / Middle East,20.721115537848604,32.1225675,-0.3549358861850441,0.225,1
"Guangdong Haid Group Co., Limited (SZSE:002311)",SZSE:002311,Asia / Pacific,26.527397260273972,40.7705285,-0.34934870269650853,0.295,1
Illovo Sugar Limited (JSE:ILV),JSE:ILV,Africa / Middle East,15.515279241306638,23.845233399999998,-0.3493341423403036,0.158,1
Khon Kaen Sugar Industry Public Company Limited (SET:KSL),SET:KSL,Asia / Pacific,10.919811320754716,16.67978,-0.34532641792909047,0.1,1
KTG Agrar AG (DB:7KT),DB:7KT,Europe,10.813953488372093,16.437080299999998,-0.34210009983512135,0.061,0
Zydus Wellness Limited (BSE:531335),BSE:531335,Asia / Pacific,20.860335195530727,31.504856,-0.3378692098916203,0.22,1
Tassal Group Limited (ASX:TGR),ASX:TGR,Asia / Pacific,14.977124183006536,22.486268099999997,-0.33394353761144835,0.147,1
Ingredion Incorporated (NYSE:INGR),NYSE:INGR,United States and Canada,12.515911730545877,18.537299400000002,-0.3248255066460287,0.078,0
"Green Mountain Coffee Roasters, Inc. (NasdaqGS:GMCR)",NasdaqGS:GMCR,United States and Canada,21.00959393128068,30.891529400000003,-0.3198914285130643,0.17800000000000002,0
"Shanghai Bairun Flavor & Fragrance Co., Ltd. (SZSE:002568)",SZSE:002568,Asia / Pacific,40.28938906752411,59.1783312,-0.3191867994492533,0.444,1
Astral Foods Limited (JSE:ARL),JSE:ARL,Africa / Middle East,14.7890625,21.250845099999996,-0.3040717943024297,0.13699999999999998,1
Origin Enterprises Plc (ISE:OIZ),ISE:OIZ,Europe,14.187822497420019,19.896264700000003,-0.2869102461518811,0.08900000000000001,0
China Modern Dairy Holdings Ltd. (SEHK:1117),SEHK:1117,Asia / Pacific,42.45351043643264,58.8077043,-0.27809611101529363,0.441,1
OldTown Berhad (KLSE:OLDTOWN),KLSE:OLDTOWN,Asia / Pacific,22.056338028169016,30.022348400000002,-0.2653360178789673,0.20800000000000002,1
"Tyson Foods, Inc. (NYSE:TSN)",NYSE:TSN,United States and Canada,14.264102564102563,19.4020955,-0.2648163924302629,0.085,0
Naturex Société Anonyme (ENXTPA:NRX),ENXTPA:NRX,Europe,20.51815181518152,27.5558873,-0.25539861620854,0.151,0
"Beijing Shunxin Agriculture Co., Ltd. (SZSE:000860)",SZSE:000860,Asia / Pacific,46.34745762711864,61.772719499999994,-0.24970993664737973,0.465,1
"China Animal Husbandry Industry Co., Ltd. (SHSE:600195)",SHSE:600195,Asia / Pacific,22.04368932038835,29.03401,-0.24076318357717896,0.2,1
Amira Nature Foods Ltd. (NYSE:ANFI),NYSE:ANFI,Africa / Middle East,26.612021857923498,34.9640404,-0.2388745249841464,0.248,1
Uni-President China Holdings Ltd (SEHK:220),SEHK:220,Asia / Pacific,24.58327803583278,32.2461098,-0.23763585163278267,0.226,1
Daesang Corporation (KOSE:A001680),KOSE:A001680,Asia / Pacific,17.428571428571427,22.856894999999998,-0.23749173155096404,0.15,1
Cranswick plc (LSE:CWK),LSE:CWK,Europe,15.334545454545454,20.019807,-0.23403130437044406,0.09,0
He Bei Cheng De LoLo Company Limited (SZSE:000848),SZSE:000848,Asia / Pacific,34.54320987654321,45.094509,-0.23398190505759342,0.33,1
Super Group Ltd. (SGX:S10),SGX:S10,Asia / Pacific,22.568069306930695,29.157552299999995,-0.2259957531849922,0.201,1
"Maeil Dairies Co., Ltd. (KOSE:A005990)",KOSE:A005990,Asia / Pacific,23.5219298245614,30.269432999999996,-0.22291475282799633,0.21,1
ARYZTA AG (SWX:ARYN),SWX:ARYN,Europe,38.48894062863795,49.2993321,-0.21928068821366553,0.327,0
TS Corporation (KOSE:A001790),KOSE:A001790,Asia / Pacific,10.461538461538463,13.2205956,-0.2086938608470511,0.07200000000000001,1
Bongrain SA (ENXTPA:BH),ENXTPA:BH,Europe,15.429850746268656,19.2785532,-0.19963647758231906,0.084,0
"Beijing Dabeinong Technology Group Co.,Ltd. (SZSE:002385)",SZSE:002385,Asia / Pacific,35.18867924528302,43.85908599999999,-0.19768781216090492,0.32,1
Wilmar International Limited (SGX:F34),SGX:F34,Asia / Pacific,12.656170573284383,15.666733139999998,-0.19216275274575945,0.09179999999999999,1
Hefei Fengle Seed Co. Ltd. (SZSE:000713),SZSE:000713,Asia / Pacific,39.57843137254902,48.800777999999994,-0.18897950002868757,0.36,1
"Shandong Homey Aquatic Development Co.,Ltd. (SHSE:600467)",SHSE:600467,Asia / Pacific,24.707903780068726,30.269432999999996,-0.18373417235569856,0.21,1
Tiger Brands Limited (JSE:TBS),JSE:TBS,Africa / Middle East,16.15782404298187,19.6447952,-0.1775010185404291,0.124,1
China Agri-Industries Holdings Limited (SEHK:606),SEHK:606,Asia / Pacific,13.723964165733483,16.67978,-0.17720952160439274,0.1,1
Tate & Lyle plc (LSE:TATE),LSE:TATE,Europe,14.125772705658582,17.128917180000002,-0.1753259965462347,0.0666,0
Gruma S.A.B. de CV (BMV:GRUMA B),BMV:GRUMA B,Latin America and Caribbean,36.241772151898736,43.85908599999999,-0.17367698561026224,0.32,1
Archer Daniels Midland Company (NYSE:ADM),NYSE:ADM,United States and Canada,17.768606224627874,21.25523,-0.16403604079429523,0.1,0
Premier Foods plc (LSE:PFD),LSE:PFD,Europe,9.094193548387096,10.8776768,-0.16395810285638412,0.016,0
"Saputo, Inc. (TSX:SAP)",TSX:SAP,United States and Canada,20.427359490986213,24.343787499999998,-0.16087997847556734,0.125,0
Biostime International Holdings Limited (China) (SEHK:1112),SEHK:1112,Asia / Pacific,36.31971153846154,43.117832199999995,-0.1576637858324068,0.314,1
"Cal-Maine Foods, Inc. (NasdaqGS:CALM)",NasdaqGS:CALM,United States and Canada,25.3574297188755,29.903191,-0.15201592636466454,0.17,0
Del Monte Pacific Ltd. (SGX:D03),SGX:D03,Asia / Pacific,27.685897435897434,32.61673669999999,-0.1511751255024405,0.22899999999999998,1
"Shandong Oriental Ocean Sci-Tech Co., Ltd. (SZSE:002086)",SZSE:002086,Asia / Pacific,22.703703703703706,26.563163999999997,-0.1452936968011902,0.18,1
"Vilmorin & Cie, SA (ENXTPA:RIN)",ENXTPA:RIN,Europe,17.618421052631582,20.464559279999996,-0.13907644862647706,0.09359999999999999,0
"Binggrae Co., Ltd. (KOSE:A005180)",KOSE:A005180,Asia / Pacific,20.974647887323943,24.2158603,-0.1338466762081567,0.161,1
M. Dias Branco S.A. Indústria e Comércio de Alimentos (BOVESPA:MDIA3),BOVESPA:MDIA3,Latin America and Caribbean,22.316835871404397,24.9571141,-0.10579260959485703,0.16699999999999998,1
"Yuan Longping High-tech Agriculture Co.,Ltd. (SZSE:000998)",SZSE:000998,Asia / Pacific,87.55721393034825,96.98227499999999,-0.09718333653909161,0.75,1
