Company,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
Diageo PLC,B,0.30268100000000003,0.22038270078587588,2440.8,8.09
Diageo PLC,B,0.30268100000000003,0.22038270078587588,2440.8,8.09
Dick's,B,0.2601,0.5265,0,32.24
DirecTV,B,-0.2969,0.1081,0,21
DirecTV,B,-0.361,0.12702306189848706,935.3,14.38
DoubleClick,B,-0.0325,0.1668,0,2.11
EA Sports,B,0.0668,0.0053,0,34.59
EchoStar,B,NA,0.2878,91.13,17.02
EchoStar,B,N/A*,0.3810660746372594,91.13,40.966869455043025
Electronic Arts,B,0.0984,0.0063,2,23.81
Electronic Arts,R ,0.127,0.0067,0.002,24.03
Electronic Arts,B,0.0679,0.0079,0,60.38
Electronic Arts,R,0.2404,0.0161,0,61.63
Electronic Arts,B,0.12480000000000001,0.0384,0,63.33
Electronice Arts,B,0.0956,0.0061,2.11,56.26
Eli Lilly & Co,B,0.0566,0.0697,1738.88,39.55
Exxon Mobile,B,0.12945574117198957,0.03782354641086852,11784.690554136516,61.328706450925274
Gap,R,0.0655,0.2546,351.49,23.81
Gap,B,0.1465,0.2808,482.62,22.92
Gap,B,0.1511,0.2493,925,26.07
Gap Inc.,B,0.1516,0.2684,351.4,28.92
Gap Inc.,B,0.14944737819660248,0.25792476883354576,399.965,15.309170257942267
Genentech,B,0.0213,0.0107,334.69,50.13
Great Atlantic and Pacific,B,,0.8302,5.37,0
Grupo Modelo,B,0.0912,0,410,2.4
Guess,B,0.0632,0.3462,0.79,13.2
Halliburton,B,-0.3983,0.185,383,21.41
Harrah's,B,0.1029,0.3826,195.26,101.43
Harrah's,B,0.6154000000000001,0.418,141319000,66.64
Harrah's,B,0.1962,0.4234,150,65.87
Hasbro,B,0.031629721499530306,0.17000022551248317,37,18.063087303711256
Heineken,B,0.0567,0.2511,200,29.16
Hershey Food Corp.,B,0.36516421455685877,0.06631329255057032,205.747,64.61071773267292
Hilton,B,-0.0004,0.27,39.4,7.19
Hollywood Entertainment,B,0.0737,0.6714895300624045,0,14.916278174107413
HP,B,-0.0554,0.1397,972,19.26
Hyperion,B,-0.030200000000000005,0.0722,131,21.27
i2 Technologies,B,-0.403,0.6498,0,6.11
IBM,B,0.1595,0.1247,1174,84.87
IHOP,B,0.0583,0.5926,12.6,57.19
Imperial Sugar,B,0.0533,0.2039,0,47.84
Inditex,B,0.1939,0.0194,64.76031990083175,33.875204
Intel,B,0.0218,0.1526,1022,23.52
Interpublic,B,-0.228,0.284,91.9,20.68
Int'l Game Technology,B,0.1689,0.1503,41.48,27.76
Intrawest,B,0.0697,0.4935,4.96,103.25
"IONA Techonolgies, PLC.",B,-0.1575,0,0,3.97
Isle  of Capri,B,0.03564751780984651,0.6365914786967418,0,27.13
Isle of Capri Casinos,B,0.0404,0.5933,8,22.88
JetBlue,B,0.0356,0.46993760519061517,0,0
JetBlue,B,-0.0322,0.364,0,13.13
K2,B,-0.0447,0.3849,0,14.81
K2,B,-0.0045,0.4171,3,13.68
Kellogg,B,0.09780000000000001,0.2452,418,72.72
Kenneth Cole,B,0.0839,0.207,10.431,36.78
Kerr McGee ,B,0.0801,0.35259796578096664,497.4,30.54
Konami,B,0.1089,0.2779,404.17,19.53
Konami,B,0.1134,0.2455,131,40.9
Kraft,B,0.0657,0.2009,1190,40.87
Kraft,B,0.03140000000000001,0.1819,1320,29.6
Krispy Kreme,B,0.3467,0.35,0,6.93
Kroger,B,,0.5642,481,20.5
K-Swiss,B,0.1411,0.0098,21.1,37
Lamar,B,-0.1003,0.3265,0,30.84
Leapfrog,B,-0.1425,0,0,6.11
LeapFrog Enterprises,B,-0.123938860552272,0,0,11.607066070984551
Lexar Media,B,-0.8123,0.1457,0,5.6
LifeTime Fitness,B,0.092,0.1812,0,24.76
Limited Brands,B,0.097,0.149,3839,24.36
Limited Brands,B,0.0308,0.3088,1449,42.3
Limited Brands,B,0.135,0.4115,928.6,33.71
Lions Gate Entertainment,B,-0.9948,0.28,0,3.65
Lions Gate Entertainment,B,-1.6664,0.3026,0,9.87
Liz Caliborne,B,0.121,0.2669,97295,32.11
Lone Star Steakhouse Saloon Inc (STAR),B,0.004121197703409518,0.1735842683207636,14832,30.15
Lucent,B,NA,0.3292,$134.25 MM,1.81
LVMH,B,0.053,0.21441956782853805,1800,42.71
LVMH,B,0.0621,0.208,520,55.78
Marvel,B,0.1264,0.0047,6.043,21.81
McCormick,B,0.1988,0.1008,76.7,35.6
McCormick,B,0.215,0.1331,139,31.94
McDonald's,B,0.1097,0.2311,1367.6,28.67
McDonald's,B,0.0969,0.28,1347.5,32.3
McDonald's,B,0.125,0.31,1256,26
MCI,B,-0.2156114664271278,0.5414112210719472,137.66666666666666,31.25
Merck,B,0.1998,0.0806,3139.14,36.64
Mercury,B,0.0473,0.073,0,21.05
MGM Mirage,B,0.0729,0.3633,0,70.53
MGM Mirage,B,0.15242069849481127,0.13,261.27,70
Microsoft,B,0.0471,0.3,1729,22.26
Mikohn Gaming,B,-0.089,0.2365,0.06,0
Mitchells & Butlers,B,-0.0318,0.4684,39.5,3.17
Monarch ,B,0.2667676232960846,0.09609706984653772,0,32.07
Motorola,B,0.0514,0.1497,1411,22.57
Movado,B,0.0053,0.2229,4,17.75
Namco*,B,0.0303,0.3967,1309,1406
NDTV,B,0.0452,0.077,0,4.54664481624686
Neiman Marcus,B,0.074,0.1762,78.7,88.54
Netflix,B,0.0891,0.0407,0,10.49
Netflix,B,-0.01805577225616549,0.0413,2,12.71
Netflix,B,0.086,0.0433,0,6.8
"Netflix, Inc.",B,0.0274,0.0739,0,12.21
News Corp,B,-0.05281694818459375,0.215,507.4,17.46
Nextel Partners,B,0.946,0.211,0,21.98
Nike,B,0.1111,0.077,474.7,71.37
Nike,B,0.154,0.0724,352.8,79.19
Nike,B,0.13312688108298187,0.10124663728237145,352.74,77.82
Nintendo,B,-0.0686,0,303.72,209.39
Nordstrom,B,0.1427,0.1949,365,55.73
Nortel,B,-0.1109,0.2623,0,1.1
Novell,B,-0.0881,0.1028,103,7.75
Odyssey Healthcare Inc.,B,0.16,0.0654,6.76,16.57
Olog,B,0.03720000000000001,0.255,0,42.66
"Omnivision Technology, Inc.",B,0.12009999999999998,0.0043,0,23.21
Outback Steakhouse,B,0.0629,0.142,33.3,40.53
Outback Steakhouse,B,0.0786,0.1451,96.96,56.2
P.F. Chang's,B,0.0182,0.121,0,44.21
"P.F. Chang's China Bistro, Inc (PFCB)",B,0.03264287813393864,0.1146837463498396,0,27.73
palmOne,B,-0.1195,0.04607969856625551,0,30.17
Panera Bread,B,0.1238,0.0993,0,51.06
Panera Bread Co (PNRA),B,0.08567212022857992,0.09515541477345853,0,39.32
PepsiCo,B,0.2754,0.0423,2770,58.19
Pernod Ricard,B,0.09228667758730379,0.21165788214550615,125.19,120.6
Pernod Ricard,B,0.09228667758730379,0.21165788214550615,125.19,101.4
Pernod-Ricard,B,0.116,0.177,187,162.2
Pernod-Ricard *,B,0.118,0.2309,88.99,99.26
PetCo,B,NA,0.418,0,33.22
Petrobras,B,0.4777,0.311,941,77.86
Pixar,B,0.0529,0,0,44.14
Pixar,B,0.0336,0,0,26.12
Pixar,R,0.0245,0.0001,53,15.25
Playboy,B,-0.018395599088390238,0.32623466006145085,0,13.405741893174428
Pogo Producing,B,0.105,0.195,13.6,54.27
Polo Ralph Lauren,B,0.0572,0.2151,15548,44.02
Polo Ralph Lauren,B,0.0323,0.24,15.555,53.19
Qantas,B,-0.0116,0.5309,268.52,2.85
Quest Diagnostics,B,0.1254,0.1282,120.3896,122.41
Quicksilver,B,0.0668,0.1835,0,30.16
Quiksilver,B,0.0951,0.1881,0.7,26.98
Qwest,B,-0.1775810077565279,0.6844787625779037,327.4,15.65
Ralph Lauren,B,0.0417,0.1937,15.6,30.81
RealNetworks,R,-0.1983,0.0784,0,6.81
Red Hook Brewery,B,-0.08,0.1358682259708632,0.27,2.92
Reebok,B,0.098,0.1761,57,50.76
Reebok,B,0.071,0.2219,39.4,58.32
Rite Aid,B,-0.0933,0.778,90.59,3.04
Royal Ahold,B,-0.1857,0.6424,232.19,4.06
Royal Caribbean,B,-0.005,0.36,99.4,35.25
Rubio's Restaurants,B,-0.0072,0.3408,0,5.05
Ryanair,B,0.0794,0.2057,0,7.29
Ryanair,B,0.05238676170402207,0.23865844309257436,0,6.760994840882638
SABMiller,B,0.0735,0.2139,358,17.64
Safeway,B,0.0641,0.5171,454.18,37.22
Saks Inc,B,-0.059,0.4761,481.7,5.57
Samsung,B,0.2116,0.0023,2327,618.6
Schering Plough,B,-0.0985,0.1235,324,36.71
Schlumberger,B,0.0847,0.12446425932311937,158.32296,105.54
Scientific Atlanta,B,-0.0186,0.0056,6.08,28.81
Seacor,B,-0.0678,0.268,0,41.77
Shinsegae,B,0.0844,0.2592,12635,402458
Shufflemaster,B,0.617,0.1645,0,25.26
Sirius,B,-0.7134238022355976,0.05515624732888827,0,12.483052586595484
Sirius,R,-0.6821,0.105,0,4
Sirius Satellite Radio,B,-0.77171867758542,0.0774,0,2.29
Six Flags,B,-0.2240475355284182,0.8438930891729454,12.55,5.150242499122716
Six Flags,B,NA,0.817,0,3.67
SK Telecom,B,0.1286,0.316,276,315.54
Skechers,B,-0.0212,0.316,0,17.83
Smith & Wollensky,B,-0.0854,0.4024,0,2.73
Starbucks,B,0.0535,0.0001,38.12,17.79
Starbucks,B,0.1505,0.0934,89,21.87
Starbucks,B,0.1106,0.1042,0,55.27
Starbucks,B,0.1121,0.11,76,24.24
Starbucks,B,0.0905,0.115,0,38.5
Starbucks Corp (SBUX),B,0.07624785714481139,0.08637462987343358,0,39.72
Starbucsk Corp.,B,0.09469999999999999,0.10948143440923586,0,48.05477680954309
Starwood,B,-0.0013,0.27,241,21.1
Starwood Hotels,B,-0.0422,0.2809,235,53.45
Station Casinos,B,0.1396,0.2323,44.35,65.47
Steak 'n Shake,B,0.0648,0.2361,3.6242,26.36
Steve Madden,B,-0.0208,0.1846,1.8,16.49
Sunrise Senior Living Inc.,B,-0.0328,0.3685,38.79,46.59
SWRG,B,-0.0853,0.489,0,8.81
Symantec,B,0.0703,0.0476,105.5,14.27
Sysco,B,0.2613,0.066,892.4,40.5
Take 2 Interactive,B,-0.0157,0.0307,0,12.82
Take Two,B,-0.0045,0.0295,0,15.3
Target,B,0.197,0.2046,615.4,47.971124919536244
Target,B,0.1626524522219664,0.22584934403183107,615.4,45.042729952393586
Target,B,0.0933,0.2263,186,50.62
Target Corp,B,0.0893,0.2196,391.4,61.7
Target Corp,B,0.0702,0.223,1562,61.22
Tenet Healthcare,B,-0.7101,0.4372,92,15.94
Tesco,B,0.0891,0.174,218.20132758481205,7.268880825407113
Tesoro,B,0.241,0.42,0,18.49
Teva,B,0.0604,0.0705048405445344,103.16,33.367180068553516
Texas Instruments,B,0.5488,0.036,754.56,21.51
Texas Roadhouse,B,0.498,0.1024,0,28.29
The Cheesecake Factory,B,0.062,0.1134,1.73,29.34
The GAP,B,0.1392,0.25,272.82399999999996,23.66
Tiffany,B,0.0637,0.1424,44.822,21.06
