Industry,Number of firms,Interest Coverage Ratio,Fixed Charge Coverage ratio
RETAIL STORES,19,2.603638173066801,0.726811851619934
ROLLING & DRAW NONFER METAL,17,3.8597414279479234,4.89935998503514
"RR SWITCHING, TERMINAL ESTAB",1,1.26146856762946,1.3672093288475795
RUBBER AND PLASTICS FOOTWEAR,4,5.619137236451319,2.502518440463646
SANITARY SERVICES,2,Negative EBIT,0.4478178368121442
"SAUSAGE,OTH PREPARED MEAT PD",2,14.327536231884057,12.855263157894738
"SAVINGS INSTN, NOT FED CHART",71,NMF,NMF
"SAVINGS INSTN,FED CHARTERED",195,NMF,NMF
"SAWMILLS, PLANING MILLS, GEN",5,Negative EBIT,1.0060648081735444
SCRAP & WASTE MATERIALS-WHSL,5,2.0952083954768552,2.252057758336861
SCREW MACHINE PRODUCTS,1,3.3782383419689124,2.0265654648956355
"SEC SMELT,REFIN NONFER METAL",2,2.170355507410507,3.0477363115057337
SECURITY & COMMODITY BROKERS,7,21.378581089388913,5.059446481017001
SECURITY BROKERS & DEALERS,51,1.2372191833839545,1.2508850568368295
"SEMICONDUCTOR,RELATED DEVICE",134,Negative EBIT,6.105693631585678
SERVICE INDS FOR PRINT TRADE,1,4.3663833805476875,4.192446043165468
"SERVICES, NEC",1,Negative EBIT,8.432692307692307
SHEET METAL WORK,3,0.09105647122399353,0.6160798738833421
SHIP & BOAT BLDG & REPAIRING,6,13.974071472395366,7.156751856811916
SHOE STORES,7,7.15136744025537,0.7721056628451897
"SHORT-TERM BUS CREDIT, EX AG",12,1.713889498803925,1.733648790746583
SILVER ORES,3,Negative EBIT,EBITDA Negative
SKILLED NURSING CARE FAC,13,1.5597220401206242,0.9728199965811318
"SOAP,DETERGENT,TOILET PREPS",6,7.920370557386136,10.441323670082522
SOCIAL SERVICES,12,0.4945033639684624,0.5678451925498614
"SPEC OUTPATIENT FACILITY,NEC",13,3.334173634397978,2.3403227321155047
"SPECIAL CLEAN,POLISH PREPS",9,7.618920679610924,5.272055874367519
SPECIAL INDUSTRY MACHINERY,5,2.9286773794808405,2.6628558331423333
"SPECIAL INDUSTRY MACHY, NEC",45,4.059132856053395,3.550751170306092
"SPORTING & ATHLETIC GDS,NEC",20,4.419241373624864,4.219717932696599
"SRCH,DET,NAV,GUID,AERO SYS",23,1.9575085236440506,2.197067166242586
STATE COMMERCIAL BANKS,260,NMF,NMF
STEEL PIPE AND TUBES,5,4.490969185056589,3.6592430659926216
STEEL WORKS & BLAST FURNACES,29,Negative EBIT,1.4552466074597872
"SUBDIVID,DEVELOP,EX CEMETERY",14,2.030711787212654,1.5062249442029216
SUGAR & CONFECTIONERY PRODS,11,6.068988900389021,5.864139097685611
SURETY INSURANCE,17,8.04044784487023,6.700645927113523
"SURGICAL,MED INSTR,APPARATUS",59,8.399660114401659,6.626622789914688
SVC TO MOTION PICTURE PRODTN,7,2.196796873695285,2.2998722129385465
"SVCS TO DWELLINGS, OTH BLDGS",5,17.125472162916733,1.133589272798086
SWITCHGEAR & SWITCHBOARD APP,4,8.57301472363022,8.155364190886257
TELE & TELEGRAPH APPARATUS,64,Negative EBIT,EBITDA Negative
TELEGRAPH & OTH MESSAGE COMM,5,Negative EBIT,EBITDA Negative
TELEPHONE INTERCONNECT SYS,1,Negative EBIT,0.4931972789115646
TELEVISION BROADCAST STATION,27,1.417442442525233,2.3235835861304546
TESTING LABORATORIES,7,0.683967008650171,3.9199808857707596
TEXTILE MILL PRODUCTS,7,0.11548093050051338,1.0249277969793096
TIRES AND INNER TUBES,4,1.2158047269936216,1.8245507683449735
TITLE INSURANCE,6,13.18046321644288,3.202488796363644
TOBACCO PRODUCTS,2,9.805293130433142,8.825571197784445
TOTALIZING FLUID METERS,5,3.2855082912761358,3.1232909570640435
TRANSIT & PASSENGER TRANS,1,Negative EBIT,EBITDA Negative
TRANSPORTATION SERVICES,9,Negative EBIT,1.3171885443981695
TRUCK AND BUS BODIES,4,0.813293270476092,1.2177313600599478
TRUCK TRAILERS,2,Negative EBIT,EBITDA Negative
"TRUCKING, EXCEPT LOCAL",29,2.445884434964722,2.596606969295108
"TRUCKING,COURIER SVC,EX AIR",9,13.301787577104497,7.583284563461068
UNIT TRUST & C E INVESTMENTS,502,Negative EBIT,EBITDA Negative
UNSUPP PLASTICS FILM & SHEET,5,1.1220092828267705,1.5629655419805448
VARIETY STORES,17,5.287084589281696,3.3376854644391774
VIDEO TAPE RENTAL,3,2.29930463624329,1.150472126530985
"WATCHES, CLOCKS AND PARTS",3,18.07294199374783,3.8177407743591356
WATER SUPPLY,14,2.628673449553607,2.8667518387836455
WATER TRANSPORTATION,14,3.170231653292401,3.240252854067887
"WATER,SEWER,PIPE LINE CONSTR",10,1.7827246729735577,2.2148260356386817
"WINE,BRANDY & BRANDY SPIRITS",6,2.9585127277930257,2.911923456973767
"WMNS,MISS,CHLD,INFNT UNDGRMT",2,0.2872350104631061,0.8604432505036936
WOMEN'S CLOTHING STORES,17,16.601017441860467,1.2618326295338071
"WOMENS,MISSES,JRS OUTERWEAR",15,5.092214700193423,2.638885798221727
"WOOD HSHLD FURN, EX UPHOLSRD",7,6.537629280048198,5.204350323255233
X-RAY & RELATED APPARATUS,8,Negative EBIT,EBITDA Negative
MARKET,8052,2.483199618283979,2.930631325852985
