Industry,Number of firms,Interest Coverage Ratio,Fixed Charge Coverage ratio
"CONSTR,MNG (EX PETE) EQ-WHSL",2,Negative EBIT,0.6581668625146887
CONSTRUCTION MACHINERY & EQ,6,2.276917651027637,2.784796849653644
CONSTRUCTION-SPECIAL TRADE,10,2.947842752515458,2.0464523848581053
CONVENIENCE STORES,3,1.9934926804741737,1.3693729961740864
"CONVRT PAPR,PAPRBRD,EX BOXES",19,7.133043507889406,7.197202291623305
COOKIES AND CRACKERS,3,8.449796376913355,5.537583037583037
"COSTUME JEWLRY,BUTTON,NOTION",3,7.416347075743048,7.531494876431586
CREDIT REPORTING AGENCIES,9,9.44836568142416,6.518600055637092
CRUDE PETROLEUM & NATURAL GS,173,5.5620817616149925,7.162146700615047
CUT STONE AND STONE PRODUCTS,1,Negative EBIT,EBITDA Negative
"CUTLERY,HAND TOOLS,GEN HRDWR",14,7.159043723881061,5.735376665929199
DAIRY PRODUCTS,8,2.5717993244661566,2.2799774003206923
DEEP SEA FRN TRANS-FREIGHT,9,3.852166033962913,1.825790510162375
DENTAL EQUIPMENT & SUPPLIES,10,3.363183157894737,3.1033439758023866
DEPARTMENT STORES,12,2.8507244310522717,2.3637539931979368
"DETECT,GUARD,ARMOR CAR SVCS",3,1.4432653061224492,1.3528765481422294
DIRECT MAIL ADVERTISING SVCS,5,10.764175004904848,4.095100473534959
DISTILLED AND BLENDED LIQUOR,1,4.637968724517319,4.265756607609643
DOLLS AND STUFFED TOYS,7,3.9308390410122978,3.98136614981188
"DRAWNG,INSULATNG NONFER WIRE",12,0.35985178503705373,2.833914078268343
DRILLING OIL AND GAS WELLS,20,4.31637601433286,4.766538207897123
DRUG & PROPRIETARY STORES,13,4.348984782441146,1.3233930918327639
DRUGS AND PROPRIETARY-WHSL,21,13.446376585330015,6.866101016753166
DURABLE GOODS-WHOLESALE,1,31.478119529882473,14.96299539469417
"DURABLE GOODS-WHOLESALE, NEC",2,10.010630073444144,13.794742945496713
EATING AND DRINKING PLACES,5,2.0608704578115375,1.7715280384996077
EATING PLACES,86,4.82893872656829,2.320194943710406
EDUCATIONAL SERVICES,28,14.769949292767551,2.0904776804338754
ELEC APPARATUS & EQUIP-WHSL,5,3.0562463948918133,1.7373537799690641
"ELEC APPLIANCE,TV,RADIO-WHSL",1,5.259576385759351,5.053069306930693
ELEC MEAS & TEST INSTRUMENTS,34,Negative EBIT,1.6904161288787225
"ELECTR COIL,TRANSFRM,INDUCTR",1,NMF,NMF
"ELECTR, OTH ELEC EQ, EX CMP",3,2.8551277691716725,5.1994784136062275
ELECTRIC & OTHER SERV COMB,27,1.8945649634272037,2.6880978799822928
ELECTRIC HOUSEWARES AND FANS,5,2.8272517749694503,3.2778294021054237
"ELECTRIC LIGHTING,WIRING EQ",20,3.1556069421040336,3.2797997716882747
ELECTRIC SERVICES,48,2.4298938778738,3.3807717980589014
ELECTRICAL INDL APPARATUS,16,1.8398175169192192,2.4913729102507705
ELECTRICAL WORK,6,3.010007420200017,2.3373899221560714
ELECTROMEDICAL APPARATUS,89,2.2023002853067046,3.037582442858786
"ELECTRONIC COMP, ACCESSORIES",11,6.333829594608189,7.706828263624842
"ELECTRONIC COMPONENTS, NEC",30,Negative EBIT,1.2349218132387252
ELECTRONIC COMPUTERS,24,17.501330555857592,6.566967139249526
ELECTRONIC CONNECTORS,6,4.371719872973425,5.390137583435499
"ELECTRONIC PARTS,EQ-WHSL,NEC",22,2.2243151945428226,2.162523245645278
EMPLOYMENT AGENCIES,7,Negative EBIT,0.3465718464141313
ENGINEERING SERVICES,22,2.094075082108789,1.3783829547057993
ENGINES AND TURBINES,7,1.07652823526527,2.2382544002542812
"ENGR,ACC,RESH,MGMT,REL SVCS",13,9.068974338476298,4.1001418301502754
"EQUIP RENTAL & LEASING, NEC",23,1.267563704437093,2.3570926074613747
FABRICATED PLATE WORK,8,2.854206212569343,3.009359629435079
"FABRICATED RUBBER PDS, NEC",9,2.3537371228172717,3.135186401882034
FABRICATED STRUCTURAL METAL,5,3.2397885573647267,3.421046515850249
