Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
B,0.4013,0.539,0,63.13
B,0.1318,0.1621,20026.38,169.19
B,,0.1528,25458,88.28
B,0.1125,0.3864,282.53,22.8
B,0.1125,0.3864,1695.2,22.8
B,0.1032,0.0496,168.03,185.58
B,-0.1742,0.893,-408.3,5.36
B,,0.4072,4773,50.08380695724549
B,0.0998,0.067,0,90.4
B,0.2295,0.3114,1563,113.28
B,0.1101,0.2125,30195,48.47
B,-0.8937,0.1222,0,52.67
R,0.0961,0.3529,0,63.26
B,0.1562,0.4745,64.103,10.9
R,0.0812,0.43,171.94,30.56
B,0.0923,0.3,858.8,15.58
B,0.0921,0.425,664,37.03
B,0.0884,0.3586,590.2,22.93
B,0.1796,0.2601,316.4,47.84
B,0.13,0.4229,832.26,100.35
B,1.4415,0.4313,295.36,33.53
B,-8.2%%,0.5576,0,25.77
B,-0.0873,0.5441,5.4,86.66
B,-0.025,0.0866,0,43.95
