Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
B,0,0.3593,6940.2,20.79
B,0.344,0.2564,6699,70.9
B,0.022,0.19,186.4,49.56
B,0.01629999999999998,0.301,1510,23.3
R,0.0139,0.1617,1042.7,24.4
B,-0.0055,0.1164,0,48.43
R,0.0001,0.0444,0,249.75
R,0.1313,0,0,88.2
B,0.3606,0.1006,4767,61.54
B,-0.0218,0.483,0,31.71
B,0.0381,0.045,192,934.15
B,0.1473,0.0379,0,506.1
B,0.0556,0.0334,0,919.41
B,0.043,0.0422,0,769.38
B,0.0472,0.514,0,934.15
B,0.0156,0.0069,4.04,63.73
B,NM,0.4403,0,104.44
B,0.1068,0.3656,448.1,11.83
B,0.102,0.3783,189.31,16.67
B,0.1735,0.2288,4037,188.58
R,0.1844,0.2114,13261,56.3
B,0.3173,0.1086,438984,142.67
B,0.12,0.1518,36144,128.98
B,0.25278,0.0979,55086,119.51
B,0.275,0.1026,18072.4,113.75
B,30.75,0.101,41872,141.78
B,-0.0325,0.08,0,54.6
R,0.2103,0.0983,1654,288.15
B,5.9,0.0974,2902,152.7
B,-0.1397,37.93%,2831.34,18.76
B,0.062,0.48,62.94,45.24
B,0.1687,0.0797,2414,43.86
B,0.204,0.1191,£120.47,82.36
B,0.0581,0.29,1110,83.21
B,0.4474,0.1762,344.6,62.35
B,0.17619999999999997,0.2555,291.2,52.11
B,26.03%%,0.2576,288,58.57
B,26.03%%,0.2576,288,58.57
B,-0.0213,0,0,456.7
B,-0.0548,0.1772,119.37,261.79
B,0.1497,0.1918,374.5,14.27
B,0.37,0.04,91.1,34.58
B,0,0.1085,2601,45.76
B,0.0255,0.0015,564.7,11.21
B,0.0251,0.4383,4543.2,51.29
B,0.0429,0.426,678.8,48.97
B,0.142,0.0852,251510,182.8
B,0.1584,0.0808,8201,118.92
B,0.1439,0.0939,1246.6,126.11
B,0.02210000000000001,0.9374,15113,40.48
B,0.2012,0.3752,4304,77.76
B,0.0679,0.38,21764,92.71
B,0.0766,0.3002,486.52,86.94
B,0.4745,0.3425,0,19.88
B,0.1352,0.0936,9284,112.3
B,0,0.3716,76.35,33.97
B,0.2684,0.0388,0,137.45
B,0.6804,0.1958,2546,25.86
R,0.6804,0.0922,5092,25.86
B,1.0985,0.181,0,24.04
B,0.3079,0.1927,1882.55,28.4
B,0.27,0.1,0,40.31
B,0.3066,0.1022,435,58.02
R,0.25,0.03615951154666951,223.3,53.45608658297065
B,0.1424,0.0351,223.3,39.35
B,0.2673,0.0412,0,95.74
B,0.2578,0.039,0,86.56
B,0.1457,0.0411,0,59.27
B,0.2259,0.0398,0,42.93
R,0.2532,0.1168,0,48.28
B,0.1781,0.1036,2146,50.68
B,-0.06620000000000001,0.1896,8520,79.2671713185905
B,-0.0294,0.161,150,127
B,0.0438,0.1674,150.159,23.36
B,0.0479,0.0943,24233,58.23
B,0.0913,0.004,0,127.49
B,0.0877,0,0,73.29
B,0.0877,0,0,69.15
B,0.2912,0,0,186.95
B,0.2173,0.0041,0,174.9
R ,0.053700000000000025,0.1241,27320,32789
B,0.0211,0.57,2977,62.84
B,0.031,0.323,2061,195.57
B,1.145,0.126,86.9,73.87
B,0.0225,0.129,0,70.54
B,0.0225,0.1682,0,59.03
B,-0.0335,0.1147,0,41.14
B,-0.7410000000000001,0.1503,0,30.87
B,-0.002999999999999989,0.1299,0,20.38
B,0.1835,0.2621,430.8,76.23
B,-0.0666,0.0287,50,23.72
B,0.1008,0.5982,7.2,29.4
B,0.3463,0.4577,2657.6,51.03
R,0.0709,0.4588,265.76,50.26
B,0.1777,0.3734,1688,29.88
B,0.0793,0.0069,468.86760000000004,52.99
R,0.65487,0.23,15329,152
A,0.5906,0.2428,2455,126.08
B,0.4709,0.242,866,78.3
B,-0.5945,0.8106,388.22,6.2
B,NA,0.7422,1936.5,7.78
B,0.00449999999999999,0.0099,0,26.92
B,0.0222,0.0094,15.2,19.37
B,0.0058,0.0118,0,24.83
B,0.25320000000000004,0.4058,1971.5,71.29
B,0.052500000000000005,0.386,138.33,51.57
B,1.3997716983739275,0.1421801331324221,46361,114.61445512931651
B,1.7937,0.1534,12951,149.01
B,1.3929,0.0157,2090.7,284.65
B,0.6936,0.2343,13015.625,146.32
B,0.00987,0.4171,0,8.45
B,0.00987,0.4171,0,8.45
B,0.0593,0.127,9577.4,42.98
B,0.0531,0.1477,9577,36.27
B,0.0531,0.1477,9577,36.27
B,0.054,0.1321,4448.5,44.95
B,0.056,0.1315,92164,33.16
B,0.47,0.1953,1643,56.14
B,-0.0134,0.1729,129.6,18.69
B,0.2186,0.039,318,130.74
B,0.383,0.03,240.4,56.79
B,0.0267,0.009,0,57.14
B,-0.1045,0.7849,1008,8.73
B,0.2605,0.0755,7436,91.11
B,0.7072,0.272,0,13.69
B,-0.2313,0.6221,112.9,12.13
B,0.2226,0.266,1165,11.32
B,0.2076,0.4268,429,65.48
R,,0.4172,3087.4,64.5
B,0.0436,0.4126,5933,61.73
B,0.2261,0.175,2247.42,57.13
B,0.18895,0.174,10470,27.67
B,0.239,0.1616,2663,23.68
B,0.0156,0.6,47.4,38.12
B,-0.062,0.31,40.3,36.84
B,0.3138,0.2305,3473.5,84.4
B,0.2025,0.0618,90.18,73.85
B,0.1277,0.0623,0,50.08
B,0.2447,0,112.73,48.56
B,0.1647,0.0974,29.33,47.8
B,0.188,0.0603,0,52.3
B,0.2235,0.0612,0,71.85
B,0.1948,0,0,63.16
B,0.2025,0.0618,90.18,73.85
B,0.24730000000000002,0.06690883636281202,112.17,64.553396338297
B,0.0602,0.1619,427,47.96
B,0.0528,0.519,1825,13.76
B,0.0528,0.519,9123,13.76
B,0.5589,0.0372,3414.4,93.97
B,-0.3665027760758864,0.2318,204.5,12.16
B,0.0596,0.3117,2853.6,15.24
B,0.0483,0.3144,151,4.7
R,0.2876,0.426,495.4,1.57
B,0.4336,0.24,0,152.65
B,0.3188,0.17,1452.5,36.45
R,0.1455,0.0966,26212,71.2
B,0.1932,0.0819,91724,62.47
B,0.1626,0.0908,107281,58.92
B,-0.1344,0.7667,41,28.42
B,0.04822975221823403,0.04776010572847832,0,21.1
B,-0.1046,0.6389,0,28.65
B,0.02500000000000001,0.2076,0,149.1
B,0.0673,0.1982,0,164.96
B,6.73% (Adj ROE),0.1982,0,164.96
B,0.018,0.209,0,150.46
B,0.0572,0.2123,0,123.18
B,-0.0208,0.1597,51.71,55.13
B,0.0753,0.2021,0,15.43
B,-0.0216,0.2214,0,156.6
B,-0.0518,0.1392,0,24.66
B,0.2594,0.0513,10268,59.15
B,0.232,0.0417,3186,32.78
B,0.264,0.1459,1104,38.89
B,0.2439,0.0574,22939,39.43
B,0.2199,0.1276,1994.86,36.13
B,0.0968,0.048,4042,77.73
B,0.0528,0.0144,216346,6524
B,0.0851,0.4108,912,49.47
B,0.4728,0.3821,3771,39.42
B,0.2761826756959572,0.32,3771,26.238720407127495
R,0.3278,0.38,4520,60.7
B,0.31420000000000003,0.1168,2146,60.48
B,0.3223,0.3508,2472,293.12
B,-0.0062,0.1959813853,482.27,23.78
B,0.2239,0.0989,803,110.28
B,0.1028,0.0957,843.33,84.01
B,0.1922,0.4785,55.78920000000001,6.1
B,0.0885,0.0222,381.4,72.37
R,0.3723,0.21,505.4,82.12
B,0.0911,0.2225,47262.4,33.35
R,0.0767,0.0873,10990,37.65
B,0.1674,0.1802,0,171.28
B,0.0274,0.0706,25,62.9
B,-0.0024,0,0,52.96
B,0,0.1987,7600.8,56.19
B,N/A,0.2003,3747.2,91
B,0.0585,0.1694,74658,27.91
R ,0.038,0.1734,7317,54.31
R,0.116,0.1737,7317,36.59
B,0.3493,0.1891,6796,33.47
B,0.3563,0.173,6836,17.95
B,-0.4299,0.3095,195.5,9.19
B,0.1721,0.421,0,1970
B,0.1358,0.1354,11783,64.29
B,0.0298,0.3936,2619,32.56
B,-0.6394,0.2571,1281,47.96
B,-0.0158,0.3798,0,13.16
B,-0.041,0.302,647,82.91
B,0.02,0.292,643,70.21
B,0.0452,0.475,0.88,15.89
B,0.0452,0.475,0.88,15.89
B,19%%,0.5965,138.9,10.93
R,0.1935,0.5961,680.7,-3.14
B,0.447,0.441,32.8,54.9
B,-0.0076,0.142,2725,19.3
B,0.3567,0.1462,214.64,47.19
B,0.3033,0.1647,5153.599999999999,19.93
B,0.038300000000000015,0.0628,0,94.11
B,0.4624,0.2742,129.725,39.02
B,0.1556,0.135,0,34.89
B,0.0645,0.135,0,16.38
B,0.0763,0.1359,0,10.07
B,,0.2277,7999.1,2.88
B,,0.196,48.1,2.06
R,,0.4552,930.1,10.93
B,0.1443,0.1369,13359,216.33533020320954
B,-0.0151,0.2081,12751,3466.68
B,0.3513,0.148,4426,63.03
B,-0.03,0.53,21.22,8.61
B,0.071,0.6013,318.44,1.73
B,0.2522,0.1187,-3897,122.62
B,0.28149913985501923,0.0003837600144078034,55.64,77.57
B,-0.0534,0.04,0,52.24
R,-0.0985,0.0939,0,30.59
B,-0.111,0.2285,0,32.48
B,0.1303,0.3506,2911,69.85
B,0.132,0.3632,26719,65.75
B,0.6679,0.4176,0,41.15
B,-0.2037,0.497,0,373.59
B,-0.0945,0.5509,8241,16.16
B,0.4902,0.0454,3393.3,51.9
B,0.13,0.01,71.17999999999999,119.7
B,0.1579,0.52,367,22.05
B,1.4225,0.144,8928,154.59
B,-0.0098,0.2243,9779,40.74
B,0.0642,0.1912,285.5,86.13
B,0.0574,0.25611,24040,145.6
B,0.5084,0.1792,680.18,60.68
B,0.01367138025886902,0.38834503218481714,556.4,26.021862648558077
B,-0.4303,0.8958,2.6,1.27
B,0.0834,0.0629,0,31.85
B,-0.024,0.0618,0,24.88
B,-0.0258,0.0713,0,16.56
B,-0.158,0.83,16.14,1.55
B,0.1389,0.2078,841,65.95
B,0.19853863948674721,0.00010251389408817346,0,236.11256038647343
B,0.2154,0.0882,130.67,188.27
B,0.0407,0.1932,-,17.85
R,-0.011,0.218,0,14.79
B,0.0273,0.26,0,12.65
B,0.1652,0.1953,0,14.61
B,0.151,0.2903,0.59,12.88
B,0.1601,0.307,0,9.24
B,0.0768,0.6078,1666.8,68.67
