Name,Broad Category Group,Global Category,Morningstar Institutional Category,Morningstar Category,Morningstar Rating Overall,Equity Style Box (Long),Inception Date,Fund Size Base Currency,Manager Tenure (Average),Total Ret 1 Yr (Daily) Base Currency,Total Ret Annlzd 2 Yr (Daily) Base Currency,Total Ret Annlzd 3 Yr (Daily) Base Currency,Total Ret Annlzd 5 Yr (Daily) Base Currency,Management Fee,Annual Report Net Expense Ratio,Annual Report Gross Expense Ratio,Turnover Ratio %,Prospectus Objective,Tax Cost Ratio 1 Yr,Tax Cost Ratio 3 Yr,Tax Cost Ratio 5 Yr,Post-tax Return 1 Yr (Daily) Base Currency,Post-tax Return 3 Yr (Daily) Base Currency,Post-tax Return 5 Yr (Daily) Base Currency,Alpha 2009-06-01 to 2012-05-31 Base Currency,Appraisal Ratio 2009-06-01 to 2012-05-31 Base Currency,Beta 2009-06-01 to 2012-05-31 Base Currency,Correlation 2009-06-01 to 2012-05-31 Base Currency,Excess Return 2009-06-01 to 2012-05-31 Base Currency,Excess Return (geo) 2009-06-01 to 2012-05-31 Base Currency,Information Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency,M-Squared 2009-06-01 to 2012-05-31 Base Currency,Morningstar Risk 2009-06-01 to 2012-05-31,R2 2009-06-01 to 2012-05-31 Base Currency,Residual Std Dev 2009-06-01 to 2012-05-31 Base Currency,Sharpe Ratio 2009-06-01 to 2012-05-31 Base Currency,Std Dev 2009-06-01 to 2012-05-31 Base Currency,Tracking Error 2009-06-01 to 2012-05-31 Base Currency,Treynor Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency
Hartford Balanced Y,Allocation,Moderate Allocation,Moderate Allocation,US OE Moderate Allocation,3,Large Blend,35268,571955230,5.06,5.84694,9.2215,13.11574,1.28239,0.67,0.74,0.74,43,Asset Allocation,0.63,0.6,1.34,,,,1.091781992872905,0.1650496250280473,0.7259069303325125,0.9871781213835369,-2.7916389820783714,-2.429268927324868,-0.5839042940406421,16.517547365279718,1.4961972817978406,97.4520643338329,1.909548801987449,1.0238357785534955,11.794166263815546,4.780987244947477,16.56457723376054
Delaware Small Cap Value Instl,Equity,US Equity Small Cap,Small Core Value,US OE Small Value,4,Small Blend,33917,712801970,15.08,2.5044,11.07586,21.2169,1.43189,0.75,1.12,1.12,29,Small Company,0.86,0.33,0.52,,,,2.8627529468268493,0.11343806899507072,1.1478193787079118,0.931613435873723,5.186743471591715,4.5134757146005455,0.6859548694707214,16.515857040224553,4.333480789317234,86.79035939004433,7.285081626987568,1.0237303608185122,19.759601776443706,7.561347987213466,17.426717336138616
Invesco Moderate Allocation C,Allocation,Moderate Allocation,Moderate Allocation,US OE Moderate Allocation,2,Large Blend,38107,751170291,2,3.45855,7.72321,11.34266,0.10427,,1.12,1.26,26,Asset Allocation,0.01,0.75,0.99,,,,1.2612022732130015,0.11811515554468768,0.6153260156693512,0.955718925864672,-4.279196699632347,-3.723733492426262,-0.6223681701602328,16.515845346729062,1.1411860539550567,91.33986652559224,3.0823964485514432,1.0237296315494258,10.327291146615316,6.875667659113479,17.12390411934567
Janus Enterprise T,Equity,US Equity Mid Cap,Mid High Growth,US OE Mid-Cap Growth,4,Mid Growth,33848,2356219022,4.58,3.85948,14.14541,18.99721,3.24386,0.64,0.93,0.93,15,Growth,0,0,0,,,,2.1256968646807675,0.11753368505222603,1.0247775103774859,0.9543002225296949,2.6610876777259946,2.315663898479481,0.5156022625703439,16.51500367429886,3.2676332033924744,91.06889147202253,5.22093583849452,1.0236771403431228,17.222436739878344,5.161124903642061,17.054500020576633
American Century LIVESTRONG 2030 Instl,Allocation,Target Date 2021-2045,Target Date 2026-2030 Conservative,US OE Target Date 2026-2030,5,Large Blend,39598,547930199,3,5.26168,9.52526,12.92289,,,0.01,0.01,4,Growth and Income,0.78,0.65,,,,,1.0570409157343414,0.17105221009177604,0.7156440581058536,0.9884640694135124,-2.9782647465551157,-2.591669643747041,-0.6094536336690435,16.512267484835764,1.441932498503439,97.7061216521521,1.783908132248727,1.0235064968951046,11.612391205178323,4.8867782256466565,16.541345538269294
Columbia Dividend Income R,Equity,US Equity Large Cap Value,Giant Value,US OE Large Value,4,Large Value,39535,5846597712,5.44,10.19836,12.67416,15.12227,,0.61,1.28,1.34,20,Equity-Income,0.73,0.73,,,,,1.279157683064498,0.15049032912456875,0.8209900112170772,0.9835405535177697,-1.1894545704783432,-1.0350568419045136,-0.31690534207113413,16.510207766303278,1.9443092393893533,96.73520204140408,2.4537192421246794,1.023378041801965,13.387130160379158,3.7533433886114564,16.59767553494873
MainStay Income Builder B,Allocation,Moderate Allocation,Moderate Allocation,US OE Moderate Allocation,3,Large Value,32140,648379036,2.81,4.89447,10.34757,12.26307,1.40276,0.64,2.15,2.15,33,Balanced,1.11,0.94,1.19,,,,1.270759933003197,0.11979219247817793,0.653448539418386,0.9609264613272862,-3.701277475828091,-3.2208313543259592,-0.585314347509252,16.504437567846693,1.2753414581111002,92.33796640789804,3.0622763229266243,1.0230181812829253,10.906899864193264,6.323572096905732,17.009301035637886
Scout Mid Cap,Equity,US Equity Mid Cap,Mid Core,US OE Mid-Cap Blend,5,Mid Blend,39021,1184360068,4.11,-1.58527,13.81642,21.13208,5.81618,0.8,1.04,1.04,195,Growth,1.47,0.78,0.99,,,,2.499160030830188,0.1140206064868047,1.0989765464164971,0.9427063093964866,4.086248006393767,3.5558305980830207,0.6349985347587427,16.503918162534994,4.004014383574496,88.86951857759443,6.327324336389785,1.022985788382323,18.696540144229562,6.435051079206458,17.199846950440186
LKCM Small Cap Equity Advisor,Equity,US Equity Small Cap,Small Core Growth,US OE Small Growth,4,Small Growth,37777,802609973,9.4,0.04407,14.8144,20.66677,1.20552,0.75,1.2,1.2,50,Small Company,0,0,0.25,,,,3.4478434285619386,0.11257571524852822,1.1537643217394358,0.90466640584309,5.802094836129701,5.048951096215326,0.6406845245060089,16.48819321295306,4.7943164980929645,81.84213058610544,8.841220005617249,1.0220050961997225,20.453646007211223,9.056087066568882,17.8702659128329
Fidelity Freedom 2015,Allocation,Target Date 2000-2020,Target Date 2011-2015 Conservative,US OE Target Date 2011-2015,3,Large Growth,37931,6763969264,2.88,2.2238,7.26985,10.8488,1.57177,,0,0,24,Balanced,1.12,1.03,1.17,,,,1.0146671975151724,0.1306998427729559,0.6049959739682181,0.9750437040918454,-4.6788583078340995,-4.071516831347255,-0.6975231841486896,16.484554212449236,1.0499537308368279,95.07102248891461,2.241082954632595,1.021778148613787,9.953480976604977,6.7078176240758705,16.7556851986452
