Name,Broad Category Group,Global Category,Morningstar Institutional Category,Morningstar Category,Morningstar Rating Overall,Equity Style Box (Long),Inception Date,Fund Size Base Currency,Manager Tenure (Average),Total Ret 1 Yr (Daily) Base Currency,Total Ret Annlzd 2 Yr (Daily) Base Currency,Total Ret Annlzd 3 Yr (Daily) Base Currency,Total Ret Annlzd 5 Yr (Daily) Base Currency,Management Fee,Annual Report Net Expense Ratio,Annual Report Gross Expense Ratio,Turnover Ratio %,Prospectus Objective,Tax Cost Ratio 1 Yr,Tax Cost Ratio 3 Yr,Tax Cost Ratio 5 Yr,Post-tax Return 1 Yr (Daily) Base Currency,Post-tax Return 3 Yr (Daily) Base Currency,Post-tax Return 5 Yr (Daily) Base Currency,Alpha 2009-06-01 to 2012-05-31 Base Currency,Appraisal Ratio 2009-06-01 to 2012-05-31 Base Currency,Beta 2009-06-01 to 2012-05-31 Base Currency,Correlation 2009-06-01 to 2012-05-31 Base Currency,Excess Return 2009-06-01 to 2012-05-31 Base Currency,Excess Return (geo) 2009-06-01 to 2012-05-31 Base Currency,Information Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency,M-Squared 2009-06-01 to 2012-05-31 Base Currency,Morningstar Risk 2009-06-01 to 2012-05-31,R2 2009-06-01 to 2012-05-31 Base Currency,Residual Std Dev 2009-06-01 to 2012-05-31 Base Currency,Sharpe Ratio 2009-06-01 to 2012-05-31 Base Currency,Std Dev 2009-06-01 to 2012-05-31 Base Currency,Tracking Error 2009-06-01 to 2012-05-31 Base Currency,Treynor Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency
Fidelity Real Estate Income,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,37656,2434223069,9.33,8.64822,11.59341,18.27494,4.83768,0.56,0.92,0.92,25,Specialty - Real Estate,1.9,1.82,2.04,,,,11.93452347923892,0.8442306732645424,0.3534211110688713,0.8154764837586999,3.6457020916567764,3.1724699599056105,0.32783715206496294,39.97312836123563,0.5447885164898025,66.5001895563453,4.080875382520822,2.4866515924440478,6.955455087637124,11.12046657522927,52.23706764407871
Fidelity Advisor Real Estate Income Inst,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,40298,2434223069,9.33,8.66512,11.61723,,,0.56,0.89,0.89,25,Specialty - Real Estate,1.93,,,,,,11.909273363129262,0.8438361442428394,0.35641994063646526,0.8182217198977354,3.6664631088020094,3.190536083130824,0.33111012712144294,39.81691598145563,0.5502895565025376,66.94867829124081,4.074145335540876,2.476909350735899,6.990877114256224,11.073243638534928,51.85580657998792
Fidelity Advisor Real Estate Income A LW,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,40298,2434223069,9.33,8.38431,11.38991,,,0.56,1.12,1.13,25,Specialty - Real Estate,1.85,,,,,,11.666419383600779,0.8263695698975677,0.35456026422595127,0.8167180433808536,3.3517600486666623,2.916683206656212,0.3019197372220474,39.32765594497186,0.5457385218509785,66.70283623838499,4.0754225572681095,2.446396471153145,6.967243716674409,11.1014936602227,51.240204489418424
Fidelity Advisor Real Estate Income A,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,40298,2434223069,9.33,8.38431,11.38991,,,0.56,1.12,1.13,25,Specialty - Real Estate,1.85,,,,,,11.666419383600779,0.8263695698975677,0.35456026422595127,0.8167180433808536,3.3517600486666623,2.916683206656212,0.3019197372220474,39.32765594497186,0.5383627728061882,66.70283623838499,4.0754225572681095,2.446396471153145,6.967243716674409,11.1014936602227,51.240204489418424
Fidelity Advisor Real Estate Income T,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,40298,2434223069,9.33,8.37331,11.35727,,,0.56,1.16,1.16,25,Specialty - Real Estate,1.84,,,,,,11.68719165473004,0.8193785311970287,0.35353780846699767,0.8131149620313727,3.3571936625898644,2.92141150768348,0.3015849083291939,39.27975174701542,0.5396529645133512,66.11559414792806,4.117512841147771,2.4434089084773576,6.9778605103624844,11.1318357446631,51.40376395804812
Forward Select Income Institutional,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,5,Small Value,38835,1488026126,4.95,8.76406,14.28069,26.06789,2.72661,1,1.19,1.52,73,Specialty - Real Estate,2.98,3.32,3.63,,,,18.517636862911942,0.6577049928326257,0.4185482998360032,0.6421963363334333,12.446343470972465,10.830739808030598,1.012550305785859,38.22702569370104,1.2667843981015707,41.24161344000842,8.127627693316493,2.377755266440165,10.456858882845086,12.29207418125525,65.13543090665468
Forward Select Income M,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,4,Small Value,40211,1488026126,4.95,8.81285,14.28022,,,1,1.2,1.53,73,Specialty - Real Estate,2.98,,,,,,18.461262064518667,0.6577274355838472,0.41818941073952,0.6430358254689782,12.371942154085104,10.765996190239457,1.0074552616565287,38.214594563491936,1.2608744840081556,41.34950728365702,8.102607589319055,2.3769799944971024,10.434263227362326,12.280388643503919,65.01341700666138
Forward Select Income A,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,4,Small Value,36980,1488026126,4.95,8.47843,13.98063,25.72835,2.43647,1,1.44,1.77,73,Specialty - Real Estate,2.89,3.21,3.53,,,,18.28437906128913,0.6492478769002628,0.4167825342013475,0.6404999986455717,12.124190601924532,10.55040414870978,0.9845102228429732,37.88790817309226,1.2351971550859773,41.02402482649774,8.129784900800004,2.35660607930217,10.440327541210527,12.314946377005075,64.6384355996143
Forward Select Income A Load Waived,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,4,Small Value,36980,1488026126,4.95,8.47843,13.98063,25.72835,2.43647,1,1.44,1.77,73,Specialty - Real Estate,2.89,3.21,3.53,,,,18.28437906128913,0.6492478769002628,0.4167825342013475,0.6404999986455717,12.124190601924532,10.55040414870978,0.9845102228429732,37.88790817309226,1.2598219275544515,41.02402482649774,8.129784900800004,2.35660607930217,10.440327541210527,12.314946377005075,64.6384355996143
Forward Select Income Inv,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,4,Small Value,40842,1488026126,4.95,,,,,1,,,73,Specialty - Real Estate,,,,,,,18.237298789290097,0.6478826680109298,0.41724158701607356,0.6410944764246507,12.074002743432466,10.506730949579634,0.9810766523166926,37.81969759753464,1.2596853171683584,41.1002127702197,8.125938449329412,2.35235210202412,10.442153155042854,12.30689030762396,64.44703494162935
Fidelity Advisor Real Estate Income C,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,40298,2434223069,9.33,7.54095,10.50213,,,0.56,1.89,1.89,25,Specialty - Real Estate,1.62,,,,,,10.90685014808922,0.7744284821263023,0.3553035283698585,0.8179392650105285,2.4815468270024788,2.159428435137656,0.22382712415797248,37.581416864854006,0.5426385346962945,66.90246412459635,4.065625822361754,2.3374916377290442,6.9713973598854,11.086890547059234,48.683803677540936
Forward Select Income B,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,36980,1488026126,4.95,7.70359,13.15617,24.80273,1.63048,1,2.19,2.52,73,Specialty - Real Estate,2.78,2.93,3.32,,,,17.532521461593348,0.6235326413931056,0.41608203336387634,0.6404599398809109,11.179547899812547,9.728381251624274,0.9077788633432766,36.775541201659365,1.24196894523201,41.01889345922599,8.11698162489792,2.287232909780506,10.423463046284935,12.31527671688584,62.47693053156174
Forward Select Income C,Equity,Real Estate Sector Equity,Domestic Real Estate,US OE Real Estate,3,Small Value,36980,1488026126,4.95,7.68097,13.13782,24.80738,1.63372,1,2.19,2.52,73,Specialty - Real Estate,2.71,2.95,3.31,,,,17.501683775453802,0.6221103214053647,0.41692502358285577,0.6410267428566166,11.155888607778163,9.707793065490389,0.9064134618592773,36.705970558355325,1.2500457102611726,41.09152850573629,8.121229861773854,2.2828941113842847,10.435327302299305,12.30772608440158,62.293859885601385
Vanguard Wellesley Income Adm,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,5,Large Value,37025,29254528511,4.25,9.60143,11.03433,13.50396,6.55875,0.16,0.18,0.18,48,Income,1.02,1.1,1.31,,,,7.749207897088508,0.6750444458499224,0.30318063557778835,0.8300536012050715,-1.9313200903166248,-1.6806241474073058,-0.16590979973769943,33.872076943589704,0.3651446125020108,68.89889808735079,3.3138612523190063,2.106157308519442,5.859964938621829,11.640783687099912,42.498295708172996
Vanguard Wellesley Income Inv,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,5,Large Value,25750,29254528511,4.25,9.56477,10.97242,13.42869,6.47604,0.22,0.25,0.25,48,Income,1,1.08,1.28,,,,7.686053587070562,0.6697010816665896,0.3022639527149678,0.8293317477105747,-2.0166558354415507,-1.7548828446646958,-0.17303404627763094,33.73371534204885,0.36337237441745884,68.77911477606764,3.313078945951521,2.097528337068934,5.847336228511234,11.654676514966608,42.344859331345425
Oppenheimer Capital Income Y,Allocation,Cautious Allocation,Flexible Allocation,US OE Conservative Allocation,2,Large Blend,40571,1549406062,3.17,5.73343,,,,0.56,0.56,0.59,92,Equity-Income,1.5,,,,,,6.842596176430073,0.9081685762384515,0.3226025725940509,0.9238107913939949,-2.6005464525242985,-2.26298125643698,-0.23489113280789076,33.66890364481545,0.33818942193535406,85.34263782959992,2.175022813925533,2.093486332070019,5.604970609241833,11.071284051625714,37.86527132547199
JHVIT Lifestyle Conservative Tr Ser NAV,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,5,Large Blend,38471,2830749611,3.11,5.24038,6.86928,10.17735,4.69861,0.04,0.06,0.06,17,Income,1.46,1.38,1.52,,,,6.087365658090382,0.6472689294410856,0.2379416425409783,0.8187138022805854,-4.792904129602427,-4.170758879796788,-0.38316228182728396,33.43014102210982,0.22768262653829296,67.02922900447335,2.714901056960172,2.0785958145287995,4.664627730656286,12.508809861830029,42.124094620237436
JHVIT Lifestyle Conservative Tr Ser I,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,4,Large Blend,35437,2830749611,3.11,5.19724,6.82757,10.14206,4.6514,0.04,0.11,0.11,17,Income,1.45,1.37,1.51,,,,6.052928862607592,0.6477157390907488,0.2380566852303002,0.8205555456351639,-4.8282042426146745,-4.2014768444842865,-0.38615168884064105,33.376272508299536,0.22674859636200217,67.33114034726215,2.6976803999837085,2.075236285132105,4.656436094874336,12.503387612030362,41.955453348500946
Oppenheimer Capital Income A LW,Allocation,Cautious Allocation,Flexible Allocation,US OE Conservative Allocation,2,Large Blend,25903,1549406062,3.17,5.3698,9.34437,12.28282,-3.27228,0.56,0.96,0.99,92,Equity-Income,1.38,1.1,1.49,,,,6.6669778572650875,0.872848758185782,0.3245291736845167,0.9227601186794419,-2.7658034763226027,-2.4067870119493073,-0.25037273763031925,33.01518301943512,0.34259074975440207,85.14862366252976,2.204953277686849,2.0527168082267324,5.644915916372302,11.046743756927606,37.13125935939737
Oppenheimer Capital Income A,Allocation,Cautious Allocation,Flexible Allocation,US OE Conservative Allocation,2,Large Blend,25903,1549406062,3.17,5.3698,9.34437,12.28282,-3.27228,0.56,0.96,0.99,92,Equity-Income,1.38,1.1,1.49,,,,6.6669778572650875,0.872848758185782,0.3245291736845167,0.9227601186794419,-2.7658034763226027,-2.4067870119493073,-0.25037273763031925,33.01518301943512,0.3358943912628476,85.14862366252976,2.204953277686849,2.0527168082267324,5.644915916372302,11.046743756927606,37.13125935939737
JHVIT Lifestyle Conservative Tr Ser II,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,4,Large Blend,37284,2830749611,3.11,4.935,6.61455,9.92751,4.44124,0.04,0.31,0.31,17,Income,1.39,1.31,1.44,,,,5.7773803837540925,0.619052986175816,0.24133770306148974,0.8245508175717289,-5.076729955710647,-4.417742556612936,-0.4077291369803186,32.311828342023425,0.23037893340394078,67.98840507582065,2.6940925851732835,2.008851838731024,4.697637165739814,12.451231700803627,40.35527940655516
Vanguard LifeStrategy Income Inv,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,4,Large Blend,34607,2589300296,,4.43665,6.11799,8.45603,4.03557,0,0,0,43,Asset Allocation,0.96,0.96,1.11,,,,4.746103800457888,0.6224763880883389,0.20566476306323977,0.8354424663963542,-6.743297659122426,-5.867980629362346,-0.5219180291047312,32.01707930666888,0.16117101996406902,69.79641146584234,2.2010186725407097,1.9904697082640812,3.951479306853019,12.920223642569887,39.251656991375896
Oppenheimer Capital Income N,Allocation,Cautious Allocation,Flexible Allocation,US OE Conservative Allocation,2,Large Blend,36951,1549406062,3.17,5.07661,8.9976,11.86369,-3.62098,0.56,1.32,1.35,92,Equity-Income,1.3,1,1.39,,,,6.330080315289866,0.8053939956560856,0.3250918412151665,0.9190037686207716,-3.1320899836361438,-2.725527521172566,-0.2834348822261091,31.896141893131002,0.3456965939124821,84.45679267391807,2.268873119079678,1.9829274026164518,5.6777089913170835,11.05047465942294,35.940275728802504
Absolute Strategies I,Alternative,Multialternative,Multialternative,US OE Multialternative,4,Large Blend,38544,4073943520,6.92,2.58478,3.25219,5.56479,2.46208,1.6,1.73,2.58,112,Growth,0.14,0.25,0.53,,,,4.49933135406504,0.48647351906446185,0.0707214656368438,0.39574649416890917,-9.139050427238082,-7.952751545121295,-0.6039896156489141,31.26441713073401,0.08259485294090929,15.661528764698247,2.669919396063322,1.9435296587438997,2.870007072453705,15.13113833491868,80.27166738888558
PIMCO StocksPLUS Long Duration Instl,Equity,US Equity Large Cap Blend,Large Core,US OE Large Blend,5,Large Value,39325,532725373,4.83,29.91613,29.12847,33.10115,,0.59,0.59,0.59,276,Growth and Income,1.74,4.63,,,,,16.319285838714606,0.628128946398521,0.819579972855817,0.8715771084531457,16.637417848979563,14.477789739615998,2.095915602553048,30.638873759425614,2.725141325326728,75.96466559795466,7.500007861432396,1.9045174195679824,15.080811575181666,7.938018987364481,38.37746075404194
Oppenheimer Capital Income C,Allocation,Cautious Allocation,Flexible Allocation,US OE Conservative Allocation,2,Large Blend,35004,1549406062,3.17,4.37145,8.39125,11.2897,-4.10265,0.56,1.84,1.87,92,Equity-Income,1.13,0.87,1.26,,,,5.817810694182445,0.7579217772825021,0.32365036305077377,0.9217053399012218,-3.719669065751031,-3.236835614980982,-0.3362358163306746,30.610679674466336,0.3389028207352087,84.95407336024267,2.2158715259665525,1.9027590852362208,5.636056296603063,11.062679479966178,34.28487218041991
Oppenheimer Capital Income B,Allocation,Cautious Allocation,Flexible Allocation,US OE Conservative Allocation,2,Large Blend,34198,1549406062,3.17,4.29585,8.31912,11.19848,-4.16094,0.56,1.97,2.12,92,Equity-Income,1.12,0.84,1.25,,,,5.701790822910202,0.7379269666364953,0.32334910604496625,0.9206559843506895,-3.8526140082583815,-3.352523574617383,-0.34801432421524436,30.261025370673,0.3363840366962485,84.76074415207371,2.2305259296017512,1.8809527677942453,5.637218753094472,11.070274239274035,33.90566474709943
Fidelity Asset Manager 20%,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,4,Large Growth,33878,4355769810,3,4.03387,6.22766,8.54347,3.86363,0.42,0.54,0.55,19,Asset Allocation,0.87,0.79,1.12,,,,4.4238899714148845,0.6847615571660615,0.2467663736546917,0.9069156308441929,-6.439069758563122,-5.603243179284256,-0.5270654601812135,30.077439229713075,0.1977249052304444,82.24959614695204,1.8649806192626792,1.8695033515442867,4.367778386892117,12.216831200339456,33.94672666078999
Fidelity Advisor Asset Manager 20% I,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,4,Large Growth,38992,4355769810,3,4.06779,6.19193,8.52242,3.85384,0.42,0.59,0.59,19,Asset Allocation,0.86,0.79,1.11,,,,4.416730641646115,0.6838409909120559,0.2463057519083478,0.9066587272964715,-6.453984843098892,-5.616222204023402,-0.5279740377329004,30.07299108883795,0.19711281511181156,82.20300477828575,1.8644689765463214,1.8692259416256976,4.36088051169311,12.224057210865986,33.949656011711724
Russell LifePoints Cnsrv Strat R1,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,4,Large Blend,39079,716000275,0.83,3.30838,5.93598,9.89524,4.4093,0.2,0.12,0.49,19,Balanced,1.07,1.26,1.5,,,,5.336800800084321,0.5534813239808811,0.2606682647986843,0.8360022368893473,-5.254169515836637,-4.572149488404442,-0.4317971124493305,29.862050595266776,0.2631034404307009,69.88997400839924,2.783475471564897,1.8560705612563522,5.0048125664037935,12.168144168525885,36.68191402448363
Russell LifePoints Cnsrv Strat S,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,3,Large Blend,36570,716000275,0.83,3.02861,5.79656,9.75333,4.33235,0.2,0.3,0.49,19,Balanced,1,1.23,1.48,,,,5.190108466160572,0.5262238541120331,0.2644920933072209,0.8339626880328531,-5.355418115600475,-4.660255464470997,-0.44176419205315337,29.08006672307078,0.27216605899742596,69.54937650309819,2.8471823318591016,1.8073018535166931,5.0905465117285225,12.122798117046361,35.76879051542729
Russell LifePoints Cnsrv Strat R2,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,4,Large Blend,38804,716000275,0.83,3.08339,5.72269,9.62552,4.12872,0.2,0.37,0.74,19,Balanced,0.99,1.18,1.42,,,,5.084250132856415,0.5248374311808047,0.2587852303488962,0.8329844875015378,-5.558723980953918,-4.837171113169347,-0.45561626482702555,29.065797139394753,0.26077940890077045,69.38631564181995,2.796478498330285,1.8064119257565356,4.986655907776559,12.2004511473362,35.77196581373167
Fidelity Advisor Asset Manager 20% A,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,3,Large Growth,38992,4355769810,3,3.8145,5.92485,8.24397,3.55528,0.42,0.85,0.85,19,Asset Allocation,0.77,0.69,1.02,,,,4.098432498877286,0.632976105753999,0.24836632750026635,0.9075959978247566,-6.764364859422312,-5.886313191489034,-0.554816000851488,28.805804773276467,0.19555949588372368,82.37304952675157,1.8691314608658673,1.7901974075694045,4.392732273639418,12.19208683426739,32.41830571683419
Fidelity Advisor Asset Manager 20% A LW,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,4,Large Growth,38992,4355769810,3,3.8145,5.92485,8.24397,3.55528,0.42,0.85,0.85,19,Asset Allocation,0.77,0.69,1.02,,,,4.098432498877286,0.632976105753999,0.24836632750026635,0.9075959978247566,-6.764364859422312,-5.886313191489034,-0.554816000851488,28.805804773276467,0.1994581513090612,82.37304952675157,1.8691314608658673,1.7901974075694045,4.392732273639418,12.19208683426739,32.41830571683419
Hartford Balanced Income Y,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,5,Large Value,38929,1385339368,5.17,9.58536,12.40771,15.52898,5.72003,0.67,0.31,0.81,29,Balanced,1.14,1.24,1.39,,,,7.446629959788078,0.6137133398006398,0.44511503903527694,0.9002179672027391,-0.007505712439147771,-0.0065314297883478645,-0.0007864633241037686,28.777807017953183,0.6829280855471538,81.03923884746317,3.502705198843958,1.7884513174065815,7.9320175095253145,9.543626777130477,33.26887070306456
Absolute Strategies R,Alternative,Multialternative,Multialternative,US OE Multialternative,4,Large Blend,38544,4073943520,6.92,2.10439,2.83806,5.13819,2.04954,1.6,2.14,2.95,112,Growth,0.07,0.16,0.4,,,,4.0784105277969225,0.43788946424634523,0.07168146060364361,0.39791585854347855,-9.566822531600527,-8.324996483587654,-0.6327595654227278,28.759605021312012,0.08366706695670523,15.833703048039363,2.6886595914587708,1.7873161432859457,2.893116567528124,15.119206495454902,73.22894676376005
Russell LifePoints Cnsrv Strat A LW,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,4,Large Blend,37683,716000275,0.83,2.7914,5.57779,9.51521,4.08064,0.2,0.55,0.74,19,Balanced,0.92,1.15,1.4,,,,5.025503814535931,0.5147512367682302,0.2606167188373572,0.8327980946225694,-5.594355059582213,-4.868177082320246,-0.45942963290688954,28.7566107279743,0.264633539561121,69.3552666406982,2.8183283233588585,1.7871294030961977,5.023129977641619,12.176739720043255,35.3838593918682
Russell LifePoints Cnsrv Strat A,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,3,Large Blend,37683,716000275,0.83,2.7914,5.57779,9.51521,4.08064,0.2,0.55,0.74,19,Balanced,0.92,1.15,1.4,,,,5.025503814535931,0.5147512367682302,0.2606167188373572,0.8327980946225694,-5.594355059582213,-4.868177082320246,-0.45942963290688954,28.7566107279743,0.25946095083535514,69.3552666406982,2.8183283233588585,1.7871294030961977,5.023129977641619,12.176739720043255,35.3838593918682
Principal LifeTime Strategic Inc Instl,Allocation,Target Date 2000-2020,Retirement Income Conservative,US OE Retirement Income,4,Large Blend,36951,727199631,5.38,4.95483,7.64146,11.00597,2.11642,0.03,0.04,0.04,19.8,Asset Allocation,1.01,1.13,1.47,,,,5.393909791409183,0.5912914231762054,0.318936445729928,0.8917274985013641,-4.270472514402556,-3.7161417543000286,-0.3804518895217719,28.670080402942634,0.34971128065859247,79.51779315835003,2.633367530790833,1.7817329079993918,5.739514032448259,11.224737297981463,33.064605882704846
Russell LifePoints Cnsrv Strat E,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,3,Large Blend,35741,716000275,0.83,2.91534,5.57174,9.53058,4.09149,0.2,0.55,0.74,19,Balanced,0.9,1.14,1.39,,,,4.981295569456129,0.5093504482333184,0.25994931646411445,0.8317043243134958,-5.652915894902289,-4.919136399952118,-0.4638006504295243,28.618707550020616,0.26373147592928703,69.17320830817687,2.8231567753732456,1.7785290213989295,5.016818173499348,12.188244862673526,35.2494271723002
Russell LifePoints Cnsrv Strat R3,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,3,Large Blend,35878,716000275,0.83,2.77647,5.45243,9.34071,3.88108,0.2,0.62,0.99,19,Balanced,0.89,1.08,1.32,,,,4.861226769775725,0.5002438560501159,0.26092702758027636,0.8342829953806933,-5.767219962628744,-5.018603172617675,-0.47392863475933233,28.26331631286453,0.26377851367065475,69.60281163813819,2.805262423693468,1.7563649180275533,5.020137404342539,12.168962876778735,34.67927610021403
JHancock2 Lifestyle Conservative R6,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,5,Large Blend,40786,3531088879,3.83,,,,,0.04,0.11,16.16,15,Income,,,,,,,5.293605493446066,0.5568367808211808,0.31509851111538206,0.8816146289781099,-4.443656062311675,-3.866845127608798,-0.3928868870002026,28.24704727051545,0.34773527985785435,77.72443540282104,2.744309160143497,1.7553502933022398,5.735336721588284,11.310268195103655,32.9177192715567
JHancock2 Lifestyle Conservative 1,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,5,Large Blend,38639,3531088879,3.83,4.67915,7.53644,10.67915,5.18818,0.04,0.11,0.11,15,Income,1.42,1.6,1.88,,,,5.311839629384091,0.5547676183995859,0.31566415292421995,0.8805566711409756,-4.415317070676661,-3.842184692555195,-0.3905241667291495,28.237627815379316,0.34977292255920034,77.53800510908762,2.764033027706465,1.754762845567147,5.752507517140843,11.306130188196347,32.94850944292521
Hartford Balanced Income R5,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,4,Large Value,40326,1385339368,5.17,9.19704,12.16646,,,0.67,0.4,0.91,29,Balanced,1.11,,,,,,7.119344687327402,0.5940340503546674,0.44810914094193594,0.9034269105133278,-0.32968257198911033,-0.2868879655124501,-0.0347635846589764,28.119207877114405,0.6858255694482729,81.61801826396562,3.459696939281617,1.7473775431777614,7.956928678041307,9.483560893481739,32.32761061658698
Hartford Balanced Income I,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,4,Large Value,40235,1385339368,5.17,9.23358,12.14921,,,0.67,0.44,0.94,29,Balanced,1.11,,,,,,7.102249324816415,0.5960755022695997,0.44827741891414663,0.9044536103455076,-0.3455656241815994,-0.30070931039620774,-0.036475439625685425,28.111163296463392,0.6842838322510758,81.80363332670234,3.4395689337355035,1.7468758399884672,7.950915095875202,9.473926228931798,32.28004391781121
Wells Fargo Advantage DJ Target Today I,Allocation,Target Date 2000-2020,Retirement Income Conservative,US OE Retirement Income,4,Large Blend,38168,960989484,5.31,4.05791,6.51436,7.57141,5.10373,0.25,0.45,0.65,46,Asset Allocation,0.97,0.97,1.12,,,,4.5211668653755135,0.4244761762913084,0.17119926439554514,0.6713482521145,-7.548556984653576,-6.568712876801808,-0.5537952290227008,27.9850840493243,0.17243797885500012,45.070847561719425,3.0747272197726137,1.7390128620238507,4.092023105330197,13.63059230028894,42.4500854901386
Fidelity Advisor Asset Manager 20% T,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,3,Large Growth,38992,4355769810,3,3.45938,5.61684,7.92342,3.28587,0.42,1.1,1.11,19,Asset Allocation,0.68,0.61,0.93,,,,3.8520076079419487,0.6015943674489401,0.24853215020408995,0.9094718966384292,-7.0259162329654234,-6.113913761880263,-0.5765381769904678,27.95336085300105,0.1962304307566498,82.71391307751017,1.8483863460993313,1.7370344333822065,4.386634624671368,12.186385071047232,31.344291491989388
Principal LifeTime Strategic Inc A,Allocation,Target Date 2000-2020,Retirement Income Conservative,US OE Retirement Income,2,Large Blend,38531,727199631,5.38,4.53863,7.2127,10.60198,1.74251,0.03,0.41,0.41,19.8,Asset Allocation,0.88,1.01,1.33,,,,5.093371606386043,0.5612252249886303,0.3164802800320041,0.8912541233748921,-4.63800344637928,-4.035965155038291,-0.41190098568227124,27.925535597985302,0.33959440462925095,79.43339124327473,2.6198568213762568,1.735299101263612,5.698351270938355,11.259995988348773,32.15990881543956
Principal LifeTime Strategic Inc A LW,Allocation,Target Date 2000-2020,Retirement Income Conservative,US OE Retirement Income,3,Large Blend,38531,727199631,5.38,4.53863,7.2127,10.60198,1.74251,0.03,0.41,0.41,19.8,Asset Allocation,0.88,1.01,1.33,,,,5.093371606386043,0.5612252249886303,0.3164802800320041,0.8912541233748921,-4.63800344637928,-4.035965155038291,-0.41190098568227124,27.925535597985302,0.34394865317925927,79.43339124327473,2.6198568213762568,1.735299101263612,5.698351270938355,11.259995988348773,32.15990881543956
Principal LifeTime Strategic Inc R5,Allocation,Target Date 2000-2020,Retirement Income Conservative,US OE Retirement Income,4,Large Blend,36951,727199631,5.38,4.59636,7.33745,10.72107,1.85322,0.03,0.3,0.3,19.8,Asset Allocation,0.92,1.05,1.38,,,,5.141685929613471,0.5593424041301881,0.32058508344295933,0.8912697544350991,-4.521633758521283,-3.934700891066212,-0.4035853772395404,27.876682934791557,0.3531643156354125,79.4361775170802,2.6536105019314022,1.7322523872093833,5.772075863177987,11.203661018267153,32.111121718499
JHancock2 Lifestyle Conservative R5,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,5,Large Blend,38642,3531088879,3.83,4.5983,7.39431,10.50555,5.04622,0.04,0.24,0.24,15,Income,1.37,1.55,1.83,,,,5.136696645241149,0.5405174309680324,0.3150215251476726,0.8816342176744312,-4.616660307404974,-4.017392472590919,-0.40814787250720025,27.812159729175683,0.3471777282547883,77.72788937744063,2.743364987845159,1.7282283740948037,5.733786283482361,11.311244326830419,32.37658151107992
Hartford Balanced Income A,Allocation,Cautious Allocation,Conservative Allocation,US OE Conservative Allocation,4,Large Value,38929,1385339368,5.17,8.99228,11.89004,15.03188,5.30294,0.67,0.67,1.17,29,Balanced,1.04,1.13,1.28,,,,6.915658467613627,0.5723306737869388,0.44870191201690884,0.9022802932455214,-0.5519798016702779,-0.48032979526250186,-0.05819610744906254,27.655123533187087,0.6755966207367745,81.41097275792241,3.488155939189297,1.7184347547900873,7.9776077930042355,9.48482339911498,31.789480299530144
