Name,Total Ret 1 Yr (Daily) Base Currency,Total Ret Annlzd 2 Yr (Daily) Base Currency,Total Ret Annlzd 3 Yr (Daily) Base Currency,Total Ret Annlzd 5 Yr (Daily) Base Currency,Alpha 2009-06-01 to 2012-05-31 Base Currency,Appraisal Ratio 2009-06-01 to 2012-05-31 Base Currency,Excess Return 2009-06-01 to 2012-05-31 Base Currency,Excess Return (geo) 2009-06-01 to 2012-05-31 Base Currency,Information Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency,M-Squared 2009-06-01 to 2012-05-31 Base Currency,Sharpe Ratio 2009-06-01 to 2012-05-31 Base Currency,Treynor Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency
RiverSource Strategic Allocation R5,5.45341,-3.09762,-5.62834,,,,,,,,,
Columbia Strategic Allocation C,2.60771,7.3881,10.62687,-1.46965,-1.6345157937356745,-0.2103548790162128,-5.04615474362593,-4.3911361747918765,-1.2029815892533677,12.924970578586695,0.7997834245701622,12.562796429681969
Strategist Total Return,5.46009,,6.93408,,,,,,,,,
Columbia Strategic Allocation R4,3.37725,8.30802,11.58416,-0.57112,-0.6799554303204687,-0.08743960443501952,-4.0325754172113815,-3.5091250054233303,-0.9542304336591048,14.129534432934125,0.8749064861257119,13.905966544168184
Columbia Strategic Allocation B,2.44075,7.36387,10.56674,-1.48647,-1.5578341339173063,-0.1975534546045771,-5.014296346520663,-4.363413172405439,-1.176939578415528,13.005256947092027,0.8047905130541222,12.661648568522425
Columbia Strategic Allocation A,3.23121,8.19796,11.41677,-0.73058,-0.8328251272610427,-0.10555927251327614,-4.200264603500269,-3.6550472153921487,-0.9901429218531449,13.929342797929326,0.862421462218433,13.68856053680981
Columbia Strategic Allocation Z,3.65413,,,,-0.6898841020629738,-0.08786865026519278,-4.019384365491918,-3.4976462245829176,-0.9537692197535568,14.115616372348939,0.8740384812305779,13.892700924043814
DWS Global Income Builder A Load Waived,2.47978,6.55796,9.87118,0.40484,-1.0472854016797912,-0.12334357102027489,-6.103333019958024,-5.311086911195629,-1.0255041296754177,13.303010836236,0.8233600423172138,13.18533203217216
DWS Balanced AARP,1.99537,,,,,,,,,,,
DWS Global Income Builder S,2.80319,6.83572,10.1027,0.63576,-0.8297498402481325,-0.09917040410462793,-5.86422177459105,-5.10301361723714,-0.9881906034603642,13.634255756324622,0.8440182518691364,13.542976845213257
DWS Balanced R,,,,,,,,,,,,
DWS Global Income Builder B,1.66512,5.56654,8.87764,-0.29545,-1.990232107585479,-0.23216647138581903,-7.127142333377279,-6.202000159134147,-1.1939705278465653,11.90304882722425,0.7360509039939525,11.645902999410296
