Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
Bottom-up,-0.011481728118073964,0.11814950660457539,14.6,2.08
B,-0.027,0.009,0.04,4.92
B,-0.02679999999999999,0.3794,180.51,37.4
B,0.5753,0.0362,1042.9,79.97
B,0.0903,0.195,165.6,80.29
B,-0.6057,0.627,0,4.92
B,0.0585,0.2236,57.5,166.41
B,0.184,0.447,2.2,8.65
B,0.0217,0.128,563.83,78.81
B,-0.065,0.517,745,4.37
B,-0.065,0.517,745,4.37
B,-0.0549,0.0545,0,256.28
B,-0.0493,0.0545,0,256
B,-0.054,0.0517,0,234.8
B,-0.0454,0.0708,247.4,396.51
R,0,0.311,0,-7.34
B,-0.2276,0.4446,0,0.23
B,-0.0327,0.3567,72280,6.17
B,0.1559,0.3889,96.23,34.87
B,0.152,0.401,0,30.7
B,0.1114,0.02,0,25.22
B,0.5697,0.0172,4,22.31
B,0.3131,0.0299,0,14.41
B,0.3131,0.0209,0,14.41
B,0.29,0.0335,27172,1293.71
B,0.245,0.0379,35912,720.97
B,0.2283,0.04,35912,695.2341155472124
B,0.2121,0.0342,10564,239.4
B,-0.009,0.2107,415,21.24
B,0.083,0.2783,1570.1,38.46
B,0.06,0.0363,0,74.97
B,0.0759,0.1508,0,101.58
B,0.048,0.338,43.8,45.35
B,0.3796,0.1135,11220,91
B,-0.1138,0.1575,0,4.39
B,0.16545672142583162,0.0032,36,173.1
B,-0.0983,0.2229,227.6,6.3
R,0.1364,0.1674,0,86.3
B,NA,0.4461,1.6,10.85
B,0.05432867706914503,0.12207226983386654,59.400000000000006,53.15
B,0.6931,0.2331,1833,30.98
B,-0.002,0.2001,261,55.11
B,1.030279296323649,0.18215504586839065,1352.9624999999999,34.29057212130277
B,-0.017,0.45,115.6,3.75
B,0.1004,0.0004,340.54,54.3
B,0.0776,0.0763,9532,148.94
B,0.0318,0.1651,312,12.33
B,0.0318,0.1651,312,12.33
B,0.3622,0.1261,123.68,532.96
B,0.1299,0.1049,0,416.96
B,0.1894,0.1579,0,376.81
B,0.1689,0.1096,120,242.38
B,0.1893,0.122,82.55,201.77
B,0.2041,0.125,0,465.29
B,0.2041,0.125,0,465.29
B,0.0385,0.1181,3310,26.73
B,-0.0189,0.0172,0,56.03
B,0.0212,0.0217,1730.866,51.999765059820014
B,1.3494,0.0764,934.84,62.18
B,0.5635,0.0749,934.84,59.51
B,0.24266597995017794,0.0737,1055,64.48
B,0.2146976,0.1647664384631313,9260,20.49
B,0.1476,0.166,21732,40.91
R,0.201,0.166,5065.75,35.03
B,0.05730000000000002,0.4195,856,30.14
B,0.0832,0.1609,36338,74.77
B,0.1933,0.1596,0,123.95
B,-0.0485,0.0576,4.99,175.5
B,0.0936,0.121,511,106.34
B,0.0623,0.1021,965.7,95
B,0.2392,0.2829,238.313,89.52
B,0.316,0.2844,3760.4,90.61
B,0.1571,0.283,1056,53.52
R,0.0867,0.563,907.8,90.42
B,0.9567,0.4054,130,31.04
B,0.085,0.3137,200,37.15
B,0.1007,0.3128,261.35,54.63
R,N.A.,0.351,4000,75.65
B,,0.1944364688445646,857.4,47.39296511780149
B,0.1907,0.0098,242.48,31.41
B,0.15239999999999998,0.22320782346703472,719,37.71
B,-0.028,0.43181300110487814,1430,69.12
B,0.3385,0.262,108.96,40.4
R,-0.0534,0.365,242.9,17.32
B,0.0288,0.0618,0,61.11
B,0.0567,0.0569,1343,52.22
B,0.0465,0.0589,803,47.7
B,0.137,0.0554,4016,48.99
Bottom-up,0.0423,0.06348815900011581,10393.3,41.96
B,0.0465,0.09,7707265,2380
B,-0.0589,0.064,0,18.94
Bottom-up,0.0077,0.1480697576976803,3812.1090000000004,72.53
B,-0.0135,0.1409,407.16,59.74
B,0.2148,0.4943,32.97,17.68
B,0.1037,0.0587,29702.67,108.4
B,0.124,0.0605,119370,102.32
B,0.0344,0.0039,0,121.34
B,0.0521,0.015,0,$73.50
B,0.1302,0.0094,0,41.57
B,0.0143,0.0084,0,37.92
B,0.0477,0.0102,0,47.37
B,0.1374,0.3541,108.3,57.9
B,0.0432,0.0425,280.2,31151.029678132578
B,0.0762,0.2798,49.96,24.35
B,0.0137,0.0349588195015611,0,59.33
B,0.4963,0.2229,18291,27.69
B,-0.0271,0.2413,40,4956.218555663586
B,-0.0591,0.41,72.6,7.68
B,-1.705,0.506,0,11.63
B,0.1532,0.0612,0,85.17
B,0.1025,0.0229,801,589.56
B,0.0784,0.0232,636,549.2586062374995
R,0.0954,0.0311,0,487.97
B,0.1128,0.0276,0,472.35
B,0.1079,0.0222,0,400
R,-0.0571,0.078,0,9.28
B,0.1213,0.0174,188.3,105.39
,0.1166,0,0,
B,0.0552,0.1073,2520,140.34
R,-0.006249244395160378,0.22153830009916256,2422.1,2.645220585812431
B,-0.0456,0.0234,119000,22748
B,N/A,0.5516,731.67,35.49
B,0.7215,0.0876,6316.4,92.67
B,70.78%,8.55%,$592.34,$86.35
B,0.46301518249440293,0.08383926669375774,2965,76.99945157427054
B,0.0155,0.573,0,29.26
B,0.0155,0.8509,0,26.85
B,0.1375,0.2389,2272.6,88.67
B,0.0294,0.2609,900,34.15
B,0.2665,0.16,5506,57.05
B,0.1,0.274,900.2,35.88
B,0.69,0.1616,16209,141.09
B,0.1158,0.334,55,21.32
B,0.214,0.0333,973167,133.25
B,0.0856,0.0973,3913,37.51
B,0.05,0.0906,8991,25.14
B,0.0714,0.1058,4479,20.9
B,0.1342,0.0874,4479,20.6
B,-0.0095,0.1727,541,61.15
B,0.1972,0.0386,827,82.52
B,0.1204,0.0014,2027.9,487.66
B,-1.1338,0.2858,0,10.03
B,-0.015520820750686753,0.5459,0,8.03
B,0.0164,0.1052,2796.3,26.91
B,0.42183201692524686,0.232,1069.6,50.46
B,0.519,0.242,5653,62.62
B,0.192,0.0228,188.28,94.14
B,0.3949,0.0306,0,62.72
B,0.6889,0.237,1207,51.54
B,0.0853,0.059,45.7,18.56
B,0.041,0.10980000000000001,0,6.9
B,0.0166,0.3777,16.63,14.48
B,0.0089,0.4152,0,49.62
B,-0.0926,0.032,-129.915,180.72713129759495
B,0.092,0.0346,0,$140.72
B,-0.0884,0.0316,0,137.2
B,0.0026,0.0366,0,86.07
B,-0.0688,0.0315,0,68.29
B,0.465,0.2687,3,32.97
B,0.0856,0.2,186.2,68.35
B,0.0864,0.2391,3421.6,31.72
B,0.1468,0.0477,0,59.91
B,0.3182,0.0487,0,45.54
B,0.2485,0.046,0,34.71
B,0.1761,0.0442,0,34.15
B,0.2392,0.0463,0,24.29
B,0.1571,0.0409,0,56.07
B,0.1162,0.1597,1242,176.46
B,0.1646,0.3132,831,57.01
B,0.1118,0,0,39.75
R,0.263,0.2689,2,5.63
B,N/A,0.1922,1308.33,52.83
B,N/A,0.1917,817.6,22.94
B,0.1255,0.125,248,55.4
B,0.1227,0.1278,814.7,53.8
B,0.1227,0.1278,814.7,53.8
B,0.1575,0.0884,3.28,19.32
B,0.7694,0.0306,0,116.25
B,0.3084,0.0315,0,92.3
B,0.1998,0.0652,70632,52.97343655973255
B,0.27732789736686325,0.05015658814690149,14126.4,42.52354787279672
