Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
B,0.0194,0.259,1427.5,66.5
B,-0.010562999999999989,0.2568878931476066,339,48.47
B,0.1913,0.0557,8505,104.18
B,0.28910056624103864,0.0133,327,42
B,-0.0443,0.1549,8.92,16.57
B,0.2945,0.1047,16210,186.5
R,0.0291,0.0409,0,389
B,0.0179,0.0508,1034.1,309.19
B,0.0807,0.0402,734.26,274.5491888004402
B,-0.021,0.0368,60,270.55
B,0.0585,0.0285,0,263.4
B,0.0503,0.0399,735,271.58
B,0.0969,0.0292,501,217.93
B,0.1067,0.069,0,176.21
B,-0.0092,0.0368,0,170.58
B,0.1,0.25,0,144
B,-0.0991,0.357,448.4,51.73
B,2.2019,0.1751,2085.4,7699
B,0.12329999999999998,0.0631,431.24,57.46
B,0.1077,0.0468,6088,41.24
B,0.2865,0.313,683120,72.47939928717454
B,0.2604,0.3001,624,60.2
B,0.0062,0.16599693756560335,203,91.77
B,0.0018,0.588,154,27.91
B,0.0432,0.095,1814.2,94.55
B,0.078,0.007,-,100.86
B,0.0176,0.0074,15,53.83
B,0.0756,0.18,3,632.47
B,0.2560199999999999,0.19317127717702073,6160,66.65
B,0.2505,0.2523,54.4,54.6
B,0.2272,0.1599,6580,31
B,0.2213,0.162,17622,30.16
B,0.0245,0.37,0,60.33
B,0.228,0.032,290.2,1394
B,0.3993,0.0312,0,1195
B,0.1228,0.0025,1450.8,88.81
B,0.012400000000000008,0.161,14920,101.81
B,0.1294,0.0157,601,26.52
B,,0.603064313294884,197.6,-5.7167499188540205
B,-0.0388,0.3509,143.6,65.16
B,-0.0913,0.3857,283,21.63
B,-0.1596,0.0693,0,39.78
B,0.0546,0.0963,0,10.04
B,0.11,0.0538,1226.14,2475433.5
B,0.1263,0.0673,1443,71.06
B,0.1549,0.0725,1050,38.56
B,0.09,0.098,15169,99.91
B,0.0583,0.0994,2868,64.49
B,-0.041,0.164,1479,29.72
R,0.2122,0.1875,2172,64.54
R,-0.0034,0.38,80.34,-2.33
B,0.0025,0.1158,32.2,43.36
B,-0.0438,0.76,0,15.15
B,0.0115,0.1846,0,43.58
B,0.1092,0.179,2757,104.55
B,0.0351,0.2686,259.6,24.98
B,-0.009,0.285,376,27.56
B,0.2709,0.0977,1531.4,68.84
B,-0.07,0.0971,736.22,61.8
B,0.2931,0.088,1217,62.67
B,-4.87,0.1021,885.03,59.71
B,0.10899999999999997,0.0885,1074,55.42
B,-0.1026,0.5007,1.26,13.19
B,0.028,0.1607,2913,56.01
B,0.14229999999999998,0.1328,3493.6690000000003,22.67
B,0.109,0.3274,648.2,10.5
B,0.0608,0.3352,2224,44.75
B,0.0231,0.3015,454.1,1105.09
B,0.1074,0.2421,721.68,36.02
B,0.007300000000000001,0.3933,0.0692,36.38
B,0.1323,0.2166,0,35.57
B,0.0377,0.248,587,126.97
B,0.0314,0.1314,119.14000000000001,15.87
B,0.0824,0.2103,197.83266666999998,73.84
B,0.16329999999999997,0.1696,233.3,69.33
B,0.0609,0.1822,223.32,38.23
B,0.33697806933477426,0.42421127895942834,3002.857142857143,181.76952344891657
B,0.5463,0.1581,901249,53.64
B,-0.0377,0.261,22.59,17.69
B,0.0215,0.2232,0,31.41
B,0.09,0.044,0,79.1
B,0.09,0.0296,0,56.27
B,-0.9553,0.0224,-10.991,47.59532712778849
B,0.1188,0.1843,304,49.89
B,0.2146,0.0383,0,48.29
B,0.2542,0.0349,0,42.67
B,0.1378,0.032,0,40.53
B,0.1006,0.0313,0,34.22
B,0.08260000000000002,0.0416,0,27.87
B,0.1101,0.0315,0,27.36
B,0.1725,0.2068,354.68,60.89
Bottom-up,0.1871,0.3974,51031,78.27
B,0.2193,0.3408,5936,55.08
B,0.0509,0.2601,509,101.64
B,0.1827,0.2265,13567,68.49
B,0.0134,0.312,1866,6.23
B,-0.0441,0.296,0,36.65
B,-0.0575,0.3231,201,$0.25
B,0.07780000000000001,0.2548,1627.533,31.79
B,0.08400000000000002,0.2267,88,23.54
B,0.1123,0.1932,93.26,16.09
B,0.1147,0.259,285,27.09
B,0.1141,0.2565,683.4,28.28
B,0.1098,0.2295,62.66,34.8
B,0.0797,0.2654,62.66,28.69
B,0.06630000000000001,0.1881,313.7,28.51
B,0.0207,0.1734,350.9,39.52
B,0.1273,0.1741,350.86,70.11
B,0.016939999999999997,0.1676,17.32,49.96
B,-0.0885,0.028,57.1,10.31
B,0.0227,0.347,487,42.19
B,0.0486,0.1214,0,6.82
