S&P Dow Jones Indices
S&P 500 Q3 2013
"Actual operating, as reported and sales are from S&P Capital IQ Compustat"
Issue level data includes restatements
""
""
TICKER
MMM
ABT
ABBV
ANF
ACN
ACE
ADBE
ADT
AES
AET
AFL
A
GAS
APD
ARG
AKAM
AA
ALXN
ATI
AGN
ALL
ALTR
MO
AMZN
AEP
AXP
AIG
AMT
AEE
AMP
ABC
AME
AMGN
APH
APC
ADI
AON
APA
AIV
AAPL
AMAT
ADM
AIZ
T
ADSK
ADP
AN
AZO
AVB
AVY
AVP
BHI
BLL
BAC
BK
BCR
BAX
BBT
BEAM
BDX
BBBY
BMS
BRK.B
BBY
BIIB
BLK
BA
BWA
BXP
BSX
BMY
BRCM
BF.B
CHRW
CA
CVC
COG
CAM
CPB
COF
CAH
CFN
KMX
CCL
CAT
CBG
CBS
CELG
CNP
CTL
CERN
CF
CHK
CVX
CMG
CB
CI
CINF
CTAS
CSCO
C
CTXS
CLF
CLX
CME
CMS
COH
KO
CCE
CTSH
CL
CMCSA
CMA
CSC
CAG
COP
CNX
ED
STZ
GLW
COST
COV
CCI
CSX
CMI
CVS
DHI
DHR
DRI
DVA
DE
DLPH
DAL
DNR
XRAY
DVN
DO
DTV
DFS
DISCA
DIS
DG
DLTR
D
DOV
DOW
DPS
DTE
DUK
DNB
DD
ETFC
EMN
ETN
EBAY
ECL
EIX
EW
EA
EMC
EMR
ESV
ETR
EOG
EQT
EFX
EQR
EXC
EXPE
EXPD
ESRX
XOM
FFIV
FDO
FAST
FDX
FIS
FITB
FSLR
FE
FISV
FLIR
FLS
FLR
FMC
FTI
F
FRX
FOSL
BEN
FCX
FTR
GME
GCI
GPS
GRMN
GM
GD
GE
GIS
GPC
GNW
GILD
GS
GT
GOOG
GWW
HAL
HOG
HAR
HRS
HIG
HAS
HCP
HCN
HP
HSY
HES
HPQ
HD
HON
HRL
HSP
HCBK
HUM
HBAN
ITW
IR
TEG
INTC
IPG
IBM
IFF
IGT
IP
INTU
ISRG
IVZ
IRM
JBL
JEC
JNJ
JCI
JPM
JNPR
KSU
K
KEY
KMB
KIM
KMI
KLAC
KSS
KRFT
KR
LTD
LLL
LH
LRCX
EL
LM
LEG
LEN
LUK
LIFE
LLY
LNC
LLTC
LMT
L
LO
LOW
LSI
LYB
MTB
MAC
M
MRO
MPC
MAR
MMC
MAS
MA
MAT
MKC
MCD
MHFI
MCK
MJN
MWV
MDT
MRK
MET
MCHP
MU
MSFT
MOLX
TAP
MDLZ
MON
MNST
MCO
MS
MOS
MSI
MUR
MYL
NBR
NDAQ
NOV
NTAP
NFLX
NWL
NFX
NEM
NWSA
NEE
NLSN
NKE
NI
NBL
JWN
NSC
NU
NTRS
NOC
NRG
NUE
NVDA
NYX
ORLY
OXY
OMC
OKE
ORCL
OI
PCAR
PLL
PH
PDCO
PAYX
BTU
JCP
PNR
PBCT
POM
PEP
PKI
PRGO
PETM
PFE
PCG
PM
PSX
PNW
PXD
PBI
PCL
PNC
PPG
PPL
PX
PCP
PCLN
PFG
PG
PGR
PLD
PRU
PSA
PEG
PHM
QEP
QCOM
PWR
DGX
RL
RRC
RTN
RHT
REGN
RF
RSG
RAI
RHI
ROK
COL
ROP
ROST
RDC
R
SWY
CRM
SNDK
SCG
SLB
SCHW
SNI
STX
SEE
SRE
SHW
SIAL
SPG
SLM
SJM
SNA
SO
LUV
SWN
SE
STJ
SWK
SPLS
SBUX
HOT
STT
SRCL
SYK
STI
SYMC
SYY
TROW
TGT
TEL
TE
THC
TDC
TER
TSO
TXN
TXT
TMO
TIF
TWX
TWC
TJX
TMK
TSS
TRV
TRIP
FOXA
TYC
TSN
USB
X
UNP
UPS
UTX
UNH
UNM
URBN
VLO
VAR
VTR
VRSN
VZ
VRTX
VFC
VIAB
V
VNO
VMC
WMT
WAG
WPO
WM
WAT
WLP
WFC
WDC
WU
WY
WHR
WFM
WMB
WIN
WEC
WPX
WYN
WYNN
XEL
XRX
XLNX
XL
XYL
YHOO
YUM
ZMH
ZION
ZTS
