Company,Date,Prce/Share,DCF Value/Share,Multiple,Pricing/share,Option value,Recommendation,Price/DCF,Price/RV,DCF/RV
Intuit,May 6 2022,395.71,202.33,EV/EBITDA,463.52,,Sell,1.9557653338605248,0.8537064204349327,0.43650759406282363
Etsy,2022-05-08 00:00:00,86.38,60.88,EV/Sales,103.74,N/A,Sell,1.4188567674113008,0.8326585695006747,0.5868517447464816
Paypal,2022-05-06 00:00:00,81.68,64.39,PBV,98.92,,Sell,1.268519956514987,0.8257177517185605,0.6509300444803882
Live Nation Entertainment,2022-05-08 00:00:00,92.51,21.78,EV/Sales,113.06,115.07,Sell,4.247474747474747,0.8182381036617725,0.19264107553511411
LVMH,2022-05-06 00:00:00,561.9,489.32,EV/EBITDA,726.17,,Sell,1.1483282923240414,0.7737857526474518,0.6738367049038104
Unilever,2022-05-08 00:00:00,42.27,32.34,EV/Sales,55.45,,Sell,1.3070500927643784,0.7623083859332732,0.5832281334535618
Square/Block,2022-05-07 00:00:00,96.19,41.66,EV/Sales,131.86,120.97,Sell,2.3089294287085935,0.7294858182921279,0.3159411497042317
CrowdStrike,2022-05-08 00:00:00,164.81,70.35,EV/Sales,228.29,,Sell,2.34271499644634,0.7219326295501336,0.30816067282841997
Pinterest,2022-05-08 00:00:00,22.6,18.2,EV/Sales,32.78,,Sell,1.2417582417582418,0.689444783404515,0.5552165954850519
Reliance,2022-04-25 00:00:00,2695,1987.33,EV/Sales,3993,,Sell,1.3560908354425285,0.6749311294765841,0.4977034810919108
Palantir,"May 8th, 2022",9.48,7.28,EV/Sales,14.23,,Sell,1.3021978021978022,0.6661981728742095,0.5115952213633169
Wolfspeed,2022-05-06 00:00:00,80.88,66.98,EV/Invested Capital,121.93,,Sell,1.2075246342191697,0.663331419667022,0.549331583695563
LifeTime Fitness,2022-05-06 00:00:00,14.58,3.71,EV/Sales,23.75,,Sell,3.929919137466307,0.6138947368421053,0.15621052631578947
Singapore Airlines,2022-04-29 00:00:00,5.5,4.87,PBV,9.69,,Sell,1.1293634496919918,0.5675954592363261,0.5025799793601652
Verizon,2022-05-08 00:00:00,48.27,177.03,PBV,87.62,,Sell,0.2726656498898492,0.5509016206345583,2.020429125770372
Snapchat,2022-05-06 00:00:00,24.92,18.21,EV/IC,51,,Sell,1.3684788577704559,0.4886274509803922,0.35705882352941176
Nokia,2022-05-03 00:00:00,4.97,4.57,EV/EBITDA,16.9,,Sell,1.0875273522975928,0.2940828402366864,0.270414201183432
Blue Apron,2022-05-06 00:00:00,3.25,1.83,EV/Sales,17.81,,Sell,1.7759562841530054,0.18248175182481755,0.10275126333520496
Agrify Corp,2022-05-06 00:00:00,2.84,1.94,EV/Sales,30.96,,Sell,1.4639175257731958,0.09173126614987079,0.06266149870801033
Costco,2022-05-06 00:00:00,503.36,391.68,EV/Invested Capital,345.27,,Sell ,1.2851307189542485,1.4578735482376113,1.1344165435745939
