Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
B,0.6316750107898145,0.2838,0,33.59
B,0.024,0.1238,4.95,11.99
B,0.0498,0.438,1089.4,53.42
B,0.3063,0.2829911139585714,74,2.075
B,0.1191,0.1809,34.4,21.91
B,0.05537763662364231,0.19874771525929788,574,50.8066257989741
B,0.1175,0.147,3442.31,28.33
B,0.0551,0.1711,918,26.11
R,-0.0154,0.23,1206,57.01
B,0.12040000000000001,0.03295265518559225,59.56,2.58
B,-0.070475462001276,0.210801781699917,301.25,0.7747
B,NA,0.37,895,52.6
B,0.0537,0.0003,0.92,114.87
B,-0.074323234549945,0.0252,4.6000000000000005,203.19
B,0.1759,0.0277,4.6,90.65
B,0.123,0.0241,10.38,63.4
B,0.3772,0.0251,0,58.84
B,0.2863,0.0251,0,65.48
B,0.364,0.026,-,52.32
B,0.2264,0.0271,0,66.34
B,0.38,0.0238,0,85.7
B,0.275,0.025,0,81.8
B,0.3549,0.0276,5.2,59.78
B,0.001899999999999999,0.1446603316159636,1026,138.97
B,0.05,0.1512,1447,198.63
B,0.4661,0.3072,1096.1,54.8
Avg (R/B),0.3581,0.0103,778.83,551.27
B,0.12280000000000002,0.11,83,17.49
B,0.27649999999999997,0.18461356375455376,"$2,897.00",92.75
B,0.4931,0.00119,6.24,79.96
B,0.245,0.0442,0.29,21.1
B,0.0173,0.1253,206.4,74.2
B,0.75,0.098,361.179,11.99
B,0.0796,0.0251,113,157
B,0.2392,0.0243,136.64,192.25
B,-0.0696,0.0356,409.93,24.63
B,-0.063,0.0392,136.64,62.28
B,-0.06392119436909818,0.03772402326593184,0,194.45268675585737
B,-0.066,0.028,136.64167,112.28
B,0.1146,0.0427,1498.4,59.17
B,0.1462,0.03110740995616271,1229.1799999999998,66.34904084463344
B,0.1267,0.006,1774,52.54
B,0.1343,0.0378,670.2075,43.77
B,0.1394,0.0085,559.67,62.97
B,0.1155,0.0362,1774,46.9
B,0.1253,0.0854,1297.39,50.7
B,0.1206,0.0378,374.72,53.56
B,0.1043334580570161,0.0379,619,47.68018813386977
B,0.36,0.2745,733,84.59
B,0.0367,0.439,208.3,44.85
B,-0.0201,0.0639,163873,2425
B,-0.2345,0.2927,0,10.03
B,0.0365,0.021,47,13.9
B,-0.1195,0.4723,0.87,29.59
B,0.1343,0.0107,25,28.9
B,0.581,0.0069,3.25,10.32
B,0.2338,0.1715,36.16,191.38
B,0.02,0.2988,42.6,2.79
B,-0.0494,0.2754,363.33,9.66
B,0.022,0.378,0,57.9
B,0.2093547699450868,0.1782,3305,76.76303836600272
B,0.2097,0.195,3083,75.99
B,0.2267,0.1927,6023.8,105
B,0.2086,0.1913,6030,85.62
B,0.0936,0.2158,12361.33,29.98
B,0.3131,0.225,6534,33.24
B,0.0299,0.058,7.533333333333334,44.2
B,0.3427,0.0457,549.63,697.99
B,0.6012,0.0456,114.28,358.99
B,0.0627,0.0166,0,17.31
B,-0.012900573609746321,0.2955,11,98.37139030382276
B,0.147,0.0154,11724,84.94
B,0.0996,0.1349,9.06,32.54
B,0.26,0.1129,394.07,162.22
B,0.05192009038870046,0.38993484318778426,19.806,60.08118264167578
B,,0.5878,483.8,15.8
B,0.12,0.0606,514.436028,44.78
B,-0.1175,0.4525,46.47,41.63
B,0.0976,0.3619,0,14.08
B,0.0893,0.3187,122.96,8.55
B,-0.050092912070428514,0.3302,203.7364,15.41
B,0,0.27,0,12.39
B,0.0402,0.11695753822373618,1980.11,71.62
B,-0.4362,0.6561,0,131.7
B,-0.04270327145689585,0.0218,1.3,35.1
B,0.2485,0.0249,546.3659793814434,2.579896907216495
B,0.47330000000000005,0.0757,0,11.28
B,0.6998,0.1037,0.64,8.8
B,0.0674,0.297,45917,4284
B,-0.0262,0.192,27.45,14.51
B,0.2784,0.0878,601.9,52.38
B,0.2838,0.089,551.1,52.65
B,0.2129,0.09337020949654672,$513.00,62.65
B,0.17850000000000002,0.1,1074,34.26
B,0.1785,0.1,1074,34.26
B,0.06663655809546877,0.1864275428125482,594,72.09497722552194
B,0.0606,0.2113,251.33,40.34
B,-0.0545,0.2488,149.75,29.08
B,0.3175,0.1686,911.162,43.35
B,0.1389,0.3496,990.33,107.9
