Company Name,Exchange:Ticker,Industry Classifications,Market Cap Class,Enterprise Value,Market Cap,Invested Capital,PE,PBV,EV/EBITDAR,EV/EBITDA,EV/EBIT,EV/Sales,EV/Invested Capital,ROE,ROIC,R&D/Sales,Operating Margin adjusted for R&D,Dividend Payout Rate,(Dividends + Buybacks)/ Net Income,Revenue Growth Rate (last 5 years),Expcted growth in EPS,Operating Margin,R&D Effect on Earnings,EBITDAR
Regulus Therapeutics Inc. (NasdaqGM:RGLS),NasdaqGM:RGLS,Biotechnology (Primary),4,246.3,382.6,-4.299999999999983,NA,2.8984848484848484,NA,NA,NA,18.518796992481203,NA,-0.5113636363636364,NA,0,-3.8045112781954886,NA,NA,NA,NA,-3.8045112781954886,0,-49.1
"Xenoport, Inc. (NasdaqGS:XNPT)",NasdaqGS:XNPT,Pharmaceuticals (Primary),4,285.79999999999995,387.9,-11,NA,4.257958287596049,NA,NA,NA,5.312267657992565,NA,-0.5960482985729967,NA,0,-0.9814126394052045,NA,NA,0.515,NA,-0.9814126394052045,0,-52.3
"SciClone Pharmaceuticals, Inc. (NasdaqGS:SCLN)",NasdaqGS:SCLN,Pharmaceuticals (Primary),4,304.09999999999997,390.4,69.00000000000001,23.804878048780488,2.5138441725692204,6.335416666666666,10.860714285714284,11.221402214022138,2.0658967391304346,4.407246376811592,0.10560206052801029,0.39275362318840573,0.13586956521739132,0.22690896739130434,0,1.2865853658536588,0.147,NA,0.18410326086956524,6.300999999999998,48
"Bellicum Pharmaceuticals, Inc. (NasdaqGM:BLCM)",NasdaqGM:BLCM,Biotechnology (Primary),4,201.6,393.2,0,NA,2.0521920668058455,NA,NA,NA,232.79445727482678,NA,-0.5046972860125262,NA,0,-31.87066974595843,NA,NA,NA,NA,-31.87066974595843,0,-26.9
"Cytokinetics, Incorporated (NasdaqCM:CYTK)",NasdaqCM:CYTK,Biotechnology (Primary),4,317.2,400.4,8.899999999999991,NA,4.3474484256243215,NA,NA,NA,7.793611793611793,35.64044943820228,-0.21498371335504887,NA,0,-1.0737100737100738,NA,NA,0.747,NA,-0.49140049140049136,-23.7,-19.4
"CytomX Therapeutics, Inc. (NasdaqGS:CTMX)",NasdaqGS:CTMX,Biotechnology (Primary),4,340.98,402,-62.67000000000001,NA,NA,681.96,NA,NA,45.10317460317461,NA,12.363636363636363,NA,2.380952380952381,-0.5846560846560847,NA,NA,NA,NA,-2.4470899470899474,14.08,0.5
Agenus Inc. (NasdaqCM:AGEN),NasdaqCM:AGEN,Biotechnology (Primary),4,368.53,402.7,-11.170000000000002,NA,17.508695652173913,NA,NA,NA,19.60265957446808,NA,-4.27391304347826,NA,0,-4.229255319148936,NA,NA,0.452,NA,-3.5106382978723403,-13.51,-64.1
"Teligent, Inc. (NasdaqGS:TLGT)",NasdaqGS:TLGT,Pharmaceuticals (Primary),4,391.6,405.5,25.19999999999999,21.684491978609625,10.37084398976982,91.28205128205128,91.28205128205128,106.12466124661248,8.721603563474389,15.539682539682548,0.47826086956521735,0.1464285714285715,0,0.0754966592427617,0,0,0.516,0.15,0.0821826280623608,-0.30019999999999997,4.29
Anavex Life Sciences Corp. (NasdaqCM:AVXL),NasdaqCM:AVXL,Biotechnology (Primary),4,400.196,407,-6.611,NA,2108.8082901554403,NA,NA,NA,NA,NA,-85.4922279792746,NA,NA,NA,NA,NA,NA,NA,NA,0.48039999999999994,-1.9099999999999997
BioSpecifics Technologies Corp. (NasdaqGM:BSTC),NasdaqGM:BSTC,Biotechnology (Primary),4,392,412.7,9.600000000000001,55.77027027027027,13.62046204620462,31.385108086469174,34.3859649122807,35,20.63157894736842,40.83333333333333,0.24422442244224424,1.1666666666666665,0.05736842105263158,0.5878578947368421,0,0.1054054054054054,0.301,NA,0.5894736842105263,-0.03069999999999995,12.49
"Advaxis, Inc. (NasdaqCM:ADXS)",NasdaqCM:ADXS,Biotechnology (Primary),4,395.563,413.1,3.062999999999999,NA,20.053398058252426,NA,NA,NA,NA,129.1423441070846,-1.8300970873786409,NA,NA,NA,NA,NA,NA,NA,NA,14.921000000000001,-19.4
"Natera, Inc. (NasdaqGS:NTRA)",NasdaqGS:NTRA,Biotechnology (Primary),4,355.90000000000003,416.3,8.899999999999991,NA,6.007215007215008,24.680998613037453,NA,NA,1.886062533121357,39.98876404494386,-0.3564213564213564,NA,0.11234764175940647,0.026560678325384203,NA,NA,NA,NA,-0.06677265500794913,17.612,14.419999999999998
"Orexigen Therapeutics, Inc. (NasdaqGS:OREX)",NasdaqGS:OREX,Biotechnology (Primary),4,294.70000000000005,416.3,-99.3,NA,18.668161434977577,NA,NA,NA,4.64826498422713,NA,-1.2511210762331837,NA,0.16246056782334387,-0.19733438485804417,NA,NA,2.728,NA,-0.3280757097791798,8.289000000000001,-10.3
Regenxbio Inc. (NasdaqGS:RGNX),NasdaqGS:RGNX,Biotechnology (Primary),4,419.51,416.8,-2.99,NA,NA,NA,NA,NA,115.25,NA,2.526315789473684,NA,0,-3.873626373626373,NA,NA,NA,-0.294,-3.873626373626373,0,0
"Loxo Oncology, Inc. (NasdaqGM:LOXO)",NasdaqGM:LOXO,Biotechnology (Primary),4,310.59999999999997,416.9,6.400000000000006,NA,3.699201419698314,16.09326424870466,NA,NA,NA,48.53124999999995,-0.24933451641526178,NA,NA,NA,NA,NA,NA,NA,NA,16.39,19.3
Pfenex Inc. (AMEX:PFNX),AMEX:PFNX,Biotechnology (Primary),4,380.41,422.3,18.009999999999998,NA,7.050083472454091,NA,NA,NA,41.84928492849285,21.12215435868962,-0.3005008347245409,NA,0.9801980198019802,-1.1216721672167216,NA,NA,NA,NA,-1.9801980198019802,7.804,-8.09
Cara Therapeutics Inc. (NasdaqGM:CARA),NasdaqGM:CARA,Biotechnology (Primary),4,370,422.7,-1,NA,8.176015473887814,NA,NA,NA,108.82352941176471,NA,-0.4081237911025145,NA,0.9794117647058824,-5.668529411764706,NA,NA,NA,NA,-6.294117647058823,2.1270000000000002,-17.270000000000003
"Collegium Pharmaceutical, Inc. (NasdaqGS:COLL)",NasdaqGS:COLL,Pharmaceuticals (Primary),4,434.47,423.1,-0.8299999999999992,NA,NA,NA,NA,NA,NA,NA,1.5081967213114753,NA,NA,NA,NA,NA,NA,0.2,NA,8.28,-6.699999999999999
Corcept Therapeutics Incorporated (NasdaqCM:CORT),NasdaqCM:CORT,Pharmaceuticals (Primary),4,448.59999999999997,438.9,6.309999999999999,NA,NA,320.42857142857133,NA,NA,11.682291666666666,71.09350237717909,4.926253687315634,NA,0.3802083333333333,-0.40432291666666675,NA,NA,NA,NA,-0.34895833333333337,-2.126000000000003,1.4000000000000004
"Aegerion Pharmaceuticals, Inc. (NasdaqGS:AEGR)",NasdaqGS:AEGR,Biotechnology (Primary),4,286.6,443.6,3.300000000000068,NA,2.7673112913287583,6.702525724976614,NA,NA,1.3086757990867581,86.84848484848305,-0.2557704304429195,NA,0.19817351598173516,0.06610776255707762,NA,NA,NA,NA,-0.05570776255707762,26.677599999999998,42.76
"Ardelyx, Inc. (NasdaqGM:ARDX)",NasdaqGM:ARDX,Biotechnology (Primary),4,341.4,448.7,-46.599999999999994,278.695652173913,7.3920922570016465,23.924316748423266,157.32718894009216,198.48837209302326,8.984210526315788,NA,0.02652388797364086,NA,0.31842105263157894,0.2920526315789474,0,0.0012422360248447205,NA,NA,0.04526315789473684,9.378,14.27
"XBiotech, Inc. (NasdaqGS:XBIT)",NasdaqGS:XBIT,Biotechnology (Primary),4,393.7,451,1.7000000000000028,NA,7.6440677966101696,NA,NA,NA,NA,231.58823529411725,-0.47796610169491527,NA,NA,NA,NA,NA,NA,NA,NA,16.002,-7.900000000000002
"Edge Therapeutics, Inc. (NasdaqGS:EDGE)",NasdaqGS:EDGE,Biotechnology (Primary),4,442.49,453.4,-1.9499999999999993,NA,50.60267857142856,NA,NA,NA,NA,NA,-1.8638392857142854,NA,NA,NA,NA,NA,NA,NA,NA,9.634,-5.399999999999999
"Vanda Pharmaceuticals, Inc. (NasdaqGM:VNDA)",NasdaqGM:VNDA,Biotechnology (Primary),4,337.5,467.3,31,8.867172675521822,2.9060945273631837,108.87096774193556,NA,NA,4.2240300375469335,10.887096774193548,0.3277363184079602,NA,0.23654568210262825,-0.41335419274092616,0,0,0.259,NA,-0.30663329161451813,-8.527000000000001,3.099999999999998
"Northwest Biotherapeutics, Inc. (NasdaqCM:NWBO)",NasdaqCM:NWBO,Biotechnology (Primary),4,486.1,473.8,-22.700000000000003,NA,NA,NA,NA,NA,238.2843137254902,NA,5.057142857142857,NA,0,-58.148039215686275,NA,NA,1.8969999999999998,NA,-55.73529411764706,-4.922,-113.7
"Xencor, Inc. (NasdaqGM:XNCR)",NasdaqGM:XNCR,Biotechnology (Primary),4,422.2,476.8,4.699999999999996,NA,8.040472175379428,NA,NA,NA,46.80709534368071,89.82978723404263,-0.38617200674536256,NA,0,-2.5055432372505546,NA,NA,NA,NA,-2.5055432372505546,0,-21.7
