date,open,high,low,close,adjclose,volume
1990-01-01,2.682220935821533,2.8170409202575684,2.41257905960083,2.533207893371582,0.9728166460990906,182114209
1990-02-01,2.533207893371582,2.7389869689941406,2.3345251083374023,2.44805908203125,0.9401180744171143,195858210
1990-03-01,2.44096302986145,2.710603952407837,2.3770999908447266,2.5970709323883057,0.9997272491455078,205298625
1990-04-01,2.5970709323883057,2.682220935821533,2.41257905960083,2.469346046447754,0.950560986995697,160316169
1990-05-01,2.469346046447754,2.781562089920044,2.469346046447754,2.710603952407837,1.0434318780899048,328386902
1990-06-01,2.710603952407837,2.8596160411834717,2.5970709323883057,2.682220935821533,1.034757137298584,210933982
1990-07-01,2.689316987991333,2.760274887084961,2.4267709255218506,2.44805908203125,0.9444214105606079,164977362
1990-08-01,2.44805908203125,2.44805908203125,1.7597639560699463,1.979733943939209,0.7637493014335632,288241799
1990-09-01,1.979733943939209,2.0506930351257324,1.6533269882202148,1.9016799926757812,0.7359436750411987,159842299
1990-10-01,1.8732969760894775,1.8732969760894775,1.46173894405365,1.4759310483932495,0.5711802840232849,248910557
1990-11-01,1.4759310483932495,1.7100930213928223,1.4120689630508423,1.7029969692230225,0.6590539813041687,258819555
1990-12-01,1.738476037979126,1.979733943939209,1.7100930213928223,1.8094350099563599,0.7025415897369385,190009701
1991-01-01,1.8094350099563599,2.2564709186553955,1.6959010362625122,2.206800937652588,0.8568249940872192,219902291
1991-02-01,2.206800937652588,2.7673709392547607,2.079076051712036,2.646742105484009,1.0276380777359009,401290718
1991-03-01,2.646742105484009,2.9376699924468994,2.5261130332946777,2.8383290767669678,1.1048222780227661,356935391
1991-04-01,2.8028500080108643,3.1292569637298584,2.7247960567474365,2.902190923690796,1.1296802759170532,299213044
1991-05-01,2.8667120933532715,3.1008739471435547,2.533207893371582,3.079586982727051,1.1987327337265015,509435343
1991-06-01,3.079586982727051,3.1079699993133545,2.8383290767669678,2.880903959274292,1.1240390539169312,197197028
1991-07-01,2.9092869758605957,3.214406967163086,2.8454248905181885,3.0512030124664307,1.190484881401062,222932240
1991-08-01,3.0512030124664307,3.2073121070861816,2.7531790733337402,3.001533031463623,1.1711055040359497,268568254
1991-09-01,3.001533031463623,3.022819995880127,2.582879066467285,2.809946060180664,1.0992625951766968,225992141
1991-10-01,2.809946060180664,2.9305739402770996,2.611262083053589,2.8596160411834717,1.1186929941177368,215232289
1991-11-01,2.8596160411834717,2.888000011444092,2.533207893371582,2.731890916824341,1.0687264204025269,191389032
1991-12-01,2.731890916824341,3.2569820880889893,2.689316987991333,3.2356948852539062,1.2691212892532349,236956339
1992-01-01,3.193120002746582,3.5975821018218994,3.1079699993133545,3.363420009613037,1.3192192316055298,343802665
1992-02-01,3.363420009613037,4.427793025970459,3.320844888687134,4.143959999084473,1.625366449356079,331501411
1992-03-01,4.143959999084473,4.825159072875977,4.136864185333252,4.569708824157715,1.7968546152114868,338331135
1992-04-01,4.569708824157715,4.6832427978515625,4.179439067840576,4.54132604598999,1.7856943607330322,312458517
1992-05-01,4.54132604598999,4.704529762268066,4.179439067840576,4.314260005950928,1.6964107751846313,258433766
1992-06-01,4.314260005950928,4.356834888458252,3.6898269653320312,3.9097979068756104,1.5420893430709839,282613488
1992-07-01,3.9097979068756104,4.21491813659668,3.5904860496520996,4.172342777252197,1.6456416845321655,256677451
1992-08-01,4.172342777252197,4.2220139503479,3.1576409339904785,3.2498860359191895,1.2818095684051514,444206817
1992-09-01,3.2498860359191895,3.4272820949554443,3.136353015899658,3.1647369861602783,1.2525535821914673,243276959
1992-10-01,3.1647369861602783,3.3066530227661133,2.852519989013672,3.2285990715026855,1.2778290510177612,295603528
1992-11-01,3.2285990715026855,3.796264886856079,3.0653951168060303,3.774976968765259,1.4940764904022217,389701153
1992-12-01,3.774976968765259,3.994947910308838,3.5691978931427,3.9665639400482178,1.574834942817688,284700986
1993-01-01,3.9665639400482178,4.2716851234436035,3.8530309200286865,4.087193012237549,1.6227283477783203,274901201
1993-02-01,4.087193012237549,4.314260005950928,3.774976968765259,4.186534881591797,1.6621692180633545,280076781
1993-03-01,4.172342777252197,4.520039081573486,4.108480930328369,4.321355819702148,1.7202314138412476,267005712
1993-04-01,4.321355819702148,4.342642784118652,3.91689395904541,4.250397205352783,1.6919840574264526,186671466
1993-05-01,4.250397205352783,5.04512882232666,4.186534881591797,4.732913017272949,1.8840621709823608,332982916
1993-06-01,4.768392086029053,5.066417217254639,4.456175804138184,4.598093032836914,1.8358824253082275,370450386
1993-07-01,4.598093032836914,4.598093032836914,3.9736599922180176,4.087193012237549,1.6318957805633545,298735652
1993-08-01,4.087193012237549,4.378121852874756,3.88850998878479,4.207821846008301,1.680058479309082,315886592
1993-09-01,4.207821846008301,4.229109764099121,3.6543478965759277,3.8814148902893066,1.5553898811340332,317186651
1993-10-01,3.8814148902893066,4.321355819702148,3.8104560375213623,4.179439067840576,1.674816608428955,248068510
1993-11-01,4.179439067840576,4.527133941650391,3.9807560443878174,4.186534881591797,1.6776602268218994,267875944
1993-12-01,4.21491813659668,4.484559059143066,4.21491813659668,4.484559059143066,1.8029497861862183,221175929
1994-01-01,4.477464199066162,4.981266975402832,4.399409770965576,4.839351177215576,1.9455889463424683,267690972
1994-02-01,4.839351177215576,5.3147711753845215,4.576805114746094,5.144471168518066,2.068256378173828,326239510
1994-03-01,5.144471168518066,5.194141864776611,4.4632720947265625,4.661954879760742,1.8794687986373901,329877215
1994-04-01,4.640667915344238,4.775487899780273,4.2007269859313965,4.55551815032959,1.836558222770691,264356264
1994-05-01,4.5626139640808105,4.711626052856445,4.229109764099121,4.456175804138184,1.7965091466903687,338692265
1994-06-01,4.456175804138184,4.569708824157715,4.264588832855225,4.2716851234436035,1.7287694215774536,242274609
1994-07-01,4.2716851234436035,4.427793025970459,4.0800981521606445,4.406505107879639,1.7833319902420044,208767215
1994-08-01,4.406505107879639,5.151566982269287,4.406505107879639,5.108992099761963,2.067631244659424,364793891
1994-09-01,5.087704181671143,5.194141864776611,4.8464460372924805,4.959980010986328,2.0140113830566406,239232325
1994-10-01,4.959980010986328,5.612794876098633,4.74000883102417,5.556028842926025,2.256037712097168,315877781
1994-11-01,5.548933029174805,5.818573951721191,5.343153953552246,5.548933029174805,2.253157138824463,423821583
1994-12-01,5.499261856079102,5.818573951721191,5.215428829193115,5.669561862945557,2.3093924522399902,317346956
1995-01-01,5.669561862945557,6.095311164855957,5.563124179840088,5.70504093170166,2.3238437175750732,316492578
1995-02-01,5.70504093170166,6.67007303237915,5.6908488273620605,6.52815580368042,2.6591248512268066,329764474
1995-03-01,6.52815580368042,7.095821857452393,6.513965129852295,6.833277225494385,2.791046142578125,361543737
1995-04-01,6.833277225494385,7.535762786865234,6.748126983642578,7.50738000869751,3.0663838386535645,234425800
1995-05-01,7.49318790435791,8.231152534484863,7.237738132476807,7.49318790435791,3.0605857372283936,343477649
1995-06-01,7.49318790435791,8.784627914428711,7.4648051261901855,8.458219528198242,3.4639294147491455,258517441
1995-07-01,8.458219528198242,9.508400917053223,8.146003723144531,8.841394424438477,3.6208527088165283,243973674
1995-08-01,8.742053031921387,9.692893028259277,7.947320938110352,9.08265209197998,3.7196552753448486,387727277
1995-09-01,9.08265209197998,9.749658584594727,8.869776725769043,9.465826988220215,3.886234760284424,272807542
1995-10-01,9.465826988220215,10.970141410827637,8.373069763183594,10.516008377075195,4.317389488220215,362848203
1995-11-01,10.516008377075195,10.89918327331543,9.409059524536133,9.42325210571289,3.868756055831909,419681825
1995-12-01,9.409059524536133,10.005108833312988,8.486602783203125,9.508400917053223,3.913964033126831,438892068
1996-01-01,9.508400917053223,9.72127628326416,8.358878135681152,9.62193489074707,3.9606969356536865,460089403
1996-02-01,9.62193489074707,11.821639060974121,9.607743263244629,11.438465118408203,4.708439826965332,415984224
1996-03-01,11.083674430847168,11.736490249633789,10.189599990844727,10.686307907104492,4.407650947570801,437950494
1996-04-01,10.714691162109375,12.758288383483887,10.65792465209961,12.0203218460083,4.957878112792969,289030996
1996-05-01,12.0203218460083,13.09888744354248,11.50942325592041,12.091280937194824,4.987147808074951,434963702
1996-06-01,12.091280937194824,12.34673023223877,10.643733024597168,11.31074047088623,4.676516532897949,350571612
1996-07-01,11.367506980895996,11.6087646484375,8.571752548217773,9.990917205810547,4.130824565887451,623638546
1996-08-01,9.990917205810547,10.586965560913086,9.025885581970215,9.934150695800781,4.107351303100586,298682802
1996-09-01,9.934150695800781,11.26816463470459,9.650318145751953,11.06948184967041,4.588000774383545,284708472
1996-10-01,11.041098594665527,11.041098594665527,9.650318145751953,10.019301414489746,4.15272855758667,307977004
1996-11-01,10.019301414489746,12.4886474609375,9.707083702087402,12.233197212219238,5.070328235626221,319042497
1996-12-01,12.233197212219238,12.914396286010742,11.239782333374023,11.41008186340332,4.740081787109375,239001117
1997-01-01,11.41008186340332,12.573797225952148,11.41008186340332,11.949363708496094,4.964114665985107,237740691
1997-02-01,11.949363708496094,13.510444641113281,11.126249313354492,12.744095802307129,5.2942705154418945,335118858
1997-03-01,12.744095802307129,13.623977661132812,12.062896728515625,12.091280937194824,5.033692359924316,282376113
1997-04-01,12.062896728515625,12.318346977233887,10.927565574645996,11.920981407165527,4.962796211242676,329777687
1997-05-01,11.920981407165527,13.39691162109375,11.381697654724121,11.693915367126465,4.868266582489014,397279996
1997-06-01,11.722297668457031,12.715712547302246,11.551998138427734,12.715712547302246,5.30760383605957,275515563
