Company,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
MEDAREX,B,-0.091,0,-7,36.62
MediaCom,B,-1.0474,0.25,0.658,8.58
Medtronic,B,0.1201,0.0157,148.39,53.54
Medtronic,B,0.1421,0.0074,133.34,47.49
Merck,B,0.2375,0.0402,1751.54,91.08
Merck,B,0.2167,0.029,5054.19,70.81
Merck,B,0.165,0.0354,2798,44.13
Merrill Lynch,B,0.0697,0.59,732.4,49.93
Metro Goldwyn Mayer,B,-0.0864,0.1506,0,3.23
Metro-Goldwyn-Mayer,B,-0.0778,0.2,0,1.6
MGM Mirage,B,0.0882,0.1985,28.83,32.89
Midas,B,0.2427,0.41,22.83,13.83
Midway,B,-0.0759,0.8909,0,4.37
MiniMed,B,0.021,0.015,0,30.52
Morgan Stanley,B,0.1878,0.32,1650.8,76.97
Motorola,B,-0.0177,0.22,350,16.55
Motorola,B,-0.0765,0.0927,272.4,12.76
Motorola,B,-0.0765,0.0927,272.4,12.76
Motorola,B,-0.077,0.2289,807,9.11
Movado,B,0.04860000000000002,0.3637,0.9,4.74712388499573
Nautica,B,0.0831,0.0885,32.5,18.54
Neiman-Marcus,B,0.01175000000000001,0.26,0,58.9
New York Times,B,0,0.0902,270.33,85.23
Newell,B,-0.006399999999999989,0.25973746301840306,139.99,25.47
Nextel,B,-0.6603,0.483,0,48.58
Nextel,B,-0.6192,0.28,1144.52,38.22
Nextel,B,-0.2696,0.5863,-1000,25.28
Nextel,B,-0.6942,0.535,0,17.96
Nextel,B,-0.679,0.5286,4.1,16.89
"Niagara Mohawk Holdings, Inc.",B,-0.0773,0.6802,58,17.5
Nokia,B,0.1132,0.0123,1004,37.97
Nokia,B,0.2046,0.012,1004,31.91
Nordstrom,B,-0.0231,0.369,223.9,9.57
Nordstrom,B,-0.0214,0.2507,223870000,6.94
Nortel,B,-0.1098,0.0662,158.66,20.95
Nortel,B,-0.2876,0.0564,223,18.52
Nortel,B,-0.1841,0.0767,170.4,14.18
Nortel,B,-0.1841,0.0767,170.4,14.18
Nortel,B,-0.2201,0.0276,276,-85.43
Nortel Networks,B,-0.242,0.0522, 223 M,13.09
Northwest,B,0.1276,0.8117,106.79,25.38
NTT Docomo,B,-0.0862,0.06,14610,105849.05
Occidental Petroleum,R,0.2925,0.3901,566,30.23
Odwalla,B,-0.0892,0.1766,0,30
Oracle,B,0.5302,0.0064,0.63,18.57
P & G,B,0.1984,0.12990010850515288,2959.6,56.84
Palm,B,-0.0663,0.8073,0,52.4
PanAmSat,R,-0.083,0.1211,0,30
PCS,B,-0.8005,0.3422,0,21.36
Pep Boys,B,-0.0725,0.762,49.98,8.01
Pepsi,B,0.1988,0.057,748,46.03
Pepsi,B,0.214,0.0472,1449.13,44.34
Pepsi,B,0.2104,0.0409,1449.13,43.96
Pfizer,B,0.1691,0.024,1477.09,45.62
PFIZER,B,0.2637,0.0284,1477.09,34.13
Pharmacia,B,0.139,0.096,622,44.06
Phillips Petroleum,R,0.2528,0.3176,531,64.84
Picturetel,B,-0.5983,0.2148,0.1,3.21
Pixar,B,0.0993,0.0001,0,50.18
Pixar,B,0.1058,0,0,39.26
Pixar,R,0.0809,0.0005,-5650,29.17
Pixar,B,0.0716,0,0,42.2
Pixar Animation Studios,B,0.0442,0.0011,0,31.64
Playboy Enterprises,B,-0.1734,0.307,0,8.51
"Plug Power, Inc.",B,-0.7853,0.0036,0,24.2
Price Communications,B,-0.0457,0.4081,29.9,13.08
Primedia,R,-1.163,0.146,-194080,4.25
Primedia,B,-0.2877,0.5276,0.26,14.91
"Public Service Enterprise Group, Inc.",B,0.0278,0.4437,528,57.4
Qwest,B,-0.042,0.3376,790.8,74.83
Qwest,B,-0.1878,0.2128,0,47.68
Qwest,B,-0.1294,0.2487,1179.75,32.72
Qwest,B,-0.013400000000000009,0.2374,928,27.66
Qwest,B,0.0627,0.2401,576000000,25.33
RCN,B,-0.9843,0.772,0,12.17
RCN,B,-1.925,0.8173,3,12.32
Revlon,B,,0.83,0,6.15
Safeway,B,0.201719,0.28,0,54.88
Saks,B,-0.0411,0.6281,0,5.606683786529506
Saks Fifth Avenue,B,-0.0586,0.49,0,14.42
Sara Lee,B,0.5555,0.2184,485,25.25
Schering Plough,B,0.1754,0.0435,1657,48.98
Sears,B,0.0445,0.6096,970,44.1
"Sears, Roebuck and Co",B,0.0421,0.6207,843,50.5
Shiseido,B,-0.0364,0.0517,39.57,8.42
Silicon Graphics,B,-0.4839,0.34,0,6.02
Sinclair Broad.,B,-0.1603,0.6706,128.3,12.35
SLR,B,0.0087,0.2195,-156.88,14.06
Sogecable,B,-0.1211,0.19,0,33.16
Solectron,B,0.0027,0.2421,0,20.66
Sony,B,0.0118,0.1561,211,18.23
Sotheby's,B,-0.04,0.1697,0,10.021150592216582
Southwest,B,0.0873,0.1571,1.4,13.83
Southwest Airlines,B,-0.0104,0.1804,1.31,18.17
Spectralink,B,-0.0094,0.03,4.77,2.9
Sprint,B,0.0376,0.17,193.5,22.5
Sprint,B,0.0465,0.2086,-334,14.49
Sprint FON,B,0.0113,0.2444,28,28.62
Sprint FON,B,0.0511,0.2245,370590000,26.11
Sprint PCS,R,-0.8448,0.4117,10,42.47
Sprint PCS,B,-0.6677,0.3857,10,32.79
Sprint PCS,B,-0.9188,0.3422,0,21.28
SprintPCS,B,0.7241,0.3334,0,25.48
"Staples, Inc.",R,-0.0787,0.3269,0,16.86
Starbucks,B,0.0099,0.0971,$ -,52
Stryker,B,0.516,0.103,12.7,65.69
Sun Microsystems,B,0.1909,0.0494,0,16.77
Sun Microsystems,B,0.0537,0.0357,140.21,19.87
Sybase,B,0.1257,0.1358,0,31.58
Sycamore,B,-0.0981,0,0,3.79
Taiwan Semic,B,0.4021,0.03,0,226.19
Target,B,0.139,0.15,776,54.28
Target,B,0.1072,0.1777,409,36.6
Target Corp.,B,0.2042,0.1767,274000000,35.61
Target Corporation,B,0.0916,0.1514,284,22.63
Tellabs,B,0.1853,0.007,28.08,67.3
Texas Instruments,B,0.0881,0.0201,107.97,50.91
The Body Shop,B,0.0527,0.0087,10.9,30.42
The Gap,B,0.4735,0.108,104.99,41.22
The Gap,B,0.271,0.2048,381.56,39.61
The Gap,R,0.297,0.1717,315.95,34.54
The Gap,B,0.1155,0.2036,315.95,24.93
The Gap,B,0.1964,0.2028,328636000,26.36
The Limited,B,0.0856,0.3369,387.69,17.31
The TJX Companies,B,0.3323,0.2077,,
Tiffany,B,0.0885,0.1115,23,27.25
Tiffany & Co,B,0.055,0.119,11,33.54
Tiffany & Co.,R,0.12,0.118,29,36.48
Tiffany & Co.,B,0.091,0.1309,21.8,24.34
Timberland,B,0.2917,0.0556,0,60.59
Timberland,B,0.0562,0.1489,6.8,56.14
Time Warner,B,0.0593,0.2351,1726,70.18
Tribune,B,-0.0128,0.2956,17.05,24.23
Triton PCS,B,-0.6839,0.2967,0,44.17
TSA,B,-1.6511,0.9028,0,2.28
Univision,B,0.0692,0.0659,10.83,50.94
Univision,B,0.0775,0.0758,0.55,40.18
Univision,B,0.0963,0.1012,0,43.15
US Cellular,B,-0.0694,0.1013,55.18,44.73
USA Networks,B,-0.1047,0.0771,0,16.02
USA Networks,B,-0.1196,0.129,0,9.52
Valeo,B,0.118,0.16,44.82,63.61
Venator,B,-0.1179,0.5453,79.9,13.1
Verisign,B,-0.46,0.0216,0,56.53
Verizon,B,0.1653,0.1055,,85.01
Verizon,B,0.2499,0.2843,3521,85.04
Verizon,B,0.289,0.2683,6490,69.55
Verizon,B,0.2376,0.2843,4420000000,51.79
Verizon,B,-0.0623,0.3018,2371,46.94
Verizon,B,0.1829,0.288,3251.48,33.1
Version,R,0.2806,0.2931,8607.8,48.77
Viacom,B,-0.103,0.0014,1441.13,55.7
Viacom,R,-0.1298,0.19,0,45.4
Viacom,B,-0.0756,0.145,0,34.72
Viacom,B,-0.0855,0.155,0,12.98
"Viacom, Inc.",B,-0.091,0.1488,32.53,54.64
Vivendi,R,0.0194,0.2607,607,55.23
Vodafone,B,-0.1121,0.08,52.54,1.73
VoiceStream,R,-0.2032,0.1882,0,104.32
Voicestream,B,-0.2762,0.0644,0,107.95
VoiceStream,B,-0.282,0.176,-1651,65.68
VoiceStream,B,-0.4438,0.1534,0,60.78
Wal-Mart,B,0.1317,0.0931,1113,44.13
Wal-Mart Stores,B,0.1303,0.0424,637.02,29.47
Western Wireless,B,-0.1867,0.3674,0,44.1
World Wrestling Federation,B,-0.1429,0.0435,0,19.39
WorldCom,B,-0.0802,0.41,391.35,46.98
WorldCom,B,-0.1397,0.4089,-193,28.29
Worldcom,B,0.0184,0.4628,0,18.31
Worldcom,B,-0.1998,0.5036,71.51,10.42
Yahoo!,b,0.1042,0,0,17.86
Yahoo!,B,-0.1366,0.0123,0,14.76
Yahoo!,B,-0.1678,0.0167,0,19.42
Zoom,B,-0.244,0.1054,3397,1.8
