Company,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
Egghead.com,B,-3.784,0.1354,0,7.54
3Com,B,0.0543,0.0068,871.14,7.99
3Com,B,0.0543,0.0068,871.14,4.32
Abbott Labs,B,0.2258,0.0222,915.8,58.48
Abercrombie & Fitch,B,0.4829,0.1064,0,9.68
ACTT,B,0.0247,0.1781,0,12.05
Adelphia,B,-0.272,0.6231,0,33.5
Adobe,B,0.5131,0.0081,0.76,39.57
Affymetrix,B,-0.416,0.108,0,34.03
Alaska Air,B,-0.0611,0.6689,-9.72,11.47
Allegiance,B,-0.528,0.2205,0,23.18
Alltel,B,0.2439,0.2142,325,63.62
Amazon.com,B,,0.2859,0,1.73
Amazon.com,B,,0.2441,0,23.25
Ambev,B,-0.0071,0.1204,343,24.63
AMD,B,0.104017,0.14079486961023513,0,49.72861743747272
AMD,B,-0.0334,0.1591,-60.83,43.33
Amdocs,B,0.0598,0.1464,0,66.64
American Air,B,0.0301,0.7202,0,22.91
American Airlines,B,-0.0174,0.71,0,58.73
American Airlines,B,0.22695,0.8119,-45.5,45.89
American Electric Power Company,B,-0.058,0.4313,620,46.1
American Express,B,0.185,0.09,1757,48.89
AMGEN,B,0.1986,0.0061,0,50.96
Amgen,B,0.1632,0.027,341.2,41.46
Amgen,B,0.1998,0.005,0,34.64
Amgen,B,0.1128,0.005,775.9,20.28
Anheuser Busch,B,0.3023,0.123,518,47.34
Anheuser Busch,B,0.3239,0.1424,1295.56,57
Anheuser-Busch,B,0.346,0.1212,971.75,44.48
Anheuser-Busch,B,0.153,0.021,571,37.4
AOL (pre-merger),B,-0.0223,0.0134,0,16.38
AOL (pre-merger),B,-0.0223,0.0134,0,16.38
AOL Time Warner,B,-0.038,0.1007,0,20.45
Apple,B,-0.0488,0.063,0,28.04
Apple,B,-0.102,0.0541,5.632,36
Ashford.com,B,-0.3486746137621645,0,0,0
AT&T,B,-0.0733,0.2665,4237,30.84
AT&T,B,0.0067,0.5236,3.87,27.68
AT&T,B,-0.1009,0.4423,1322,25.82
AT&T,B,-0.1084,0.4372,4230,24.23
AT&T,B,-0.0906,0.4356,2528,18.68
AT&tT Wireless,R,-0.0632,0.0761,0,17.13
Autoliv,B,-0.039,0.38,56.06,25.21
Avon,B,,0.1337,296.4,25.49
Avon,B,-2.328,0.1211,178,39
Ballard Power Systems Inc.,B,-0.2554,0.0014,0,63.13
"Barne & Noble,Inc.",R,0.0351,0.5791,14.38,43.95
Barnes & Noble,B,0.1894,0.177,0,39.45
Barnes & Noble,B,-0.0102,0.5249,71.89,32.43
Barnes & Noble,B,0.058,0.59,0,30.2
Barr Labs,B,0.241,0.017,0,64.08
Bear Stearns,B,0.0628,0.79,558.6,20.78
BeBe,B,0.1579,0.1285,0,22.46
BellSouth,B,0.1391,0.2092,1843,43.45
Best Buy,B,0.067,0.15,39763000,59.6
Best Buy,B,0.21,0.1427,0,52.98
Best Buy,B,0.2077,0.1414,0,51.35
Blue Martini,B,-0.9707,0.0451,0,6.56
Boeing,B,0.0919,0.1418,1092,54.13
Boston Beer Co.,B,0.0419,0.037,0,9.2
Boston Communications,B,-0.1487,0.0337,0,36
Boston Communications Group,B,-0.1487,0.0337,0,29.27
Boston Scientific,B,0.0696,0.1191,0,22.7
Britax,B,0.205,0.19,11.1,1.84
British Airways (in GBp),B,-0.0393,0.685,975.6,2.56
Broadcom,B,-0.2977,0.0025,0,20.22
Cadbury,B,0.0788,0.1802,83.5056,6.02
Callaway Golf ,B,0.0409,0,45.662,31.67
Calpine Corporation,B,-0.0558,0.298,0,61.5
Campbell,B,5.128,0.2,365,30.8
Campbell soup,B,0.3232,0.1879,384,28.57
Celera,B,-0.1754,0.012,0,53.78
Charles Schwab,B,0.3295,0.23,97,30.52
Chart House,B,-0.2885,0.5295,-3.84,3
Charter,B,-0.2332,0.57,0,10.94
Charter Communications,B,-0.433,0.724,1744,32.18
Cheesecake,B,0.0745,0.1278,15.2,30
Ciena,B,0.0841,0.0037,0,53.04
Ciena,B,0.0455,0.0035,0,37.64
Cisco,B,-0.109,0,590,23.34
Citigroup,B,0.1741,0.3,4701.2,58.39
Clear Channel,B,0.0031,0.1913,0,54
Clorox,B,0.1357,0.1524071454746928,169,37.18
CNET,B,-0.3832,0.092,0,32.85
Coca-Cola,B,0.2301,0.0476,1950.67,38.54
Coca-Cola,B,0.1334,0.0488,2345,47
Coke,B,0.1372,0.038,1475.8,63.21
Coke,B,0.2587,0.0523,2010.6,42.86
Colgate,B,0.4722,0.0976,820.58,48.67
Colgate-Palmolive,B,0.0428,0.076,382,22.27
Comcast,R,0.0425,0.1939,9.4,44.97
Compaq,B,-0.0434,0.0843,69.5,12.55
Comverse,R,0.0914,0.033,0,41.94
Continental,B,0.1098,0.7749,-96.37,129.24
Continental,B,0.0995,0.78,0,45.5
Cooper,B,0.004,0.606,68.6,9.68
Corning,B,0.12780000000000002,0.2053,211.5,37.93
Corning,B,0.0199,0.1757,231.27,25.22
Corning,B,-0.0007,0.1198,218.58,10.06
Corning,B,-0.1165,0.1574,4552.1,2.99
Costco,B,0.0377,0.079,99.95,43.42
Dana,B,0.0042,0.63,247,22.92
Dana,B,-0.041,0.64,0,12.36
Dell,B,0.2619,0.0161,308.6,48.29
Delphi,B,0.212,0.295,183,16.91
Deltathree,B,-0.5189,0.1388,0,0.73
DENTSPLY,B,0.1012,0.066,24.21,29.7
Deutsche Telekom,B,-0.003,0.4501,1602.98,6.23
Diageo,B,0.172,0.3097,2152,6.83
Dial,B,-0.1381,0.3245314030606551,34.87,5.09
Donna Karan,B,0.033,0.33,0,6
Donna Karan Intl. Inc.,B,0.0082,0.3847,0,31.44
Donnelly,B,0.001,0.49,3.7,20.96
Double Click,B,-0.4543,0.1746,0,56.39
Electronic Arts,B,0.0488,0.0069,0,27.47
EMC,B,0.1046,0.0081,0,34.29
Emulex,B,0.1294,0,0,41.64
Enron Corporation,B,-0.0104,0.2139,-321,72.4
Ericsson,R,0.039,0.1303,14070.92,59.21
Ericsson,B,0.0564,0.13,4193,55.86
Estee Lauder,B,0.16829999999999998,0.0308,0.2,37.73
ExxonMobil,R,0.1198,0.0463,7214,101.85
Federated,B,0.0404,0.4782,292,30.43
Fedex,B,0.039,0.4478,0,41.06
"Florida Power & Light Group, Inc.",B,0.0631,0.3212,296,70.5
Ford,B,0.0467,0.2702,3888,32.9
Fox,R,-0.0716,0.0187,0,11.64
Fox ,B,-0.0886,0.1213,0,11.69
Fox Entertain.,B,-0.0767,0.074,0,5.24
Fox Entertainment Group,B,-0.0499,0.1745,0,20.8
France Telecom,B,0,0.18,1,138
Gannett,R,0.2341,0.267,1170408,71.94
Gannett,B,0.239,0.2222,469.26,65.87
Gannett,B,0.0852,0.223,712,62.68
Gap,B,0.177,0.1551,210.61,38.43
Gap,B,0.217,0.2038,467,15.35
Gateway,B,0,0.0529,0,18.73
Gaylord Entertainment,R,0.0038,0.0878,0,72.81
Gemstar,R,-0.1134,0.0436,-56000,64.94
Genentech,B,-0.027,0.013,0,29.89
Gentner,B,0.21,0.0683,0,21.83
Gillette,B,0.144,0.1374,740,23.8
Gillette,B,0.057474278845673604,0.11683723154956278,1202.54,20.35
Global Crossing,B,-0.299,0.439,0,76.38
Global Crossing,B,-0.2834,0.28,1164.58,17.73
Global Crossing,B,-0.328,0.3478,0,16.93
Global Crossing,B,-0.1978,0.4522,0,13.18
GM,B,0.0663,0.82,4018.8,65.18
Goldman Sachs,B,0.13,0.48,486,121.05
Gucci,B,-0.0258,0.1027,387.99,113.13
Hershey,B,0.2079,0.158,129,64.37
Hershey,B,0.1969,0.1277,145,48
Home Depot,R,0.0558,0.0506,95.12,62.8
Home Depot,B,0.089,0.044,95,55.66
Home Depot,B,0.1632,0.042,241.89,40.58
Home Depot,B,0.115,0.04,152.4,16.57
I2 Technologies,B,-0.0824,0.0639,0,22.26
Imax,B,-0.1731,0.6748,4,4.47
IMMUNEX,B,0.0972,0.0226,0,7.15
Insight,B,-0.2121,0.3598,0,21.24
Intel,B,0.1743,0.0075,537,33.68
Intel,B,0.1723,0.0064,1819.19,47.24
J & J,B,0.1548,0.024472449605025513,1432.2,104
JDS Uniphase,B,-0.072,0.0042,0,30.14
JDS Uniphase,B,-0.1939,0.0058,0,8.53
JDS Uniphase,B,-0.211,0.0067,0,23.6
JDS Uniphase,B,-0.2876,0.0039,827.2,25.56
Johnson & Johnson,B,0.1167,0.03172666984718264,1698.5,55.96
Johnson & Johnson,B,0.1273,0.02,1724,53.9
Johnson Controls,B,0.078,0.24,91.84,46.93
Juniper Networks,B,0.0786,0.0554,0,50.65
Kellogg,B,0.6298,0.378,597.2,30
Kenneth Cole,B,-0.0373,0.2012,0.15,25.02
Kimberly Clark,B,0.22290000000000001,0.08888999319307232,1274.26,76.56
K-Mart,R,-0.0912,0.76,0,17.25
Kohl's,B,0.06599999999999999,0.11,0,40
Krispy Kreme,B,0.0965,0.024,-16.59,39
Lab Corp.,B,0.216,0.125,0,78.91
Land's End,B,0.0803,0.046,21.21,24.51
Lear,B,0.019,0.63,71.2,23.87
Legato,B,-0.2594,0.031,0,14.71
Lehman Brothers,B,0.2314,0.71,520,86.45
Lilly,B,0.191,0.0285,1126,66.94
Limited Inc.,B,-0.0315,0.3173,118.54,17.1
Lion's Gate,B,-0.1518,0.41,0,1.92
Lucent,B,-0.0561,0.2059,183.6,20.68
Lucent,B,-0.0561,0.2059,183.6,20.68
Lucent,B,-0.0695,0.1,1011.4,19.23
Lucent,B,-0.145,0.1505,255,12.79
Lucent,B,-0.0687,0.0971,255,20.2
Lucent,B,-0.0232,0.0762,159.8,10.65
Lucent,B,0.0479,0.1016,0,5.38
Lufthansa,B,0.0686,0.3976,214.73,29.08
Macromedia,B,-0.0756,0.0471,0,18.78
Marks & Spencer,B,-0.0317,0.2191,593,4.66
Marks & Spencer,B,-0.0948,0.0028,364.38,0.45
Martha Stewart,B,-0.0035,0.234,48.37,35.52
Martha Stewart Omnimedia,R,-0.0886,0.1896,28790,11.37
