Company,Power,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
FedEx,2,B,0.0732,0.2741790051423942,158.9,102.49
FedEx,1,B,0.0914,0.3014,158.9,96.95385977581014
First Solar,1,B,0.104,0.0055,0,295
First Solar,0,B,0.009000000000000008,0.0006,0,380
Foot Locker,1,B,-0.0783,0.607,77,15.22
Ford,0,B,,0.4891,428.4,18.7
Forest Laboratories,1,B,0.1848,0,914.7333333333332,45.38
Fossil,2,B,0.07740000000000001,0.0818,0,38.67851791724571
Fraport,2,B,0.008893056055459092,0.27486660541147806,59.98,42.55297437634075
Freeport-McMoran,2,B,0.1836,0.166,421,238.93
Gaiam,0,B,-0.0305,0,0,15.05
Gap,1,B,0.0639,0.2485,1321,24.18
Gap,2,B,0.0575,0.245,252,23.17
GAP,1,B,0.1026,0.26,170.8,15.7
Gap Inc. ,2,R,-0.0245,0.25642828270737134,902.4,17.366369253652085
Garmin,1,B,0.3471,0.0037,57.3,86.2
General Maritime,1,B,0.1227,0.4099,137,33.83
Gmarket,1,B,0.1668,0.001,0,37
Goodyear,2,B,,0.4645,0,20.42
Google,1,B,0.07239999999999999,0.022,0,317.68
Google,1,B,0.0758,0.0085,0,274.27
GP Battery,0,B,-0.1563,0.6742,6.8,2.25
Green Mountain,2,R,0.1008,0.17,0,38.03
Guess,0,B,0.1755,0.117,0,22.28
Gymboree,1,B,0.2357,0.301,56.85,62.6
H&M,0,B,0.33,0.18,1055,25
Hansen,1,R,0.3361,0.0059,4.63,36.15
Hansen (HANS),,B ,0.37857159948558544,0.0061,0,57.15
Hansen Natural,0,B,0.5894,0.0064,5569,47.94
Hasbro,1,B,0.1192255867660929,0.1489400538150618,233.44,46.10538463009559
Heinz,0,B,-0.4201,0.288,1129.8,69.97
Hershey,2,B,0.719149974,0.2,673,42
Hershey,0,B,0.2395,0.2202,725538,41.23
Hershey's,0,B,0.1179,0.2016,521.66,37.2
Hertz,2,B,-0.02750932064137014,0.7194217249328881,419.83933333333334,14.751821563404924
Hewlett Packard,1,R,0.0703,0.07,846,58.99
Home Depot,1,B,0.1452,0.2997,1709,28.01
Home Depot,1,B,0.1186,0.229,4088.4,37.3
Home Inn,0,B,-0.0638,0.1854,0,27.8
Hospira,1,B,0.0843,0.26,0,29.3
Iberia,2,B,0.11,0.4779,88.95,3.42
IHOP,2,B,0.0337,0.6775,17.3,114.66
Imperial IOIl,2,B,0.3166,0.0065,1846.4,56
Imperial IOIl,2,B,0.3166,0.0065,1846.4,56
Inbev,0,B,0.0931,0.17,423.89,80.48
Inditex,2,R,0.214,0.06,276.24240000000003,73.3446
Intel,1,B,-0.0106,0.0164,7597.6,13.28
Intuitive Surgical,1,B,0.087,0,0,367.0851993170353
J Crew,2,B,0.0672,0.1551,0,59.27
J. Crew,2,B,1.2502230050293952,0.15578544874339484,0,55.543399721480256
J. Crew,2,B,1.2502230050293952,0.15578544874339484,0,55.543399721480256
J. Crew,2,B,1.2502230050293952,0.15578544874339484,0,55.543399721480256
J. Crew,1,B,0.6024783820384889,0.10994165914162309,0.1,45.00626633556894
J. Crew,1,B,-0.083,0.15,0,36.95
J. Crew,2,B,1.2753,0.156,0,80.5
JA Solar Holdings,1,B,-0.0444,0.0078000000000000005,0,17
Jamba Inc.,1,B,-0.1222,0.0024,,0
JetBlue,0,B,-0.1648,0.7807475986688666,0,4.88
Jones Soda,2,B,-0.3003,0.0204,0,8.96
Joseph A Banks,1,B,0.028800000000000006,0.4384,0,82.85
Joy Global,1,B,0.2736,0.0665,66,73.48
Kameda Seika,1,B,0.0009,0.0919,6,11.81
Kenneth Cole,0,B,-0.0746,0.262,20,16.62
Kenneth Cole,1,B,-0.0657,0.2263,19.23,12.79
Kinder Morgan,1,B,0.1127,0.2338,1138.3,54.77
Kinder Morgan,1,B,0.1127,0.2338,1138.3,54.77
Konami,0,B,0.5,0.1528,67400,31.05
Konami,2,B,0.10037902789488223,0.19917395195082604,111.3,43.8813793448702
Kraft,2,B,0.0925,0.3121,5346,34.34
"Kraft Foods, Inc",2,B,0.0111,0.33155792276964,1166.71428571429,21.814171817459965
"Kraft Foods, Inc",2,B,0.0111,0.33155792276964,1166.71428571429,21.814171817459965
Las Vegas Sands,2,B,-0.0767,0.1823,0,45.72
Las Vegas Sands,1,B,0.1545,0.1444256148253177,0,69.4808913772537
Limited Brands,1,B,0.14719800338409475,0.4265044886079521,266,29.393400981348176
Lions Gate Entertainment,2,B,0.1842,0.1642,3.68,7.77
Lions Gate Entertainment,1,B,0.019,0.202,0,5.5
Live Nation,1,B,-0.1326,0.551,0,11.61
Live Nation,0,B,-0.0226,0.484,0,102.07
Louis Vuitton Moet Hennessy,1,B,0.1374,0.196,566,92
Lululemon,1,B,0.727898154515745,0.06193134458985432,0,33.326055334598
LVMH Moet Hennessy Louis Vuitton,0,B,0.035,0.1693,639.1,72.08
Marriott,1,B,0.2623,0.247,1281.4,45.62
Marriott,1,B,0.08793778937357256,0.2064,105,57.54
Marvel,0,B,0.679,0.1413,0,29.97
Marvel,0,B,0.6578,0.1197,170.92,28.99
Marvel Entertainment,1,R,0.415,0.1138,143.65,31.9
McDonalds,1,B,0.0762,0.2098,5708.6,51.1
McDonald's Corporation,1,B,0.0888,0.213,2125.2,68.94
MEMC,2,B,0.3284,0.0117,22.24,56.73
MEMC,1,B,0.2619,2.5e-05,22.24,45.7
MGM,1,B,0.1597,0.4366,0,50.65
Microsoft,1,B,0.3411,0,19752,34.67
Microsoft,1,B,0.3492,0.01,22.76,45
Mitchells & Butlers,1,B,-0.0107,67.18,187.6,4.04
Molson Coors,0,B,0.0081,0.202,114.78,25.96
Monsanto,1,B,-0.0137,0.0194,865,115.52
Motorola Inc. ,2,B,-0.13817730386095287,0.2588,1950,12.53
Naspers,0,B,0.0891,0.06308908438066803,213.38,174.47124582689122
Natura,2,B,0.2896,0.0636,135,9.864705882352942
Netflix,2,B,0.04,0.0232,53.7,21.77
Netflix,0,B,0.115,0.0248,0,
Netflix,1,B,0.0425,0.0219,19.97,42.73
Netflix,0,B,0.000899999999999998,0.0217,0,39.16
New York Times,1,B,0.2713,0.2533,125.1,17.16
Newfield Exploration,0,B,-0.022,0.2249,0,56
NH Hoteles ,1,B,-0.0559,0.5676,18.64,7.31
Nike,1,B,0.1318,0.0511,732.42,63.15
Nike,1,B,0.1318,0.0511,732.42,63.15
Nike,1,B,0.1318,0.0511,732.42,63.15
Nike,1,B,0.1155,0.191,629.44,60.54
Nike,1,B,0.1123,0.0461,362.03,72.73
Nike,1,B,0.1142,0.1698,629.44,64.74
Nike,1,B,0.1258,0.0716,273.66,45.82
Nike,2,B,0.1521,0.063,821.38,76.87
Nintendo,0,B,0.0211,0,49857,44460.15
Nintendo,0,B,0.0244,0,503.75,571.28
Nokia Corp. ,2,B,0.44499545136284846,0.0241,6039.3,40.29
Nordstrom,1,B,0.2588,0.3653,672.819,53.32
Nordstrom,1,B,0.2475,0.4386,673,43.87
Nordstrom,0,B,0.343,0.2463,980.33,32.77
Nordstrom,1,B,0.227,0.2321,673,74.49
Norfolk Southern,1,B,0.0552,0.24602427267341093,437.5,56.92
Norfolk Southern,1,R,0.0629,0.2685,377,70.51
NRG,0,B,-0.0052,0.4604,290,73.01
Nucor,1,B,0.209,0.1158,726.1,100.26
Nucor Corp.,1,B,0.1649,0.0943,726,83.17
Oracle,1,B,0.1684,0.0713,800,23.53
Oracle,1,R,0.111,0.0627,0,22.24
Pacific Ethanol,1,B,-0.1791,0.62,0,16.77
"Palm, Inc.",2,B,-0.0820049225242104,0.0074,196,1.62
"Palm, Inc.",0,B,-0.0617,0.0465,6.19,8.59
Panera Bread,2,B,0.06799999999999999,0.2785,,51
Papa John's,1,B,0.1751,0.2489,0,28.77
Peabody,1,B,0.0673,0.1902,65.64,40.93
Peabody,0,B,0.0036,0.165,20.9,4.120908969931125
Pepsico,0,B,0.2801,0.0428,2316,74.45
PepsiCo,0,B,0.2087,0.0424,1843.15,62.11
Perdigao SA,2,B,-0.051,0.2,31,54.36
PF Chang's China Bistro,2,B,0.029,0.3684,19.3,40.59
Pfizer,1,B,0.0257,0.1881,14070,18.32
Pfizer,1,B,0.016,0.06,13100,27
Playboy,1,B,-0.11,0.5432,99.9,2.98
Playboy,0,B,-0.0331,0.354,0,6.07
Playboy,0,B,-6.37,0.311,0,4.99
Playboy,0,B,-0.10700000000000001,0.2776,1,11
Polo,0,B,0.0787,0.1815,78.33,60.03
Polo,0,B,0.06,0.18,20,41
Polo Ralph Lauren,0,B,0.19,0.1626,78.32,85.26
Priceline,1,B,0.3941,0.081,32.56,121.67
PRTY,0,B,0.0335,0,0,0.68
Publicis,1,B,0.09243959237960514,0.34971839015029604,89,44.259571610139346
Publicis Groupe,1,B,0.2419,0.3929,96.51,28.36
Ralph Lauren,1,B,0.07333214476696642,0.193,140.96,69.47
Ralph Lauren,1,B,0.1111,0.1838,63.6,80.93
Ralph Lauren,1,B,0.1111,0.1838,63.6,80.93
Ralph Lauren,,B,0.1111,0.1838,20.9,80.93
Red Lion,2,B,-0.0694,0.4741,6.6,9.62
Regal Cinemas,0,B,,0.40566052480695464,165.63,6.63
Regal Entertainment,1,B,,0.5920000000000001,151.16,16.35
Research In Motion Ltd.,1,B,0.14516940641932752,0.0038,123.9,285.14
Reynolds,0,B,0.1277,0.208,976,70.67
RF Micro Devices Inc.,2,B,-0.012825310241257243,0.0454,0,4.61
RGC,0,B,,0.5982,496.42,7.01
Rocky Mountain Chocolate Company,2,B,0.2562,0.0064,2.4,16.32
Royal Caribbean,2,B,-0.0535,0.4475904583451748,137.38,29.49
Royal Caribbean,1,B,-0.0556,0.4604525082163779,137.8,28.702571661677545
Royal Caribbean,2,B,0.029,0.473,113.87,25.36
Ruddick Corp,1,B,0.0125,0.4884,31.14,30.52
Ruth Chris (RUTH),0,B,0.12,0.567,181,8.7
Ruth Chris's Steakhouse,2,B,0.1065,0.5072,0,12.46
Ruth's Chris,1,B,0.1474,0.2575,0,7.76
Ryanair,1,B,0.103,0.3314739628952517,0,5.965779333443565
Ryanair,2,B,0.1372,0.3729,0,3.83
Safeway,1,B,0.0681,0.387,371.8,44.02
Saks,1,B,-0.058,0.3302,7,7.68
SAM,0,B,0.0962,0,30,44.58
SanomaWSOY,2,B,0.1065,0.29,166,16
Sara Lee,2,B,0.1142,0.3127,990,18.58
Sara Lee,1,B,0.1095342256214149,0.2931,929,15.28
Schlumberger,0,B,0.40286057073005743,0.05025608180191278,1210.7,96.97781695632125
Schnitzer Steel,1,B,0.1546,0.093,2,106.94
Scholastic,0,B,-0.0423,0.2714,0,33.38
Scientific Games,1,B,0.0016,0.3266,0.9,24.19
"Shaw Group, Inc.",1,B,-0.135,0.2064,12.11,17.19
Sierra Wireless Inc.,2,B,0.0073272509523927,0.0186,0,34
Sina,0,B,0.0177,0.0185,0,25.93
SINA,1,B,0.0075,0,0,18.32
Smuckers,1,B,0.0344,0.1099,82.7,44
Sodexo (SW),1,B,0.1267,0.2319,179,64.48
Sonic Drive-In (SONC),1,B,,0.4364,810,35.81
Sony,2,A,0.002325599999999997,0.17473590092671742,237.63,36.323396123183656
Southern Co,0,B,0.0628,0.3788,1205,33
Southern Copper Corp,0,B,0.4836,0.0396,2009.5,121.26
Southwest,2,R,0.0422,0.31,460.4,17.85
Southwest,0,B,0.0095,0.25429297219229763,252.93,14.65
Southwest,2,B,0.006124976663977114,0.28222148866270896,436.29284653599996,9.47290432744979
Spectrum brands*,2,B,-2.766,0.89,0,58
Staples,2,B,0.08800000000000001,0.2321,468,19.1
Staples,1,B,0.09620000000000001,0.2518,467.9,27.88
Starbucks,2,B,0.2122,0.2897,997,22.78
Starwood,2,B,0.16374304477244295,0.30551568152268443,904.8,54.3128587865899
Starwood,2,B,0.16798606531365692,0.305,904.8,53.89
Starwood,1,B,0.0806,0.2981,904.4,52.19
Starwood,0,B,0.1186,0.3386,90,54.11
Starwood Hotels,2,B,0.1027,0.3003,176.8,32.47
Sunpower,0,B,-0.111,0.0638,0,95.18
Suzlon Energy,0,B,0.0607,0.11789999999999999,17.637,7.0675
Takashimaya (¥),0,B,0.02729999999999999,0.3313,3299,1205.08
Target,1,B,0.1057,0.3,973.5,68.1
Target Corp,1,B,0.055999999999999994,0.2882,974,56.57
Tata Motors,1,B,0.0995,0.2302,0.072,18.2
Tesco,2,B,0.11778369840988476,0.21882304451310264,957,3.2622302986136273
Tesoro,0,B,0.086,0.413,48,57
Tetra Technologies,2,B,-0.0265,0.179,0,15.13
Tetra Technologies,2,B,-0.0265,0.179,0,15.13
The Cheesecake Factory,0,B,0.0457,0.3362,32.96,13.17
The Hershey Company,2,B,0.0175,0.0306,252,28
Tiffany,0,B,0.057,0.211,261.3,41.89
Tiffany,2,B,0.08555081698326153,0.193,261.32,60.38
Tiffany,1,B,0.0804,0.1791,45.34,37.68
Tiffany,1,B,0.182,0.1856,23.3,59.76
Tiffany & Co,2,B,0.06899999999999999,0.1984,261,34.27
Tiffany & Co.,1,B,0.08109999999999999,0.1153,152,41.44
Tiffany & Co.,1,B,0.0367,0.094,153.91,52.69
Tiffany & Co.,1,B,0.09,0.1999,152.31,43.11
Tiffany & Co.,0,B,0.0932,0.2241,152.31,39.72
Timberland,1,B,-0.029,0,117.08200000000002,30.2
Tod`s,2,B,0.026479784388765693,0.168,22.44,34.4
Toll Brothers,0,B,-0.0857,0.3827,0,25.37
Tootsie Roll,0,B,0.0064,0.0094,44.8,21.64
Town Sports Intl,0,B,,0.8812,0,8.17
Under Armour,,B,0.1343,0.0393,0,35.49
Under Armour,1,B,0.1343,0.0393,0,35.49
Under Armour,1,B,0.1343,0.0393,0,35.49
Under Armour,0,B,0.1078,0.0586,0,26.34
Under Armour,2,B,-0.0444,0.0941,0,23.37
Under Armour,0,B,0.1475,0.0397,0,45.1
UO,2,B,0.1,0.1,0,19.5
Urban Outfitters,2,B,0.1225,0.1186,0,35.88982411923261
Urban Outfitters,2,B,0.1225,0.1186,0,35.88982411923261
Urban Outfitters,2,B,0.1225,0.1186,0,35.88982411923261
Urban Outfitters,0,B,0.1148,0.122,3.47,16.97
US Steel,2,B,0.0283,0.1402,223.8,146.3
Vail Resorts,2,B,-0.0055,0.2772,0,40.83
"Vail Resorts, Inc.",1,B,-0.0211,0.2267,13.9,48.49
Valero Energy,0,B,0.1776,0.21,5719,304
VeraSun,1,B,,0.456,,31.17
Viacom,0,B,0.12,0.306,750,31.66
Viacom,2,B,0.1438,0.2641,2556.75,41.94
Viacom,0,B,0.1537,0.2537,2226,45.19
Village Super Market,0,B,0.0474,0.2459,1.23,68.26
Vmware,0,B,0.2578,0.035,0,39.05
Vulcan,2,B,0.1368,0.3,281.12399999999997,59.09
Warner Music Group,2,B,0.4192,0.578,79,9.14
Washington Post,1,B,0.0027,0.168,6.92,560.32
WellPoint,1,B,0.06859999999999998,0.2575,3678.3333333333335,95.56
Wendy's,1,B,0.0239,0.23,40.9,29.75
Whole Foods,1,B,-0.015699999999999992,0.4667,96.74,34.79
Whole Foods,2,B,0.028899999999999995,0.4823,222.3,10.5
Whole Foods,1,B,0.0244,0.074,147.43599999999998,37.6
Whole Foods,2,B,0.0263,0.467,197,26.15
Whole Foods,1,B,0.0608,0.13,96,43.6
Whole Foods (WFMI),1,B,0.01835707729050841,0.15077375088395817,92,15.34303562941347
Whole Foods Market,1,B,0.0479,0.35,96.7,16.665674492971345
Whole Foods Market,2,B,0.0336,0.4581,86.42,39.36
WholeFoods,2,B,0.013,0.4581,186.66,30.37
WholeFoods Market Inc.,2,B,0.017600000000000005,0.4795,96.7,30.6
Williams Companies,1,B,0.067,0.344,285.5,30.63
Williams Companies,1,B,0.067,0.344,285.5,30.63
Winnebago,1,B,0.0269,0.198,6.59,26.93
Wrigley,1,B,0.1488,0.0735,309.84,71.27
WWE,0,B,0.0431,0.01,209.1,16.23
WWE,0,B,0.0431,0.01,209.1,16.23
Wynn,2,B,0.0496,0.2071,735.45,63.53
Wynn,0,B,0.0057,0.1812,0,122.9
Wynn Resorts,1,B,-0.015499999999999986,0.226,862.58,55.15
YUM! Brands,2,B,0.6821,0.2383,273,18.2
Yum! Brands,2,B,0.7158,0.1589,273,12.06
