Company,Power,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
A&F,2,B,0.2,0.22,55,86
A.G.BARR,2,B,0.114798445970673,0,9.83,11.57
Abercrombie,1,B,0.2212,0.27,343,76.2
Abercrombie,0,B,0.2219,0.2178,132.29,64.95
Abercrombie & Fitch,1,B,0.09071469795244518,0.2744274199426834,261.9,86.4
Abercrombie &Fitch,2,B,0.19800000000000004,0.228,233,98.56
Abercrombie and Fitch,1,B,0.1931,0.2188,232.62,94.7
Activision,1,B,-0.0712,0.008,15623,12.08
Activision,1,B,-0.08447405308557779,0.008002153473281171,55.285199999999996,14.39605754713798
Adobe,1,B,0.08760000000000001,0.022,1096.9,15
Aeropostale,1,B,0.3334,0.182,0,44.29
Alcoa,1,B,0.076,0.2235,466.6,27.86
Alcoa,1,B,0.0276,0.262,958,39.02
Aldila,1,B,0.2054,0.064,5.77,26.29
Amazon,2,B,0.856,0.0494,0,98.37425960600666
Amazon,2,B,0.9576,0.052,50,65.05
Amazon,1,B,0.434,0.0553,50,24.77
Amazon.com,1,B,0.4237,0.0504,50,61.03
American Eagle Outfitters,1,B,0.2015,0.273,126.8,19.24
American Eagle Outfitters,1,B,0.2003,0.237,88.007,29.1
American Tower Corp.,1,R,-0.08622792332928311,0.2958,403.7,38.12
Amgen,1,B,0.058582103543167285,0.18432896025716908,2726.9066666666663,71.68858177116977
Anadarko Petroleum Corp.,1,B,0.1701,0.38,637.8,214
Anheuser Busch,1,B,0.5898,0.2178,3640,51.85
Anheuser Busch,1,B,0.4475,0.21,2088,30.06
Apple,1,B,0.1451,0.009,57.5,165.82
Apple,1,B,0.12,0,0,100.04
Arch Coal,1,B,0.0121,0.173,28,51.53
Archer Daniel Midland (ADM),1,B,0.0568,0.2202,329.42,64.96
Archer Daniels Midland,0,B,0.124,0.26,368.2,45.31
Archer Daniels Midland,1,B,0.0519,0.1605,281,37.58
Arkansas Best,0,B,0.0266,0.04644273215406653,12.1,46.1
Autoliv,1,R,0.0138,0.2356,325.04,56.66
Autonomy,1,B,-0.0068,0.0118,9.8,13.4
Aventine,0,R,-0.0796,0.7265,0,5.9
B & N,1,B,0.015,0.457,94.3,24.14
Barnes & Noble,1,B,0.036699999999999997,0.4509,152.3,37.82
Bebe,0,B,0.0589,0.2893,7.82,22.24
Bed Bath & Beyond,1,B,0.1478,0.225,259.88,23.91
Berry Petroleum,2,B,0.2137,0.199,15.58,49.4
Berry Petroleum,2,B,0.2137,0.199,15.58,49.4
Best Buy,1,B,-0.0121,0.3872,1185,48.39
Best Buy,1,B,0.1602,0.2022,188.95,41.63
Best Buy,1,B,0.1496,0.2397,452.6,61.46
Biogen,2,B,0.000976122934784579,0.012,910.8666666666667,58.21216875895348
Blackboard,0,B,-0.0614,0.1667,0,36.86
Blue Nile,1,B,0.1781580185819071,0.003,18.951,46.12
Boston Beer Company,1,B,0.0804,0.019945150447850415,9.264,41.46541496117788
Boston Beer Company,1,B,0.0976,0.01,92,70.24
Boston Beer Company,1,B,0.205,0.0079,0,63.91
Boston Beer Company,0,B,0.12,0.0203,4451.8,52.07
Boston Beer Company,1,B,0.11,0.009,9,50.9
Brinkers,0,B,0.1964,0.4389,299739,27.95
British Energy,1,B,0.1408,0.0449,5.91,16.5677
Bulgari,2,B,0.08150979396720742,0.174,57.06,6.4
Burberry,1,R,0.16290000000000004,0.066,109.85,4.82
Burger King,,B,0.1236,0.1962,17,33.36
Cablevision,1,B,,0.7154,14,24.34
Cadbury Schweppes,2,B,0.0352,0.258,460.64,10.99
California Pizza Kitchen,1,B,-0.0109,0.07,0,8.109931330305821
Callaway Golf,1,B,-0.0096,0.0632,192,18.25
Callaway Golf,0,B,-0.13,0.0505,19.2,12.7
Cameron International,1,B,0.1903,0.0414,91.1,34.32
Carnival,0,B,0.006703137484073682,0.21773517461069514,920.8,42.468064174327935
Carnival,1,B,0.0444,0.2153,645,58.54
Carrefour,2,B,0.1196,0.3029,745.8,51.12
Caterpillar,1,B,0.3057,0.206,845,78.65
CBS Corporation,0,B,-0.0406,0.4342,640.3,33.1
CCU (NYSE:CU),2,B,0.211158225229184,0.146008650904192,95.130773410614,6.199625426126938
CEMEX ADS,0,B,0.0222,0.4726,608,27.31
Charles River Laboratories,1,B,-0.02763797594035894,0.1284,103.2,66.72
Chesapeake,2,B,0.0236,0.3293,84.06,52.59
Chipotle,0,B,0.0488,0.1399,0,100.3
Chipotle,0,B,0.0677,0.1697,0,80.72
Chipotle,2,B,0.012200000000000003,0.2196,,116.08
Chipotle,1,B,0.0721,0.1723,0,98
Chipotle (CMG),1,B,0.0477,0.1709,0,123.85
Chipotle Mexican Grill,2,B,0.0181,0.1825,0,93.5
Chuck E. Cheese,1,B,0.0483,0.5,71.577,59.95
Cisco,0,B,0.1501,0.0391,0,21.19
Cisco,1,B,0.153,0.0518,0,12.51
Club Mediterranee,1,B,0,0.6355960639000622,0.4,32.31901215196947
CMR,1,B,-0.0723,0.2926,10.68,7.11
Coach,1,B,0.3446,0.1214,0,47.9
Coach,0,B,0.421,0.0495,224,35.07
Coach,2,B,0.3091,0.046,0,35.07
Coach,0,B,0.3134,0.0373,0,34.87
Coach,1,R,0.2434,0.0548,224,49.86241024440709
Coach,0,B,0.324,0.0358,224,47.3
Coach,1,B,0.2403,0.0511,224,38.86
Coach,1,B,0.4767,0.0467,224.028,41.21
Coach,1,B,0.2597694375500992,0.043,173,44.21
Coach,1,B,0.015,0.0435,224,36.21
Coach Inc.,1,B,0.4585,0.0437,188.29,60.11
Coca-Cola,1,B,0.2033295552046822,0.0662,3402.3,46.71
Coca-Cola FEMSA,2,B,0.0431561484498562,0.154395325222576,39.91,80.44572414057379
Columbia Sportswear ,0,B,0.0569,0.0654,68.52,64.56
Comcast,1,B,-0.0472,0.3749,957.8,21.61
ConocoPhillips,1,B,0.0508,0.174,3753.2,76.82
Constellation Brands,0,B,-0.2741979059701131,0.4691059677344095,64.49,19.089404708925645
Continental,2,B,0.2625,0.8375,0,17.03
Costco,1,B,0.0429,0.34,245.7,-3.0641073024491106
Costco,0,B,0.0361,0.09532061823727159,921.27,62.43158274729755
Crocs,1,B,0.4094,0.0735,0,21.24
Ctrip,1,B,0.1822,0.0005,4.7,64.8
Ctrip,1,B,0.2295,0.00045,3.75,59.55
Ctrip.com,1,B,0.234,0.004801369085636841,6.42,63.88389755538842
CVS Caremark,1,B,0.076,0.2807,343.09,14.57
Darden,1,B,0.2605,0.3097,65.7,38.25
"Darden Restaurants, Inc.",1,B,0.083,0.3043,276.66,71.49
Delaware Colorado Municipal Income Fund,2,B,0.0831,0.1742,1575.2,82.73
Denbury Resources,0,B,0.098,0.0823,0,32
Diageo,1,B,0.233,0.1589,976.11,10.27
Dick's Sporting Goods,1,B,0.164,0.455,0,34.82
Dolby,0,B,0.1067,0.0092,53.55,24.58
Dominion,2,B,0.16,0.453,2218.8,47.97
DreamWorks,0,B,0.1183,0.0381,79.1,30.2
Dreamworks Animation,0,B,0.1138,0.0369,63.28,19.95
Drill-Quip,2,B,0.0658,0.01,,63.58
EADS,0,B,-0.040608838221422514,0.3923467850941283,412.6,17.709218931120976
Ebay,1,B,-0.0312,0.0066,315.19,36.16
Electronic Arts,2,B,-0.0844,0.0126,0,46.82
Electronic Arts,1,B,-0.1057,0.014,77.4,44.9
Electronic Arts,2,B,-0.1,0.0128,5.28,39.79
Electronic Arts,1,B,-0.1212,0.0131,77.37,31.12
Electronic Arts,1,B,-0.0967,0.0127,0,25.04
Electronic Arts,0,B,-0.1287,0,0,16.73
Electronic Arts,2,B,-0.0904,0.06,0,58.39
Elizabeth Arden,1,B,0.0455,0.42,4.26,14.83
Elizabeth Arden,1,B,0.0345,0.451,0,14.7
ELONG,1,B,-0.12,0.0054,0,13.92
Embraer,2,B,-0.033,0.1972,150.516,40.02
EMC,1,R,0.0741,0.099,0,18.18
Encana,0,B,0.1214,0.1975,2339,96.83
Energizer Holdings,0,B,0.40130000000000005,0.3553,53,79.1
Entercom,1,B,0,0.7141,174.5,-8.62833213224908
Estee Lauder,1,B,0.29371152376980814,0.19481671488520155,315.73,44.99585777004096
Exelon,1,B,0.0993,0.2159,1180,75.89
Expedia,1,B,-0.1242,0.1737195264728659,564.3,21.752701032834157
Expedia,0,B,-0.10349514598766937,0.2910977245737737,358.2712,29.957279892469675
Exxon Mobil,0,B,0.26144020889149105,0.030196288935119036,26255.6,93.64991855116736
Exxon Mobil,0,B,0.235,0.0333,7621,87
ExxonMobil,1,B,0.2599,0.0333,26255,99.03
