Country,GDP (in billions),Country Name,2016 (in billions)
Abu Dhabi,390,Albania,11.863865978094248
Albania,11.86,Algeria,159.04909674524936
Andorra (Principality of),2.86,American Samoa,0.658
Angola,102.6,Andorra,2.858517699115044
Argentina,545.48,Antigua and Barbuda,1.4601447037037034
Armenia,10.57,Arab World,2504.702625568631
Aruba,2.6,Argentina,545.4761034272472
Australia,1204.62,Armenia,10.572298341561769
Austria,390.8,Aruba,
Azerbaijan,37.85,Australia,1204.6164398284081
Bahamas,11.26,Austria,390.79999114746755
Bahrain,32.18,Azerbaijan,37.84771573604061
Bangladesh,221.42,"Bahamas, The",11.261799999999997
Barbados,4.53,Bahrain,32.17906914893617
Belarus,47.41,Bangladesh,221.41516244564812
Belgium,467.96,Barbados,4.52905
Belize,1.74,Belarus,47.40721753116204
Bermuda,5.6,Belgium,467.95570981753906
Bolivia,33.81,Belize,1.7411
Bosnia and Herzegovina,16.91,Benin,8.583031398216754
Botswana,15.58,Bermuda,0
Brazil,1796.19,Bhutan,2.2126388303943876
Bulgaria,53.24,Bolivia,33.80639551374819
Burkina Faso,11.69,Bosnia and Herzegovina,16.91027713364629
Cambodia,20.02,Botswana,15.581137273772796
Cameroon,32.22,Brazil,1796.1865864144456
Canada,1529.76,British Virgin Islands,0
Cayman Islands,3.2,Brunei Darussalam,11.400653731991602
Cape Verde,1.9,Bulgaria,53.23788247271082
Chile,247.03,Burkina Faso,11.693235542067104
China,11199.15,Burundi,3.007029030400097
Colombia,282.46,Cabo Verde,1.6174674357700725
Congo (Democratic Republic of),31.93,Cambodia,20.016747754019235
Congo (Republic of),7.83,Cameroon,32.21749747048904
Cook Islands,1.2,Canada,1529.7604922013522
Costa Rica,57.44,Caribbean small states,66.70736209137796
Côte d'Ivoire,36.37,Cayman Islands,0
Croatia,50.71,Central African Republic,1.7561246771967065
Cuba,77.2,Central Europe and the Baltics,1312.1576904928916
Curacao,1,Chad,9.600761473787378
Cyprus,20.05,Channel Islands,0
Czech Republic,195.31,Chile,247.02791257434998
Denmark,306.9,China,11199.145157649184
Dominican Republic,71.58,Colombia,282.4625513668777
Ecuador,98.61,Comoros,0.616654490413179
Egypt,332.79,"Congo, Dem. Rep.",31.930856401916337
El Salvador,26.8,"Congo, Rep.",7.833508878966597
Estonia,23.34,Costa Rica,57.435507212256
Ethiopia,72.37,Cote d'Ivoire,36.37261302294197
Fiji,4.7,Croatia,50.714957390537755
Finland,238.5,Cuba,0
France,2465.45,Curacao,0
Gabon,14.21,Cyprus,20.04701327433628
Georgia,14.38,Czech Republic,195.30508491913815
Germany,3477.8,Denmark,306.89965340960146
Ghana,42.69,Djibouti,0
Greece,192.69,Dominica,0.5814840318518518
Guatemala,68.76,Dominican Republic,71.58355348756456
Guernsey (States of),0.5,Early-demographic dividend,10401.989026722815
Honduras,21.52,East Asia & Pacific,22480.427869996227
Hong Kong,320.91,East Asia & Pacific (excluding high income),13512.435638588799
Hungary,125.82,East Asia & Pacific (IDA & IBRD countries),13486.492444155363
Iceland,20.05,Ecuador,98.61397199999999
India,2263.79,"Egypt, Arab Rep.",332.7910459638069
Indonesia,932.26,El Salvador,26.79747
Iraq,171.49,Equatorial Guinea,10.684804794036145
Ireland,304.82,Eritrea,0
Isle of Man,7.4,Estonia,23.33790761851736
Israel,317.74,Ethiopia,72.37422424939966
Italy,1858.91,Euro area,11934.055071905985
Jamaica,14.06,Europe & Central Asia,20273.841359270988
Japan,4940.16,Europe & Central Asia (excluding high income),2991.823901020519
Jersey (States of),1,Europe & Central Asia (IDA & IBRD countries),3463.1883097344758
Jordan,38.65,European Union,16487.344364513876
Kazakhstan,137.28,Faroe Islands,0
Kenya,70.53,Fiji,4.703632978469471
Korea,1411.25,Finland,238.50290031189974
Kuwait,110.88,Fragile and conflict affected situations,744.2505834176454
Kyrgyzstan,6.55,France,2465.453975282239
Latvia,27.57,French Polynesia,0
Lebanon,49.6,Gabon,14.213558130181726
Liechtenstein,6.7,"Gambia, The",0.964599178129102
Lithuania,42.74,Georgia,14.378016729158661
Luxembourg,58.63,Germany,3477.7962744968036
Macao,44.8,Ghana,42.68978373387301
Macedonia,10.9,Gibraltar,0
Malaysia,296.54,Greece,192.69081312686043
Malta,11,Greenland,0
Mauritius,12.17,Grenada,1.0561885925925925
Mexico,1046.92,Guam,5.793
Moldova,6.75,Guatemala,68.76325596389425
Mongolia,11.18,Guinea,8.200248003022061
Montenegro,4.37,Guinea-Bissau,1.1649445099441884
Montserrat,1.5,Guyana,3.5023970944309926
Morocco,103.61,Haiti,8.022638721920126
Mozambique,11.01,Heavily indebted poor countries (HIPC),648.2893481370318
Namibia,10.95,High income,48557.463061833085
Netherlands,777.23,Honduras,21.516938909568644
New Zealand,184.97,"Hong Kong SAR, China",320.91430264615707
Nicaragua,13.23,Hungary,125.81664042056919
Nigeria,404.65,IBRD only,25981.476556760525
Norway,371.08,Iceland,20.0474130063471
Oman,66.29,IDA & IBRD total,27972.819139754487
Pakistan,278.91,IDA blend,923.6060134139807
Panama,55.19,IDA only,1072.7864882103966
Papua New Guinea,20.21,IDA total,1999.8077113874133
Paraguay,27.42,India,2263.7924993410065
Peru,192.21,Indonesia,932.2591777653071
Philippines,304.91,"Iran, Islamic Rep.",418.9766797285673
Poland,471.36,Iraq,171.48900169204737
Portugal,204.84,Ireland,304.8190205006409
Qatar,152.45,Isle of Man,0
Ras Al Khaimah (Emirate of),5.2,Israel,317.7447846950997
Romania,187.59,Italy,1858.9131639277166
Russia,1283.16,Jamaica,14.056908749350495
Rwanda,8.38,Japan,4940.158776617156
Saudi Arabia,646.44,Jordan,38.654727746478876
Senegal,14.68,Kazakhstan,137.27832008417116
Serbia,38.3,Kenya,70.52901477832512
Sharjah,5,Kiribati,0.1815514848952691
