Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
B,0.003799999999999998,0.5342,94.63,36.09
R,0.0783,0.2798,272.81,25.80223189472849
T,-0.403,0.2897,0,30.91
B,-0.0407583967340867,0.357,31.0198,19.54
B,0.0328,0.0013,91.85,22.83
B,0.031,0,16,27.72
B,0,0.047,31156,91.59
B,n/a,0.0814,36.751,39.59
B,-1.0547533972125436,0.07300663562410681,98.7,31.54
B,-0.0157,0.4342024086601627,14.12,15.490202202726337
B,0.0757081222976374,0.0410575397715911,0,29.13
B,-0.03949999999999999,0.5214,1755.33,9.86
B,0.078,0.058,0.303,0.0793
B,0.30877101742227253,0.024185823630619597,980,56
B,0.3172,0.0235,160.049,50.67
B,0.3314,0.0235,196,47.86
B,0.3474,0.0216,152.8,43.84
B,0.371,0.0412,979.99,66.8
R,0.2964831800789748,0.023358534811941677,196,48.13470438975107
B,31.74,0.0243,195999.2,34.62
B,0.3288,0.0302,196,31
B,0.32339999999999997,0.0246,0,
B,0.229,0.038,3168.5,55.33768784525076
B,0.0687,0.0157,5.026,65.1
B,0.0756437066873921,0.0217236029240144,289.85,63.84848484848485
B,0.020199999999999996,0.26,0,29.62
B,-0.0732,0.2574,1207,14.86
B,0.033,0.5291,0,18.23
R,0.0457,0.254,0,32.12
B,0.037,0.3599,0,12.75
B,-0.038799932100591225,0.7682901886429027,0,20.99
B,3.5923,0.76,0,35.6
B,0.2021,0.22,378.3,65.71
B,0.033,0.051,0,24.83
B,0.01949999999999999,0.061,476.5956,45.79
B,0.2208,0.0134,171,
B,0.15506628787878787,0.29857681531600067,145,42.3
T,0.236,0.1888,1391.34503,12.37
B,0.1394,0.115,323,46.86
B,0.1961,0.1358,62.9,43.88
B,0.727,0.017,3751,15.85
B,0.2204,0.1691,807.6,7.21
B,0.03630000000000001,0.1598,995.52,83.59
B,0.282363992762224,0.0671,107,96.58
B,0.1011,0.405,0,65
B,-0.0947,0.3048,96.1,30.88
B,-0.08,0.0458,11.6,7.5
B,-0.0686,0.039,0,29.45
B,-0.0139,0.0444,0,27.72
B,-0.0456,0.0519,0,14.46
B,0.068,0.068,0,0.1516
B,-0.0388841856899152,0.00492630077263753,1666.54,30.1966770674664
B,-0.0281,0.0039,333.3,25.59
B,-0.80362162736299,0.277,0,30.4
Average,-0.0533,0.0079,77.09,49.68
B,-0.0717,0.0081,150,45.91
B,-0.1181,0.0079,0,52.68
B,-0.003,0.339,1.451,32.44
B,0.23694293204275055,0,57,47.85
B,0.23056262474313302,0.0348,20570,84.6
B,-0.032799999999999996,0.4792,347,30.82
B,-0.0218,0.2889,678.95,35.3
B,0.1117,0.264,169,121.6
B,-0.006505868184565403,0.3910990443064672,217,20.06
B,0.00895524260876046,0.4470836313327688,252.477142857143,21.0780416410699
B,0.0408,0.0072,251.14,47.87
B,-0.015114824546851854,0.0912,6.827000000000001,27.47964785608576
B,-0.0462,0.1054,2.639,59.04
R,4.15,0.2023,32358,25.94
R,0.0567,0.2314,2150,26.1
B,0.0502,0.2449,1.163,20.18
R,0.0488,0.251,946,18.01
B,0.0461,0.2503,78,17.24
B,0.04000926158665727,0.2524,265,15.26
B,0.1213,0.218,688,13.58
R,0.0455,0.27,265,19.38
B,0.1301,0.1063,1051.62,40.48
R,16.55,0.0564,1051.54,82.01
B,0.0956,0.0364,0,58.35
B,0.233,0.156,0,0.1246
B,0.0995,0.006,0,264.42
B,0.02560000000000001,0.0004,0,554.59
B,0.04334879633015548,0,228,6.11
B,0.1635,0.1005,242400,31.06
R,0.102,0.0801,0,51.01
R,0.18714084461559877,0.10521679115581858,1,51.45105904203974
B,0.26727933408827326,0.1219,516.2,30.92
B,0.25828281067575465,0.0939721560344063,74.40599999999999,41.72234729212737
B,0.25828281067575465,0.0939721560344063,74.40599999999999,41.72234729212737
B,0.2945,0.09755,212.914,42.29
B,0.177,0.057,0.412,0.0707
B,-0.027974,0.44,282.7,81.09
B,-0.02981815145999271,0.4413,198.53879999999998,133.82100265338167
B,0.18765485295701823,0.0006871288802775388,6.9,17.62
B,0.06158465224187054,0.3768,103.6,43.53603263239099
B,0.0934,0.3563,104,51.85
B,0.11767999999999999,0.4,99.4,42.64
B,0.11558263933781193,0.19463694401754922,3473,34.01399584986024
B,0.1388,0.1804,3.473,51.53
R,0.1133,0.1626,1380.22,53.96334993182895
B,0.1368,0.1754,538.7,45
B,0.0051,0.3,19896166.6666667,10.49
B,0.0225,0.492,29,3.1
B,0.5963,0.0982,0,47.95
B,0.1983,0.0486,235,0
B,0.1186,0.001,13420,20405
B,0,0.15,0,
B,(-5.7%),0.0184,6168,13.06
B,-0.0342,0.0142,7425.8,18.48
B,0.1974,0.0623,314,25.88
B,0.193,0.0063,27.1,33.35
B,0.0023,0.1163,3.063,42.85
B,0.1358,0.0769,69.1,39.23
B,-0.321,0.55,0,12.98
B,-0.0602,0.5715,0,9.08
B,0.6411,0.0013,0,33.84
B,0.2023,0,0,17.36
B,-0.0409,0.3727,2.37,9.43
B,0.38,0.211,653.37,52.26542085427135
B,0.0951,0.1946,326,54.07
B,0.12171858815863909,0.3828,140,30.09459224421898
B,0.16674598325508183,0.10976237619334572,146.08,93.02300778408541
B,0.1965,0.09,761.54,89.04
B,0.0133,0.3884,119.75,50
R,0.1263168054145516,0.3007358660833935,1080,28.04691671252888
R,0.1222,0.1421,446.71,33.32196657982168
B,0.0787,0.184,94.76,23.28
B,-0.0493,0.2304,29.7,13.98
B,0.182,0,4.38,8.94
B,0.1317,0.142,639.4,35.58
B,0.1621,0.1,404.4048000000001,27.92
B,0.1399,0.054,1216.5,48.92
B,0.0258,0.0663,307.08,54.46
B,0.1649,0.12,454.8,28.45
B,0.2779,0.0703,335.9,41.89
B,0.1204,0.068,4708.54,31.58
B,0.1126,0.38,1659.87,66.05
B,0.09129999999999999,0.634,271.03,29.1
B,0.004042658980055999,0.4024,313.99,80.29
B,0.09647936383140895,0.38477911673333864,207.9,75.49
B,0.0931,0.3777,293,65.39
Average,0.1468,0.0027,10587.19,27.91
B,-0.244,0.4841,8.7,18.89
B,-0.0139,0.1166,1161,9.17
B,0.076,0.1344,1330,22.48
B,0.2455,0.0097,356.18800000000005,8.53
B,0.0961,0.0226,0,13.02
B,0.104,0.117,3436.89,473.44071937742655
B,0.0696,0.021,0,20.73
B,-0.0091,0,0,28.55
B,-0.0707,0.0266,0,26.34
B,0.1403,0.4098,7.2,10.29
B,0.1401,0.0633,290.9,56.27
B,0.1228,0.0576,290,56.44
B,0.13645728849960298,0.12139413058541974,160.07,32.92485926461428
B,0.131,0.025,628.76,85.37
B,0.1325,0.064,290.9,67.65
B,-0.04779999999999998,0.0333,390,41346
B,0.2101,0.0941,110.16,59.836197824263984
T,0.242,0.0418,577.816,47.48
B,0.09607192081192835,0.44027609719610444,27.9,29.83
B,0.1356,0.0624,0,19.46
B,-0.0032999999999999974,0.1978,634,35.49
B,0.07310000000000001,0.2275,0,57.43
R,9.18,0.1792,12095.8,25.1
B,0.0335,0.0162,0,14.28
T,0.317,0.0216,975.5,90.8
B,-0.082,0.3501,0,2.99
B,-0.18869999999999998,0.0043,0,13.04
B,0.3127,0.1059,24.6,88.01
R,0.05119922404371584,0.10705404725495893,14,80.76734990774463
B,0.0717,0.103,17.39,102.5
B,0.0677,0.3778,60.05,39.11789242766401
R,12.18,0.149,412.62,45.08
B,-0.76,0.4241,0,12.94
B,,0.542,0,6.54
B,0.05919999999999999,0.1038,20.8,97.4
B,0.0931,0.1336,67.92,90.29
B,0.074,0.0444,0,12.53
B,-0.0011803443571562723,0.10140445465999712,0,7.67
B,,0.528,179,6.89
B,2.7298999999999998,1.005,179.6,$3.53
B,0.036,0,0,120.69
B,0.0231,0.002,0,132.7
B,-0.04820000000000001,0.2059,1761,62.4
B,-0.0231,0.255,0,5.74
B,-0.08309999999999998,0.2724,0,10.83
B,-0.201,0.6654,48.44,-26.33
B,0.0278,0.3835,90.3,37.95
B,-0.0106,0.3815,109.08,40.7
B,-0.0209,0.3934163378084936,191.979,30.12
B,0.03559523798638997,0.3875,214.94,50.84
B,0.1201,0.3719,0,19.67
B,-0.0882,0.2651,975.6,18.63
B,-0.064,0.3145,67813,5.47
B,0.0616,0.0865,635.8,17.14
B,0.03,0.3614,0,197.97
B,1.87,0.138,0,48.1
B,-0.2227,0.459,0,
B,4.2928,0.1537,0,-3.71
B,0.1369678105801176,0.030650425054447393,0,0.3676658730312027
B,0.1369678105801176,0.030650425054447393,0,0.3676658730312027
B,-0.006,0.4492,27.23,20.109781719200715
B,-0.0932,0.2029,205,58.16
B,-0.002662926738976612,0,5.85,0.824291308239507
B,0.009716313033893621,0.2319,321.75,15.54
B,0.5592,0.2373,234,16.2
B,-0.0324,0.2345,234.2,5.18
B ,-0.0916,0.2771,571,20.73
B,-0.133497704902552,0.50072750806743,338.2,20.17
B,0.081,0.0574,244,45.55
B,0.10709999999999999,0.2122,158.673,23.76
B,0.176,0.096,234.89,29.31
B,0.1667,0.1345,0,25.45
B,0.1961775453218153,0.19021270726815698,348.2,100.68
B,0.023000000000000007,0.1772,661.75,80.24
B,0.2617,0.2881,1.563,116.53
B,0.11820000000000001,0.2,2138.87,73.12
B,0.1683805,0.1888,537.4,65.4550377940718
B,-0.1065,0.0457,0,
B,0.0935,0.1825,974.8,60.22
B,0.271,0.1034,204.233,21.94
B,0.1721,0.0084,2336,24.15
B,0.015700000000000006,0.0859,128.53,357.38
B,0.03703387094024124,0.006539780069440143,0,14.969604314167801
B,0.0352,0.1361,99,32
B,0.04693000000000001,0.167,52611,44.13
B,0.0401,0.1418,722.9,31.24
B,0.0443,0.1351,72300,48.75
B,0.13871091,0.1783,145,56.29
R,0.0748,0.1082,121,37.11
B,-0.04925,0.32076,3664.8,16.71
B,0.0248,0.3336,5069,14.127208538268443
B,-0.0467,0.3088,876,18.66
B,-0.0453,0.2925,876,30.89
B,-0.031,0.2825,0,49.41
B,0.235,0.0996,0,29.38
B,0.0798,0.0146,4.7,48.79
B,0.1685,0.0107,0,52.61
B,0.1261,0.0116,0,50.71
B,0.1714,0.156,31.54,61.36
B,0.011714141475992923,0.2993,34.18,42.746081711330795
R,0.1137,0.341,416.28,61.48
B,-0.0076,0.1161,102,26.02
B,0.1551,0.0622,4032,66.21
B,0.2725,0.0909,0,14.85
B,7.08,0.116,1238,34.28
B,0.015199999999999991,0.2083,2.7,61.44
B,0.2211,0.0172,2.77,48.52
B,0.012,0.286,5174,36
B,0.0198346090966956,0.285893707986167,4396.6,25.44
B,0.09678622344612667,0.25844360179852394,693.7333333333332,18.90487968611652
B,-0.029599999999999987,0.8882,75,0.67
B,0.8661,0.3012,0,2.23
B,0.054,0.2652,54045,29.26
B,0.051,0.226,108.09,43.222504775597116
B,0.04860404028765081,0.2817643606484622,458.1,42.77964548603944
B,0.05548515357713488,0.27891359000033517,100,44.77656573844892
B,0.056,0.0928,0,7.91
B,0.09581396869661876,0.24446518583419494,83.53333333333332,33.80880085859208
R,8.04,0.2383,52451.3,35.67
B,0.0768,0.2389,100.247,35.48
B,0.0346923572284895,0.008919937855992826,23.5,17.12
B,0.007,0.0087,32.5,15.4
B,0.0177,0.02,50.06,17.98
B,0.2919,0.1605,0,90.45
B,0.3083,0.1823,611,101.7
B,0.2891681766473516,0.1858,0,96.28343798774034
B,0.3027,0.1843,0,67.66
B,0.322,0.18,1350.8,54.45
B,,-0.619,0.229,0.1131
B,0.0403,0.3951,20,67.47
B,0.4769,0.2277,144,60.54
B,-0.6861,0.10186563264555032,0,1.1
