Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
B,0.0019,0.0952,16.44,20.79
B,0.0221,0.1145,2132.2,53.76
B,0.1995,0.2765,97,14
B,0.235,0.1446,171.318,85.46
B,0.328,0.154,32.04,83.05
B,0.2018,0.1537,61.6,10.2
B,0.0777,0.4178,293.7,24.86
R,0.43510000000000004,0.0644,1712.23,18.73
B,0.0373,0.1574,336.29,54.59
B,0.0555,0.007,592.33,38.7
B,0.1351,0.0081,216.06,30.83
B,-0.1134,0.0468,0,2.5
T,0.018,0.2137,524,19.65
B,-0.0386391063935559,0.175583521150181,466,93.42
B,0.111,0.1801,450,69.08
B,0.0192,0.101,39.25,147
R,42.89,0.0928,25200,4.33
B,0.6049796465001301,0.08509143642145996,42,6.361804347695643
R,0.14132669162057207,0.12495267075515551,617.8440684386278,42.82
B,-0.3010693089620066,0.3415511972984071,0,15.141399876583204
B,0.2352,0.0759,91640200,31.37
B,0.003,0.2521,55.3,35.19
B,0.46,0.17,2032,34.39
B,0.4525,0.173,871.6,53.65
B,-0.39400836710943543,0.17288969380361824,1832,47.46
B,0.0285,0.2703,61293500,16.21
B,0.03867037094349911,0.2942610840874574,61.616666666666674,43.36088063239997
B,0.1399,0.0112,57.2,92.36
B,0.233,0.207,0,0.1391
B,0.1036,0.01,0,93.52
 B,0.1125,0.0163,0,91.13
B,0.018100000000000005,0.014,0,69.08
R,0.3025,0.0121,0,116.24
B,0.0471,0.0106,0,98.43
B,0.08900000000000001,0.2151,88,21.08
B,-0.09380000000000001,0.3248,0,6.83
B,-0.0909,0.3055,0,6.32
B,-0.0325197099044958,0.113576089563162,0,16.14
B,0.119,0.1399,4116400,11
B,0.0477,0.2511,226.1,54.09
R,4.43,0.1259,301.51,50.24
B,0.09852644297635343,0.027591253769887622,118.128,43.406742750606206
B,0.09852644297635343,0.027591253769887622,118.128,43.406742750606206
B,14.95,0.1715,94839,40.19
R,0.013213704131739612,0.2964783310670869,67,37.6562064854701
B,0.005,0.1271,66.85,6.46
B,0.146,0.177,298,44.35
B,0.2212,0.15,975.6,
 B,-0.0359,0.6669, 8.25,19.36
B,-0.1134,0.694,10.8,4.48
B,0.13230000000000003,0.0111,17.8,32.77
B,0.1362,0.011,11.51,41.76
B,-0.025268987317741964,0.011328477759192037,9.3,26.5
B,-0.026,0.2667,0,44.29
B,0.17854162682970953,0.1083,13628,77
B,0.10210000000000001,0.245,204.9,34.84
B,0.09501362598512189,0.27054252916255994,0,36.4
B,0.1728,0.47,0,5.2
B,0.1516,0.0475,129.29,67.97
B,0.0415,0.1655,417.1,27.03
T,0.291,0.0022,252.054649,71.48
B,0.1342,0.061,143,3.33
B,-0.0863,0.0599,4.87,39.66
T,-0.0739,0.0673,19.23,13.88
B,-0.0492,0.0605,19.2328,22
B,0.416,0.178,833.6,42.191381057674604
B,-0.1615,0.3564,0,11.54
B,0.0391,0.1651,353,38.49
R,0.0669,0.2633,0,24.02
