Company Name,Price,DCF Model,DCF Value,Multiple used,Relative Value,Option Value,Recommendation,% Under or over,% Under or Over: Relative
1800-Flowers.com,10.6,FCFF,12.9,VEBITDA,19.59,,Buy,-0.17829457364341095,-0.45890760592138846
A.P. Moller–Maersk Group,"$1,386.39",FCFF,1406.19,PBV,"$2,133.23",,Buy,-0.014080600772299556,-0.35009820788194423
AB Inbev,96.95,FCFF,97.83,EV/Sales,93.01,,Hold,-0.00899519574772556,0.042361036447693845
AB Inbev,97.4,FCFF,92.43,VEBITDA,84.11,,SELL ,0.05377042085902839,0.15800737129948894
Adelaide Brighton Concrete Ltd,5.03,FCFF,4.24,VS,5.95,,Hold (chicken) ,0.18632075471698117,-0.1546218487394958
Adidas,144.47,FCFF,127.04,VS,156.51,,Hold,0.13720088161209065,-0.07692799182160881
Adidas,143.83,FCFF,142.28,PS,119.2,,Sell,0.010894011807703219,0.20662751677852365
Adidas,144.4,FCFF,114.53,PBV,124.5,,Sell,0.26080502924997817,0.159839357429719
Adidas,144,FCFF,62.04,PE,146.35,,Sell,1.3210831721470018,-0.0160573966518619
Alarm.com,27.55,FCFF,30.57,EV/REVENUE,34.63,,Buy,-0.09878966306836767,-0.20444701126191167
Alibaba,92.47,FCFF,125.16,EV/EBITDA,120.93,,Buy,-0.26118568232662187,-0.23534276027453904
Alibaba Holding Ltd.,92.47,FCFF,52.98,P/Revenue,80.87,,Sell,0.7453756134390337,0.1434400890317793
Allard Industries Ltd. (Private company),98931000,FCFF,98931000,VB,104684000,,Hold,0,-0.05495586718123113
Alphabet,807.9,FCFF,712.08,PE,377.35,,Sell,0.13456353218739459,1.1409831721213726
Alphabet (Google),807.9,FCFF,645.08,PE,640,,Sell,0.25240280275314686,0.2623437499999999
Altassian,25.7,FCFF,33.82,P/BV,45.28,,BUY,-0.24009461856889414,-0.4324204946996467
Amazon,768.66,FCFF,628.18,VS,477.43,,Sell,0.2236301696965839,0.6099951825398486
Amazon,760.12,FCFF,594.933484401705,PBV,722.37,,Sell,0.2776554353204963,0.052258537868405286
Amazon,774.34,FCFF,703.32,VEBITDAR,649.5,,Sell,0.10097821759654213,0.19220939183987684
Ambarella Inc,53.7,FCFF,47.4,EV/EBITDA,34.7,,SELL,0.13291139240506333,0.5475504322766571
