Company,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
Johnson & Johnson,B,0.2298,0.0124,5748,76.29
L3 Communications,B,0.0066,0.3426,25.71,32.11
Landry's Restaurants,B,0.0601,0.6455,43.6,35.57
Las Vegas Sands,B,0.13765234535919446,0.05005379311950457,0,48.07401064685917
Leap Wireless,B,-0.1521,0.1682,0,34.32
Lenovo,B,0.0312,0.15,100.2,0.22
Lexmark ,B,0.046,0.0435,1687,65.86
Limited,B,0.1902,0.2471,308.72,29.43
Lionsgate,B,0.0865,0.2467,0.623,5.32
LodgeNet,B,,0.4717,0,13.51
Marriott,B,0.0999,0.1148,70.2,47.42
Marriott Hotels,B,0.0135,0.1326,61,20.18
"Marriott International, Inc.",B,0.0812,0.1327,703.8,40.12
Martha Stewart ,B,-0.47,0.0332,2.2,24.18
Marvel,B,0.1783,0.0175,0,10.15
McDonalds,B,0.0722,0.2484,1031840,38.96
McDonald's,B,0.0978,0.2374,1341,36.17
McDonald's,B,0.1004,0.2576,1356,37.23
McDonald's Corp,B,0.07187184329910178,0.24983808655238302,1480.3,34.5
McDonald's Corporation,R ,0.0852,0.2432,,46.32
MGM,B,0.0646,0.49,0,60.01
Microsoft,B,0.1884,0,8352.7,20.38
Microsoft,B,-0.002599999999999991,0.013,4232,20.22
MIPS,B,-0.0841,0.03,0,6.14
"Motorola, Inc.",B,0.143,0.0907,2334,16.62
Netflix,B,-0.1739,0.0137,0,27.78
Netflix,B,-0.07299999999999998,0.0127,0,20.21
Netflix,B,0.1342,0.0098,0,30.37
Netflix,B,0.1342,0.0098,0,30.37
Newmont Mining Corp,R,-0.062,0.08,179,54.02
Nike,B,0.11980253547897757,0.06294336918401404,508.21,90.14112665330039
Nike,B,0.1361,0.0718,1086.1,111
Norsk Hydro,B,0.04879999999999999,0.147,5021,169.44
Novo Nordisk,B,0.147,0.0354,3036,498.93
Nucor,B,0.0897346495714457,0.16930423929670174,118.696,50.219393707896835
Occidental Petroleum Corp,R,0.3374,0.09,520,56.85
OSI Restaurant Partners Inc.,B,0.034360541818033705,0.23643869938303508,71.5,33.36
Overstock.com,D,-0.301,0.263,0,18.69
Overstock.com,B,-0.382,0.2748,0,19.5
PALM,B,-0.0749,0.0426,0,33.48
Pantaloon,B,0.3966,0.0489,627,1608
Papa John's,B,0.2091,0.1157,0,17.4
Parlux,B,0.23555266684514098,0.22976387948746674,0,7.1625242857699245
Pep Boys,B,-0.1152,0.5366,37.98,8.56
PepsiCo,B,0.2208,0.05442451324543852,3605.6,51.426944570068095
Petrobras,B,0.14470000000000002,0.1808,3415,19.57
PF Changs,R,0.107,0.1898,0,27.7
Pier 1 Imports,B,0.0562,0.238,59.9,5.22
Planet Out (LGBT),B,-0.1855,0.2464,0,2.32
Playboy,B,0.0622,0.2657,0.33,21.64
Polo Ralph Lauren,B,0.09079999999999998,0.1202,5.74,77.66
Posco,R,0.1229,0.19,638,320000
Pulte,B,0.19206529331122865,0.2944988877118874,21.642000000000003,46.66354069729788
Puma,B,0.3468,0.0158,21.19,289.91
Pyaterochka,B,0.35,0.16,0,24.62
Quicksilver,B,0.08200000000000002,0.3188,6,16.72
Quiksilver,B,0.07602230816512773,0.33686964242782835,0,26.22905065898624
RARE Hospitality,B,0.01878234842555873,0.12709016459184727,10.1,27.55
Red Lion Hotels Corporation,B,-0.0561,0.3922,0,11.12
Royal Dutch Shell,B,0.14930000000000002,0.1096,10556,36.73
Ruby Tuesday,R,0.04,0.2866,71.2,36.6
Ruth Chris,B,,0.2359,39330000,8.63
S&I,B,-0.0411,0.2524,468.7,43.41
Sabre Holding,B,0.0116,0.2662,104,22.42
Sadia,B,0.2221,0.5801,43,3.22
Saks Inc,B,-0.084,0.405,135.1,12.92
Schlumberger,B,-0.026899999999999993,0.0647,482,59.19
Scholastic,R,-0.0125,0.3185,0,18.54
Shinsegae,B,0.1046,0.1704,16,568.42
Six Flags (SIX),B,-0.3246,0.61,0,3.24
Smith & Wesson,B,0.0114,0.0368,0,5.54
Smith & Wollensky,B,-0.1669,0.4203,0,16
Sodexho Alliance,B,0.00537846619948275,0.271319016212322,112,31.3
Sonesta International Hotels Corporation ,B,0.318,0.458,2.22,8.13425435756978
Sonic Corp,B,0.1245,0.1407,21.5,23.35
Sonic Corporation,B,0.13010757801184186,0.471001405516781,0,21.825827095008126
Southwest,R,0.0006000000000000033,0.2509,74,9.95
Staples,B,0.0722,0.1878,311.5,23.52
Starbucks,B,0.1605,0.0902,0,25.27
Starbucks,B,0.1184,0.0955,0,25.58
Starwood,B,0.0036,0.2669,1376,13.39
Starwood,B,0.0042,0.262,142.8,58.83
"Starwood Hotels & Resorts Worldwide, Inc. ",B,0.0016,0.2604,275.2,47.25
Target,B,0.08090000000000001,0.1943,586.6,58.07
Target,R,0.07217627583149643,0.196032852456464,497.2,51.91292871351879
Target,B,0.1111,0.1988,1515,49.46
Target,B,0.095,0.1912,763.4,64.16
Target,B,0.0764,0.2071,454.3,57.74
Target,B,0.0878,0.211,318,47.42
Target,B,0.09648352408563353,0.18722273861748995,213.1,69.6435671067551
The Cheesecake Factory Incorporated,B,0.0684,0.1751,0,26.41
The Gap,B,0.1155,0.2424,179,25.22
The Steak N Shake Corporation,B,-0.005,0.2853,1.65,18.1
Tiffany,B,0.0783,0.1655,175.72,36.72
Tiffany,B,0.0783,0.1655,175.72,21.2
