Company,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,Approach ,ROE - COE,Current Debt ratio,Dividends,Value/share
3COM,B,-0.0796,0.0464,498.97,3.52
Abbott,B,0.228,0.0792,1349.41,38.26
Abbott Labs,B,0.07433894404421755,0.07408633839972623,1023.8,40.25
Abercrombie & Fitch,B,0.524,0.2509,21.39,20.75
Abercrombie & Fitch,B,0.225,0.1685,35.3,36.75
Abercrombie (ANF),B,0.2232,0.1674,23.6,47.11
Abercrombie and Fitch,B,0.1827,0.1677,0,47.05
Acclaim,B,1.41,0.2,0,33.27
Acclaim Entertainment,B,,0.1266,159,5.09
Ackerley Group,B,-0.3226910044611784,0.3636505873685427,0,19.32826001335487
Activision,B,0.0162,0.0549,0,39.71
Adolph Coors,B,0.0554,0.0621,43.5,72.62
Adolph Coors,B,0.052,0.04,24.4,67.99
Affymetrix,B,-0.365,0.1397,0,27.97
AHP,B,0.1376,0.0286,1294.76,47.06
Ajinomoto,B,0.004900000000000002,0.1491,53.609141055949564,9.68
Alaska Airlines,B,-0.0789,0.6996,0,35.26
Allergan,B,0.1434,0.0505,99.6,68.11
Amazon,B,-0.363,0.2501,0,8.25
Amazon,B,0,0.2058,0,12.53
Amerada Hess,R,0.1596,0.4315,94,90.44
American Airlines,B,-0.119,0.8299,0,31.67
Amgen,B,0.1234,0.0122,567,45.21
Amgen,B,0.168,0.004,693,63.39
Amgen,B,0.1408,0.0062,842.42,51.56
Amgen,B,0.215,0.0041,459.8,34.25
Amgen,B,0.1293,0.0065,554.2,34.68
Amgen,B,0.11,0.0059,842.2,42.83
Andarko,B,0.14499999999999996,0.274,43.6363636363636,60.99
Anheuser Busch,B,0.3367,0.1128,1239.94,51.45
Anheuser Busch,B,0.69,0.155,1463,50.93
Anheuser-Busch,B,0.3333,0.1106,473.89,52.1
AnnTaylor,B,-0.0705,0.3483,0,34.59
AOL Time Warner (AOL),B,-0.2115,0.2287,1548,30.58
Apple,B,-0.0685,0.0664,63.67,4.06
Apple,B,-0.0341,0.0322,64,28
Apple,B,0.1028,0.072,0,32.81
Applebee's,B,0.076,0.1298,61.92,36.98
Applied Material,B,0.009,0.0236,0,22.14
Argosy,B,0.285,0.252,0,69.15
Automatic Data Processing,B,0.0596,0.0292,334.28,84.41
Barnes & Noble,B,-0.0394,0.5604,0,24.61
Barnes & Noble,B,-0.09309100000000001,0.5556,0,22.98
Barnes & Noble,B,-0.04,0.537,39.3,32
Barnes & Noble,B,-0.0308,0.5082,15,41.5
Barnes & Noble,BB,-0.1784,0.2557,0,10.14
Barnes & Noble,R,0.0659,0.46,23.475,27.53
Barr Laboratory,B,0.0899,0.0097,0,68.62
Bebe,B,0.0839,0.1758,0,17.03
Bed Bath & Beyond,B,0.1457,0.1145,0,33.01
Bed Bath & Beyond,B,0.18470000000000003,0.1181,0,31.81
Bed Bath & Beyond,R,0.1683,0.1221,0,40.48
"Bed, Bath and Beyond",B,0.0881,0.1134,0,19.7
Benihana's,B,0.0752,0.2954,0,34.26
Best Buy,A,0.0477,0.16,79.892,56.09
Best Buy,B,0.34,0.165,0,77.91
Best Buy,B,0.1621,0.1364,80,81.61
Best Buy,B,0.19542384637197,0.167509510833503,39991,67.42
Best Buy,B,0.165,0.147,142.4,83.8
Biogen,B,0.1224,0.0238,132,54.78
Biomet,B,0.0947,0.0088,31.48,23.19
Biopure,B,-0.5691,0.009,0,3.84
Bluefly,D,-0.306,0.1624,0,1.55
Boca Resorts,R,-0.068,0.377,1.37,5
Boise-Cascade,B,-0.1265,0.5522,49,34.62
Borg Warner,B,0.0001,0.3172,147,40.72
Boston Beer Co,B,0.0273,0,0,13.87
Boston Beer Company,B,0.0254,0.0198,7.01,11.21
BOWATER,B,-0.0582,0.4479,115.14,49.3
Brinker,B,0.0429,0.1899,68.37,44.04
Bristol Myers Squibb,B,0.3045,0.0909,2675,40.05
Bristol-Myers Squibb,B ,0.1865924740207328,0.11282321572518139,1768,46.68
Cablevision,B,-0.125,0.6286,122.2,19.03
Campbell Soup            ,B,0.3693,0.145,719000000,25
Campbell's,B,-0.0351,0.2568,314.2,33.11
Carnival,B,0.0467,0.1423,215.79,31.78
Centex,B,0.0856,0.47,8.44,61.5
Centex,B,0.0856,0.47,8.44,61.5
Century Casinos,B,0.0179,0.3085,0.578,4.77
Century Casinos,B,0.0179,0.3085,578,4.77
Cheesecake Factory,B,0.0221,0.1834,2.33,36.8
Chevron Texaco,B,0.033,0.147,1762,102.3
ChevronTexaco,B,0.0589,0.157,2074.214,95.98
Chiron,B,-0.013,0.031,0,21.85
Circuit City,B,-0.028,0.323,104.7,19.2
Coach,B,-0.0876,0.0742,1.96,13.85
Coach,B,0.24529999999999996,0.1031,0,65.5
Coca Cola,B,0.288,0.037,2068,44
Coca-Cola,B,0.2978,0.04,1791,46.67
Compaq,B,-0.1414,0.1092,158,13
ConAgra,B,0.1095,0.3275,385.5,27.89
Conoco,B,0.19199999999999998,0.334,535.666666666667,41.23
Continental,B,-0.2325,0.854,330.4,36.1
Continental Airlines,B,0.03459999999999999,0.8582,0,33.69
Costco,B,0.0415,0.1147,20.06,42.81
Costco,B,0.0514,0.0874,20.07,36.36
Costco,B,-0.0368,0.0929,0,52.63
Costco,R,0.0358,0.0755,0,44.13
CSKAuto,B-,-0.09830000000000001,0.7473,0,7.89
Del Monte,B,0.0565,0.6191,0,6.03
Dell,B,0.37,0.01,0,25.87
Dell,B,0.1789,0.0074,1900,19.4
Dell,B,0.1004,0.0334,2700,20.47
Delphi,B,-0.2059,0.3,148,12.8
