Bloomberg Symbol,Primary Exchange,0.00me,Industry 0.00me,FCFF,FCFE,Market Capitalization,Firm Value,Enterprise Value,Cash & near Cash,Invested Capital,Total Debt,Book Equity,Revenues,Net Cap Ex,EBIT,EBITDA,EBIT (1-t),Chg in non-cash WC,Reinvestment,Tax Rate,Net Income,Standard deviation in stock prices,Beta,Geo growth in earnings per share,Cash/Firm Value,Payout Ratio,Reinvestment Rate,Net Margin,After-tax Margin,PE,PBV,PS,EV/EBITDA,EV/EBIT,Firm Value/BV,EV/Sales,ROE,ROIC,Market Debt to Capital,Market Debt to Equity,Book Debt to Equity,Interest Coverage Ratio,Geometric Growth-EPS Before XO,Volatility 90 Day Calc,Raw Beta,Current Market Cap,Operating Income (Losses),Effective Tax Rate,Capital Expenditures,Depreciation & Amortization,Cash Flow Net Income,Total Debt (ST & LT Debt),Interest Expense,Sales/Revenue/Turnover,Changes in Non-Cash Work Cap,Industry Subgroup,IBES Est Growth,Dividends Paid,Total Common Equity,Cash&Near Cash Items,Adj Beta
CEK GR Equity     ,Frankfurt,CEOTRONICS AG,Telecommunication Equip,-0.003347999999999962,0.023119730185497456,16.56599,18.36599,17.99599,0.37,11.490000000000002,1.8,10.06,13.57,-0.10999999999999999,0.79,1.24,0.34665200000000007,0.46,0.35000000000000003,0.5611999999999999,0.32,0.86237,0.8272859216255443,0.00,0.02014593278118958,0,1.0096581009196541,0.023581429624170966,0.02554546794399411,51.76871875,1.6467186878727633,1.2207803979366247,14.512895161290322,22.779734177215186,1.5485657672849915,1.3261599115696387,0.03180914512922465,0.030169886858137512,0.0980072405571385,0.10865634954506191,0.17892644135188868,0.00,,86.237,0.57,16565990,0.79,56.12,-0.34,0.45,0.32,1.8,,13.57,-0.46,Telecommunication Equip,,,10.06,0.37,0.8272859216255443
CWC GR Equity     ,Xetra,CEWE COLOR HOLDING AG,Film Processing,-11.189724000000004,-11.76565195202858,167.4006,189.9406,178.57059999999998,11.37,106.19999999999999,22.54,95.03,428.5,1.3500000000000014,18.37,55.599999999999994,6.150276,15.99,17.340000000000003,0.6652,2.25,0.34905,0.6850507982583455,-0.3682,0.05986081964572082,2.413333333333333,2.819385666594475,0.005250875145857643,0.01435303617269545,74.40026666666667,1.761555298326844,0.39066651108518086,3.211701438848921,9.720772999455633,1.6155532874032492,0.4167341890315052,0.023676733663053773,0.05791220338983051,0.11866867852370688,0.13464706817060393,0.23718825634010313,7.783898305084747,-36.82,34.905,0.472,167400600,18.37,66.52,-38.58,37.23,2.25,22.54,2.36,428.5,-15.99,Film Processing,,-5.43,95.03,11.37,0.6850507982583455
MXC GR Equity     ,Frankfurt,CINEMAXX AG,Theaters,-16.85,0.00,20.1264,46.9664,39.1464,7.82,-4.969999999999999,26.84,-23.99,162.99,-5.6,-17.59,-10.92,-17.59,4.86,-0.7399999999999993,0,-22.17,0.8895099999999999,0.49492017416545725,0.00,0.16650200994753697,0.00,0.00,-0.09902448002944966,-0.10792073133321062,0,0,0.1234824222344929,0,0,0,0.24017669795692986,0.00,0.00,0.5714723717380936,1.3335718260593052,0.00,0.00,,88.951,0.341,20126400,-17.59,-3.54,-1.07,6.67,-16.14,26.84,4.58,162.99,-4.86,Theaters,,,-23.99,7.82,0.49492017416545725
CIW GR Equity     ,Frankfurt,CINEMEDIA FILM AG,Film Processing,9.64,0.00,16.8216,37.071600000000004,36.0816,0.99,12.299999999999999,20.25,-6.96,58.92,-9.57,-11.82,-0.16999999999999993,-11.82,-11.89,-21.46,0,-14.26,0.6119100000000001,2.1741654571843254,0.00,0.026705078820444757,0.00,0.00,-0.3333333333333333,-0.20061099796334012,0,0,0.2854989816700611,0,0,0,0.6123828920570265,0.00,-0.9609756097560976,0.5462402486000064,1.2038093879298046,0.00,0.00,,61.191,1.498,16821600,-11.82,-10.09,-2.08,11.65,-19.64,20.25,2.44,58.92,11.89,Film Processing,,,-6.96,0.99,2.1741654571843254
CLG GR Equity     ,Dusseldorf,CLOPPENBURG AUTOMOBIL AG,Retail-Automobile,-8.966448,-3.6263288672350797,13.959,78.239,75.099,3.14,78.96,64.28,17.82,193.52,7.34,3.38,6.52,3.38,7.34,14.68,0,-0.43999999999999995,0.55946,0.8708272859216256,0.00,0.0401334372883089,0.00,4.34319526627219,-0.005012401818933443,0.017465894997933027,0,0.7833333333333333,0.07213207937164116,11.518251533742333,22.21863905325444,0.9529719853836786,0.38806841670111614,-0.024691358024691353,0.042806484295846,0.8215851429593937,4.604914392148435,3.6071829405162736,0.8848167539267016,,55.946,0.6,13959000,3.38,-69.04,-10.48,3.14,-0.97,64.28,3.82,193.52,-7.34,Retail-Automobile,,0,17.82,3.14,0.8708272859216256
DET GR Equity     ,Frankfurt,CNV VERMOEGENSVERWALTUNGS AG,Publishing-Periodicals,-3.8199999999999994,-3.7970299999999995,46.73656,46.73656,38.37656,8.36,9.86,0,18.22,31.12,0.26,-7.84,-7.33,-7.807072,-4.28,-4.0200000000000005,0.0042,-7.81703,0.5101100000000001,0.32220609579100146,0.00,0.17887495356953956,0.00,0.00,-0.47397172236503854,-0.25086992287917736,0,2.565124039517014,1.5018174807197942,0,0,2.565124039517014,1.2331799485861181,-0.42903567508232715,-0.7917922920892495,0,0,0,0.00,,51.011,0.222,46736560,-7.84,0.42,-0.77,0.51,-14.75,0,0.01,31.12,4.28,Publishing-Periodicals,,,18.22,8.36,0.32220609579100146
COM GR Equity     ,Xetra,COMDIRECT BANK AG,Internet Brokers,453.62974099999997,453.63,813.5413,813.5413,810.0113,3.53,597,0,600.53,198.67,-7.26,51.09,59.760000000000005,33.969741000000006,-412.4,-419.65999999999997,0.33509999999999995,33.97,0.27789,1.9143686502177069,0.00,0.004339054452429152,0.6617603768030615,-12.353935815995769,0.17098706397543667,0.17098576030603518,23.9488166028849,1.3547055101327161,4.09493783661348,13.55440595716198,15.854595811313368,1.3547055101327161,4.077169678361102,0.05656669941551629,0.056900738693467345,0,0,0,0.00,,27.789,1.319,813541300,51.09,33.51,-1.41,8.67,33.97,0,,198.67,412.4,Internet Brokers,,-22.48,600.53,3.53,1.9143686502177069
COP GR Equity     ,Stuttgart,COMPUGROUP HOLDING AG,Data Processing/Mgmt,15.810512000000001,4.51074297188755,153.235,210.985,210.19500000000002,0.79,73.91,57.75,16.95,68.81,-8.88,7.84,17.64,1.6605120000000007,-5.27,-14.15,0.7881999999999999,1.3,0.21718,0.23512336719883892,0.1215,0.0037443420148351777,0,-8.521468077315909,0.018892602819357653,0.024131841302136327,117.87307692307692,9.040412979351034,2.2269292254032846,11.915816326530614,26.81058673469388,2.824431057563588,3.05471588431914,0.07669616519174041,0.02246667568664593,0.273716140957888,0.37687212451463437,3.4070796460176993,4.126315789473685,12.15,21.718,0.162,153235000,7.84,78.82,-0.92,9.8,1.3,57.75,1.9,68.81,5.27,Data Processing/Mgmt,,,16.95,0.79,0.23512336719883892
CMD GR Equity     ,Xetra,COMPUTEC MEDIA AG,Publishing-Periodicals,-1.8,7.8715789473684215,36.76048,48.53048,40.92048,7.61,12.719999999999999,11.77,8.56,32.73,-0.35999999999999993,-2.92,-2.2199999999999998,0,-0.76,-1.1199999999999999,1,7.4,0.36192,0.6981132075471699,0.00,0.15680866952068062,0,0.00,0.22609227008860375,0,4.967632432432432,4.294448598130841,1.1231432936144212,0,0,2.3871362518445647,1.2502438130155822,0.8644859813084113,0,0.24252799477771497,0.3201808028622042,1.3749999999999998,0.00,,36.192,0.481,36760480,-2.92,291.58,-0.34,0.7,7.4,11.77,0.66,32.73,0.76,Publishing-Periodicals,,,8.56,7.61,0.6981132075471699
CPX GR Equity     ,Xetra,COMPUTERLINKS AG,Computer Services,4.707454,5.359999999999999,87.50358,87.50358,71.38358,16.12,13.93,0,30.05,210.8,-0.72,8.46,9.99,5.117454,1.13,0.4099999999999999,0.3951,5.77,0.29846,1.6647314949201744,0.5063,0.18422103415654537,0,0.08011796490989463,0.027371916508538895,0.02427634724857685,15.165265164644715,2.911932778702163,0.4151023719165085,7.145503503503503,8.437775413711583,2.911932778702163,0.3386317836812144,0.1920133111480865,0.3673692749461594,0,0,0,141.00000000000003,50.63,29.846,1.147,87503580,8.46,39.51,-0.81,1.53,5.77,0,0.06,210.8,-1.13,Computer Services,,,30.05,16.12,1.6647314949201744
