Company Name,Exchange:Ticker,Geographic Region,Trailing PE,Expected growth rate,Emerging Market Dummy,ROE,Debt/Equity Ratio,Payout Ratio,"Market Capitalization [Latest] ($USDmm, Historical rate)"
Pioneer Food Group Ltd. (JSE:PFG),JSE:PFG,Africa / Middle East,20.721115537848604,0.225,1,0.113,0.10613343587771583,0.301,1560.3
Zydus Wellness Limited (BSE:531335),BSE:531335,Asia / Pacific,20.860335195530727,0.22,1,NA,0,0,373.4
"Kameda Seika CO., Ltd. (TSE:2220)",TSE:2220,Asia / Pacific,20.956375838926174,0.136,1,0.0894,0.13578863090472376,0.171,624.5
"Binggrae Co., Ltd. (KOSE:A005180)",KOSE:A005180,Asia / Pacific,20.974647887323943,0.161,1,0.0924,0.012194466827827022,0.305,744.6
"Green Mountain Coffee Roasters, Inc. (NasdaqGS:GMCR)",NasdaqGS:GMCR,United States and Canada,21.00959393128068,0.17800000000000002,0,0.188,0.05739924600435406,0,9416.5
The J. M. Smucker Company (NYSE:SJM),NYSE:SJM,United States and Canada,21.066440435792106,0.0894,0,0.109,0.17107103797339573,0.40299999999999997,11795.1
Juhayna Food Industries S.A.E. (CASE:JUFO),CASE:JUFO,Africa / Middle East,21.163333333333334,0.34,1,0.22,0.13450937155457554,0,1269.8
Thorntons PLC (LSE:THT),LSE:THT,Europe,21.263157894736842,0.425,0,0.263,0.3770627062706271,0,121.2
Glanbia plc (ISE:GL9),ISE:GL9,Europe,21.53314917127072,0.11,0,0.22899999999999998,0.22116741500962156,0.192,3897.5
"Tangrenshen Group Co., Ltd. (SZSE:002567)",SZSE:002567,Asia / Pacific,21.552419354838708,0.32,1,0.09369999999999999,0.07801683816651077,0.374,534.5
"Nissin Foods Holdings Co., Ltd (TSE:2897)",TSE:2897,Asia / Pacific,21.590591523055426,0.013000000000000001,1,0.0706,0.02124905619674253,0.389,4635.5
Lancaster Colony Corporation (NasdaqGS:LANC),NasdaqGS:LANC,United States and Canada,21.5970695970696,0.085,0,0.205,0,0.38,2358.4
"Jiajia Food Group Co.,Ltd. (SZSE:002650)",SZSE:002650,Asia / Pacific,21.855670103092784,0.135,1,0.107,0,0.63,636
"China Animal Husbandry Industry Co., Ltd. (SHSE:600195)",SHSE:600195,Asia / Pacific,22.04368932038835,0.2,1,0.11199999999999999,0.0035344637744990086,0.644,908.2
Cocoaland Holdings Bhd (KLSE:COCOLND),KLSE:COCOLND,Asia / Pacific,22.05128205128205,0.13,1,0.0867,0,0.622,120.4
OldTown Berhad (KLSE:OLDTOWN),KLSE:OLDTOWN,Asia / Pacific,22.056338028169016,0.20800000000000002,1,NA,0.035759897828863345,0.748,313.2
Almarai Company (SASE:2280),SASE:2280,Africa / Middle East,22.230345518277417,0.07,1,0.163,0.2598999864846601,0.33,8878.8
M. Dias Branco S.A. Indústria e Comércio de Alimentos (BOVESPA:MDIA3),BOVESPA:MDIA3,Latin America and Caribbean,22.316835871404397,0.16699999999999998,1,0.20600000000000002,0.053168299941240026,0.218,5275.7
Strauss Group Ltd. (TASE:STRS),TASE:STRS,Africa / Middle East,22.472460220318236,0.14400000000000002,1,NA,0.36906318082788675,0,1836
"McCormick & Company, Incorporated (NYSE:MKC)",NYSE:MKC,United States and Canada,22.516564417177914,0.0877,0,0.231,0.12772056018745573,0.43200000000000005,9175.5
Super Group Ltd. (SGX:S10),SGX:S10,Asia / Pacific,22.568069306930695,0.201,1,0.251,0.0005648478201261311,0.386,1823.5
Hap Seng Plantations Holdings Bhd (KLSE:HSPLANT),KLSE:HSPLANT,Asia / Pacific,22.572881355932203,0.043,1,0.049699999999999994,0,0.9440000000000001,665.9
"Shandong Oriental Ocean Sci-Tech Co., Ltd. (SZSE:002086)",SZSE:002086,Asia / Pacific,22.703703703703706,0.18,1,0.07769999999999999,0.36976617727025557,0.679,367.8
"Flowers Foods, Inc. (NYSE:FLO)",NYSE:FLO,United States and Canada,22.738126361655773,0.0973,0,0.255,0.11971102253564313,0.392,5218.4
