Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months),Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Market Capitalization [Latest] ($USDmm, Historical rate)",Institutions - % Owned [Latest] (%),2 Year Beta [Latest],Shares Outstanding [Latest] (mm),Forward Revenues (Expected revenues in next 4 quarters),"Net Income, 10 Yr CAGR % [LTM] (%)","Total Revenue [LTM] ($USDmm, Historical rate)","Cash And Equivalents [Latest Quarter] ($USDmm, Historical rate)","Total Debt [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Exp. [LTM] ($USDmm, Historical rate)","Basic EPS  [LTM] ($USD, Historical rate)","Operating Lease Commitment Due, After 5 Yrs [Latest Annual] ($USDmm, Historical rate)","Change in Net Working Capital [LTM] ($USDmm, Historical rate)","Total Revenue [Latest Annual] ($USDmm, Historical rate)",% of Directors that are Internal
Duke Energy Corporation (NYSE:DUK),1916,51261.3,0.5297,0.508,707,25605.8,0,23996,1424,40718,0,3.76,1034,631,23996,0.0588
Schneider Electric S.A. (ENXTPA:SU),1836,51074.1,0.6522,1.31,571.4,35259.2,0.159,32432.7,4927.2,10721.9,1188.5,4.72,92.3,-371.8,32432.7,0.0667
National Grid plc (LSE:NG.),1990,51015.2,0.7589,0.412,3730.4,24737,0.113,24287.2,696.5,41689.6,24.3,1.13,505.7,612,21804,0.46149999999999997
A.P. Møller - Mærsk A/S (CPSE:MAERSK B),NA,50834.8,0.024900000000000002,0.888,22,49549.3,0.0116,49150,2062.3,18197.8,0,163.8,5332.7,2706.2,49150,0
Reliance Industries Limited (BSE:500325),NA,50757.7,0.25489999999999996,0.618,3231.9,66525.4,0.18,73130.5,0,0,0,1.3,0,-1455.4,73130.5,0.35710000000000003
Texas Instruments Inc. (NasdaqGS:TXN),1930,50593,0.7785,1.15,1081.7,12601.3,0.0608,12205,1416,5686,1522,1.94,100,108,12205,0.0909
Anadarko Petroleum Corporation (NYSE:APC),1959,50388.4,0.8626,1.5,512.1,16193.2,-0.0467,14867,2471,14463,0,1.58,189,-1643,14867,0.0833
Lockheed Martin Corporation (NYSE:LMT),1909,50013.5,0.7288,0.895,319.3,44786.8,0.11,45358,1898,6308,697,9.29,224,-360,45358,0.0833
Halliburton Company (NYSE:HAL),1919,49784.2,0.8075,1.53,850.9,31827.5,0,29402,2484,4820,588,2.37,154,503,29402,0.0909
Hyundai Motor Company (KOSE:A005380),1967,49611.4,0.3066,0.72,209.3,88234,0.16899999999999998,82701.2,6355.3,42532.1,1011,29.8,0,1149.8,82701.2,0.15
Accenture plc (NYSE:ACN),NA,49563,0.8451000000000001,1.13,633.1,30506.3,0.18100000000000002,28774.2,5636.1,0.029,715.1,4.53,674.6,647.7,28562.8,0.0909
Costco Wholesale Corporation (NasdaqGS:COST),1976,49556.7,0.7709,0.912,439.9,115667.4,0.0967,107893,4413,4871,0,4.49,1753,-211,105156,0.35710000000000003
China Shenhua Energy Co. Ltd. (SEHK:1088),2004,48259.5,0.10189999999999999,1.07,19889.6,40741.8,0.316,46877.6,8284.1,11921.8,116.1,0.374,1.65,3316,46877.6,0.375
BT Group plc (LSE:BT.A),2001,47998.7,0.7464,0.588,7918.7,30425.4,-0.024700000000000003,30262.6,877.7,18930.5,1403.1,0.454,8028.2,523.5,27358.6,0.3636
Lowe's Companies Inc. (NYSE:LOW),1946,47607.4,0.7935,1.1,1018.8,56028.3,0.023,53417,541,9077,0,2.14,3411,-178,53417,0.0833
LyondellBasell Industries NV (NYSE:LYB),2005,47260.5,0.7848999999999999,1.44,543,45670.7,0,44062,2732,4400,150,6.8,677,144,44062,0.3125
Continental AG (DB:CON),1871,47175.5,0.2659,1.14,200,48818,0.19899999999999998,45901,3160.7,10881.8,2673.7,13.2,192.8,-521.1,45901,0
Emerson Electric Co. (NYSE:EMR),1890,46861,0.723,1.15,703,24990.6,0.060700000000000004,24722,2527,5454,576,2.82,166,-156,24669,0.4286
Singapore Telecommunications Limited (SGX:Z74),NA,46543.2,0.2289,0.401,15930.9,13552,0.0248,13627.2,680,6518.3,0.238,0.18,0,171.5,14653.4,0.0833
"VMware, Inc. (NYSE:VMW)",1998,46386.5,0.19,1.23,430.8,6033.1,0,5207,1609,450,1116,2.36,564,-346,5207,0.3333
Canadian National Railway Company (TSX:CNR),1922,46336.5,0.5845,0.719,826.7,10477.3,0.0992,9954.3,155.5,6922.5,0,2.92,217.4,186.4,9954.3,0.05
Canadian National Railway Company (TSX:CNR),1922,46336.5,0.5845,0.719,826.7,10477.3,0.0992,9954.3,155.5,6922.5,0,2.92,217.4,186.4,9954.3,0.05
Oil and Natural Gas Corp. Ltd. (BSE:500312),1993,46335.2,0.1252,0.83,8555.5,18826.3,0.0875,29911.3,0,0,110.5,0.521,0,1268.2,29911.3,0.3333
"Thermo Fisher Scientific, Inc. (NYSE:TMO)",1956,45921.9,0.9473,1.07,391.8,16738.9,0.203,13090.3,805.6,7124.3,395.5,3.53,54.2,-112.8,13090.3,0.11109999999999999
ITC Limited (BSE:500875),1910,45719.4,0.5005,0.465,7953.2,6254.4,0.187,5825,0,0,20.1,0.178,0.284,36.8,5825,0.2857
Phillips 66 (NYSE:PSX),1875,45576.1,0.7314,1.17,587.6,181209,0,157795,3474,6974,69,6.07,355,-1089,157795,0.125
KDDI Corporation (TSE:9433),1953,45318.8,0.2846,0.485,835,42682.8,0.0981,39292.5,1181.5,12386,274.7,3.97,0,162.1,38879.9,0.5294
Deutsche Post AG (XTRA:DPW),NA,45102.9,0.5143,0.966,1209.7,78814.7,0.048,76426.4,3164.3,6349.8,0,2.38,2170.4,-190,76426.4,0
Wesfarmers Limited (ASX:WES),1914,45042.8,0.1063,0.395,1143.3,59088.3,0.102,54617.9,1406.8,6030.2,0,1.89,5889.1,89.4,54773.7,0.16670000000000001
Wal-Mart de Mexico SAB De CV (BMV:WALMEX V),1958,44013.1,0.1103,0.428,17604.6,34905.8,0.147,32486.1,2169.5,1256,0,0.095,36.5,210.2,32486.1,0.2353
Iberdrola SA (CATS:IBE),NA,43919.5,0.4104,1.15,6330.2,44502.4,0.09369999999999999,45180.6,4013.3,44765,4.32,0.563,0,-1763.9,45180.6,0.1333
Canadian Natural Resources Limited (TSX:CNQ),1973,43669.5,0.6820999999999999,1.65,1091.9,16795.3,0.0493,15197.3,37.1,8764.5,0,1.96,318.2,-272,15197.3,0.0833
Henkel AG & Co. KGaA (DB:HEN3),1876,43653.3,0.21100000000000002,0.672,434.3,22841.2,0.11800000000000001,22522.9,1632.3,5022.1,571.5,5.04,45.4,68.9,22522.9,0
Teva Pharmaceutical Industries Limited (NYSE:TEVA),1901,43163.2,0.7698,0.643,848,20092,0.06269999999999999,20314,2879,14722,1427,1.5,76,-1075,20314,0.125
Ericsson (OM:ERIC B),1876,42894.6,0.5327000000000001,0.835,3233.8,35655.2,0,35368.1,6862.2,4664.5,5019.6,0.579,374.3,956.5,35368.1,0.0556
Danone (ENXTPA:BN),1899,42872.3,0.4711,0.387,586.5,29482.9,0.0542,29330,1673.1,12554.6,378.7,3.33,258.9,-351.2,29330,0.22219999999999998
"The TJX Companies, Inc. (NYSE:TJX)",1956,42537.6,0.9437000000000001,0.945,703.7,29276.6,0.134,27422.7,1812,774.6,0,3,2268.8,202.6,27422.7,0.0909
L'Air Liquide SA (ENXTPA:AI),1902,42534.7,0.2545,0.731,311,22042.5,0.085,21227.7,1521.8,9622.9,364.7,7.27,198.3,-202.2,21227.7,0.15380000000000002
"NextEra Energy, Inc. (NYSE:NEE)",1984,42085.5,0.7403,0.597,436.1,16170.3,0.07919999999999999,15136,329,27359,0,4.5,0,461,15136,0.0833
Kimberly-Clark Corporation (NYSE:KMB),1872,41935.5,0.7086,0.492,378.7,21526.9,0.023700000000000002,21152,1106,6734,360,5.58,107,22,21152,0.0833
Woolworths Limited (ASX:WOW),1924,41685.8,0.1388,0.16,1248.9,58976,0.133,54306.2,2361.9,4807.4,0,1.75,0,587.6,53713.6,0.22219999999999998
VINCI S.A. (ENXTPA:DG),1899,41598.8,0.41969999999999996,1.09,559.1,55639.4,0.13699999999999998,56382.3,8355.2,26625.4,0,4.92,278.2,-991.5,56382.3,0.2667
Jardine Matheson Holdings Limited (SGX:J36),1832,41590.9,0.1777,0.246,680.6,40526,0.33799999999999997,39465,4298,11515,0,4.26,891,-1220,39465,0.7143
Heineken NV (ENXTAM:HEIA),1864,41187.1,0.1732,0.557,575,26709.2,0.055099999999999996,26444.9,1367.3,17787.6,0,3.27,247.9,-230,26444.9,0.0833
"Dominion Resources, Inc. (NYSE:D)",1909,40991.4,0.6045,0.584,581.6,13026.9,0.182,13120,248,21809,0,2.93,87,166,13120,0.0833
Naspers Ltd. (JSE:NPN),1915,40391.4,0.4304,0.555,395.9,6621.2,0.373,5632.2,1270.7,2908.7,0,1.28,20.9,-213.2,5439.7,0.22219999999999998
DIRECTV (NasdaqGS:DTV),1977,40131.2,0.8885,0.95,509.5,33340,0,31754,1902,17528,0,5.22,520,30,31754,0.0833
Imperial Oil Ltd. (TSX:IMO),1880,39809.9,0.1595,1.13,847.6,34664,0.0519,29461.8,483.6,1652.4,187.3,3.14,30.1,558.2,29461.8,0.1429
Southern Company (NYSE:SO),1945,39699.8,0.4844,0.454,887.9,17760.1,0.011000000000000001,17087,628,22434,0,1.88,2239,-321,17087,0.12
ASML Holding NV (ENXTAM:ASML),1984,39666.1,0.634,0.552,438.6,8992.2,0,7223.5,2330.5,1003.7,802.4,3.83,2.32,95.5,7223.5,0
FedEx Corporation (NYSE:FDX),1971,39277,0.853,1.03,295.5,46890.4,0.08990000000000001,45163,3372,2242,0,5.32,6650,196,44287,0.07139999999999999
Baxter International Inc. (NYSE:BAX),1931,39109.7,0.8298000000000001,0.824,540.9,16523.5,0.08800000000000001,15259,3270,5930,1246,3.71,271,824,15259,0.07690000000000001
Target Corp. (NYSE:TGT),1902,38940.3,0.8889,0.676,633.2,74908.5,0.00861,72596,784,17648,0,3.1,3227,-5306,72596,0.0833
Orange (ENXTPA:ORA),1990,38928,0.3195,0.978,2633.5,54738.6,-0.052300000000000006,56436,10971.1,52907.9,0,0.982,2561.5,3817.4,56436,0.1176
Enbridge Inc. (TSX:ENB),1949,38852.8,0.6554000000000001,0.69,833.9,28417.5,-0.0069,30985.7,1781.8,22969.7,0,0.521,312.5,-863.2,30985.7,0.0833
McKesson Corporation (NYSE:MCK),1833,38824.7,0.8791,0.605,230.1,159687.7,0.0653,130370,2726,4479,546,5.01,202,241,122455,0.1
MTN Group Limited (JSE:MTN),1994,38325.5,0.46140000000000003,0.507,1850.9,14666.3,0,13018.7,2676.9,3782.2,0,1.37,0,-359.3,13018.7,0.1429
Imperial Tobacco Group plc (LSE:IMT),1901,38272.9,0.8942,0.443,954.9,12989.8,0.0833,45768.6,1017.3,15456.7,0,1.56,29.1,293,45768.6,0.3
Nissan Motor Co. Ltd. (TSE:7201),1933,38271,0.2051,0.933,4191.4,107373.7,-0.019299999999999998,96557.5,8242.8,56324.7,4469,0.872,522.3,9555.1,102230.2,0.5294
Fast Retailing Co. Ltd. (TSE:9983),1949,38158.1,0.2332,0.692,101.9,13473.5,0.132,11849.4,2070.7,178.5,0,8.98,1031,1247.5,11644.9,0.0909
Time Warner Cable Inc. (NYSE:TWC),NA,37711.2,0.9439,0.807,277.5,23015.5,0.114,22120,3304,26990,0,6.76,300,252,22120,0.07690000000000001
"Hon Hai Precision Industry Co., Ltd. (TSEC:2317)",1974,37648.5,0.2023,0.654,13127.3,140850.9,0.155,132295.1,17387.6,15872.6,1559.2,0.273,0,-92.2,132295.1,0.5714
Praxair Inc. (NYSE:PX),1907,37622.6,0.8939,0.853,293.4,12626.7,0.11599999999999999,11925,157,7362,98,5.94,51,66,11925,0.0833
Linde Aktiengesellschaft (DB:LIN),1879,37089.4,0.5506,0.655,185.6,23773.7,0.284,22936,1692.9,14056.3,126.7,9.78,190,194.2,22936,0.0833
China Telecom Corp. Ltd. (SEHK:728),2002,36945.8,0.09699999999999999,1.02,80932,55877.9,0.023700000000000002,53119.3,4810,16012.1,0,0.036,0,4346.9,53119.3,0.5385
Saudi Telecom Company (SASE:7010),1998,36797,0.0661,0.142,2000,12970.9,0.016,12159.3,430.4,3030.1,0,1.33,0,147.1,12159.3,0.11109999999999999
"Viacom, Inc. (NasdaqGS:VIAB)",NA,36638.4,0.8323,1.03,437.9,14251.2,0,13677,671,8389,0,5.24,937,577,13794,0.375
General Dynamics Corp. (NYSE:GD),1899,36604,0.8486,1.02,344.1,30117.8,0.0891,31218,3296,3908,310,6.72,373,-437,31218,0.07690000000000001
"Automatic Data Processing, Inc. (NasdaqGS:ADP)",1949,36406.8,0.7661,0.996,481.8,12599.8,0.038599999999999995,11747.3,1390.8,29.3,689.3,2.94,28.8,-338.9,11310.1,0.0909
CBS Corporation (NYSE:CBS),1986,35891,0.8447,1.53,593.4,15535.9,0.0286,15284,708,5922,0,3.09,783,173,15284,0.1333
Precision Castparts Corp. (NYSE:PCP),1949,35868.4,0.9433,0.79,145.2,10293.8,0.332,9536.8,483.3,3825.7,0,11.7,0,84.4,8377.8,0.125
Atlas Copco AB (OM:ATCO A),1873,35709.2,0.5207999999999999,0.944,1213.6,14008.3,0.139,13048.7,1906.8,3233.1,378.8,1.55,38.4,244.2,13048.7,0.0667
Merck KGaA (DB:MRK),1668,35525.7,0.195,0.658,217.4,15398.7,0.192,15279.3,962.1,5871.8,2092.3,7.62,5.65,-367.1,15279.3,0
Sasol Ltd. (JSE:SOL),1950,35459.3,0.3513,0.3,643.9,19177.1,0.184,19045.9,2666.7,3697.5,129.6,4.21,424.3,-361.7,18256,0.23079999999999998
Allergan Inc. (NYSE:AGN),1948,35267.9,0.9028,1.03,299.1,6876.8,0,6291.8,2701.8,1561.2,1118.9,3.32,57.1,-443.9,6291.8,0.11109999999999999
Hitachi Ltd. (TSE:6501),1910,35159.4,0.32659999999999995,1.21,4830.1,87834.4,0.228,88890.3,7013,31000.5,3245.9,0.497,532,4253.1,95982.5,0.3478
Syngenta AG (SWX:SYNN),1999,35151.8,0.42829999999999996,0.574,91.8,15516.3,0.20800000000000002,14688,1599,3348,1376,17.9,12,644,14688,0.1
Associated British Foods plc (LSE:ABF),1935,34983.7,0.3428,0.58,789.7,22907.4,0.0613,21129.9,635.4,2359.6,119,1.19,3237.3,176.1,21129.9,0.22219999999999998
Illinois Tool Works Inc. (NYSE:ITW),1912,34949.6,0.8311,1.07,424.9,14754.2,0.0507,14135,2779,5048,240,3.76,40,726,14135,0.0833
Eaton Corporation plc (NYSE:ETN),1916,34926.1,0.8059999999999999,1.43,476,22841,0.17,22046,577,10838,644,3.93,92,338,22046,0.0833
Freeport-McMoRan Copper & Gold Inc. (NYSE:FCX),1987,34911.6,0.7265,1.69,1038.4,23414.4,0.308,20921,3705,3527,0,2.65,132,275,20921,0.1176
Canon Inc. (TSE:7751),1933,34804.6,0.4681,0.896,1121,36808.4,-0.0178,35486.3,7707.7,46,2913.2,1.91,125.3,546.1,35486.3,0.5625
Christian Dior SA (ENXTPA:CDI),1946,34659.3,0.1067,0.944,178.4,45684.3,0,37189.5,2690.3,11025.7,101.4,9.43,0,0,37189.5,0.1818
BCE Inc. (TSX:BCE),1983,34270,0.4382,0.444,776.9,19122.3,0.015,19202.5,129.4,16074.2,189.2,2.4,651.4,227.8,19202.5,0.0667
"Kraft Foods Group, Inc. (NasdaqGS:KRFT)",1980,34247.3,0.7265,0.914,596.2,18549.9,0,18218,1255,9966,118,4.55,126,-150,18218,0.0909
Deere & Company (NYSE:DE),1837,34212.2,0.6459,0.912,369.7,33598.6,0.16899999999999998,38028,3176.5,32653.8,1444.5,9.36,48,1455.3,37795.4,0.0909
Fanuc Corporation (TSE:6954),1956,34200.6,0.5454,0.908,195.7,4884.9,0.0719,4189.2,7797.3,0,191.6,4.98,7.3,-73.3,5291.1,0.6957
Yahoo! Inc. (NasdaqGS:YHOO),1994,34147.7,0.7206,0.735,1009.4,4522.9,0.191,4680.4,2667.8,44,1008.5,1.3,122,99.1,4680.4,0.1429
"Repsol, S.A. (CATS:REP)",1986,34138.5,0.4035,1.23,1323.1,75249.7,-0.20800000000000002,68370.2,7783,29084.3,122.6,0.205,1691.1,440.7,68370.2,0.125
"Kinder Morgan, Inc. (NYSE:KMI)",NA,34063.9,0.5961,0.744,1030.7,15709.1,0,14070,714,34402,0,1.15,177,-710,14070,0.1818
Telenor ASA (OB:TEL),1885,34016.2,0.3265,0.667,1553,18138.4,0.11199999999999999,17127.3,1581.5,8999,0,1.43,0,-228.7,17127.3,0
"Seven & I Holdings Co., Ltd. (TSE:3382)",2005,33785.5,0.2843,0.591,883.6,58838.9,0,55167.9,7697.4,9235.8,0,1.95,0,-678.2,55167.9,0.3333
"Yum! Brands, Inc. (NYSE:YUM)",1997,33724.5,0.8072,0.866,441.9,14501.1,0.0587,13084,776,2942,31,2.41,2593,44,13084,0.16670000000000001
Apache Corp. (NYSE:APA),1954,33542.2,0.9001,1.33,393.8,14664.1,0.0712,16229,160,12345,0,5.54,157,-443,16229,0.1
Compagnie de Saint-Gobain (ENXTPA:SGO),1665,33486.1,0.2884,1.31,551.4,57928.6,-0.0542,57873.7,5509.9,16703.8,603.2,1.52,1082.4,15.1,57873.7,0.0556
"National Oilwell Varco, Inc. (NYSE:NOV)",1862,33476.5,0.8721,1.33,428.5,24303.4,0.401,22869,3319,3149,0,5.46,467,-401,22869,0.22219999999999998
TransCanada Corp. (TSX:TRP),1951,33216,0.49420000000000003,0.538,707.5,8943.4,0.077,8280.6,552.8,22254.3,0,2.28,305.9,109.2,8280.6,0.0833
Rolls Royce Holdings plc (LSE:RR.),1971,33194.3,0.8119,0.409,1880.3,25878.7,0.28,25698.7,4201.5,2275.5,1669.8,1.21,839.9,-1643.3,25698.7,0.2
The Swatch Group AG (SWX:UHR),NA,32746.6,0.26170000000000004,0.983,54.3,10592.9,0.146,9495.8,1660.2,145.3,219,39.8,479.5,1549.7,9495.8,0.16670000000000001
China Unicom (Hong Kong) Limited (SEHK:762),2000,32268.3,0.08310000000000001,1.05,23785.9,52740.6,0.09300000000000001,48734.4,2927.8,22800.1,0,0.073,357.3,-48.7,48734.4,0.3636
Koninklijke Philips N.V (ENXTAM:PHIA),1891,31986.7,0.4974,0.852,913.3,33178.6,0.053399999999999996,32127,5055,5978,2365.9,1.77,388.3,2158,32127,0.21050000000000002
"Fomento Económico Mexicano, S.A.B de C.V (BMV:FEMSA UBD)",1890,31922.6,0.3464,0.499,3578.2,21711.5,0.16699999999999998,19720.9,2813.3,2876.6,0,0.06,0,276.3,19720.9,0.12119999999999999
Ecolab Inc. (NYSE:ECL),1923,31659.2,0.7851,0.899,300.9,14483.5,0.14,13253.4,1157.8,6541.9,188,3.23,168,244.2,13253.4,0.0667
Carnival plc (LSE:CCL),1850,31626.7,0.2086,0.557,808.3,16226,-0.021099999999999997,15448,476,9410,0,1.32,163,-138,15456,0.07690000000000001
AB Volvo (OM:VOLV B),1915,31614.3,0.5429999999999999,1.05,2028.1,43513.8,0.282,42406,3871.3,20200.7,2352.5,0.275,120.1,331.2,42406,0.125
Covidien plc (NYSE:COV),NA,31607.8,0.9085,0.933,450.3,10803.2,0,10261,1399,5084,550,3.47,83,-588,10189,0.1429
"General Mills, Inc. (NYSE:GIS)",1928,31511.1,0.7192000000000001,0.513,614.5,18428.1,0.059500000000000004,18036.5,751.2,8058.6,237.9,2.81,114.5,17.3,17774.1,0.07690000000000001
Norfolk Southern Corporation (NYSE:NSC),1883,31446.6,0.6197,1.18,330.1,11719.2,0.136,11245,653,8815,0,6.1,418,11,11245,0.1429
CSL Ltd. (ASX:CSL),1916,31352.1,0.2384,0.092,481.2,5709,0.379,5042.3,756.7,1127.8,465.9,2.53,233,259.6,4950.4,0.125
Infosys Ltd. (BSE:500209),1981,31286.1,0.5362,0.433,571.4,8856.4,0.214,8095,2740,0,161,2.99,20.8,-42,7398,0.4667
Husky Energy Inc. (TSX:HSE),1982,30987,0.1157,1.18,983.5,23463.6,0.029300000000000003,21948.3,2031.6,3961.9,0,1.74,1482.5,69.7,21948.3,0.0667
Industries Qatar Q.S.C. (DSM:IQCD),1969,30903.8,0.027200000000000002,0.363,605,1853.3,0.168,1599.3,2245.3,2049.3,0,3.64,37.7,460.7,1599.3,0.1429
Johnson Controls Inc. (NYSE:JCI),1885,30877.3,0.8129000000000001,1.42,664,43966.3,0.061799999999999994,43216,314,6448,1006,1.89,71,-296,42730,0.1818
Adobe Systems Inc. (NasdaqGS:ADBE),1982,30769.7,0.9103,0.941,497.7,4249.9,-0.0207,4047.5,1306.4,1531.4,826.5,0.543,63.1,-159.2,4055.2,0.23079999999999998
Stryker Corporation (NYSE:SYK),1941,30732.5,0.7245,1.13,378.2,9576.3,0.08289999999999999,9021,1395,1762,536,2.66,38,-280,9021,0.1
Pernod-Ricard SA (ENXTPA:RI),1805,30529,0.5416,0.627,263.2,11530,0,11344.8,1157.6,13299.5,0,6.12,97.5,232.7,11147.2,0.6
Raytheon Co. (NYSE:RTN),1922,30299.8,0.8208,0.832,314.5,22817.4,0.185,23706,3188,4731,465,6.05,293,409,23706,0.1
Mitsubishi Corporation (TSE:8058),1950,30225.9,0.3343,0.891,1648.1,219512.7,0.177,69466.4,15127.7,64728.3,51,2.5,780.6,3552.6,63366.1,0.3478
Woodside Petroleum Ltd. (ASX:WPL),1954,29957.6,0.1192,0.647,823.9,6865.8,0.14,5926,2422,4534,0,2.13,848,484,5926,0.22219999999999998
Cognizant Technology Solutions Corporation (NasdaqGS:CTSH),1998,29861,0.9465,1.34,607.4,10403.9,0.359,8843.2,1570.1,0,0,2.03,187.4,52.7,8843.2,0.2
TeliaSonera Aktiebolag (publ) (OM:TLSN),NA,29808.2,0.2778,0.714,4330.1,15562,0.0513,15819.3,4577.4,14065.9,45.7,0.538,260.2,-123.5,15819.3,0
Holcim Ltd. (SWX:HOLN),1912,29601.4,0.2223,0.955,325.6,22627,0.0637,22143.7,3406.7,14607.8,83.1,4.39,338,477.3,22143.7,0
Carnival Corporation (NYSE:CCL),1972,29502.1,0.5156000000000001,1.14,776.4,16254.1,-0.021099999999999997,15448,476,9410,0,1.32,163,-138,15456,0.2727
Corning Inc. (NYSE:GLW),1851,29221.7,0.789,1.32,1390.8,10083.2,0,7819,4988,3458,710,1.35,90,260,7819,0.125
"Alexion Pharmaceuticals, Inc. (NasdaqGS:ALXN)",1992,29211.6,0.9778,1.34,197.8,2176,0,1551.3,989.5,149,317.1,1.29,6.16,-56.4,1551.3,0.22219999999999998
East Japan Railway Company (TSE:9020),1987,29135.8,0.3407,0.647,394.4,18858.2,0.0711,25697.8,1099.5,29745.5,153.5,4.57,391,-1038.9,28364.8,0.6667000000000001
Astra International tbk PT (JKSE:ASII),1957,28914.4,0.23420000000000002,0.81,40483.6,18704,0.159,15937.5,1147.1,5889.5,0,0.039,0,-114.3,15937.5,0
"Potash Corp. of Saskatchewan, Inc. (TSX:POT)",1953,28912,0.6353,0.959,851.6,6260.8,0,6733,562,4081,0,2.07,128,-280,6733,0.07690000000000001
OAO Novatek (MICEX:NVTK),1994,28863.5,0.1069,0.453,3028.1,11457.2,0.42100000000000004,9074.6,603.1,4338,0,1.11,0,587.1,9074.6,0.22219999999999998
"Hyundai Mobis Co.,Ltd. (KOSE:A012330)",1978,28755.5,0.3362,0.516,95.5,35131,0.207,32394.2,2629.1,2421.1,374,33.9,0,715.8,32394.2,0.6429
Carrefour SA (ENXTPA:CA),1959,28746.8,0.34020000000000006,1.14,718.2,105421.3,-0.025099999999999997,103021.4,8666.4,14827.6,0,2.5,1218.8,165.3,103021.4,0.0667
Reynolds American Inc. (NYSE:RAI),1875,28658.6,0.4682,0.66,536.5,8338.5,0,8236,2502,5095,72,3.15,1,478,8236,0.0667
"Regeneron Pharmaceuticals, Inc. (NasdaqGS:REGN)",1988,28623.5,0.7741,1.93,99.9,2685.1,0,2104.7,230.3,457.3,859.9,4.33,67.8,69.3,2104.7,0.25
Thomson Reuters Corporation (TSX:TRI),1977,28560.2,0.3367,0.649,814,12607.7,-0.168,12702,1283,7246,773,0.162,430,-558,12702,0.047599999999999996
Archer Daniels Midland Company (NYSE:ADM),1898,28545.4,0.7597,1.07,655.8,89035.4,0,89804,1714,9540,59,2.03,227,-2713,89804,0.1429
Delta Air Lines Inc. (NYSE:DAL),1924,28462.7,0.8845999999999999,1.18,849.4,39631.7,0,37773,2416,13236,110,12.4,5666,130,37773,0.1333
Centrica plc (LSE:CNA),NA,28450.7,0.7734000000000001,0.347,5055.5,46836.9,0.0663,44017.2,1513.2,8799.7,0,0.305,684.2,1472.7,44017.2,0.4167
Shire plc (LSE:SHP),1986,28446,0.49770000000000003,0.703,588.9,5701.5,0,4934.3,1482.2,1100,913.5,1.21,83.4,156.7,4934.3,0.1
CSX Corp. (NYSE:CSX),1978,28412.2,0.6715000000000001,1.29,1005.4,12365.3,0.22399999999999998,12026,784,9832,0,1.83,275,-85,12026,0.07690000000000001
Baker Hughes Incorporated (NYSE:BHI),1972,28199,0.8704999999999999,1.14,436.2,24306.8,0.239,22364,1015,4916,556,2.47,122,-540,22364,0.0833
Gas Natural SDG SA (CATS:GAS),1843,28167.9,0.4357,1.13,1000.7,34399.2,0.09789999999999999,34385.5,5846.1,27794.8,0,1.99,1097.6,-611.4,34385.5,0.1176
"Open Joint Stock Company ""Mining and Metallurgical Company Norilsk Nickel"" (LSE:MNOD)",1997,27843.3,0.13140000000000002,1.24,1582.5,11185.5,-0.0106,11489,1037,5023,0,0.49,0,-1095,11489,0.25
Bridgestone Corp. (TSE:5108),1931,27807.1,0.3996,0.941,783,37043.7,0.0858,33933.3,2614.7,7169.1,847.3,2.45,6.84,-189.3,33933.3,0.5
Safran SA (ENXTPA:SAF),NA,27784.3,0.21989999999999998,0.625,416.4,21476,0.278,20265.8,2891.4,5085.4,937.8,4.58,118.4,26.2,20265.8,0.39289999999999997
"Williams Companies, Inc. (NYSE:WMB)",1908,27780.5,0.8148000000000001,1.2,684.4,7720.6,0,6860,839,10736,0,0.63,123,-14,6860,0.0667
"Discovery Communications, Inc. (NasdaqGS:DISC.A)",NA,27628.4,0.6319,1.19,348.7,6456.2,0,5535,1201,5243,0,3.01,142,78,5535,0.1818
"Kweichow Moutai Co., Ltd. (SHSE:600519)",NA,27565.2,0.13269999999999998,0.164,1038.2,5323.9,0.384,5107.7,3539.4,0,75.2,2.41,0,132.6,5107.7,1
Valero Energy Corporation (NYSE:VLO),1955,27514.3,0.8438,1.29,532.7,121720.9,0.159,138074,1723,7049,0,5.02,321,-1229,138074,0.15380000000000002
Fresenius SE & Co KGaA (DB:FRE),1912,27406.8,0.3884,0.356,179.8,31404.5,0.24,28293.1,1166.9,14501.9,537.1,7.62,1297.3,123.9,28293.1,0
Dish Network Corp. (NasdaqGS:DISH),1980,27349.3,0.4982,0.723,458.3,14691.1,0.13699999999999998,13904.9,3087.6,10390.7,0,1.77,41.9,590.7,13904.9,0.6
WPP plc (LSE:WPP),1971,27247,0.5177,0.919,1334.5,18645.3,0.162,18254.6,2209.3,7747.3,0,1.2,0,379.5,18254.6,0.1364
WellPoint Inc. (NYSE:WLP),NA,27219.7,0.9434999999999999,0.613,281.6,73263.2,0.124,71023.5,2475.3,15542.6,0,8.34,221.6,1450.9,71023.5,0.11109999999999999
