Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months),Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Market Capitalization [Latest] ($USDmm, Historical rate)",Institutions - % Owned [Latest] (%),2 Year Beta [Latest],Shares Outstanding [Latest] (mm),Forward Revenues (Expected revenues in next 4 quarters),"Net Income, 10 Yr CAGR % [LTM] (%)","Total Revenue [LTM] ($USDmm, Historical rate)","Cash And Equivalents [Latest Quarter] ($USDmm, Historical rate)","Total Debt [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Exp. [LTM] ($USDmm, Historical rate)","Basic EPS  [LTM] ($USD, Historical rate)","Operating Lease Commitment Due, After 5 Yrs [Latest Annual] ($USDmm, Historical rate)","Change in Net Working Capital [LTM] ($USDmm, Historical rate)","Total Revenue [Latest Annual] ($USDmm, Historical rate)",% of Directors that are Internal
The Walt Disney Company (NYSE:DIS),1923,139411.3,0.6528,1.13,1752.1,48630.2,0.131,46009,3207,17448,0,3.69,1784,-2075,45041,0.1429
Sanofi (ENXTPA:SAN),1970,138749.3,0.402,0.793,1320.7,46710.8,0.06,45866.6,8413.2,19161.4,6568.9,3.87,589.4,-736.8,45866.6,0.15789999999999998
Intel Corporation (NasdaqGS:INTC),1968,133842.1,0.6579999999999999,0.811,4973.7,53131.6,0.0548,52708,8478,13568,11187,1.94,198,-1911,52708,0.2
QUALCOMM Incorporated (NasdaqGS:QCOM),1985,133409.3,0.8103,1,1691.1,27523.4,0.22,25470,4293,32,5189,3.99,47,-832,24866,0.2
"Philip Morris International, Inc. (NYSE:PM)",1987,132469.7,0.7081000000000001,0.912,1580.4,30012.3,0,31217,2983,22839,449,5.26,211,-504,31217,0.16670000000000001
Schlumberger Limited (NYSE:SLB),1926,128606,0.7924,1.29,1306.4,49293.9,0.332,45266,1905,11630,1174,5.09,558,-520,45266,0.0909
Visa Inc. (NYSE:V),NA,128364.5,0.7273999999999999,1.06,633.6,13245.9,0,12087,1334,0,0,7.88,82,-1565,11778,0.0833
"Pepsico, Inc. (NYSE:PEP)",1898,128221.8,0.7058,0.441,1536.1,67208.2,0.06570000000000001,66415,6297,28359,665,4.37,567,165,66415,0.1429
Comcast Corporation (NasdaqGS:CMCS.A),1963,126660.3,0.8579000000000001,0.996,2603.7,68847.7,0.07719999999999999,64657,10951,40458,0,2.6,673,-86,64657,0.25
GlaxoSmithKline plc (LSE:GSK),1935,126599.6,0.7994,0.336,4859.3,42772.6,0.026099999999999998,43907.9,6800.5,29747.3,6498.8,1.86,601.3,-1010.5,43907.9,0.2
Unilever plc (LSE:ULVR),1885,124185.4,0.3931,0.633,2845.2,69011,0.057699999999999994,68576.7,3250,13476.2,1432.2,2.35,742.3,-439.3,68576.7,0.1875
Tencent Holdings Ltd. (SEHK:700),1998,121231.1,0.2151,0.711,1845.1,12838.6,0.473,9983,2147,1716.6,877.8,1.4,0,-1086.1,9983,0.375
Unilever NV (ENXTAM:UNA),1927,120000.2,0.2695,0.616,2844.6,68220,0.057699999999999994,68576.7,3250,13476.2,1432.2,2.35,742.3,-439.3,68576.7,0.1333
Ambev S.A. (BOVESPA:ABEV3),1885,119790.8,0.204,0,15666.1,17331.7,0,14730.9,4380.9,1534.6,0,0.318,0,249.9,14730.9,0
"Cisco Systems, Inc. (NasdaqGS:CSCO)",1984,118170.4,0.7731,1.08,5151.3,46807.2,0.0802,47873,6847,16291,6195,1.53,183,-994,48607,0.2
Siemens Aktiengesellschaft (DB:SIE),1847,114445.8,0.253,0.748,844.4,107481,0.0548,103672.8,10314.5,26844.2,5861,7.38,1024.6,-1864.6,102702.8,0.0833
Rio Tinto Ltd. (ASX:RIO),1959,111502.1,0.0472,0.938,1849.5,51307.9,0.0929,51171,7135,26696,231,1.98,832,-597,51171,0.15380000000000002
Novo Nordisk A/S (CPSE:NOVO B),1925,109940.9,0.2593,0.616,2534.9,16514.3,0.179,15428.3,2041.6,88.4,2166,1.74,447.9,175.6,15428.3,0.125
Bayer AG (DB:BAYN),1863,109681.4,0.5027,0.93,826.9,57935.7,0,55301.2,2238.8,11749,4393,5.31,122.6,-976.4,55301.2,0.08
Gilead Sciences Inc. (NasdaqGS:GILD),1987,107665.1,0.9440999999999999,1.06,1537.9,16608.8,0,11201.7,1803.7,8224,2119.8,2.01,31.9,288.1,11201.7,0.069
British American Tobacco plc (LSE:BATS),1902,106263.3,0.755,0.535,1871.5,24208.8,0.2,25279.5,3382.4,17422.2,0,3.4,48,545,25279.5,0.1818
Rio Tinto plc (LSE:RIO),1873,106141.8,0.611,1.34,1849.5,52293.6,0.0929,51171,7135,26696,231,1.98,832,-597,51171,0.15380000000000002
United Technologies Corp. (NYSE:UTX),1934,106096.7,0.7764,1.12,916.4,65137.3,0.09849999999999999,62626,4819,23221,4669,6.35,540,-106,62626,0.0833
"The Home Depot, Inc. (NYSE:HD)",1978,105494,0.7109000000000001,1.11,1368.1,82731.2,0.0227,78812,2494,10796,0,3.78,4456,-103,78812,0.0833
Daimler AG (XTRA:DAI),1886,103206.3,0.326,1.24,1069.8,172083.2,0.313,162476.1,13035.8,100535.3,7214.8,8.82,787.7,1638.8,162476.1,0.0345
