Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
B,0.2102,0.1197,644.2,34.7
B,0.0729,0.1441,3237.038704,63.8639975022546
B,0.1085,0.1519,3214,93.85
R,0.038200000000000005,0.0296,192,16.05
B,0.0187,0.0138,478.29,14.08
B,0.0156,0.0114,194,16.5
B,0.0229,0.0117,817.75,13.2
B,0.0271,0.0249,817.75,12.45
B,-0.0025,0.0114,631.8,13.94
R,0.1281,0.0115,884,9.25
B,0.0271,0.0249,817.75,14.3
B,-0.0021999999999999936,0.01,2933,12.32
B,0.1075,0.0118,0.16,19.18
B,0.133,0.1993,258.949,87.47
B,0.0179,0.0188,0,46.16
B,0.0053,0.047,87.7,301.52
B,-0.0058,0.0669,125,184.2
B,0.2071,0.0568,0,196.2
R,-0.011722794256795732,0.07056860055554015,0,221.61344783393483
B,-0.0014,0.0573,0,185.04
B,-0.007300000000000001,0.05191300577540043,87.7,88.03002905869182
B,-0.0001,0.0989,0,226.71
B,-0.00859869685950726,0.068,0,110.53
B,-0.0001,0.0989,0,226.71
B,-0.015,0.0419,125,247
B,0.09579999999999998,0.05,625,173.1
B,0.005,0.0274,0,286.01
B,0.1836,0.0069,0,5.56
B,4.9899,0.4,0,39.02
B,-0.18710000000000002,0.7477,15.85,31.56
B,0.072,0.2676,4635.4,68.49
B,0.13714723675461216,0.3029,14351.9,63.171894504677056
B,0.30579999999999996,0.0048,0,795.7994273739068
B,0.26,0.0048,0,686.13
B,0.30579999999999996,0.0048,0,742.49
B,0.3164,0,128885204,1380.71
B,0.3203,0.0053,0,790.52
B,0.3513262037541083,0.004815746356107928,0,896.9601372224136
B,1.64912,0,0,414.14
B,0.3203,0.0053,0,790.52
B,0.4421,0.0047,0,875.71
B,0.2418,0.0049,0,1102
B,0.0148,0.2185,51.17,33.87
B,-0.008,0.2909,17,19.98
B,-0.05,0.3351,87036,34.61
B,4.82,0.54,8.1,114
B,-0.8149753132630979,0.34280139510786317,894.4799999999999,322.2442976814951
B,N/A,0.2134,925.3340000000001,29.12
B,-0.0226,0.56,3.09,14.13
B,0.1294,0.1694,0,81.76
B,0.15207837015243014,0.033158921141845855,110.1,2.1066683408113027
B,-0.0617,0.55,931.5,36.04
B,0.2137,0.0152,0,24.43
B,0.09591468546091805,0.6217679111059151,667.02232,75.141412
R,0.3272,0.1919,2066,56.19
B,1.173714106034071,0.2562,1244,94.70958682392036
B,0.15025533350119227,0.12931362179624875,106.62,95.29
B,0.2361,0.0066,31.86,20.3
B,-0.0075,0.2319,27.12,39.33
R,0.2065,0.0649,3157.3,82.11
B,0.0917,0.1701,0,89.85
B,0.081,0.187,0,111.02
B,-0.006073611657507638,0.1158,1108.4,13.674183329292367
B,-0.0419,0.2915,787,25.26
B,0.0077,0.5708,1721.1,13.06
B,0.1524,0.0503,0,83.32
B,0.0922,0.006,279,74.27
B,0.007060563515465412,0.4810864471295222,105.82000000000001,18.82992323350225
B,0.1336,0.035222201254074936,7264.61,21.629703724910563
B,0.1206,0.035222201254074936,7264.61,21.629703724910563
B,0.1674,0.0003926644606873231,30.44,288.87971741963617
R,0.17361418177333832,0.1153,38,331.84
B,0.1338,0.0737,0,309.51
B,0.1366,0.1157,50.73333333333333,219.8
B,0.097,0.131,61,414.87
B,0.148,0.1141,60.8,448
B,0.11981984002048433,0.11157809110629067,60.879999999999995,264.11
B,0.11,0.1029,50.73,376
B,-0.0227,0.1411,7.74,49.43
B,0.0388,0.142,6011.22,19
B,0.5459,0.0416,544,57.75
B,0.19605132279942739,0.08034151921683147,8816.144,85.48077438016465
B,0.2005,0.08348331300990636,5627.9,114.35046762705585
B,0.0124,0.356,1960.2,24.43
B,0.0572,0.3276,96.4,30.94
B,0.0323,0.3755,780,46.08
R ,0.0922,0.276,218.95,16.4
B,0.10197693970804649,0.3974,1071.8,102.29509936821734
R,0.0653,0.3273,1130,70.42
B,0.0987,0.26491256562528764,945.7,33.37
B,0.0213,0.4687,3675,49.52
B,0.0528,0.3448,0,27.16
R,0.18827835269271384,0.3076,325,48.6
B,0.137824883536399,0.3115760982719134,347.68,54.89836441098588
B,0.1644,0.2622536071302461,347.68,62.438020984861765
B,0.137,0.2574,166.96,63.52
B,0.1592,0.25302600709439566,453,46.29
R,0.4347,0.174,973,16.21
B,0.0375,0.3797,6.04,47.25875010624495
B,0.1347,0.3019,6.05,51.44
B,-1.0199,0.3196,N/A,54.68
B,N/A,0.3462,3825,35.81
B,0.1,0.0198,0,44.73
B,0.1642,0.2737,108.1,58.86
B,-0.171,0.3913,34,56.69
B,n/a,0.4156426692509797,232.98000000000002,24.490307554772937
B,-0.08,0,0,14.72
B,0.0317,0.0225,141.738,14.25
B,-0.0358,0.0202,0,13.61
B,-0.027106396502259378,0.0367,0,30.58
B,0.0954,0.5288,98.53,3.72
R,0.1799,0.0869,544.3,19.11
B,0.23096444997362128,0.06073271612992075,544.5998496,39.10871503984761
B,0.2748148906337169,0.1008,409.49999999999994,59.04
B,0.1364,0.0506,63.63,13.63
B,0.17536666666666667,0.01,0,39.23
B,0.2194,0.1797,252.55,64.17
B,0.0229,0.2233754357143034,153.1,84.05
B,0.1022,0.2077,0,42.29
B,-0.004762264497186183,0.2561781257646195,0,34.93213793925165
B,N/A,0.2594,701.6999999999999,25.59
R,0.0915,0.1668,1002,78.58
B,-0.0331,0.3315,745.7,16.64
B,-0.7919,0.0305,0,1.07
B,0.2106,0.05003961181400797,0,723.7021023622176
R,0.126,0.015,0,645.28
B,0.0685,0.031,801,830.18
B,0.06965758435039182,0.0192,0,851.48
R,0.0436,0.02,80.1,1099.71
B,0.2359,0.2335,784.7,53.06
B,0.014352106809409959,0.1143,19.4,28.1
B,-0.00023482603430045879,0.1830509051794225,20.5,33.61376867924073
B,-0.1016,0.2674,18.29,8.76
B,0.2542,0.546,0,29.9
B,0.09276264874470598,0.2898,4532,34.44
B,0.6589,0.12427619846212691,577.52,71.33578070939927
B,0.626,0.1089,304.04,82.81
B,-0.1488224686641676,0.6719739934770314,0,13.14
B,N/A,0.0895,174.8,48.1
B,-0.12229999999999999,0.746723021518824,64.48,0.991343507630723
B,0.7456,0.1338,173.25,94.37
B,0.2021,0.1677,177,180.74
B,-0.0851,0.1828,0,31.35
B,0.10563308491361759,0.38901027520605735,448.72010605391074,304.39212184070414
B,-0.0458,0.0643,458.42,10.76
B,0.628,0.1043,11517,258.13
B,0.6965,0.1275,11516.6,186.12
B,0.6995,0.1275,3473,186.12
B,0.6995,0.1275,3473,186.12
B,0.2424,0.3844,27.34,136.98
R,0.15734864433811796,0.1725,188.77,58.23
B,-0.0695,0.0428,0,28.59
B,-0.1066,0.4505,20.522,44.93
B,-0.1131,0.49,47.67,47.67
B,0.1673,0,266.7,24.43
B,0.1673,0,266.7,24.43
B,-0.0259,0.6989,15.25,33.84
B,0.16,0.0559,8855.4,45.33
R,0.1031,0.053,8140.6,42.29
B,0.191,0.0529,8140,50.82
B,0.1434,0.0002,136,320.22
B,-0.0333,0.2377,8.59,22.38
B,0.14970736330129927,0.659,405.6,4.73
B,0.35,0.09989999999999999,199.00989999999996,63.3
B,-0.09314239660656706,0.4624,387,4.43
B,-0.2576,0.8565,239.16,254.72
B,-0.064,0.7614,0,5.96
B,0.0483,0.0178,6.4,20137
B,0.0538,0.2082,30.14,24.1
R,0.1068,0.106,8067.3,58.71
B,-0.0159,0.0062,4.2,8200
R,0.04582778406946017,0.4919,797,22.63
R,0.1104,0.4904,1108,43.08
R,-0.035,0.1772,75.3,22.42
B,0.0422,0.5495,182,48.33
B,0.0525,0.1823,0.03,7.65
B,-0.02871011673151752,0.0527,0,8.37
B,0.17828386185038983,0.0175,86.84,5570.03
B,-0.07,0.0125,0,93.11
B,-0.3133666666666667,0.48,140,8.32
R,0.3149,0.2305,2261,152.72
B,0.1451,0.022,0,84.8138524473706
B,0.1937,0.0229,0,48.32
B,0.2581,0.0216,0,55.87
R,0.2029,0,0,85.24521643446293
B,0.19899999999999998,0.0215,0,65.67
B,0.3778,0.0319,0,23.86
B,0.254087957229416,0.0228,0,55.34567870831316
B,0.3715,0.0223,0,66.94
B,0.1901,0.0226,-0.53,67.9
B,0.1313,0.1751,0,53.14
B,0.02290697535773048,0.1868,860.375,79.4954189788094
B,0.2117,0.3746,918.8,43.86
B,0.09323400000000001,0.3869188278314754,963.2,31.36470953712333
B,0.1083,0.2698,136,79.88
B,0.12186645304024542,0.3808600805779289,650.208,72.17672438332828
B,-0.0438,0.1097,0,22.26
B,-0.0414,0.3416,10.5,33.46
B,0.20750000000000002,0.020755428642896603,5.57,7.337782664957399
R,0.1131,0.20215060903858387,84.3,47.279953153849554
B,0.013,0.2056,899.5,19.76
B,0.011099999999999985,0.218,134,40.34
B,0.1928,0.214,826.6,22.02
B,N/A,0.1229,2022.6,37.73
B,0.017,0.18612341225428164,3788.03,83.35905776305844
R,0.3284437878394446,0.2142,3696,96.09
B,0.3116634043560805,0.11587643482291354,5512.72,81.76971343664825
B,0.1313,0.209,1652.91,38.41
B,0.044600000000000015,0.2058498141353651,2038.5714285714287,32.86756590704657
B,-0.011,0.2696,51.4,27.16
B,-0.044,0.244,280.4,55.01
B,0.341,0.0526,14713,31.63
B,0.3148,0.3623,0,36622
B,0.2436,0.32,6352459,28.16
B,0.2630472368678658,0.0016,417.4,49.1
B,0.2561,0.0012,0,60.72
B,0.3699,0.1075,233.55,78.3530763798996
B,0.683,0.102,0,108.33
B,0.3913,0.0729,206.74,94.47
B,0.3699,0.1075,233.55,78.3530763798996
B,0.2907,0.1033,N/A,61.45
B,0.6736,0.0986,206.82,189.1
R,0.17590000000000003,0.0798,0,107.29
B,0.4513333333333333,0.11,721,69.29
B,-0.15596666666666667,0.42,238.1,7.73
B,0.0255,0.2816,851.8,17.4
B,0.11,0.2972,7198,31.41
B,-0.12340000000000001,0.4001,3.5,26.20388009886197
B,-0.12340000000000001,0.4001,3.5,24.92
B,0.2187,0.0426,1090,104.26
B,0.217,0.0454,1553.56,60.34
B,N/A,0.0388,2324.4,87.72
R ,0.050200000000000015,0.046,1089.96,99.96
B,0.1041,0.0506,1089.96,75.17
B,-0.072,0.5867566632613835,10407.5,241.86
B,0.0151,0.0867,29.29,445199
R,-0.0009,0.2563,1454,127.96
B,0.3832,0.015,1899,105.64
B,0.0643,0.0477,3816.718,2540.65
B,0.1788,0.0418,3,39.12
B,-0.4642,0.2124,4.04,6.64
B,-0.0267,0.6272,28.66,23.52
B,0.0066,0.6272,28.655899999999995,23.52
B,0.1844,0.3453396134544824,213.70100000000002,62.24
B,0.0229,0.1635,11542,24.43
B,0.0295,0.1635,11542, $24.43
B,0.26940000000000003,0.42,0,14.44
B,-0.1408,0.653,0,7.26
B,0.3643,0.021,48.9,551.55
B,0.21389448136035177,0.0133,0,750.5821323980828
B,0.0661,0,0,11.59
B,0.0661,0,0,11.59
B,0.094,0,2411,72.46
B,0.0672,0.0174,1635,49.13
B,-0.21853945271862982,0.6606834430235851,0,5.049403712893769
B,0.0746,0.1105,189.45,83.05
B,-0.6965,0.1778,1250.3, Rs. 276.18 
R,0.0627,0.2384,1234,105.81
B,0.10760877674163467,0.2445,588,74.23647514194687
B,-0.0054,0.5941,120.79,9.71
R,NA,0.678,144.54000000000002,12.39
B,N/A,0.6387,219,12.38
B,,0.6734,129.8,3.88
R,-0.015,0.0369,379.76,15.21
B,0.0328,0.0426,428.16,39.3
B,0.2138,0.8292,0,2.8
B,0.07824706989879972,0.1252,316,7.65021906912444
R,0.1058,0.1856,75,10.83
B,-0.069,0.602,120.7,7.07
B,-0.10590000000000001,0.5892,22,33.51
B,-0.084,0.5307,49.6,47.29
R,0.0731,0.5774,880,20.86
B,0.062,0.3014,207,8.73
B,-0.0466,0.3541,10.34,8.34
B,-0.0567,0.047,0,107.56
B,0.2135,0.164,171.5,66.66686879490845
B,0.1504,0.1348,137.92,39.22
B,0.0083,0.465,0,26.06
B,0.0191,0.1683,684.99,19.83
B,0.24,0.2812,0,2.2
B,0.0362,0.5758,80.21,8.54
B,-0.046,0.58,269,3.77
B,0.3155,0.0722,46.69,23.01
B,0.1923,0.0847006158078147,400.91,38.912495643035776
B,0.186,0.088,542.2,57.39
B,0.1914,0.0819,567.65,48.91
B,0.26316825026653407,0.09364107908216185,542.04,47.11164179568295
B,0.23496169139965645,0.08617276822036443,945.8041000000001,43.02166846348211
B,0.0416,0.2615,141.3,31.34
B,-0.1172,0.24,568.6,30.88
B,0.07350000000000001,0.2432,99,61.76
B,0.0585,0.2392,568.6,41.72
B,0.0866,0.2791,564.6,43.25
B,0.086,0.2818,0,28.72
B,0.1296,0,0,53.25
B,0.05,0.3438,3.4,49.3
B,0.1851,0.3538,1763,60.8
R,0.1306,0.3745,418,83.26241662358187
B,NMF,0.147,10.7,61.97
B,0.1882,0.2872,3475,4.32
B,0.1471,0.189,142.8,47.25
B,0.0635,0.18451224251846093,227.13,39.967879746835436
B,-0.0214,0.397,4014.22,36.12
B,-0.0182,0.3054,997,37.35
