Company Name,Exchange:Ticker,Company Type,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Net Income [LTM] ($USDmm, Historical rate)",LT EPS Growth Rate - Capital IQ [Latest] (%),"Total Debt [Latest Annual] ($USDmm, Historical rate)",Return on Equity % [LTM],Payout Ratio [LTM] (%),2 Year Beta [Latest],"Basic EPS [LTM] ($USD, Historical rate)","Basic EPS Excl. Extra Items [LTM] ($USD, Historical rate)",Weighted Avg Shares Outstanding [LTM],Weighted Avg. Diluted Shares Out. [LTM],Geographic Region,"Day Close Price [Latest] ($USD, Historical rate)"
Tassal Group Limited (ASX:TGR),ASX:TGR,Public Company,Food Products (Primary),458.3,30.6,14.7,67.1,11,37.2,-0.465,0.21,0.21,146.3,147.4,Asia / Pacific,3.13
"Warabeya Nichiyo Co., Ltd. (TSE:2918)",TSE:2918,Public Company,Food Products (Primary),324.3,22.8,14.5,95.7,6.13,23.5,0.078,1.33,1.33,17.1,17.1,Asia / Pacific,18.41
Nestle India Ltd. (BSE:500790),BSE:500790,Public Company,Food Products (Primary),8769.4,184.5,14.5,191.4,52.9,0,-0.01,1.91,1.91,96.4,96.4,Asia / Pacific,90.95
Strauss Group Ltd. (TASE:STRS),TASE:STRS,Public Company,Food Products (Primary),1836,81.7,14.4,677.6,-,0,0.083,0,0,0,0,Africa / Middle East,17.24
Tongaat Hulett Limited (JSE:TON),JSE:TON,Public Company,Food Products (Primary),1400.6,115.8,14.4,703.3,13.3,46.5,0.08,1.05,1.05,110.2,112.3,Africa / Middle East,12.89
AarhusKarlshamn AB (OM:AAK),OM:AAK,Public Company,Food Products (Primary),2493.7,100.9,14.4,446.9,18,60.1,0.467,2.46,2.46,41,42.3,Europe,60.97
Thai Union Frozen Products Public Company Limited (SET:TUF),SET:TUF,Public Company,Food Products (Primary),2114.9,104.7,14.3,1143.9,9.3,73.9,0.482,0.091,0.091,1148.4,1171,Asia / Pacific,1.84
Kikkoman Corp. (TSE:2801),TSE:2801,Public Company,Food Products (Primary),3594.2,127.8,14.1,988.3,7.28,24.3,0.323,0.639,0.639,200,200,Asia / Pacific,17.98
"Zhejiang Beingmate Technology Industry & Trade Co., Ltd. (SZSE:002570)",SZSE:002570,Public Company,Food Products (Primary),3544,113.4,14,7.05,-,0,-0.041,0.177,0.177,641.4,641.4,Asia / Pacific,5.55
Bega Cheese Limited (ASX:BGA),ASX:BGA,Public Company,Food Products (Primary),605.9,23.3,14,101.5,10,41.7,-0.099,0.154,0.154,151.8,152.6,Asia / Pacific,3.99
Usher Agro Limited (BSE:532765),BSE:532765,Public Company,Food Products (Primary),15.3,7.2,14,112.4,13.8,0,0.61,0.183,0.183,39.4,39.4,Asia / Pacific,0.402
Astral Foods Limited (JSE:ARL),JSE:ARL,Public Company,Food Products (Primary),378.6,25.6,13.7,15.8,15.1,107.5,0.083,0.671,0.671,38.1,38.1,Africa / Middle East,9.95
Dean Foods Company (NYSE:DF),NYSE:DF,Public Company,Food Products (Primary),1852.7,500.3,13.6,3197.9,14.1,0,1.22,5.39,0.473,92.9,93.4,United States and Canada,19.72
"Kameda Seika CO., Ltd. (TSE:2220)",TSE:2220,Public Company,Food Products (Primary),624.5,29.8,13.6,84.8,8.94,17.1,0.201,1.41,1.41,21.1,21.1,Asia / Pacific,29.61
"Jiajia Food Group Co.,Ltd. (SZSE:002650)",SZSE:002650,Public Company,Food Products (Primary),636,29.1,13.5,0,10.7,63,0.29,0.126,0.126,230,230,Asia / Pacific,2.76
"Qiaqia Food Co., Ltd. (SZSE:002557)",SZSE:002557,Public Company,Food Products (Primary),1160.7,44.7,13.1,14.4,-,69.7,0.13,0.131,0.131,341,341,Asia / Pacific,3.43
"Angel Yeast Co., Ltd (SHSE:600298)",SHSE:600298,Public Company,Food Products (Primary),829.2,29.6,13,326.4,7.78,67.6,-0.024,0.09,0.09,329.7,329.7,Asia / Pacific,2.52
Calavo Growers Inc. (NasdaqGS:CVGW),NasdaqGS:CVGW,Public Company,Food Products (Primary),489.4,17.5,13,38.6,14.9,55.2,0.669,1.18,1.18,14.8,14.8,United States and Canada,31.5
Lifeway Foods Inc. (NasdaqGM:LWAY),NasdaqGM:LWAY,Public Company,Food Products (Primary),253.8,6.25,13,5.5,15.9,20.9,1.11,0.382,0.382,16.4,16.4,United States and Canada,15.49
