Company Name,Exchange:Ticker,Company Type,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Net Income [LTM] ($USDmm, Historical rate)",LT EPS Growth Rate - Capital IQ [Latest] (%),"Total Debt [Latest Annual] ($USDmm, Historical rate)",Return on Equity % [LTM],Payout Ratio [LTM] (%),2 Year Beta [Latest],"Basic EPS [LTM] ($USD, Historical rate)","Basic EPS Excl. Extra Items [LTM] ($USD, Historical rate)",Weighted Avg Shares Outstanding [LTM],Weighted Avg. Diluted Shares Out. [LTM],Geographic Region,"Day Close Price [Latest] ($USD, Historical rate)"
KTG Agrar AG (DB:7KT),DB:7KT,Public Company,Food Products (Primary),139.5,12.9,6.1,442.4,10.3,10.3,0.155,0,0,0,0,Europe,22.36
The Hillshire Brands Company (NYSE:HSH),NYSE:HSH,Public Company,Food Products (Primary),3984.5,252,5.77,951,51.2,18.3,0.435,2.05,1.5,123,123,United States and Canada,32.34
Unilever NV (ENXTAM:UNA),ENXTAM:UNA,Public Company,Food Products (Primary),113549.7,6219,5.72,13476.2,37.2,59,0.433,2.19,2.19,2833.8,2920.3,Europe,40
Campbell Soup Company (NYSE:CPB),NYSE:CPB,Public Company,Food Products (Primary),13437.4,458,5.58,4477,64.5,80.1,0.47,1.46,2.19,314,317,United States and Canada,42.86
Danone (ENXTPA:BN),ENXTPA:BN,Public Company,Food Products (Primary),44877.1,2291.8,5.2,12554.6,15.9,48.1,0.48,3.85,3.85,595,597.6,Europe,76.57
Golden Agri-Resources Ltd. (SGX:E5H),SGX:E5H,Public Company,Food Products (Primary),5856.8,297.6,4.43,2060.7,3.56,41.8,0.373,0.023,0.023,12779.3,12832,Asia / Pacific,0.456
Hap Seng Plantations Holdings Bhd (KLSE:HSPLANT),KLSE:HSPLANT,Public Company,Food Products (Primary),665.9,29.5,4.3,0,4.97,94.4,0.731,0.037,0.037,800,800,Asia / Pacific,0.832
Kuala Lumpur Kepong Berhad (KLSE:KLK),KLSE:KLK,Public Company,Food Products (Primary),7879.8,342.4,4.27,810.5,13.4,64,0.208,0.321,0.281,1065,1065,Asia / Pacific,7.4
Kernel Holding S.A. (WSE:KER),WSE:KER,Public Company,Food Products (Primary),1107.8,133.9,4,757.6,12.1,0,0.946,1.69,1.69,79.1,79.8,Europe,13.9
"Meihua Holdings Group Co., Ltd. (SHSE:600873)",SHSE:600873,Public Company,Food Products (Primary),2783.4,97,3.6,1445.1,9.01,79.6,0.336,0.035,0.035,2808.7,2863.3,Asia / Pacific,0.896
Raisio plc (HLSE:RAIVV),HLSE:RAIVV,Public Company,Food Products (Primary),958.6,29.8,2.9,103,7.09,80.8,0.307,0.191,0.191,155.5,155.5,Europe,6.02
ORIOR AG (SWX:ORON),SWX:ORON,Public Company,Food Products (Primary),330.1,27.9,2.9,117.9,13.9,43.7,0.149,4.72,4.72,5.91,5.91,Europe,55.83
Nestle Malaysia Bhd. (KLSE:NESTLE),KLSE:NESTLE,Public Company,Food Products (Primary),5097.6,174.5,2.8,32.5,80.8,89.3,0.099,0.744,0.744,234.5,234.5,Asia / Pacific,21.74
IOI Corp.Bhd (KLSE:IOICORP),KLSE:IOICORP,Public Company,Food Products (Primary),11087,623.4,1.73,2317.4,9.53,50.3,0.299,0.097,0.062,6391.3,6406.6,Asia / Pacific,1.73
Premier Foods plc (LSE:PFD),LSE:PFD,Public Company,Food Products (Primary),704.8,77.5,1.6,1662.9,11,0,1.58,0.324,0.331,239.8,239.8,Europe,2.94
Ebro Foods SA (CATS:EBRO),CATS:EBRO,Public Company,Food Products (Primary),3701.8,211,1.5,538.4,9.86,29.5,0.579,1.38,1.38,153.1,153.1,Europe,24.35
"Nissin Foods Holdings Co., Ltd (TSE:2897)",TSE:2897,Public Company,Food Products (Primary),4635.5,214.7,1.3,98.5,7.06,38.9,0.275,1.95,1.95,110.2,110.6,Asia / Pacific,42.06
TSH Resources Berhad (KLSE:TSH),KLSE:TSH,Public Company,Food Products (Primary),723.7,26.7,1.1,319.1,8.94,33.9,-0.029,0.032,0.032,832,832,Asia / Pacific,0.807
SLC Agricola S.A. (BOVESPA:SLCE3),BOVESPA:SLCE3,Public Company,Food Products (Primary),919.9,59.9,1.01,484.7,6.81,11.5,0.523,0.607,0.607,98.6,99.4,Latin America and Caribbean,9.35
Felda Global Ventures Holdings Berhad (KLSE:FGV),KLSE:FGV,Public Company,Food Products (Primary),5177.6,280,0.633,2649.9,14.4,22.7,0,0.077,0.079,3654.3,3654.3,Asia / Pacific,1.42
"Yantai Shuangta Food Co.,Ltd (SZSE:002481)",SZSE:002481,Public Company,Food Products (Primary),749.6,12.3,0.5,71,8.59,19.9,-0.138,0.028,0.028,432,432.1,Asia / Pacific,1.74
