Company,Power,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
Dreamworks,1,B,0.0712,0.0617,0,40.11
DreamWorks,0,B,0.101,0.0527,0,34.16
DreamWorks Animation,1,B,0.0589,0.0841,0,31.66
DuPont,0,B,0.10326055765265783,0.291,2618,27.848072667612694
Einstein Noah Restaurant Group,1,B,,0.6604,0,17.86
Electronic Arts,1,B,-0.1071,0.2,0,23.22
Electronic Arts*,1,B,-0.013,0.034,0,26.71
Eli Lilly ,0,B,0.1606,0.1927,2057,31.64
ENEL,1,B,0.1273,0.7014,3549.6,8.56
ENI,1,B,0.1821,0.3108,4910,53.36
Estee Lauder,1,B,0.2009,0.4046,254310000,46.3
Exxon,0,B,0.294,0.0612,7477.6,102.19
Exxon Mobil,0,B,0.3188,0.054,20720,75.71
Exxon Mobil,1,B,0.3385,0.074,20720,99.42
Exxon Mobil,1,B,0.3345,0.0492,6196,95.69
Family Dollar,2,B,0.1286,0.2349,68.45,62.53
Family Dollar,1,R,0.08600000000000001,0.0587,67.4,62.33
FedEx Corporation,2,B,-0.005,0.4321905575262147,170,73.68
Femsa,1,B,0.0352,0.3116,1620,42.17
First Solar,0,B,-0.14869138217219735,0.04162314503888811,0,74.25120244536183
First Solar,1,B,0.1624,0.0172,0,55.01
First Solar,2,B,0.143,0.02,0,194.3
First Solar,0,B,0.1555,0.019,0,164.84
First Solar Inc,2,B,0.1844,0.1139,0,210.2
Freeport McMoran,1,B,0.1265,0.3054,693,111.52
Freeport-McMoran,2,A-,0.0936,0.27007299270072993,833.8333333333334,24.36
Frontline,0,B,0.862,0.4731,711.3,20.83
Fugro NV,0,B,0.24320999999999998,0.3267,35.8,104.13667924911215
G Modelo,2,B,0.0039,0,10891.2,50.91
Galaxy Entertainment,2,B,-0.715,0.4745,0.666,1.16
Games Workshop,1,B,-0.1147,0.71,4563,1.66
GameStop,1,B,0.0677,0.2098,25.2,56.37
Gap,1,B,0.1379,0.386,243,35.47
Gap,0,B,0.0942,0.2761,1353.6,22
Garmin,0,B,0.243,0.0074,153.5,30.46
General Mills,2,B,0.179,0.3322,1962.1,58.18
General Mills,1,B,0.0723,0.2982,1961.4,70.34
Genzyme,1,B,-0.031852475710856754,0.027903026477448106,74.92,63.58940182188582
Google,1,B,0.0633,0.018,0,422.03149155093536
Google,1,R ,0.0692,0.0182,0,345.49
Google,0,B,0.0771,0.0182,0,498.01
Google ,1,B,0.0752,0.0187,0,506.13
Green Mountain Coffee,1,B,0.0723,0.0784,0,17.25
H.J. Heinz ,2,B,0.3323,0.345,485.25,49.32
Halliburton,0,B,0.1069,0.1748,930.6,28.77
Hansen Natural,6,B,0.16221890123724098,0.004689870653757954,0,70.5171913601456
Hansen Natural Corporation,0,R,0.1793,0.0042,13.2,36.03
Hansen's,1,B,0.0231,0.0043,0,19.79
Hansen's Natural,0,B,0.122,0.01,26.3,40.96
Hansen's Natural (HANS),0,B,0.1619994630396318,0.0211,13.2,20.167854140432663
Hasbro (NYSE HAS),1,B,0.1346,0.1767,258.05,37.35
Heineken,1,B,-0.051,0.4998323439419299,302.56,21.33
Herman Miller,2,B,0.9636,0.3825,132.32,56.94
Hermes International,0,B,0.1209,0.0292,135.04,65.84
Hershey,0,B,0.6161,0.169,537,28.79
Hershey,4,B,0.6056769694536188,0.1661813973743928,508.548,43.53132893203654
Hershey Co.,1,B,0.633,0.2195,262.95,70.42
Hershey Company,1,B,0.9020298902716737,0.17158716249855455,262.949,53.96
"Hertz Global Holdings, Inc.",0,B,-0.336,0.8325589311834164,0,0
Hess,1,B,0.1295,0.271,256,54.47
