Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months) - Signs indicate cash flow effects,Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Institutions - % Owned [Latest] (%),2 Year Beta [Latest],Shares Outstanding [My Setting] [Latest] (mm),Forward Revenue (next 12 months),"Net Income, 10 Yr CAGR % [LTM] (%)","Total Revenue [LTM] ($USDmm, Historical rate)","Cash And Equivalents [Latest Quarter] ($USDmm, Historical rate)","Total Debt [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Expense [LTM] ($USDmm, Historical rate)","Basic EPS [LTM] ($USD, Historical rate)","Operating Lease Commitment Due, After 5 Yrs [Latest Annual] ($USDmm, Historical rate)","Change in Net Working Capital [LTM] ($USDmm, Historical rate)","Total Revenue [Latest Annual] ($USDmm, Historical rate)",% of Directors that are Internal
TransCanada Corporation (TSX:TRP),1951,40080.9,0.6225999999999999,0.865,867,9474,-14.2,9309.7,756.4,25289.7,,0.121,462.3,1856.7,9309.7,7.69
Diageo plc (LSE:DGE),1886,72228.4,0.7495999999999999,0.644,2510.1,15277.2,3.69,13952,1548.3,14548,34.6,1.16,541.1,-786.5,13939.2,20
ABB Ltd (SWX:ABBN),1883,49883.3,0.299,0.942,2138.7,33455.7,3.17,33828,3644,7440,1455,0.883,243,-229,33828,0
Colgate-Palmolive Company (NYSE:CL),1806,64942.9,0.7395,0.687,882.9,15452.2,6.08,15195,1315,6548,289,2.74,145,-462,15195,9.09
"Mondelez International, Inc. (NasdaqGS:MDLZ)",2000,66697.1,0.7961,1.01,1524.5,25796.3,-5.94,25923,1741,15483,376,1.07,157,-830,25923,7.69
The Priceline Group Inc. (NasdaqGS:PCLN),1997,87771.7,0.9686,1.33,49.2,12470.4,39.9,10743,2081.1,6158.4,,43.1,150.7,-254.8,10743,16.67
Danaher Corporation (NYSE:DHR),1969,59358.7,0.7870999999999999,0.794,693.3,17853.5,8.57,16882.4,963.7,12870.4,975.1,3.7,137.9,-298.5,16882.4,25
"China Yangtze Power Co.,Ltd. (SHSE:600900)",2002,42311.5,0.1313,0.201,22000,6938.7,19.2,7060.5,,7310.3,,0.15,,,7060.5,4.76
Kimberly-Clark Corporation (NYSE:KMB),1872,47147.7,0.7091,0.636,355.8,18338.9,3.74,18202,923,7839,328,6.03,73,-648,18202,14.29
Danone (ENXTPA:BN),1899,41648.3,0.5207999999999999,0.818,611.4,27926.8,2.43,23164.8,588,12031.5,351.5,2.95,189,211.1,23164.8,10
Monsanto Company (NYSE:MON),2000,49951.4,0.768,0.625,438.6,14544,8.43,13933,2112,9732,1518,3.69,87,-912,13502,7.69
Celgene Corporation (NasdaqGS:CELG),1980,96537.9,0.8029000000000001,1.43,778,13287.3,40,11229.2,6169.9,14161.4,4470.1,2.57,35.2,-410.9,11229.2,25
Schneider Electric S.E. (ENXTPA:SU),1836,40368.1,0.5733,1.35,555,27322.4,2.94,26066.7,2950.5,8286.7,978.6,3.29,128.8,16.9,26066.7,6.67
Henkel AG & Co. KGaA (DB:HEN3),1876,51595.1,0.222,0.826,434.3,22056.7,9.16,19755.1,1466.3,960.1,488.8,4.99,152,-29.6,19755.1,0
Las Vegas Sands Corp. (NYSE:LVS),1988,45455.9,0.40990000000000004,1.14,794,12406,14.2,11410,2128,9344,,2.1,257,-730,11410,20
Raytheon Company (NYSE:RTN),1922,44497.3,0.7787000000000001,0.687,292.9,25051.3,5.59,24069,3303,5330,755,7.46,445,362,24069,9.09
Northrop Grumman Corporation (NYSE:NOC),1939,41296.3,0.7609,0.753,174.6,25175.3,3.62,24508,2541,6496,705,12.3,160,29,24508,11.11
SAIC Motor Corporation Limited (SHSE:600104),,41938.8,0.1346,0.499,11683.5,115052.5,39.7,107465,12899.7,5419.3,1255.8,0.43,306.1,-453.2,101987.4,9.09
"Kweichow Moutai Co., Ltd. (SHSE:600519)",1999,70408.1,0.2146,0.502,1256.2,6437.6,27.8,5419.3,9296.3,0,76.6,1.97,,-3521,5030.5,16.67
Illinois Tool Works Inc. (NYSE:ITW),1912,45610.9,0.7791,1.19,345.7,13985.6,1.71,13599,2472,7422,223,5.73,43,-245,13599,8.33
Singapore Telecommunications Limited (SGX:Z74),,45979.5,0.2182,0.673,16322,11957.6,-1.52,11414.8,586.6,7180.5,,0.166,1318.3,165.9,12609.5,7.14
Reckitt Benckiser Group plc (LSE:RB.),1823,63621.7,0.7479,0.464,700.4,13852.1,10.5,12212.3,1089,3568.8,,3.21,,-127.2,12212.3,18.18
Stryker Corporation (NYSE:SYK),1941,49182.6,0.7798,0.605,372.9,12174.2,7.79,11325,3316,3998,715,4.4,59,427,11325,11.11
CRRC Corporation Limited (SHSE:601766),2007,40660.1,0.1637,0.9,28698.9,37306.3,35.4,32280.7,5909.8,4555.4,,0.059,,2178.5,32280.7,18.18
"Applied Materials, Inc. (NasdaqGS:AMAT)",1967,41973,0.8445999999999999,1.44,1079.8,13205,1.87,11846,3491,3343,1583,1.96,6,-148,10825,9.09
"Automatic Data Processing, Inc. (NasdaqGS:ADP)",1949,45846.4,0.8017,0.993,448.9,12742.5,0.39,12051,2705.2,1994.8,,3.75,100.8,-263.7,11667.8,10
Syngenta AG (SWX:SYNN),1999,40712.5,0.37450000000000006,0.42,92.2,13157,6.39,12790,1284,3730,1299,12.8,19,-506,12790,0
Atlas Copco AB (OM:ATCO A),1873,41184.1,0.5104,1.07,1214.5,12536,-2.49,11166.1,1262.3,2723.3,302.7,1.08,49.5,172.5,11166.1,9.09
ASML Holding N.V. (ENXTAM:ASML),1984,53782.3,0.6884,1.15,404.4,8542.3,9.67,7172.8,3068.6,1229.9,962.9,3.86,5.52,414.7,7172.8,0
Compagnie Financière Richemont SA (SWX:CFR),1988,44519.7,0.3282,1.25,564.6,11825.3,3.25,11623.7,4640,2535.6,121.4,3.32,1232.3,-363.1,12614.3,33.33
"Baidu, Inc. (NasdaqGS:BIDU)",2000,59264.8,0.655,1.32,347.3,12421.2,44.1,10160.6,1569.6,5401.8,1461.9,4.83,,-1632.1,10160.6,40
ITC Limited (NSEI:ITC),1910,52951.2,0.4858,0.655,12145.5,6667.9,15.8,5949,,,18.4,0.124,0.065,-345,5949,21.43
NVIDIA Corporation (NasdaqGS:NVDA),1993,63223.3,0.7641,1.88,589,8045.5,14,6910,1766,1427,1463,3.08,13,668,6910,8.33
"PayPal Holdings, Inc. (NasdaqGS:PYPL)",1998,52215.9,0.8447,1.22,1207.6,12609,,10842,5909,0,1042,1.16,141,1494,10842,11.11
CSL Limited (ASX:CSL),1916,43719.3,0.2851,0.332,454.6,7139.4,24.9,6452,884.5,3074.4,616.9,2.9,363.9,283.1,5909.5,11.11
Adobe Systems Incorporated (NasdaqGS:ADBE),1982,64103,0.8916,1.07,494.7,7492.2,9.2,6152.7,1068.9,1916.8,1023.9,2.64,177.5,-451.8,5854.4,30
Hermès International Société en commandite par actions (ENXTPA:RMS),1837,49271.6,0.0946,0.828,104.4,6055.2,15.1,5491.4,,45.2,,,,,5491.4,0
Keyence Corporation (TSE:6861),1972,48678.7,0.27399999999999997,1.09,121.3,3963.3,,3690.6,3674.3,0,106.8,10.3,,,3690.6,53.85
Airbus Group SE (ENXTPA:AIR),2000,59525.9,0.2683,1.14,772.5,73151.8,26,70285,10707.3,9910.4,3355.9,1.36,223.8,-4231,70285,15.38
"Regeneron Pharmaceuticals, Inc. (NasdaqGS:REGN)",1988,41595.4,0.6970000000000001,1.57,105.5,5459.6,,4860.4,535.2,373.7,2052.3,8.55,22.3,-42.2,4860.4,15.38
"Salesforce.com, inc. (NYSE:CRM)",1999,58283.9,0.8623000000000001,1.13,707.5,10181.3,80.8,8392,1606.5,2048.6,1398.8,0.261,1202.8,-855.2,8392,16.67
"Netflix, Inc. (NasdaqGS:NFLX)",1997,63042.2,0.8364,1.69,430.4,11237,14.3,8830.7,1467.6,2371.4,852.1,0.435,307.5,-191.6,8830.7,11.11
Naspers Limited (JSE:NPN),1915,77985.4,0.5747,0.966,431.1,6527.1,15.9,5905,1545,4026.8,,2.2,50,-293,5930,18.75
