Year,Std Dev (BMI),Std Dev (JPM Sov Bond),REL VOL,"Estimation note: Those of you who have followed my attempts to estimate the relative equity market volatility know that I have struggled with getting a proxy for returns on emerging market sovereign bonds, and have used the coefficient of varation in yields to make that estimate. I have finally replaced that estimate with a return on an emerging market government bond ETF from iShares. The standard deviations are now computed consistently for emerigng equities and emerigng government bonds. (Using the old yield coefficient of variation approach would have yielded a ratio of 1.49 in this computation.)"
2020-21,0.14404233160614885,0.07300564478213317,1.9730300586482956,
2021-22,0.1787794515865014,0.10531894370011191,1.6975051714871257,
2022-23,0.13569606200587625,0.13796474644155615,0.9835560569334214,
2023-24,0.1117798996444082,0.09033759466898246,1.2373574927912927,
2024-25,0.15548472345358122,0.07576020925795975,2.0523270061750156,
Average Relative Volatility,0.1451564936593032,0.09647742777014869,1.504564300834484,
Index:,iShares JP Morgan USD Emerging Markets Bond ETF,,,
Source:,Yahoo!,,,
,https://finance.yahoo.com/quote/EMB/,,,
Period,Five years,"(July 1, 2020 -June 20, 2025)",,
Interval,Daily,,,
Date,Adj Close,Return,,
2020-06-30 00:00:00,88.31,,,
2020-07-01 00:00:00,88.51,0.0022647491790284136,,
2020-07-02 00:00:00,88.98,0.005310134448085035,,
2020-07-06 00:00:00,89.53,0.0061811643065856625,,
2020-07-07 00:00:00,89.03,-0.005584720205517701,,
2020-07-08 00:00:00,89.41,0.004268224194091896,,
2020-07-09 00:00:00,89.02,-0.00436192819595127,,
2020-07-10 00:00:00,89.01,-0.00011233430689727708,,
2020-07-13 00:00:00,88.83,-0.002022244691607722,,
2020-07-14 00:00:00,89.04,0.0023640661938535423,,
2020-07-15 00:00:00,89.41,0.004155435759209292,,
2020-07-16 00:00:00,89.57,0.0017895090034671934,,
2020-07-17 00:00:00,89.77,0.002232890476722149,,
2020-07-20 00:00:00,90.37,0.006683747354350178,,
2020-07-21 00:00:00,90.86,0.005422153369480931,,
2020-07-22 00:00:00,91.12,0.002861545234426721,,
2020-07-23 00:00:00,91.08,-0.0004389815627744431,,
2020-07-24 00:00:00,91.14,0.0006587615283266679,,
2020-07-27 00:00:00,91.3,0.001755540926047905,,
2020-07-28 00:00:00,90.99,-0.0033953997809419434,,
2020-07-29 00:00:00,91.53,0.005934718100890191,,
2020-07-30 00:00:00,91.5,-0.00032776138970835866,,
2020-07-31 00:00:00,91.71,0.002295081967212953,,
2020-08-03 00:00:00,92.05,0.0037073383491441625,,
2020-08-04 00:00:00,92.52,0.00510592069527438,,
2020-08-05 00:00:00,92.82,0.003242542153047978,,
2020-08-06 00:00:00,93.05,0.002477914242620116,,
2020-08-07 00:00:00,92.86,-0.0020419129500268696,,
2020-08-10 00:00:00,93,0.0015076459185872082,,
2020-08-11 00:00:00,92.9,-0.0010752688172042113,,
2020-08-12 00:00:00,92.79,-0.001184068891280976,,
2020-08-13 00:00:00,92.58,-0.002263174911089627,,
2020-08-14 00:00:00,92.17,-0.004428602289911376,,
2020-08-17 00:00:00,92.27,0.0010849517196485081,,
2020-08-18 00:00:00,92.15,-0.0013005310501786882,,
2020-08-19 00:00:00,91.94,-0.002278893109061375,,
2020-08-20 00:00:00,92.15,0.0022840983249945435,,
2020-08-21 00:00:00,92.44,0.0031470428648940896,,
2020-08-24 00:00:00,92.63,0.0020553872782345106,,
2020-08-25 00:00:00,92.17,-0.004965993738529573,,
2020-08-26 00:00:00,91.96,-0.0022783986112618893,,
2020-08-27 00:00:00,91.53,-0.004675946063505743,,
2020-08-28 00:00:00,92.39,0.00939582650497095,,
2020-08-31 00:00:00,92.38,-0.00010823682216698494,,
2020-09-01 00:00:00,93,0.006711409395973256,,
2020-09-02 00:00:00,93.38,0.004086021505376403,,
2020-09-03 00:00:00,92.91,-0.005033197686870827,,
2020-09-04 00:00:00,92.51,-0.004305241631686441,,
2020-09-08 00:00:00,92.14,-0.003999567614311972,,
2020-09-09 00:00:00,92.61,0.005100933362274684,,
2020-09-10 00:00:00,92.35,-0.0028074721952273674,,
2020-09-11 00:00:00,92.38,0.00032485110990787547,,
2020-09-14 00:00:00,92.47,0.0009742368478025121,,
2020-09-15 00:00:00,92.63,0.0017302909051584159,,
2020-09-16 00:00:00,92.4,-0.0024829968692646753,,
2020-09-17 00:00:00,92.02,-0.004112554112554179,,
2020-09-18 00:00:00,91.6,-0.004564225168441682,,
2020-09-21 00:00:00,90.7,-0.009825327510916915,,
2020-09-22 00:00:00,90.51,-0.002094818081587624,,
2020-09-23 00:00:00,89.35,-0.012816263396309924,,
2020-09-24 00:00:00,89.58,0.0025741466144375558,,
2020-09-25 00:00:00,90.01,0.004800178611297223,,
2020-09-28 00:00:00,90.22,0.0023330741028773083,,
2020-09-29 00:00:00,90.01,-0.002327643538018065,,
2020-09-30 00:00:00,90.46,0.004999444506165851,,
2020-10-01 00:00:00,90.62,0.0017687375635642155,,
2020-10-02 00:00:00,90.3,-0.003531229309203354,,
2020-10-05 00:00:00,90.66,0.003986710963455042,,
2020-10-06 00:00:00,90.72,0.0006618133686300265,,
2020-10-07 00:00:00,90.92,0.0022045855379189128,,
2020-10-08 00:00:00,91.8,0.009678838539375123,,
2020-10-09 00:00:00,92.02,0.002396514161220109,,
2020-10-12 00:00:00,92.26,0.00260812866768112,,
2020-10-13 00:00:00,92.03,-0.002492954693258276,,
2020-10-14 00:00:00,92,-0.00032598065848099544,,
2020-10-15 00:00:00,91.63,-0.004021739130434798,,
2020-10-16 00:00:00,91.77,0.0015278838808250317,,
2020-10-19 00:00:00,91.24,-0.0057753078348044,,
2020-10-20 00:00:00,91.29,0.0005480052608506369,,
2020-10-21 00:00:00,90.82,-0.005148428086318435,,
2020-10-22 00:00:00,90.39,-0.004734639947148178,,
2020-10-23 00:00:00,90.82,0.004757163403031228,,
2020-10-26 00:00:00,90.49,-0.0036335608896718163,,
2020-10-27 00:00:00,91.03,0.005967510222124162,,
2020-10-28 00:00:00,90.26,-0.00845874986268258,,
2020-10-29 00:00:00,90.29,0.00033237314424994224,,
2020-10-30 00:00:00,90.04,-0.0027688559087385434,,
2020-11-02 00:00:00,90.19,0.0016659262549976184,,
2020-11-03 00:00:00,90.92,0.008094023727686084,,
2020-11-04 00:00:00,92.68,0.01935767707875069,,
2020-11-05 00:00:00,93.03,0.003776435045317106,,
2020-11-06 00:00:00,92.62,-0.00440718047941524,,
2020-11-09 00:00:00,93.06,0.004750593824228044,,
2020-11-10 00:00:00,92.96,-0.0010745755426607717,,
2020-11-11 00:00:00,93.32,0.0038726333907057597,,
2020-11-12 00:00:00,93.14,-0.0019288469781396644,,
2020-11-13 00:00:00,93.5,0.0038651492377066443,,
2020-11-16 00:00:00,93.7,0.002139037433155133,,
2020-11-17 00:00:00,93.54,-0.0017075773745997003,,
2020-11-18 00:00:00,93.46,-0.0008552490912979716,,
2020-11-19 00:00:00,93.67,0.00224695056708768,,
2020-11-20 00:00:00,93.74,0.0007473043663925871,,
2020-11-23 00:00:00,93.66,-0.0008534243652655871,,
2020-11-24 00:00:00,93.79,0.0013879991458467522,,
2020-11-25 00:00:00,93.72,-0.0007463482247574982,,
2020-11-27 00:00:00,94.02,0.003201024327784907,,
2020-11-30 00:00:00,93.84,-0.0019144862795149598,,
2020-12-01 00:00:00,94.08,0.002557544757033181,,
2020-12-02 00:00:00,94.13,0.0005314625850338928,,
2020-12-03 00:00:00,94.52,0.004143206204185734,,
2020-12-04 00:00:00,94.61,0.0009521794329243605,,
2020-12-07 00:00:00,94.59,-0.00021139414438220427,,
2020-12-08 00:00:00,94.43,-0.0016915107305212063,,
2020-12-09 00:00:00,94.2,-0.0024356666313671838,,
2020-12-10 00:00:00,94.67,0.0049893842887474005,,
2020-12-11 00:00:00,94.72,0.0005281504172387486,,
2020-12-14 00:00:00,94.72,0,,
2020-12-15 00:00:00,95.04,0.0033783783783785104,,
2020-12-16 00:00:00,95.11,0.0007365319865320075,,
2020-12-17 00:00:00,95.42,0.0032593838713068646,,
2020-12-18 00:00:00,95.29,-0.0013623978201634523,,
2020-12-21 00:00:00,95.02,-0.002833455766607318,,
2020-12-22 00:00:00,95.14,0.0012628920227319984,,
2020-12-23 00:00:00,95.28,0.0014715156611309066,,
2020-12-24 00:00:00,95.52,0.0025188916876572875,,
2020-12-28 00:00:00,95.54,0.00020938023450600696,,
2020-12-29 00:00:00,95.68,0.001465354825204157,,
2020-12-30 00:00:00,95.81,0.0013586956521738358,,
2020-12-31 00:00:00,95.87,0.0006262394322096299,,
2021-01-04 00:00:00,95.34,-0.005528319599457654,,
2021-01-05 00:00:00,95.4,0.0006293266205161796,,
2021-01-06 00:00:00,94.72,-0.007127882599580748,,
2021-01-07 00:00:00,94.68,-0.0004222972972972583,,
2021-01-08 00:00:00,94.73,0.0005280946345584958,,
2021-01-11 00:00:00,93.99,-0.007811675287659803,,
2021-01-12 00:00:00,93.54,-0.004787743376954867,,
2021-01-13 00:00:00,93.98,0.004703870002138011,,
2021-01-14 00:00:00,93.71,-0.0028729516918494236,,
2021-01-15 00:00:00,93.81,0.001067121972041507,,
2021-01-19 00:00:00,93.95,0.0014923782112781225,,
2021-01-20 00:00:00,94.05,0.001064395955295394,,
2021-01-21 00:00:00,94.12,0.0007442849548113806,,
2021-01-22 00:00:00,94.16,0.0004249893752654721,,
2021-01-25 00:00:00,94.53,0.003929481733220053,,
2021-01-26 00:00:00,94.41,-0.0012694382735639609,,
2021-01-27 00:00:00,93.97,-0.0046605232496557125,,
2021-01-28 00:00:00,94.17,0.002128338831542065,,
2021-01-29 00:00:00,94.16,-0.00010619093129449197,,
2021-02-01 00:00:00,94.63,0.004991503823279508,,
2021-02-02 00:00:00,94.63,0,,
