Company,Country,Money making or losing,Date,Prce/Share,DCF Value/Share,Multiple,Pricing/share,Option value,Recommendation
Costco,United States,Money making,2024-05-03 00:00:00,743.9,509.64,EV/Sales,342.36,,Sell
Costco,United States,Money making,2024-05-05 00:00:00,743.9,248.91,EV/Sales,578.32,,Sell
Coupang,United States,Money making,2024-05-03 00:00:00,23,54.19,EV/Sales,16.78,,Buy
Crocs,United States,Money making,2024-05-03 00:00:00,124.28,185.88,PBV,124.74,,Buy
Crowdstrike,USA,Money losing,2024-05-05 00:00:00,310.21,170.65,EV/Sales,229.21,,Sell
CrowdStrike,United States ,Money losing,2024-05-05 00:00:00,310.21,200.72,EV/Sales,151.65,,Sell
"CrowdStrike Holdings, Inc.",United States,Money losing,2024-05-03 00:00:00,310.21,163.01,EV/Sales,219.33,,Sell
Delta Airlines,United States,Money making,2024-05-05 00:00:00,51.55,102.88,PE,105.37,,Buy
Dick's Sporting Goods,United States,Money making,2024-05-03 00:00:00,202.74,221.39,EV/Sales,302.49,,Buy
Disney,United States,Money making,2024-05-05 00:00:00,113.66,68.18,EV/Sales,113.17,,Sell
Disney,United States,Money making,2024-05-03 00:00:00,113.66,84.43,PBV,161,,Sell
DoorDash,United States,Money losing,2024-05-05 00:00:00,113.81,78.27,EV/Sales,108,110.07,Sell
Doordash Inc.,USA,Money losing,2024-05-04 00:00:00,113.81,50.07,EV/SALES,108.95,,Sell
DraftKings,United States,Money losing,2024-05-03 00:00:00,41.79,50.63,EV/Sales,14.93,,Buy
DraftKings,United States,Money losing,2024-05-05 00:00:00,41.79,25.55,EV/Sales,18.14,,Sell
DraftKings ,United States,Money losing,2024-05-05 00:00:00,41.79,44.37,EV/Sales,42.27,,Buy
Duke Energy,United States,Money making,2024-05-05 00:00:00,100.26,76.32,EV / Sales,95.11,,SELL
Duolingo,United States,Money losing,2024-05-03 00:00:00,240,164.26,EV/Sales,126.77,,Sell
"Duolingo, Inc.",United States,Money making,2024-05-05 00:00:00,240,114.13,EV/Sales,23.9,,Sell
e.l.f beauty inc.,United States,Money making,2024-05-03 00:00:00,160.12,83.24,EV/Sales,87.1,,sell
Ecolab,United States,Money making,2024-05-04 00:00:00,227.5,136.69,EV/Sales,168.45,,Sell
Ecopetrol,Colombia,Money making,2024-05-05 00:00:00,2260,1922.91,EV/Sales,4482.65,648.25,Sell
Electronic Arts,United States,Money making,2024-05-04 00:00:00,129.56,92.41,EV/Sales,118.49,,Sell
Electronic Arts,United States,Money making,2024-05-04 00:00:00,129.56,93.65,EV/Sales,55.39,,Sell
Elevance Health,United States,Money making,2024-04-30 00:00:00,528.58,451.01,PBV,514.32,,Sell
Eli Lilly,United States,Money making,2024-05-04 00:00:00,734.97,244.25,EV/Sales,596.65,,Sell
Employers Holdings,US,Money making,2024-04-28 00:00:00,44.01,104.44,PBV,60.38,,Buy
"Expedia Group, INC",United States,Money making,2024-05-03 00:00:00,115.33,100.01,EV/Sales,239.18,,Sell
Ferrari,Netherlands,Money making,2024-05-04 00:00:00,399.89,142.71,EV/EBITDA,189.39,,Sell
Ferrari,Italy,Money making,2024-05-03 00:00:00,430.29,135.09,EV/EBITDA,38.89,,Sell
Five Below,United States,Money making,2024-05-04 00:00:00,144.81,121.02,EV/Inv Capital,154.53,,Buy
Ford Motor,United States,Money making,2024-05-03 00:00:00,12.43,15.36,PE,13.72,,Buy
Ford Motors,United States,Money making,2024-05-05 00:00:00,12.43,16.25,EV/Sales,44.22,,Buy
General Dynamics ,United States,Money making,2024-05-05 00:00:00,228.14,262.92,EV/Sales,253.37,,Buy
Giant Biogene,China,Money making,2024-05-04 00:00:00,46.55,34.86,,,,Sell
Goldman Sachs,United States,Money making,2024-05-05 00:00:00,432.57,385.4,EV/Sales,392.1,,Sell
Grab Ltd,Singapore,Money losing,2024-05-04 00:00:00,3.53,2.07,EV/Sales,2.75,2.75,Sell
Grupo Bimbo,Mexico,Money making,2024-05-04 00:00:00,4.12,3.51,EV/Sales,6.9,,Buy
Grupo Televisa,Mexico ,Money making,2024-05-01 00:00:00,10.26,7.96,EV/Sales,7.38,,Sell
H World Group Limited,United States,Money making,2024-05-04 00:00:00,40.98,16.77,EV/Sales,24.98,,Sell
Heidrick&Struggles,United States,Money making,2024-05-05 00:00:00,29.83,93.25,EV/Sales,75.93,,Buy
Hims & Hers,United States,Money making,2024-05-04 00:00:00,11.25,21.73,PBV,13.76,,Buy
IndiGo,India,Money making,2024-05-03 00:00:00,4029.8,4850.82,EV/Sales,3880.55,,Buy
