Company,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
Name,Approach ,ROE - COE,Current Debt ratio,Dividends,Value/share
99 Cents Only,B,0.0429,0.077,0.672,22.26
Abercrombie & Fitch,B,0.1737,0.2226,53,24.79
Abercrombie &Fitch,B,0.16211945204,0.17537166682102726,52.843,42.17
Activision,B,0.0227,0,0,12.57
Activision,B,-0.0282,0.0156,43.77,14.71
Advanced Micro Devices,B,-0.252,0.255,0,7.07
Alcoa,B,0.0101,0.2076,1305,24.3
Aldeasa,B,0.10429845251107403,0.036885245901639344,24.78,26.85
Altera,B,0.02,0.0032,240.61,17.7
Amazon,B,,0.0882,0,14.7
Amazon,B,,0.1035,0,53.18
Amazon,R,-0.12895427971520565,0.1029,0,41.84
Ambev,B,0.264,0.1717,165.9,0.27
AmBev (ABV),B,0.247252058616928,0.21493105109610505,322.32366770199997,22.819955834459602
AmBev (ABV),B,0.247252058616928,0.214931051096105,322.323667702,22.8199558344596
AMC,B,-0.2663,0.805,0,35.93
AMD,B,-0.319,0.3082,9.11,15.57
AMD,B,-0.25,0.2309,15.4,18.23
AMD,B,-0.30010000000000003,0.2626,0,2.85
American Greetings,B,0.0855,0.4376,105000,25.81
Amgen,B,0.0269,0.03783367782598508,1156.7,53.76014701322828
Amgen,B,0.0211,0.0361,0,49.78
Amgen,B,0.0863,0.0421,0,67.94
AMR Corp,B,-1.8,0.9232,0,21
Anheuser Busch,B,0.4192986624449678,0.1501772925200482,2075,47.5
Anheuser Busch,B,0.6923,0.182,685400000,72.02
Anheuser-Busch,B,0.617,0.1599,2110,111.95
Ann Taylor,B,0.04728988249098015,0.31356487840830727,20.576,35.03
Apache,B,0.15,0.1883,58.3,62.96
Apple,B,-0.0863,0.0686,34.56,27.396248027295766
Applebees,B,0.1521,0.0784,56288,91.58
Argosy,B,0.1288,0.5022,0,40.94
Ariba,B,-0.6012,0.1697,0,6.94
AT&T,B,0.031,0.5355,3151,33.74
AT&T Corp,B,0.021999999999999992,0.5700700391327894,629,24.671184410811286
AT&T Wireless,B,-0.0974,0.292,0,0.27
Atari,B,1.8707,0.0737,0,4.55
Autogrill,B,0.1383343914454427,0.20377538969176925,4.2,10.701761960372425
Autogrill,B,0.1292538443465492,0.2484,5,EU 10.48
Avaya,B,-0.4049,0.227, $           - ,13.86
Avon Products,R ,0.3479,0.0707,466.7,43.57
Aztar,B,0.0359,0.417,36.36,45.02
Aztar (AZR),B,0.03470000000000001,0.44,34.85,18
Barnes & Noble,B,0.0585,0.5396,0,36.27
Barnes & Noble Inc.,B,0.0192,0.1246,0.27,36.36
Barr,B,0.1969,0.01,0,74.52
BEA,B,0.00180000000000001,0.12,42,5.82
Bed Bath Beyond,B,0.1521,0.1162,0,45.26
Best Buy,B,-0.0421,0.1983,39.99,63
Best Buy,B,-0.08292594509587252,0.19326387419321625,39.991,32.47283262853335
Best Buy,B,0.12210000000000001,0.2125,13,70
Bharti Commun.,B,0.0102,0.1118,0,2.7351111111111113
Big Lots ,B,0.0042,0.2889,0.19,10.44
Blockbuster,B,-0.4193,0.3599,175.6,7.61
BMW,B,0.0444,0.2347,303,46.15
Boston Beer,B,0.074,0.0081,15,15.29
Boston Beer,B,0.1331,0.0127,0,19.71
Boston Beer,B,0.0701,0.0125,9.85,22.12
Boston Beer Company,B,0.0486,0.0078,0,11.11
Boyd Gaming,B,0.01759999999999999,0.3604,8.7,12.26
Brown-Forman,B,0.1143,0.1202,208.8,47.51
Brown-Forman,B,0.1273,0.1206,88.4,34.84
Cablevision (in thousands),B,,0.53,680904,30.96
Caesars ,B,-0.0745,0.537,52.25,8.19
Caesar's (CZR),B,-0.054099999999999995,0.53,58.25,14
Campari,B,0.0975,0.2441,24,44.14
Campbell,B,,0.279,751.2,36.89
Campbell Soup Company,B,,0.2540516245758162,283,25.11
Campbell's,B,,0.251,974,32.29
Campofrio,B,-0.0406,0.27,13.87,12.92
Carrefour,B,0.14501862414838737,0.37958944448175996,587,36.6
CE Distribution,B,0.3138,0.1145,0.09,45.91
Chalone,B,-0.0506,0.369408813274725,0,2.01
Cheesecake Factory,B,0.061,0.1306,0,40.72
China Telecom,B,0.1136,0.34,14089,0.37
