Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Total Debt [Latest Quarter] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Interest Expense [LTM] ($USDmm, Historical rate)","Total Common Equity [Latest Quarter] ($USDmm, Historical rate)",S&P Entity Credit Rating - Issuer Credit Rating - Foreign Currency LT [Latest] (Rating)
"GI Technologies (Beijing) Co., Ltd. (SZSE:300309)",SZSE:300309,Energy (Primary),1018.1,0.484,19.5,16.2,,202,
"Delek Logistics Partners, LP (NYSE:DKL)",NYSE:DKL,Energy (Primary),1018,251.8,92.4,80.1,-8.66,27.1,
Enerflex Ltd. (TSX:EFX),TSX:EFX,Energy (Primary),1016.2,436.1,156.9,112.7,-9.03,877.7,
"Shanxi Coking Co.,Ltd. (SHSE:600740)",SHSE:600740,Energy (Primary),1015.6,351.4,66.1,21.8,-36,461.2,
"SandRidge Energy, Inc. (NYSE:SD)",NYSE:SD,Energy (Primary),1006.4,3195.4,1298,791.9,-244.1,1937.8,B
Penn West Petroleum Ltd. (TSX:PWT),TSX:PWT,Energy (Primary),1005.1,1855.7,993,-56.1,-136.4,4820.1,
OMV Petrol Ofisi AS (IBSE:PTOFS),IBSE:PTOFS,Energy (Primary),1003.3,1660.7,228.6,70.3,-162.8,827.9,NR
China Suntien Green Energy Corporation Limited (SEHK:956),SEHK:956,Energy (Primary),992,1777.8,256.9,169.4,-78.5,1186.6,
Oando PLC (NGSE:OANDO),NGSE:OANDO,Energy (Primary),991.5,2149.2,304.4,187.7,-252.3,1235.9,
Oando Energy Resources  Inc. (TSX:OER),TSX:OER,Energy (Primary),987.9,812.7,188.6,-367.7,-127.6,1012.1,
Naftna Industrija Srbije a.d. Novi Sad (BELEX:NIIS),BELEX:NIIS,Energy (Primary),986.6,1082.8,613.4,485.9,-25,1836.1,
Parex Resources Inc. (TSX:PXT),TSX:PXT,Energy (Primary),979.7,42.3,352.5,88.5,-39.6,803.7,
James Fisher and Sons Public Limited Company (LSE:FSJ),LSE:FSJ,Energy (Primary),972.8,125.8,111.2,78.5,-6.09,316,
Advantage Oil & Gas Ltd. (TSX:AAV),TSX:AAV,Energy (Primary),966.7,169.2,186.3,112.5,-12.8,945,
Pakistan State Oil Company Limited (KASE:PSO),KASE:PSO,Energy (Primary),965.9,1367.3,200.1,190.2,-63.6,828.4,
Stone Energy Corp. (NYSE:SGY),NYSE:SGY,Energy (Primary),961.8,1041,464.3,95.9,-38.9,1101.6,B
TORC Oil & Gas Ltd. (TSX:TOG),TSX:TOG,Energy (Primary),958.9,155.3,180.7,16.9,-5.36,808.5,
"USA Compression Partners, LP (NYSE:USAC)",NYSE:USAC,Energy (Primary),956.4,594.9,108.8,37.6,-12.5,825.6,
"Sinopec Shandong Taishan Pectroleum Co.,Ltd. (SZSE:000554)",SZSE:000554,Energy (Primary),949.5,8.95,9.95,4.44,-0.111,149.6,
"Zhejiang Kingland Pipeline And Technologies Co.,Ltd. (SZSE:002443)",SZSE:002443,Energy (Primary),949.1,88.6,20.7,13.1,,308.2,
Pacific Drilling S.A. (NYSE:PACD),NYSE:PACD,Energy (Primary),945.1,3158.6,568.5,369.2,-130.1,2578.9,B
Sundiro Holding Co Ltd (SZSE:000571),SZSE:000571,Energy (Primary),941.8,159.8,24.3,13.7,-1.21,356.1,
VTTI Energy Partners LP (NYSE:VTTI),NYSE:VTTI,Energy (Primary),935,643.8,187.8,119,-30.1,283.1,
Établissements Maurel & Prom Société anonyme (ENXTPA:MAU),ENXTPA:MAU,Energy (Primary),933.7,809.5,403.6,307.8,-45.9,1078.1,
"Shenzhen Guangju Energy Co., Ltd. (SZSE:000096)",SZSE:000096,Energy (Primary),932.9,0,14.4,11.9,,306.9,
Itochu Enex Co. Ltd. (TSE:8133),TSE:8133,Energy (Primary),928.1,433,227.7,129.7,-8.05,805.3,
Bonterra Energy Corp (TSX:BNE),TSX:BNE,Energy (Primary),923.4,178.5,192.3,99,-4.96,548.5,
Kelt Exploration Ltd. (TSX:KEL),TSX:KEL,Energy (Primary),922.7,40.5,94,19.3,-0.708,535.1,
"Tong Oil Tools Co., Ltd. (SZSE:300164)",SZSE:300164,Energy (Primary),917.7,21.2,6.9,-0.8,-1.09,189.5,
"QEP Midstream Partners, LP (NYSE:QEPM)",NYSE:QEPM,Energy (Primary),911.4,210,80.3,48.3,-4,357.2,
NuVista Energy Ltd. (TSX:NVA),TSX:NVA,Energy (Primary),910.7,148.5,143.5,54.2,-4.9,593.8,
Titas Gas Transmission and Distribution Company Limited (DSE:TITASGAS),DSE:TITASGAS,Energy (Primary),909.1,17.6,125.3,114.5,-0.731,676.8,
Birchcliff Energy Ltd. (TSX:BIR),TSX:BIR,Energy (Primary),903.4,446.7,272.4,152.6,-17.5,919.5,
Lanpec Technologies Limited (SHSE:601798),SHSE:601798,Energy (Primary),899.2,70.9,23.9,13.6,-4.65,311.9,
Ocean Yield AS (OB:OCY),OB:OCY,Energy (Primary),890.6,994.5,220.2,123.8,-56.7,708.1,
Par Petroleum Corporation (AMEX:PARR),AMEX:PARR,Energy (Primary),888.8,137.9,-10.3,-25.2,-13.8,292.2,NR
"MODEC, Inc. (TSE:6269)",TSE:6269,Energy (Primary),885.9,195.1,116.8,69.6,-6.18,807.8,
Transocean Partners LLC (NYSE:RIGP),NYSE:RIGP,Energy (Primary),879.3,43,284,233,-1,1411,
Sanchez Energy Corporation (NYSE:SN),NYSE:SN,Energy (Primary),872.3,1746.3,610,271.9,-89.8,999.5,B
"CAMAC Energy, Inc. (AMEX:CAK)",AMEX:CAK,Energy (Primary),868.4,160.4,-69.6,-93.3,-4.38,333.4,
Natural Resource Partners LP (NYSE:NRP),NYSE:NRP,Energy (Primary),864.7,1475.2,258.3,158.6,-80.2,708.6,B+
The Great Eastern Shipping Company Limited (BSE:500620),BSE:500620,Energy (Primary),861,985.5,231.6,128.2,-45.7,1145.5,
PT Golden Energy Mines Tbk (JKSE:GEMS),JKSE:GEMS,Energy (Primary),860.6,5.04,35.7,14.4,-0.201,248.1,
Halcón Resources Corporation (NYSE:HK),NYSE:HK,Energy (Primary),860.5,3746.7,1271.2,736.8,-148.8,1772.2,B
Rice Midstream Partners LP (NYSE:RMP),NYSE:RMP,Energy (Primary),854.6,0,-20.1,-24.1,-11.6,393.4,
"Gran Tierra Energy, Inc. (AMEX:GTE)",AMEX:GTE,Energy (Primary),850,0,394.2,208.3,,1276.7,
"Nippon Gas Co., Ltd. (TSE:8174)",TSE:8174,Energy (Primary),848.4,533.2,159.1,72.7,-4.83,254.2,
SOCO International plc (LSE:SIA),LSE:SIA,Energy (Primary),841.8,0,342.8,152.6,-2.2,975.1,
Dana Gas PJSC (ADX:DANA),ADX:DANA,Energy (Primary),833.9,748,393,252,-73,2707,
Motor Oil Hellas Corinth Refineries SA (ATSE:MOH),ATSE:MOH,Energy (Primary),830.9,1450.1,120.2,3.16,-90.3,498.8,
CrossAmerica Partners LP (NYSE:CAPL),NYSE:CAPL,Energy (Primary),818.2,290.4,56.7,23.3,-16.6,190.5,
NewOcean Energy Holdings Limited (SEHK:342),SEHK:342,Energy (Primary),813.5,957.8,129.9,115.6,-29.2,628.6,
Green Dragon Gas Ltd. (LSE:GDG),LSE:GDG,Energy (Primary),811.5,79.4,8.98,-8.26,-4.09,613.1,
Newpark Resources Inc. (NYSE:NR),NYSE:NR,Energy (Primary),811.3,184.1,170.5,129.4,-10.4,625.5,B+
PT Medco Energi Internasional Tbk. (JKSE:MEDC),JKSE:MEDC,Energy (Primary),807,1185.8,247.8,149.4,-71.4,910.8,NR
Höegh LNG Holdings Ltd. (OB:HLNG),OB:HLNG,Energy (Primary),792.5,831.9,1.62,-19.4,-18.3,366.3,
Societatea Nationala de Transport Gaze Naturale Transgaz S.A. (BVB:TGN),BVB:TGN,Energy (Primary),787.9,0,210.2,161.4,-3.55,910.2,BB
Trilogy Energy Corp. (TSX:TET),TSX:TET,Energy (Primary),783.9,605.4,327.6,102,-33.7,494,B
Lubelski Wegiel Bogdanka S.A. (WSE:LWB),WSE:LWB,Energy (Primary),783.1,229.7,211.6,102.3,-2.47,709.7,
"Lanzhou Haimo Technologies Co., Ltd. (SZSE:300084)",SZSE:300084,Energy (Primary),779.1,42.1,13.8,8.11,,102.7,
Dorian LPG Ltd. (NYSE:LPG),NYSE:LPG,Energy (Primary),774.9,135.1,38.4,22.8,-1.89,863.8,
"Hornbeck Offshore Services, Inc. (NYSE:HOS)",NYSE:HOS,Energy (Primary),770.5,1073.5,284,168.6,-30.7,1370.8,BB-
Shanghai SK Petroleum & Chemical Equipment Corporation Ltd (SZSE:002278),SZSE:002278,Energy (Primary),767.9,0,14.7,10.1,,190.9,
PT Sugih Energy Tbk (JKSE:SUGI),JKSE:SUGI,Energy (Primary),767.7,22.8,-1.75,-2.42,-4.33,294.7,
OAO TMK (LSE:TMKS),LSE:TMKS,Energy (Primary),767.7,3228.1,781.9,480.5,-232.7,1204.6,B+
Wison Engineering Services Co. Ltd. (SEHK:2236),SEHK:2236,Energy (Primary),765.5,87.1,52.9,46.2,-43.7,268.7,
"Southcross Energy Partners, L.P. (NYSE:SXE)",NYSE:SXE,Energy (Primary),765.4,476.7,37.3,-4.9,-15.6,607.4,B
PT Dian Swastatika Sentosa Tbk (JKSE:DSSA),JKSE:DSSA,Energy (Primary),765.4,270.1,38.5,8.22,-10.4,753.9,
PBF Logistics LP (NYSE:PBFX),NYSE:PBFX,Energy (Primary),764.2,510,20.8,17.1,-2.68,-120.3,
Calfrac Well Services Ltd. (TSX:CFW),TSX:CFW,Energy (Primary),762.5,653.4,308.5,188.1,-51.5,719.6,BB-
Pakistan Oilfields Ltd. (KASE:POL),KASE:POL,Energy (Primary),760.8,0,193.7,135.4,,344.1,
Pacific Rubiales Energy Corp. (TSX:PRE),TSX:PRE,Energy (Primary),759.2,4704.7,2284.7,-417.2,-279.7,2467.6,BB
Legacy Reserves LP (NasdaqGS:LGCY),NasdaqGS:LGCY,Energy (Primary),753.7,941,406.5,-215.9,-67.2,407.7,B+
"Xinjiang Zhundong Petroleum Technology Co., Ltd. (SZSE:002207)",SZSE:002207,Energy (Primary),735.2,39.5,10.3,1.99,-0.836,94.9,
Tsakos Energy Navigation Limited (NYSE:TNP),NYSE:TNP,Energy (Primary),734.5,1418.3,172.6,75.6,-43.1,1177.9,
Ratio Oil Exploration (1992) Limited Partnership (TASE:RATI.L),TASE:RATI.L,Energy (Primary),725.2,0,,-10.4,-0.263,127.1,
Afriquia Gaz SA (CBSE:GAZ),CBSE:GAZ,Energy (Primary),725.1,135.6,90.7,65.7,-9.82,227.2,
Athabasca Oil Corporation (TSX:ATH),TSX:ATH,Energy (Primary),718.7,681.5,18,-197.6,-19.2,2732.3,CCC+
Cardinal Energy Ltd. (TSX:CJ),TSX:CJ,Energy (Primary),718.3,41.2,114.8,58.6,-0.76,645.8,
"Qinghai Jinrun Mineral Development Co., Ltd (SHSE:600714)",SHSE:600714,Energy (Primary),714.5,70.3,11.7,5.29,-3.79,75.5,
CARBO Ceramics Inc. (NYSE:CRR),NYSE:CRR,Energy (Primary),708.8,25,158.8,107.9,,776.1,
Northern Blizzard Resources Inc. (TSX:NBZ),TSX:NBZ,Energy (Primary),704.1,328.8,219.8,82.6,-31.5,968.7,B
Dorchester Minerals LP (NasdaqGS:DMLP),NasdaqGS:DMLP,Energy (Primary),704,0,54.6,44.5,,93.8,
Aegean Marine Petroleum Network Inc. (NYSE:ANW),NYSE:ANW,Energy (Primary),695.7,755,110,74.8,-33.9,567.4,
PT Capitalinc Investment Tbk (JKSE:MTFN),JKSE:MTFN,Energy (Primary),693.9,121.7,,,,251.6,
EV Energy Partners LP (NasdaqGS:EVEP),NasdaqGS:EVEP,Energy (Primary),693.1,1030.4,266.2,41.3,-52.6,1077.8,B
Slovnaft AS (BSSE:1SLN01AE),BSSE:1SLN01AE,Energy (Primary),691.7,258.2,101.6,-36.7,-62.4,1546.2,
"SK Gas Co., Ltd. (KOSE:A018670)",KOSE:A018670,Energy (Primary),691.4,1303.1,145.5,110.3,-17.8,1082.5,
"DHT Holdings, Inc. (NYSE:DHT)",NYSE:DHT,Energy (Primary),683.4,670.8,39.3,-2.05,-13.8,674.9,
Apexindo Pratama Duta tbk PT (JKSE:APEX),JKSE:APEX,Energy (Primary),681,385.4,109.5,102.4,-32.2,28.9,NR
"Clayton Williams Energy, Inc. (NYSE:CWEI)",NYSE:CWEI,Energy (Primary),680.1,704.7,297.9,107.3,-50.9,397.8,B
CSI Compressco LP (NasdaqGS:CCLP),NasdaqGS:CCLP,Energy (Primary),677.8,540,81.2,40.3,-13,538.9,B
Bankers Petroleum Ltd. (TSX:BNK),TSX:BNK,Energy (Primary),675.4,99.5,358.5,240.9,-7.84,716.5,
Spartan Energy Corp. (TSX:SPE),TSX:SPE,Energy (Primary),675.3,64.3,79,21.4,-2.52,586.1,
Dynagas LNG Partners LP (NYSE:DLNG),NYSE:DLNG,Energy (Primary),674.3,575,82.5,64.7,-14.1,297.7,
"Midcoast Energy Partners, L.P. (NYSE:MEP)",NYSE:MEP,Energy (Primary),673.3,760,320.2,168.8,-16.7,1867.6,
Gulf Marine Services PLC (LSE:GMS),LSE:GMS,Energy (Primary),672.5,333.1,138.8,121.9,-21.3,358.6,
Boustead Singapore Limited (SGX:F9D),SGX:F9D,Energy (Primary),668,120.5,73,65.6,-1.02,276,
"Atlas Resource Partners, L.P. (NYSE:ARP)",NYSE:ARP,Energy (Primary),661.3,1394.5,260.5,-529,-62.1,735.7,B
Prosafe SE (OB:PRS),OB:PRS,Energy (Primary),655.8,830.1,312.6,248.3,-37.3,748.5,
GasLog Partners LP (NYSE:GLOP),NYSE:GLOP,Energy (Primary),651.4,473.1,89.3,64.7,-34.1,408.1,
PetroVietnam Drilling and Well Services Corporation (HOSE:PVD),HOSE:PVD,Energy (Primary),641.2,144.9,186.9,137.2,-6.77,535,
PJSC Ukrnafta (DB:UKAA),DB:UKAA,Energy (Primary),637.6,3.32,230.5,119.6,-140.5,1414.3,
Teekay Tankers Ltd. (NYSE:TNK),NYSE:TNK,Energy (Primary),633.2,663.3,89.4,39.2,-18.7,455.7,
Esso S.A.F. (ENXTPA:ES),ENXTPA:ES,Energy (Primary),631.9,,-562.9,-711.7,-10.9,,
Esso (Thailand) Public Company Limited (SET:ESSO),SET:ESSO,Energy (Primary),631.8,1084.2,-296.8,-361.3,-27.4,374.8,
PACC Offshore Services Holdings Ltd. (SGX:U6C),SGX:U6C,Energy (Primary),629.2,560.5,66,26.5,-10.9,1213.8,
Aldrees Petroleum and Transport Services Company Ltd. (SASE:4200),SASE:4200,Energy (Primary),626.8,84,52.4,36.9,-3.09,154.7,
The New Zealand Refining Company Limited (NZSE:NZR),NZSE:NZR,Energy (Primary),617.3,250.6,67.9,11.8,-1.91,502.9,
PT ABM Investama Tbk (JKSE:ABMM),JKSE:ABMM,Energy (Primary),613.7,649.2,36.4,-66.1,-40.4,207.2,
Lamprell plc (LSE:LAM),LSE:LAM,Energy (Primary),611.7,99,147.3,107.7,-6.01,672.2,
"Japan Drilling Co., Ltd. (TSE:1606)",TSE:1606,Energy (Primary),610.7,340.8,44.8,13.6,-4.13,515.4,
"World Point Terminals, LP (NYSE:WPT)",NYSE:WPT,Energy (Primary),602.4,0,54.3,33.8,-0.849,170,
Gujarat Mineral Development Corporation Limited (BSE:532181),BSE:532181,Energy (Primary),596.3,,102.8,82.4,,,
Sequa Petroleum NV (ENXTPA:MLSEQ),ENXTPA:MLSEQ,Energy (Primary),594.8,,,,,,
Exmar NV (ENXTBR:EXM),ENXTBR:EXM,Energy (Primary),589.5,,47.4,-6.5,,,
Sabine Royalty Trust (NYSE:SBR),NYSE:SBR,Energy (Primary),586.5,0,,59.2,,4.54,
"RigNet, Inc. (NasdaqGS:RNET)",NasdaqGS:RNET,Energy (Primary),584.7,86.1,68.5,39.7,-2.19,141.9,
Africa Oil Corp (TSX:AOI),TSX:AOI,Energy (Primary),582.1,0,-24.8,-153.1,,797,
Crew Energy Inc. (TSX:CR),TSX:CR,Energy (Primary),581,169.3,338.9,-2.53,-17.7,682.5,B
Navios Maritime Acquisition Corporation (NYSE:NNA),NYSE:NNA,Energy (Primary),575.6,1164.3,147.3,79.6,-78.6,487.3,B+
Höegh LNG Partners LP (NYSE:HMLP),NYSE:HMLP,Energy (Primary),574.9,228,10,8.29,-9.75,225.5,
C.A.T. Oil AG (XTRA:O2C),XTRA:O2C,Energy (Primary),571,72.9,154.3,93.6,-1.18,320.9,BB
Surge Energy Inc. (TSX:SGY),TSX:SGY,Energy (Primary),570.8,487.2,269.8,-56.7,-14.9,929,
Akastor ASA (OB:AKA),OB:AKA,Energy (Primary),567.3,672.1,147,24.2,-54.3,1253.5,
Naphtha Israel Petroleum Corp. Ltd. (TASE:NFTA),TASE:NFTA,Energy (Primary),563.1,912.9,364.3,226.7,-57,222.8,
QGEP Participações S.A. (BOVESPA:QGEP3),BOVESPA:QGEP3,Energy (Primary),560.7,94.5,105.8,37.3,-0.099,951.4,
Open Joint-Stock Company Slavneft - Yaroslavnefteorgsintez (MICEX:JNOS),MICEX:JNOS,Energy (Primary),558.8,433.9,299.9,205.4,-31.4,542.4,
Magnum Hunter Resources Corp. (NYSE:MHR),NYSE:MHR,Energy (Primary),558.7,948.7,0.048,-565,-86.5,117.6,CCC+
Mari Petroleum Company Limited (KASE:MARI),KASE:MARI,Energy (Primary),555.9,115.7,63.5,52.9,-11.1,87.6,
"Jadranski naftovod, Joint Stock Company (ZGSE:JNAF-R-A)",ZGSE:JNAF-R-A,Energy (Primary),551.9,,,,,,
Public Joint Stock Company Uzhgorodsky Turbogaz (UKR:UZHT),UKR:UZHT,Energy (Primary),551.5,22.3,2.5,1.6,-1.58,34.5,
KNOT Offshore Partners LP (NYSE:KNOP),NYSE:KNOP,Energy (Primary),551.4,617.9,81.7,50.7,-19.2,419.4,
San Juan Basin Royalty Trust (NYSE:SJT),NYSE:SJT,Energy (Primary),550,0,,59.9,,9.36,
Painted Pony Petroleum Ltd. (TSX:PPY),TSX:PPY,Energy (Primary),549.6,0,76,23.2,-1.63,577.6,
Sprague Resources LP (NYSE:SRLP),NYSE:SRLP,Energy (Primary),548.2,822.9,178.2,160.6,-29.7,115.9,
EXCO Resources Inc. (NYSE:XCO),NYSE:XCO,Energy (Primary),547.5,1446.5,483,216.7,-94.3,510,B
Hankook Shell Oil Co. Ltd. (KOSE:A002960),KOSE:A002960,Energy (Primary),544.8,0,31.4,30.3,,83,
Transmontaigne Partners L.P. (NYSE:TLP),NYSE:TLP,Energy (Primary),542.9,252,64,34.5,-6.46,333.6,
Dayang Enterprise Holdings Berhad (KLSE:DAYANG),KLSE:DAYANG,Energy (Primary),542.8,44,68.9,57.1,-2.06,275.5,
Penn Virginia Corporation (NYSE:PVA),NYSE:PVA,Energy (Primary),541.9,1110,520.6,-571.5,-88.8,671.8,B+
Callon Petroleum Company (NYSE:CPE),NYSE:CPE,Energy (Primary),541.3,335,132.3,73.5,-9.77,433.7,
"Northern Oil and Gas, Inc. (AMEX:NOG)",AMEX:NOG,Energy (Primary),540.5,806.1,478.7,305.8,-42.1,770.9,B
"TETRA Technologies, Inc. (NYSE:TTI)",NYSE:TTI,Energy (Primary),532.9,935,110.5,-6.4,-32.8,369.7,
Matrix Service Company (NasdaqGS:MTRX),NasdaqGS:MTRX,Energy (Primary),530.2,11.8,62.4,39.9,-1.51,289.4,
China Aviation Oil (Singapore) Corporation Ltd (SGX:G92),SGX:G92,Energy (Primary),525.1,0,10.6,9.79,-1.55,553.5,
Trinidad Drilling Ltd. (TSX:TDG),TSX:TDG,Energy (Primary),518.1,455.8,215.5,107.5,-34.1,980.8,BB
Shell Oman Marketing Company SAOG (MSM:SOMS),MSM:SOMS,Energy (Primary),518,18.2,41.5,36.4,-0.317,88,
Clean Energy Fuels Corp. (NasdaqGS:CLNE),NasdaqGS:CLNE,Energy (Primary),516,570.7,-7.38,-53.4,-44.4,437.4,
"Sichuan Renzhi Oilfield Technology Services Co.,Ltd. (SZSE:002629)",SZSE:002629,Energy (Primary),512.7,19.3,4.88,1.03,,117.6,
Westmoreland Coal Co. (NasdaqGM:WLB),NasdaqGM:WLB,Energy (Primary),508.6,984.8,128.8,-3.13,-84.2,-364.8,B
Fred Olsen Energy ASA (OB:FOE),OB:FOE,Energy (Primary),505.6,1455.4,516.2,186.8,,1307.9,
BW Offshore Limited (OB:BWO),OB:BWO,Energy (Primary),505.1,1900.7,503.4,282.7,-65.1,1198.1,
DeeThree Exploration Ltd. (TSX:DTX),TSX:DTX,Energy (Primary),503.6,120.2,151.5,73,-3.69,400.2,
Bellatrix Exploration Ltd. (TSX:BXE),TSX:BXE,Energy (Primary),499.5,484.8,261.8,103.4,-16.6,1077.9,
PHI Inc. (NasdaqGS:PHII),NasdaqGS:PHII,Energy (Primary),498.6,543,173.9,123.1,-29.5,597.1,BB-
REX American Resources Corporation (NYSE:REX),NYSE:REX,Energy (Primary),494.5,0,139.3,122.5,-2.08,350,
Energy Resources of Australia Ltd. (ASX:ERA),ASX:ERA,Energy (Primary),492.7,0,-101.7,-222.9,-0.998,610.1,
Gulf Keystone Petroleum Limited (LSE:GKP),LSE:GKP,Energy (Primary),487.7,519.6,-33.6,-42.6,-9.42,558.8,
PT. Golden Eagle Energy Tbk (JKSE:SMMT),JKSE:SMMT,Energy (Primary),486.3,20.4,-0.29,-1.04,,35.3,
"San-Ai Oil Co., Ltd. (TSE:8097)",TSE:8097,Energy (Primary),484.1,201.9,91.4,47.9,-6.86,617.5,
Avance Gas Holding Ltd. (OB:AVANCE),OB:AVANCE,Energy (Primary),481.5,183.4,100.7,81.4,-4.33,508.5,
AWE Limited (ASX:AWE),ASX:AWE,Energy (Primary),478.3,49,36.7,-72.5,-4.08,777.3,
Trican Well Service Ltd. (TSX:TCW),TSX:TCW,Energy (Primary),476.9,680.5,226,45.4,-34.3,1109.8,
PetroVietnam Technical Services Corporation (HASTC:PVS),HASTC:PVS,Energy (Primary),474.7,120.6,120.6,74.7,-4.47,434.8,
Parker Drilling Co. (NYSE:PKD),NYSE:PKD,Energy (Primary),473.6,615,264.3,119.2,-44.3,662.4,B+
Paladin Energy Ltd (ASX:PDN),ASX:PDN,Energy (Primary),465,699.9,-31.3,-389.2,-52.8,488,
Bill Barrett Corp. (NYSE:BBG),NYSE:BBG,Energy (Primary),462.8,829,484,201.7,-69.6,1029.5,B+
Indus Gas Ltd. (AIM:INDI),AIM:INDI,Energy (Primary),462.1,332,32.7,27.5,,79.1,
"Shanxi Meijin Energy Co.,Ltd. (SZSE:000723)",SZSE:000723,Energy (Primary),460.9,0,9.46,2.87,-0.046,74,
Jordan Petroleum Refinery Company Ltd. (ASE:JOPT),ASE:JOPT,Energy (Primary),458.4,1623.4,-64.2,-78.5,-93.1,196.4,
W&T Offshore Inc. (NYSE:WTI),NYSE:WTI,Energy (Primary),457.7,1360.1,573.2,62.1,-78.4,509.3,B
Triangle Petroleum Corporation (AMEX:TPLM),AMEX:TPLM,Energy (Primary),455.8,679,223.1,122.2,-20,535.7,
Yanchang Petroleum International Limited (SEHK:346),SEHK:346,Energy (Primary),454.3,119.7,41.1,40.4,-5.39,835.5,
Contango Oil & Gas Company (AMEX:MCF),AMEX:MCF,Energy (Primary),450.2,63.4,161,-42.2,-2.66,567.5,
"Canyon Services Group, Inc. (TSX:FRC)",TSX:FRC,Energy (Primary),447.3,43.6,102,59.4,-1.31,363.1,
Attock Petroleum Ltd. (KASE:APL),KASE:APL,Energy (Primary),444.1,0,38,34.6,-1.5,126.5,
EnQuest PLC (LSE:ENQ),LSE:ENQ,Energy (Primary),439.2,1122.4,605.9,341.8,-55.9,1359.9,B+
Tesco Corporation (NasdaqGS:TESO),NasdaqGS:TESO,Energy (Primary),439.1,0.025,93.3,49.7,-1.19,513.1,
Era Group Inc. (NYSE:ERA),NYSE:ERA,Energy (Primary),438.9,309.5,82.9,36.6,-14.5,460.7,B
Tanker Investments Ltd. (OB:TIL),OB:TIL,Energy (Primary),436.3,334,22.3,6.26,-9.18,389.9,
Aban Offshore Limited (BSE:523204),BSE:523204,Energy (Primary),434.3,2352.6,403,309.4,-174.4,871.2,
JP Energy Partners LP (NYSE:JPEP),NYSE:JPEP,Energy (Primary),433,85,11.6,-30.9,-9.39,600.7,
Hilong Holding Limited (SEHK:1623),SEHK:1623,Energy (Primary),428.9,397.6,118,91.8,-14.2,470.6,
MPI Société Anonyme (ENXTPA:MPI),ENXTPA:MPI,Energy (Primary),425,,-4.56,-4.6,,,
Storm Resources Ltd. (TSXV:SRX),TSXV:SRX,Energy (Primary),423.4,39.7,50.9,23.9,-1.32,277.7,
"American Midstream Partners, LP (NYSE:AMID)",NYSE:AMID,Energy (Primary),422.9,375.9,40.7,11.9,-7.58,326.9,
Western Energy Services Corp. (TSX:WRG),TSX:WRG,Energy (Primary),422.1,229,149.3,94.3,-18.2,517.3,B+
Sino Oil and Gas Holdings Limited (SEHK:702),SEHK:702,Energy (Primary),421.5,64.1,1.25,0.694,0.05,522.8,
"Renewable Energy Group, Inc. (NasdaqGS:REGI)",NasdaqGS:REGI,Energy (Primary),419.4,269.6,101.4,85.5,-6.69,769.8,
Denison Mines Corp. (TSX:DML),TSX:DML,Energy (Primary),417.6,0.039,-23.2,-27,-0.002,256.1,
"Marlin Midstream Partners, LP (NasdaqGM:FISH)",NasdaqGM:FISH,Energy (Primary),417.4,11,32.3,23.5,-0.766,153.9,
Energy Earth Public Company Limited (SET:EARTH-R),SET:EARTH-R,Energy (Primary),415.8,364.8,59,49.1,-11.5,160.9,
Karoon Gas Australia Ltd. (ASX:KAR),ASX:KAR,Energy (Primary),412.8,0,-15.1,-42.4,-2.05,776.7,
Anton Oilfield Services Group (SEHK:3337),SEHK:3337,Energy (Primary),399,433.7,41.9,6.12,-29.1,331.2,
SandRidge Permian Trust (NYSE:PER),NYSE:PER,Energy (Primary),397.4,0,,123.1,,399.9,
Energy XXI Ltd. (NasdaqGS:EXXI),NasdaqGS:EXXI,Energy (Primary),396.4,4023.8,814,214.8,-227.6,1523.5,B-
Petroceltic International plc (AIM:PCI),AIM:PCI,Energy (Primary),396,263.2,135,-30.9,-18.4,552,
S.C. Rompetrol Rafinare S.A. (BVB:RRC),BVB:RRC,Energy (Primary),394.6,485.9,96.9,10.1,-68.4,357.2,
KrisEnergy Ltd. (SGX:SK3),SGX:SK3,Energy (Primary),393.1,257.4,12.9,-16.9,-15,419,
Shell Refining Company (Federation of Malaya) Berhad (KLSE:SHELL),KLSE:SHELL,Energy (Primary),392.8,502.9,-155.1,-198.5,-16.8,92.9,
"Drillsearch Energy, Ltd. (ASX:DLS)",ASX:DLS,Energy (Primary),391.2,123.2,137.5,92.2,,341.5,
Pioneer Energy Services Corp. (NYSE:PES),NYSE:PES,Energy (Primary),386.7,455.1,266.3,83,-38.8,495.1,B+
Abraxas Petroleum Corp. (NasdaqCM:AXAS),NasdaqCM:AXAS,Energy (Primary),386.2,78.8,108.9,65.2,-3.5,207.5,NR
Permian Basin Royalty Trust (NYSE:PBT),NYSE:PBT,Energy (Primary),385.9,0,,47.7,,0.723,
Al Maha Petroleum Products Marketing Company SAOG (MSM:MHAS),MSM:MHAS,Energy (Primary),385.4,39,32.6,25.6,-0.4,126.1,
Amerisur Resources PLC (AIM:AMER),AIM:AMER,Energy (Primary),378.7,0,113.6,94.9,,211.9,
Total Energy Services Inc. (TSX:TOT),TSX:TOT,Energy (Primary),378.3,62,86.2,60.6,-5.62,329.9,
