Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Total Debt [Latest Quarter] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Interest Expense [LTM] ($USDmm, Historical rate)","Total Common Equity [Latest Quarter] ($USDmm, Historical rate)",S&P Entity Credit Rating - Issuer Credit Rating - Foreign Currency LT [Latest] (Rating)
"Beijing Haohua Energy Resource Co., Ltd. (SHSE:601101)",SHSE:601101,Energy (Primary),1887.8,598.4,102.9,62.4,-19,1018.3,
Sinopec Kantons Holdings Limited (SEHK:934),SEHK:934,Energy (Primary),1863.2,0,44.9,21.3,,1320.4,
Secure Energy Services Inc. (TSX:SES),TSX:SES,Energy (Primary),1856.2,362.6,170.1,85.2,-7.94,658.2,
PT Bukit Asam (Persero) Tbk (JKSE:PTBA),JKSE:PTBA,Energy (Primary),1854,182.1,204.9,186.5,-3.93,690.6,
United Energy Group Limited (SEHK:467),SEHK:467,Energy (Primary),1837.3,655.9,529.3,305.3,-29.6,1261.1,
"Forum Energy Technologies, Inc. (NYSE:FET)",NYSE:FET,Energy (Primary),1835.6,428.9,313.2,248.1,-29.8,1395.4,BB
"Shaanxi Heimao Coking Co., Ltd. (SHSE:601015)",SHSE:601015,Energy (Primary),1819.7,428.1,155,76.7,-45.5,338.9,
Holly Energy Partners L.P (NYSE:HEP),NYSE:HEP,Energy (Primary),1804.9,868.6,216.9,156.7,-36.1,468.8,BB
WorleyParsons Limited (ASX:WOR),ASX:WOR,Energy (Primary),1803,1004.7,403.3,356,-49.8,1831.9,
Pengrowth Energy Corporation (TSX:PGF),TSX:PGF,Energy (Primary),1779.4,1614.7,938.5,426.6,-64.4,2527.3,
Kingdream Public Limited Company (SZSE:000852),SZSE:000852,Energy (Primary),1778.6,23.4,25.9,10.5,,184.9,
Sunoco LP (NYSE:SUN),NYSE:SUN,Energy (Primary),1770.9,870.5,104.1,77.1,-14.5,1142.4,BB
"Rose Rock Midstream, L.P. (NYSE:RRMS)",NYSE:RRMS,Energy (Primary),1761.8,432.1,61.7,29.6,-20.5,240.9,B+
Saras S.p.A. (BIT:SRS),BIT:SRS,Energy (Primary),1759.6,1000.7,-344.3,-591.6,-464.7,798.6,
DNO ASA (OB:DNO),OB:DNO,Energy (Primary),1727.2,214.7,257.5,53.1,-23,532.8,NR
Parkland Fuel Corporation (TSX:PKI),TSX:PKI,Energy (Primary),1700.4,420.7,140.3,75.5,-22.6,492.1,BB-
Bumi Armada Berhad (KLSE:ARMADA),KLSE:ARMADA,Energy (Primary),1678.1,1823.2,226.5,90.3,-29.1,1912,
"Helix Energy Solutions Group, Inc. (NYSE:HLX)",NYSE:HLX,Energy (Primary),1663.8,551.9,345.5,251.5,-22.6,1653.5,NR
Mullen Group Ltd. (TSX:MTL),TSX:MTL,Energy (Primary),1625.3,608.8,245.9,172.3,-24.6,778,
Nostrum Oil & Gas Plc (LSE:NOG),LSE:NOG,Energy (Primary),1609.1,945.1,510.8,398.8,-60.8,917.7,
GasLog Ltd. (NYSE:GLOG),NYSE:GLOG,Energy (Primary),1585,1947.2,216.1,145.4,-93.4,929.4,
"Anyuan Coal Industry Group Co., Ltd. (SHSE:600397)",SHSE:600397,Energy (Primary),1576.6,625.1,96.6,65.1,-34.1,560.7,
"Anhui Hengyuan Coal-Electricity Group Co., Ltd. (SHSE:600971)",SHSE:600971,Energy (Primary),1574.8,290.6,142.8,20.3,-19.2,1166.1,
Aker Solutions (OB:AKSO),OB:AKSO,Energy (Primary),1562.3,524.4,347.3,278.4,-25,758.8,
Paz Oil Company Ltd. (TASE:PZOL),TASE:PZOL,Energy (Primary),1550.1,1053.3,270.8,167.3,-33.1,772.5,
Ophir Energy Plc (LSE:OPHR),LSE:OPHR,Energy (Primary),1539.9,0,-44.7,-356.5,-3.4,1698.3,
"Rosetta Resources, Inc. (NasdaqGS:ROSE)",NasdaqGS:ROSE,Energy (Primary),1539.8,2000,998.7,581.9,-75.3,1669.1,BB-
"C&J Energy Services, Ltd. (NYSE:CJES)",NYSE:CJES,Energy (Primary),1532.6,353.7,231.9,123.7,-9.84,781.9,BB-
Z Energy Limited (NZSE:ZEL),NZSE:ZEL,Energy (Primary),1525.8,335.1,131.7,98.2,-25.7,431.7,
Scorpio Tankers Inc. (NYSE:STNG),NYSE:STNG,Energy (Primary),1515.4,1571.7,64.9,26.5,-20.4,1162.8,
Pason Systems Inc. (TSX:PSI),TSX:PSI,Energy (Primary),1509.8,0,204.3,156.3,,417.5,
"Shanghai Datun Energy Resources Co., Ltd. (SHSE:600508)",SHSE:600508,Energy (Primary),1509,392.9,124.8,15.9,-10,1285.1,
New Hope Corporation Limited (ASX:NHC),ASX:NHC,Energy (Primary),1505.3,0,98.8,49.7,,1460.8,
KazTransOil JSC (KAS:KZTO),KAS:KZTO,Energy (Primary),1492.8,0,586.4,397.7,,2510,BB+
Unit Corporation (NYSE:UNT),NYSE:UNT,Energy (Primary),1492.5,838,717.7,308.1,-17.4,2332.4,BB-
Grupa LOTOS Spólka Akcyjna (WSE:LTS),WSE:LTS,Energy (Primary),1487.4,1902.2,175.6,-225.2,-49.6,2331,
Raging River Exploration Inc. (TSX:RRX),TSX:RRX,Energy (Primary),1486.4,41.7,213.2,133.8,-3.19,429.1,
"NuStar GP Holdings, LLC (NYSE:NSH)",NYSE:NSH,Energy (Primary),1483.9,26,,62,-0.885,310.8,
Viper Energy Partners LP (NasdaqGS:VNOM),NasdaqGS:VNOM,Energy (Primary),1483.4,0,68,40.4,-11.2,535.4,
PT Indo Tambangraya Megah Tbk (JKSE:ITMG),JKSE:ITMG,Energy (Primary),1474.7,0,298.8,235.9,-0.898,898.6,
Memorial Production Partners LP (NasdaqGS:MEMP),NasdaqGS:MEMP,Energy (Primary),1472,1595.4,368.5,207.4,-83.6,1068.8,B+
Peabody Energy Corp. (NYSE:BTU),NYSE:BTU,Energy (Primary),1467.6,5986.8,782.8,127.1,-428.2,2724.8,BB-
Cairn Energy plc (LSE:CNE),LSE:CNE,Energy (Primary),1440.3,0,-319,-367,-0.3,2663.1,
Bangchak Petroleum Public Co. Ltd. (SET:BCP),SET:BCP,Energy (Primary),1436.3,949.1,118.3,19.4,-40.9,1012.2,
