Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
B,0.0154,0,18,24.78
B,0.1024,0.2185,8600,229.74
B,-0.2029,0.7302,0,31.75
B,0.0857,0.2928,639.8,158.92
B,0.1716,0.384,10947,110.13
B,0.409,0.129,11561,147.52
B ,0.0978,0.6758391308568724,517.4,27.45
B,0.5485,0.3833,770,116.29
B,4.38%%,0.2348,149.98714522,131.21
B,0.038480000000000014,0.523,1599860,15728
B,0.2105,0.032,0,19.6
B,0.0413,0.2541,14.61,35.28
B,0.2886,0.1627,3574,129.17
B,0.1159,0,0,17.94
B,0.181,0.1343,0,30.29
B,0.3267,0.13,99.55,67.91
B,0.2527,0.4505,1570.4,30.3
B,-0.0082,0.4813,186,36.9
B,0.0582,0.2887,288.17,82.15
B,-1.7484,0.2342,374.08,81.1
B,0.348,0.108,14224,113.96
B,0.227,0.1916,193.704,528.78
B,0.1778,0.1766,0,526.55
B,0.2287,0.263,158,112.85
B,0.2513,0.0641,0,75.9
B,0.07210000000000001,0.3114,1092.8,124.57
B,0.3134,0.167,1021.67,48.96
B,0.085,0.089,9882,59.86
B,0.37,0.16,0,101.02
B,0.0847,0.055,0,73.58
B,0.08,0.2973,686,30.47
B,1.2815,0.2748,504.46,30
B,0.1424,0.348,812.4,48.54
B,0.0653,0.0212,0,36.81
B,0.154,0.0715,0,70.4
B,-0.0943,0.4467,22807,10676.88
B,-1.07,0.081,4007.56,71.71
B,0.0172,0.4181,39.2,34.67
B,0.1522,0.23,0,39.9
B,-0.041800000000000004,0,17.8,23.94
B,0.2116,0.445,59.648,68.76
B,-0.017400000000000006,0.517,444.84,38.03
B,-4.28,0.2209,0,13.46
B,-0.0888,0.21,64072000000,4349
B,0.055,0.72,35.24,1.27
R,0.0984,0.2798,499,49.44
R,0.026,0.5381,0,15.69
B,0.1129,0.0057,0,180.39
B,-0.1128,0.2181,11,18.65
B,0.1098,0.1893,1021,646.6
B,0.14179999999999998,0.3463,357,28.2
B,0.114,0.17,12.86,14.16
B,0.1726,0.199,8575,30.14
R,0.1341,0.1407,141.96,16.4
B,0.1145,0.6726,0,27.94
B,0.3582,0.517,219.7,34.48
B,0.598,0.609,2490,175.1
B,0.0442,0.1322,0,57.58
B,0.2399,0.311,71.4,25.44
B,0.1515,0.1261,11.97,47.19
