Company,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,Approach ,ROE - COE,Current Debt ratio,Dividends,Value/share
3Com,B,-0.0042,0.0089,0,17.58
3COM,B,0.1767,0.0068,0,16.01
3Com,B,0.0068,0.0032,156.4,53.43
Abercrombie & Fitch,B,0.7,0.2245,0,43.89
Activision,B,-0.0182,0.1933,0,14.69
ADC Telecom,B,0.0209,0.0094,-31.77,16.34
Aether,R ,-0.3956,0.00012,0,43.32
Air Express,B,0.0219,0.045,11.89,18.95
Airborne Freight Company,B,-0.075,0.39,7.78,11.84
Airnet Systems,B,-0.0808,0.38,0,2.35
Alcatel,B,-0.0677,0.1238,244,219.25
ALLTEL,B,0.1047,0.1657,246.45,46.81
American Home Products,B,0.142,0.0805,1161.3,15.69
Amgen,B,0.2704,0.0041,534,22.8
Amgen,R,0.2438,0.004,0,56.75
Ann Taylor,B,-0.0739,0.451,24.45,28.37
AOL,B,0.1581,0.0149,0.32,59.58
Apple,B,0.0571,0.0287,29.4,91.49
Apple,B,-0.0776,0.0141,-96.37,3.95
Apple,B,0.0462,0.0228,29.4,34.8
AT&T,B,-0.07571728389778429,0.1745,3297,36.3
AT&T,R,-0.0544,0.1745,3864.8,78.05
AT&T,B,-0.0975,0.1813,4270,72.13
AT&T,B,-0.0497,0.1531,2217,53.11
AT&T ,B,-0.028,0.155,2767.9,43.47
Atlas,B,-0.0106,0.6126,1.5,23.33
Atlas Air Company,B,0.0297,0.66,0,82.09
Aware,B,-0.0874,0,0,34.33
Baxter,B,0.1502,0.12,338,17.56
Baxter,B,0.1502,0.12,338,17.56
Becton Dickinson,R,0.0579,0.1741,146.09,29.42
Becton Dickinson,B,0.0228,0.1653,188.26,23.97
Becton Dickinson,B,0.0228,0.1653,188.26,23.97
Bell Atlantic,B,0.1526860607261587,0.2234,1771,51.03
Bell Atlantic,R,0.1696,0.2016,2671.2,46.85
Bell Atlantic,B,0.1798,0.1841,2399,51.24
Bell Atlantic,B,0.1714,0.1893,2399,39.76
BellSouth,B,0.0806030435936934,0.178373326689617,2298.6,14.172964298511
Ben & Jerry's,B,0.000766863544358468,0.118655051715171,1.129,18.5699890342598
Bluefly,B,-1.414,0.0714,0,11.75
Brinker International Inc.,B,0.0145,0.2561,43.146,33.671268536331326
Bristol Meyers Squibb,B,0.3812,0.023,2475,27.21
Bristol MS,B,0.1646,0.025,3126,36.07
Bristol-Myer Squibb,B,0.297,0.0222,2414.6,23.9
Broadcom,B,0.0817,0.003,0,53.12
Broadcom,R ,0.0832,0.0012,0,40.5
Broadcom,B,0.0446,0.002,0,23.34
Campbell Soup,B,3.16601735467816,0.211690658818067,684.68,61.2
Cardinal Health,B,0.072,0.1413,44.34,32.28
Carter Wallace,B,-0.0111,0.0789,33.4,2.69
CBS,B,-0.000748,0.0878,0,51.63
CBS,B,-0.000748,0.0878,0,51.63
Charles Schwab,B,0.1691,0.1108,97,5.44
Check Point,B,0.5569,0.001,0,108.7
Ciena,B,-0.135,0.0051,0,75.72
Cisco,B,0.0778,0.0018,0,65.73
Cisco,B,0.0847,0.0015,51.8,55.11
Cisco,B,0.17,0.0016,0,46.19
Cisco,B,0.0786,0.0021,-740,36.88
Cisco,B,0.097,0.002,0,39
Cisco,B,0.097,0.002,0,39
Cisco,B,0.1032,0,101.9,28.5
Cisco,B,0.1636,0.0015,0,28.51
Cisco,B,0.1413,0,103.7,20.7
Cisco,B,0.1256,0,103.7,14.44
Cisco,B,0.2291,0.0049,242.09,12.33
Cisco,B,0.1476,0.18,51.75,34.97
Cisco,B,0.042149435366255594,0,0,75.85
Cisco,R,0.1633,0.0017,0,7.548791199410163
CNF Transport,B,0.0996,0.42,19.31,89.43
Comcast,B,0.0073,0.1105,36,19.18
Comcast,B,0.0145,0.1105,36,19.18
Compaq,B,-0.0953,0.0291,211.6,16.1
Compaq,B,-0.093,0.0305,203,27.49
Computer Associates,B,0.1683,0.0775,391.68,64.78
Computer Horizons,B,-0.0945,0.1551,,
Copper,B,0.0027,0.0042,0,22.34
Covad,B,,0.0953,0,30.65
Cytec,B,0.15100000000000002,0.25855774224673966,124.66499999999998,50.21326208035974
Deckers Outdoor Corporation,B,-0.0526,0.259,2372,3.8
Dell,B,0.4933,0.0057,607.2,41.85
Dell,B,0.6763,0.0056,391,47.22
Dell,R,0.4479,0.0021,0,32.49
Dell ,R,0.275,0.0034,308.6,51.96
Dick Clark Productions,R ,-0.0256,0,0,15.56
Donna Karan,B,-0.1441,0.3432,0,3.8
Dow,B,0.05789999999999999,0.2516,771,103.31
Dow Jones,B,0.363,0.057,157,23.11
DuPont,B,0.0966,0.16,1106,47.29
E*Trade,,-0.3269,0.018,0,32.4
Eagle USA,B,0.1088,0.0373,3.71,20.19
Eli Lilly,B,0.4513,0.0427,1182.24,26.57
Eli Lilly,R,0.3675,0.042,796.54,81
EMC,B,0.1422,0.0073,3.13,24.4
EMC,B,0.1304,0.0045,0,9.09
Ericsson,B,0.0591,0.0354,1843,219.2
Ericsson,B,0.07189999999999999,0.03,450.74,21.8
Ericsson A,B,0.04296689249604485,0.044708696834981826,2808,318.71
Excite@Home,B,-0.26209,0.048445,0,0.7
Exodus,B,-0.3099,0.0951,0,166.31
Faulding,B,-0.0294,0.2453,24.07,6.62
Federal Express Corp.,B,-0.0063,0.47,0,25.53
Federated,B,-0.0344,0.4638,86.6,38.05
FedEx,B,0.0138,0.4557,8.6,48.64
Friedmans,B,-0.0711,0.49,0.36,17.12
Gannett,B,0.1578,0.067,347.2,78.23
