Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months) - Signs indicate cash flow effects,Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Day Close Price [Latest] ($USD, Historical rate)",Corporations - % Owned [Latest] (%),5 Year Beta [Latest],Total Options Out. at the End of Year [Latest Annual] (mm),Expected EBITDA in next 4  quarters,"EBIT, 10 Yr CAGR % [LTM] (%)","EBITDA [LTM] ($USDmm, Historical rate)","Net Property, Plant & Equipment [Latest Quarter] ($USDmm, Historical rate)","Total Minority Interest [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Expense [LTM - 1] ($USDmm, Historical rate)","Basic EPS Excl. Extra Items [LTM] ($USD, Historical rate)","Operating Lease Commitment Due +5 [Latest Annual] ($USDmm, Historical rate)","Pref. Dividends Paid [LTM] ($USDmm, Historical rate)","EBITDA [Latest Annual] ($USDmm, Historical rate)",Corporate Governance - Board Member Term Length (Years)
Fresenius Medical Care AG & Co. KGAA (DB:FME),1996,81.76,0.3096,0.111,8.74,3578.2,0.0755,3195.9,3734.6,1574,151.1,3.84,361.6,0,3012.6,5
Fresenius SE & Co KGaA (DB:FRE),1912,72.09,0,0.293,10.6,6741.4,0.121,5904.6,8688.8,8531.9,522,3.11,405.1,0,5376.1,5
Fuji Heavy Industries Ltd. (TSE:7270),1917,37.15,0.19920000000000002,0.839,0,5386.2,0.235,5560.6,5968.1,60,996.9,5.17,0,0,5942.5,NA
General Dynamics Corporation (NYSE:GD),1899,149.81,0.009250000000000001,0.752,12.2,4830.8,0.0525,4692,3445,0,395,9.82,90,0,4660,1
General Electric Company (NYSE:GE),1892,28.44,0.0012,1.15,467.9,20448.8,-0.0883,16544,51453,8788,5278,0.893,565,0,16264,1
"General Mills, Inc. (NYSE:GIS)",1928,60.65,0,0.439,32.4,3722,0.0334,3340.5,3655.3,1189.5,222.1,2.81,39.6,0,3378.1,1
General Motors Company (NYSE:GM),1897,31.16,0.0327,1.67,0,18032.8,NA,18663,34713,497,7500,8.95,137,0,13690,1
Gilead Sciences Inc. (NasdaqGS:GILD),1987,72.43,0,1.11,27.4,19908.7,0.293,20904,2714,530,4135,11,31,0,23291,1
GlaxoSmithKline plc (LSE:GSK),1935,19.14,0.00526,0.356,30.8,12321.2,-0.0209,9764.8,14285.8,5901.5,4764.7,0.081,78.2,0,9368.8,1
H & M Hennes & Mauritz AB (publ) (OM:HM B),1947,28.2,0.3629,0.792,0,3847.5,0.051699999999999996,3582.3,4126.3,0,0,1.29,1194.7,0,3809.3,1
"HCA Holdings, Inc. (NYSE:HCA)",1968,75.33,0,0.896,12.2,8486.6,0.09119999999999999,8091,15875,1482,0,6.52,149,0,7869,1
Heineken NV (ENXTAM:HEIA),1864,81.03,0.6323,0.586,0,5549.5,0.07,4967.5,9852.9,1113.9,0,2.6,112.7,0,4666.8,4
Henkel AG & Co. KGaA (DB:HEN3),1876,125.68,0.3651,0.54,0,4103.1,0.0951,3728.1,2946.3,154.8,538.7,5.16,37.7,0,3530.8,5
Hermès International Société en commandite par actions (ENXTPA:RMS),1837,406.84,0.7437,0.427,0.827,2196.1,0.152,2047.6,1440.4,8.24,0,11,86,0,1896.3,3
Hewlett Packard Enterprise Company (NYSE:HPE),NA,22.04,0,NA,0,8516.2,NA,7443,6348,408,2463,2.44,222,0,7671,1
"Hitachi, Ltd. (TSE:6501)",1910,5.19,3e-05,1.21,0,9934.7,0.11599999999999999,10710.8,22341.5,11479.5,3249.4,0.477,222,0,10184.9,1
"Hon Hai Precision Industry Co., Ltd. (TSEC:2317)",1974,2.61,0,0.601,0,7260.7,0.08900000000000001,6729.8,9834.8,1709.5,1624.9,0.246,8.39,0,7135.7,3
"Honda Motor Co., Ltd. (TSE:7267)",1946,27.83,0.00637,1.19,0,12308.5,-0.0286,10751.3,64442.2,2127.3,6589.6,2.1,48.2,0,8864.7,1
Honeywell International Inc. (NYSE:HON),1920,108.25,0,1.06,30.6,8378,0.0731,7798,5725,407,2854,6.48,77,0,7711,1
HP Inc. (NYSE:HPQ),1939,14.71,0,1.65,36.3,4017.7,0.0252,9359,1607,408,3486,2.57,237,0,12202,1
"Iberdrola, S.A. (BME:IBE)",1996,6.7,0.00262,0.796,0,8800.1,0.0518,7915.2,68797.8,227.7,222.3,0.455,60.5,0,7580.3,NA
Illinois Tool Works Inc. (NYSE:ITW),1912,114.02,0,1.12,6.4,3712.9,0.0227,3476,1702,4,218,5.51,23,0,3344,1
Imperial Brands PLC (LSE:IMB),1901,47.85,0.0020599999999999998,0.304,1.52,4882.8,0.06570000000000001,4989.2,2583.9,560.1,0,1.7,37.5,0,4805.9,1
Imperial Oil Ltd. (TSX:IMO),1880,32.29,0.696,0.95,0,3012.2,-0.154,1856,NA,0,150.2,0.741,5.77,0,2364,1
Industria de Diseno Textil SA (BME:ITX),1963,34.22,0.1435,0.692,0,6181,0.128,5339.2,7628.4,42.8,0,1.06,631.9,0,5045.4,NA
Infosys Limited (NSEI:INFY),1981,14.55,0,0.077,0,2862.4,0.135,2738,1681,0,0,0.922,0,0,2624,3
Intel Corporation (NasdaqGS:INTC),1968,33.61,0,1.1,54.2,23824.7,0.0692,22790,34707,0,12780,2.19,120,0,23067,1
International Business Machines Corporation (NYSE:IBM),1910,152.43,0.08539999999999999,0.88,0.48,20660.4,0.00488,17539,11104,157,5572,12.3,776,0,20082,1
Intuit Inc. (NasdaqGS:INTU),1983,105.28,0,1.1,8.35,1931.1,0.0818,1458,1031,0,861,3.08,46,0,1458,1
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",1995,671.42,0.005560000000000001,0.72,4.2,1150,0.256,1021.3,447.3,0,199.8,19,1.8,0,838.7,1
Japan Tobacco Inc. (TSE:2914),1898,37.78,0,1.02,1.13,7061.8,NA,7512.4,6283.9,572.7,562.8,2.38,18.7,0,6003.4,NA
Jardine Matheson Holdings Limited (SGX:J36),1832,58.95,0,0.43,2.2,3937.6,0.107,3938,33747,25388,0,5.54,147,0,4078,3
Johnson & Johnson (NYSE:JNJ),1885,115.11,0.00012,0.638,116.5,25664.5,0.0435,23766,NA,0,9295,5.78,74,0,22116,1
Johnson Controls International plc (NYSE:JCI),1885,40.88,0,1.56,14.8,4922,0.056799999999999996,3354,6374,405,1097,0.472,47,0,3086,1
Joint Stock Company NOVATEK (LSE:NVTK),1994,102,0.3383,1.08,0,3512.1,0.225,2860.1,5217.6,21.2,0,11.2,0,0,2219.1,NA
KDDI Corporation (TSE:9433),1953,29.08,0.12140000000000001,0.864,0,14857.4,0.096,14369.8,23749.4,1299.8,175.3,2.16,48.4,0,12111.7,NA
Kellogg Company (NYSE:K),1906,73.67,0,0.491,19,2630.7,-0.0172,2034,3558,10,193,2.01,62,0,2020,3
Kering SA (ENXTPA:KER),1963,216.52,0.4089,0.803,0,2625.2,0.0364,2542.3,2278,753.2,0,6.04,432.7,0,2301.6,4
Kimberly-Clark Corporation (NYSE:KMB),1872,112.35,0,0.42,6.59,4203.3,0.027200000000000002,4010,7198,222,324,5.53,53,0,4133,1
Koninklijke Ahold Delhaize N.V. (ENXTAM:AD),1887,22.19,0,0.308,0,4648.6,0.013999999999999999,2635.2,7145.1,0,0,1.28,734.3,0,2488.7,4
Koninklijke Philips N.V. (ENXTAM:PHIA),1891,29.81,0,0.78,21.3,3974,0.0331,2771.9,2468.4,120.5,1896.8,0.463,88,0,2442.6,4
Korea Electric Power Corp. (KOSE:A015760),1961,41.43,0,0.264,0,18310,0.152,18647,125990.4,1103.6,539.2,19.8,0,0,16366.5,2
"Kweichow Moutai Co., Ltd. (SHSE:600519)",1999,46.61,0.6420999999999999,0.373,0,4092.8,0.252,3585.8,2518.8,325.8,69.2,1.97,0,0,3421.2,NA
L'Oreal SA (ENXTPA:OR),1909,183.65,0.5638000000000001,0.376,5.93,6351.1,0.0553,5854.6,3869.6,2.45,924,5.75,367.5,0,5658,4
Las Vegas Sands Corp. (NYSE:LVS),1988,59.08,0,2.07,6.45,4298.5,0.16899999999999998,3687.8,NA,1494.8,0,2.05,17.7,0,3914.3,3
Linde Aktiengesellschaft (DB:LIN),1879,161.86,0,0.61,1.28,4618.6,0.0917,4351.1,13870.6,972,147.7,7.47,76.6,0,4223.7,5
Lockheed Martin Corporation (NYSE:LMT),1909,236.28,0,0.6,4.2,6702,0.0712,6869,5369,0,839,13.5,64,0,6292,1
"Lowe's Companies, Inc. (NYSE:LOW)",1946,66.25,0,1.11,5.43,8350.2,0.0137,7553,20274,0,0,3.09,415,0,7132,1
LVMH Moët Hennessy Louis Vuitton S.E. (ENXTPA:MC),1923,179.87,0.45289999999999997,0.896,2.82,9919.7,0.0851,8863.3,12530.4,1462.5,115.6,8.18,1248.7,0,8740.7,3
LyondellBasell Industries N.V. (NYSE:LYB),2005,78.45,0.1905,1.51,0.78,6693.1,NA,6077,10057,24,99,9.02,149,0,7126,3
Mastercard Incorporated (NYSE:MA),1966,103.03,0.00453,1.18,8.1,6720.4,0.264,5986,698,31,0,3.63,25,0,5584,1
McDonald's Corp. (NYSE:MCD),1940,111.04,0,0.62,21.9,9647,0.053200000000000004,9181.6,NA,0,0,5.35,895,0,8910.6,1
McKesson Corporation (NYSE:MCK),1833,130.76,0,0.93,4,4715.3,0.114,4330,2300,1495,392,9,168,0,4622,1
Medtronic plc (NYSE:MDT),1949,82.14,0,0.875,53,10107.6,0.0479,8756,4814,0,2224,2.6,33,0,8735,1
"Merck & Co., Inc. (NYSE:MRK)",1891,58.82,0,0.69,64.7,18801.1,0.035699999999999996,15142,NA,92,6885,1.98,69,0,14428,1
Merck KGaA (DB:MRK),1668,101.25,0.7027,0.643,0,4903.7,0.111,4667.9,4418.9,74.4,2101.1,3.54,56.3,0,3887.3,5
Microsoft Corporation (NasdaqGS:MSFT),1975,58.71,0,1.1,0,36701.5,0.015,26961,19224,0,11988,2.11,634,0,27170,1
"Midea Group Co., Ltd. (SZSE:000333)",1968,4,0.3768,1.23,0,3081.1,NA,2588.8,3281.8,1005.1,791.7,0.34,0,0,2383.9,NA
Mitsubishi Electric Corporation (TSE:6503),1921,13.98,0.0014299999999999998,0.884,0,4421,0.0304,4426.8,6938.2,720.1,1972,1.03,61,0,3973.1,NA
"Mitsubishi Estate Co., Ltd. (TSE:8802)",1890,20.09,0.016399999999999998,1.29,0.311,2507.5,0.060899999999999996,2503.1,34896.2,1147.5,0,0.614,0,0,2194.6,NA
"Mondelez International, Inc. (NasdaqGS:MDLZ)",2000,42.61,0.00037,1.02,57,5153.1,-0.0436,4317,8465,84,409,0.534,98,0,4664,1
Monsanto Company (NYSE:MON),2000,98.52,0,1.18,12.9,3896.5,0.0977,3746,5231,15,1513,2.98,47,0,3746,1
Monster Beverage Corporation (NasdaqGS:MNST),1985,135.23,0.2397,0.728,6.59,1334.1,0.21899999999999997,1147.2,144.6,0,0,3.4,0.378,0,1002.5,1
MTR Corporation Limited (SEHK:66),1975,5.49,0,0.631,55,2163.8,0.159,1953.3,15197.5,26.2,0,0.218,112.2,0,2240.2,3
"Murata Manufacturing Co., Ltd. (TSE:6981)",1944,127.67,0,0.954,0,3333.7,0.08070000000000001,3333.1,4660.8,131.9,778.1,8.06,0,0,3333.1,NA
Naspers Limited (JSE:NPN),1915,157,0.00996,0.45,0,465.8,-0.060700000000000004,364,1443,255,0,2.38,15,0,364,3
National Grid plc (LSE:NG.),1990,12.74,0.0397,0.06,0.014,7415.1,0.054299999999999994,7881.3,62457.2,17.8,38.3,0.994,74.9,0,7881.3,1
Nestlé S.A. (SWX:NESN),1866,72.8,0,0.268,0,18185.3,0.0105,17534,26626,1738.6,1773.1,2.87,301.3,0,16874.6,1
"NetEase, Inc. (NasdaqGS:NTES)",1997,243.43,0,1.03,0,2122.9,0.242,1604.3,310.2,25.8,361.1,10.6,0,0,1148.2,1
"Netflix, Inc. (NasdaqGS:NFLX)",1997,122.03,0,1.15,21,947.6,0.183,344.6,191.9,0,763.4,0.381,51.8,0,368.1,3
"NextEra Energy, Inc. (NYSE:NEE)",1984,123.18,0,0.296,2.87,8495.7,0.0758,8085,65617,508,0,5.32,0,0,7876,1
Nidec Corporation (TSE:6594),1973,96.42,0.0375,0.955,0,2112.8,0.08289999999999999,1945.6,3278.2,67.3,515.9,3.16,8.52,0,1684.5,1
"NIKE, Inc. (NYSE:NKE)",1964,49.96,0,0.559,112,5703.8,0.0785,4987,3572,0,0,2.27,301,0,5164,1
Nintendo Co. Ltd. (TSE:7974),1889,236.7,0.0146,0.894,0,786,-0.0916,365.9,833.1,0.802,672.5,191.2,0,0,374,NA
Nippon Telegraph and Telephone Corporation (TSE:9432),1952,44.2,0,0.504,0,30912,0.0271,31187.5,92183,19728.9,2807.4,3.66,94.7,0,28009.9,2
Nissan Motor Co. Ltd. (TSE:7201),1933,9.81,0.4943,0.983,3.02,12772.9,-0.00545,11758.3,47753.1,3388.2,4733.8,1.18,0,0,10887.1,NA
Norfolk Southern Corporation (NYSE:NSC),1883,91.62,0,1.27,6.05,4217.1,0.0175,4014,29467,0,0,5.44,50,0,3943,1
Northrop Grumman Corporation (NYSE:NOC),1939,225.23,0,0.731,0.1,3660.4,0.0252,3511,3334,0,712,11.8,61,0,3543,1
Novartis AG (SWX:NOVN),1895,70.37,0.033,0.239,45.6,14655.4,0.023,15068,16199,73,9473,2.86,104,0,15183,1
Novo Nordisk A/S (CPSE:NOVO B),1925,34.28,0,0.482,0,7827.2,0.185,7750.4,4260.1,0,2083.4,2.23,90.8,0,7201,1
"NTT DOCOMO, Inc. (TSE:9437)",1991,25.03,0.6637000000000001,0.521,0,14290.9,0.0152,14520.9,24191.4,301,811.3,1.65,24.4,0,12674.9,2
NVIDIA Corporation (NasdaqGS:NVDA),1993,67.57,0,1.24,13,1804.6,0.11599999999999999,1369,485,0,1338,1.68,11,0,1145,1
NXP Semiconductors NV (NasdaqGS:NXPI),2006,98.7,0,1.62,12.8,3512.6,0.0358,2340,2366,268,1315,2.04,13,0,1698,1
Oracle Corporation (NYSE:ORCL),1977,38.28,0,1.22,375,17185.5,0.0971,14612,4108,441,6435,2.15,110,0,14753,1
Orange (ENXTPA:ORA),1990,15.35,0,0.432,11.4,14218.3,-0.0663,13101.2,28104.8,2291.3,0,1,657.6,0,12587.6,4
"PayPal Holdings, Inc. (NasdaqGS:PYPL)",1998,40.9,0,NA,6.01,3038.1,NA,2069,1451,0,1130,1.14,32,0,1951,1
"Pepsico, Inc. (NYSE:PEP)",1898,105.81,0,0.486,31.5,13138.4,0.0454,12084,16305,118,754,4.6,190,0,12246,1
Pernod-Ricard SA (ENXTPA:RI),1805,116.3,0.2078,0.639,2.95,2897.6,0.0663,2755.3,2429.9,186,0,5.2,51.6,0,2755.3,4
PetroChina Co. Ltd. (SEHK:857),1988,0.683,0.8651000000000001,1.23,0,42314.6,-0.145,40285.8,257859,22299.7,1587,0.006,1171.5,0,41421.3,3
Pfizer Inc. (NYSE:PFE),1849,30,0,0.863,232.6,20613.2,-0.009729999999999999,19750,NA,278,7708,1.01,119,0,18754,1
PG&E Corporation (NYSE:PCG),1905,59.83,0,0.238,0,6541.4,-0.0467,4066,NA,252,0,1.68,38,0,4071,1
"Philip Morris International, Inc. (NYSE:PM)",1987,95.49,0,0.962,0,12742,NA,10913,6133,1356,423,4.18,42,0,11445,1
Phillips 66 (NYSE:PSX),1875,78.6,0.1549,1.43,5.43,5604.5,NA,3098,20447,838,65,3.84,171,0,5605,3
Praxair Inc. (NYSE:PX),1907,114.5,0,0.937,11.3,3609.4,0.049100000000000005,3437,11635,549,93,5.31,51,0,3568,1
"Prologis, Inc. (NYSE:PLD)",1991,49.34,0,1.32,4.4,1892.3,0.006979999999999999,1786.4,23932,3553.4,0,1.68,24.1,0,1444.5,1
PT Hanjaya Mandala Sampoerna Tbk (JKSE:HMSP),1913,0.299,0.925,0.03,0,1350,0.124,1203.1,502.4,0,3.72,0.008,8.6,0,1066.9,NA
PT Telekomunikasi Indonesia Tbk (JKSE:TLKM),1884,0.315,0,-0.043,0,4981,0.061900000000000004,4483,8397.7,1114.9,0,0.014,348.3,0,3784.4,5
PT Unilever Indonesia Tbk (JKSE:UNVR),1933,3.34,0.8499,-0.266,0,769,0.14400000000000002,707.9,697.8,0,48.1,0.064,6.24,0,610.7,NA
PTT Public Company Limited (SET:PTT),1978,9.64,0,0.804,0,8681.9,-0.0265,8142.8,32012.8,11795.5,0,0.21,40.4,0,8269,NA
Public Joint Stock Company Gazprom (MISX:GAZP),1993,2.19,0.12240000000000001,0.645,0,23987.1,0.0546,25969.1,174379,5564,480.6,0.489,0,0,25712.6,NA
Public Joint Stock Company Oil Company LUKOIL (MISX:LKOH),1993,46.82,0.0252,0.35,0,13011.1,-0.0732,12163,51565.7,180,19.8,5.02,162,0,11315.3,NA
Public Joint Stock Company Rosneft Oil Company (LSE:ROSN),1993,5.23,0.8925,1.25,0,19707.9,0.042300000000000004,16434.1,92875.9,198,0,0.396,246.9,0,15798.7,NA
Public Storage (NYSE:PSA),1971,205.44,0,0.623,1.94,1922.7,0.106,1847,8780.7,26.5,0,6.56,2.4,0,1726.4,1
QUALCOMM Incorporated (NasdaqGS:QCOM),1985,66.73,0,1.27,18,9564.4,0.0965,8240,2306,-7,5279,3.84,33,0,8240,1
Raytheon Company (NYSE:RTN),1922,132.97,0,0.632,0,3695.7,0.06860000000000001,3676,2053,544,758,7.45,102,0,3283,1
Reckitt Benckiser Group plc (LSE:RB.),1823,87.41,0.00155,0.297,18.1,3844.6,0.11199999999999999,3520.4,1088.8,3.15,201.6,2.93,35,0,3719.2,1
"Regeneron Pharmaceuticals, Inc. (NasdaqGS:REGN)",1988,341.39,0.2182,1.31,23.2,1749.9,15,1312.8,1872.2,0,1917.2,7.64,11.4,0,1326.8,3
Reliance Industries Limited (NSEI:RELIANCE),1973,15.07,0.4472,0.743,0,7762.1,NA,7160.6,54765,466.5,0,1.35,0,0,6606.3,NA
RELX NV (ENXTAM:REN),1903,16.32,0.032400000000000005,0.463,17.2,3336.9,0.0538,2484.7,307.1,50.3,0,0.702,107.7,0,2617.6,1
RELX PLC (LSE:REL),1894,17.32,0.00028000000000000003,0.408,17.2,3134.1,0.0538,2484.7,307.1,50.3,0,0.713,107.7,0,2617.6,1
Reynolds American Inc. (NYSE:RAI),2004,54.46,0.4218,0.4,0,6285.3,0.09480000000000001,5612,1310,0,107,3.85,2,0,4228,3
Rio Tinto Limited (ASX:RIO),1959,40.91,0,1.04,1.32,11611.6,-0.12,8450,60967,7986,104,0.023,221.5,0,10421,3
Rio Tinto plc (LSE:RIO),1873,34.16,0.10210000000000001,1.16,1.32,11746.7,-0.12,8450,60967,7986,104,0.023,221.5,0,10421,1
Roche Holding AG (SWX:ROG),1896,227.28,0.0626,0.349,36.6,22100.3,0.04190000000000001,20183.5,19574.5,2255.5,10415.6,10.9,143.1,0,19065.9,1
Safran SA (ENXTPA:SAF),1924,66.81,0.0329,0.456,0,3719.1,NA,4370,3498.3,282.9,1900.2,4.22,60,0,4071.7,4
SAIC Motor Corporation Limited (SHSE:600104),NA,3.43,0.8161,0.791,0,4259.8,0.6459999999999999,3600.1,8512.2,5638.2,1322.8,0.43,0,0,3408.6,NA
"salesforce.com, inc. (NYSE:CRM)",1999,74.37,0,1.58,26.3,1739.2,0.32,559.6,1728.2,0,1038.7,0.324,189.4,0,465.8,1
Samsung Electronics Co. Ltd. (KOSE:A005930),1938,1423.63,0.1333,0.828,0,48236,0.061500000000000006,42089.1,76264.2,5349.6,12687.8,67.4,0,0,39716.8,3
Sands China Ltd. (SEHK:1928),2009,4.39,0.701,1.8,25.5,2369.3,NA,1919,7878.1,0,0,0.158,0.108,0,2068.9,3
Sanofi (ENXTPA:SAN),1973,79.6,0.09449999999999999,0.557,15.9,12313.5,0.0329,12218.9,NA,174.1,5764.9,3.65,142.8,0,11534.1,4
SAP SE (DB:SAP),1972,85.74,0.161,0.874,29.1,8743.7,0.0737,6489.1,2667.3,31.2,3188.4,3.19,133.6,0,6206.9,5
Saudi Basic Industries Corporation (SASE:2010),1976,22.46,0,0.652,0,11343.5,-0.0128,10847.9,45686.2,13090.2,602.2,1.46,0,0,11784.8,NA
Saudi Telecom Company (SASE:7010),1998,16.13,0,0.263,0,5170.9,-0.0253,4888.1,10965.5,349.3,0,1.1,75.7,0,5140.4,NA
Schneider Electric SE (ENXTPA:SU),1836,65.92,0,0.978,1.98,4547.8,0.051699999999999996,4181.2,2913,520.2,1069.4,2.95,76.3,0,4139,4
Sempra Energy (NYSE:SRE),1998,102.1,0,0.496,0.528,3126,-0.025699999999999997,2828,31487,771,0,5.45,50,0,3160,1
"Seven & i Holdings Co., Ltd. (TSE:3382)",2005,41.72,0.0964,0.433,0.8,5702.5,0.17600000000000002,5978.7,18330.2,1077.7,0,1.2,0,0,5058.2,NA
"Shin-Etsu Chemical Co., Ltd. (TSE:4063)",1926,75.77,0,0.912,0.782,3314.7,0.00262,3100.8,7317.2,445.7,517.7,3.7,0,0,2750,NA
Shire plc (LSE:SHP),1986,55.45,0,0.763,7.8,5983.3,0.264,4374.3,6527.7,0,977,0.594,29.4,0,2854.5,1
Siemens Aktiengesellschaft (DB:SIE),1847,112.72,0.013500000000000002,0.806,0,12418.7,0.0705,10451.4,11054.5,648.4,5190.7,6.94,463.7,0,9039.7,4
Simon Property Group Inc. (NYSE:SPG),1960,180.28,0.00048,0.758,0,4298.9,0.07919999999999999,4019.2,24531.4,783.6,0,5.88,24.6,0,3904.2,1
Singapore Telecommunications Limited (SGX:Z74),NA,2.78,0,0.485,0,3760.8,0.0173,3719.3,8056.6,25.6,0,0.18,226.9,0,3729.1,3
SK Hynix Inc. (KOSE:A000660),1983,36.05,0.2069,NA,0,7664,0.0649,6287.6,16266,-0.053,1469,2.83,0,0,7737.6,3
SoftBank Group Corp. (TSE:9984),1981,60.5,0.0285,1.03,0.69,24694.4,0.226,22800.8,38049.8,7358.9,78.9,3.8,2773.5,0,20838.2,2
Sony Corporation (TSE:6758),1946,30.8,0,1.7,15.8,7866.5,0.0155,6098.9,7513.4,5254.4,5632,0.452,179.1,0,5954.4,1
Southern Company (NYSE:SO),1945,50.11,0,0.113,35.8,7720.6,0.0393,7254,NA,1418,0,2.7,299,0,6677,1
Spectra Energy Corp. (NYSE:SE),2006,40.03,0,0.719,0.958,3151.8,NA,2413,25337,2973,0,0.459,31,0,2544,1
Starbucks Corporation (NasdaqGS:SBUX),1985,52.75,0,0.829,0,5764.8,0.17,4883.8,4533.8,1.8,0,1.9,0,0,4883.8,1
Stryker Corporation (NYSE:SYK),1941,117.15,0,0.728,14.9,3383.4,0.08650000000000001,2968,1505,0,661,4.44,20,0,2667,1
Sun Hung Kai Properties Limited (SEHK:16),1972,14.88,0.4307,1.15,3.88,3939.7,0.0908,3872.7,3280.1,747.1,0,1.46,45.5,0,3872.7,3
Syngenta AG (SWX:SYNN),1999,396.52,0,0.59,1.5,2822.3,0.0639,2506,3389,19,1346.5,12.9,11,0,2740,1
Sysco Corporation (NYSE:SYY),1969,48.04,0,0.498,21.2,2989,0.03,2630.1,3880.4,41.3,0,1.66,23,0,2630.1,1
"T-Mobile US, Inc. (NasdaqGS:TMUS)",1994,49.35,0.6496,0.321,1.82,10841.1,0.0301,8919,20574,0,0,1.6,1679,-55,6966,1
Taiwan Semiconductor Manufacturing Company Limited (TSEC:2330),1987,5.87,0,0.371,0,20891.2,0.0998,18224.5,29841.3,1.09,2005.4,0.373,27.6,0,16455.5,3
Takeda Pharmaceutical Company Limited (TSE:4502),1781,44.22,0.00035000000000000005,0.772,4.26,3187.4,-0.12300000000000001,2838.9,5307.2,525.1,3325.2,1.89,44.6,0,2997.4,NA
Target Corp. (NYSE:TGT),1902,66.53,0,0.678,10.5,7166.4,0.011200000000000002,7337,24934,0,0,5.2,157,0,7350,1
Tata Consultancy Services Limited (NSEI:TCS),1968,34.92,0.7328,0.077,0,5021,0.218,4730.2,1743.9,69.5,165.6,1.93,81.8,-4.31,4615.2,3
"Telefónica, S.A. (BME:TEF)",1924,9.86,5e-05,1.27,0,18150.6,-0.0562,13659.9,38834.4,10599.9,1123.9,-0.162,1064.9,0,13798.5,NA
Telstra Corporation Limited (ASX:TLS),1901,3.76,0.0066300000000000005,0.215,0,8358.6,-0.0018,7106.9,15332.1,313.2,673.6,0.229,224.6,0,7106.9,3
Tencent Holdings Limited (SEHK:700),1998,25.79,0.33630000000000004,1.1,30.7,10901.3,0.502,8077.8,2337.1,422.9,1447.9,0.556,161.3,0,6613.9,3
Teva Pharmaceutical Industries Limited (NYSE:TEVA),1901,40.24,0.1097,0.747,25.2,8349.3,0.11199999999999999,6320,6693,47,1561,1.52,39,-126,6445,3
Texas Instruments Inc. (NasdaqGS:TXN),1930,67.6,0,1.31,56.8,5914.6,0.031200000000000002,5523,2545,0,1293,3.19,19,0,5300,1
The Boeing Company (NYSE:BA),1916,139.54,0,1.03,12.9,10474.6,0.0641,7619,12713,46,4806,6.62,138.5,0,9003,1
The Coca-Cola Company (NYSE:KO),1886,41.69,0.09269999999999999,0.593,266,11438,0.0429,11692,11172,218,0,1.67,86,0,12210,1
The Dow Chemical Company (NYSE:DOW),1897,53.13,0.0647,1.4,41.5,10056.1,0.0242,8936,23311,941,1546,6.76,215,-340,8613,1
The Estée Lauder Companies Inc. (NYSE:EL),1946,79.02,0,0.899,14,2321.7,0.0935,2150.5,1569,11.6,191.3,2.98,178.1,0,2166.5,3
"The Home Depot, Inc. (NYSE:HD)",1978,120.91,0,0.978,9.47,15960.6,0.026600000000000002,14566,21975,0,0,5.94,543,0,13567,1
The Kraft Heinz Company (NasdaqGS:KHC),2013,84.05,0.26739999999999997,NA,24.2,8492.4,NA,9549,6490,228,105,2.28,68,0,4856,1
The Kroger Co. (NYSE:KR),1883,30.92,0,0.708,34.9,5929.4,0.0545,5873,20687,-22,0,2.14,674,0,5762,1
The Priceline Group Inc. (NasdaqGS:PCLN),1997,1424.28,0,1.61,0.089,4561.3,0.565,3713.7,320.5,0,0,53.3,53,0,3509,1
The Procter & Gamble Company (NYSE:PG),1837,85.08,0.00012,0.519,230.4,17749.9,-0.00255,17517,19310,667,1879,3.63,154,0,17439,1
"The TJX Companies, Inc. (NYSE:TJX)",1956,71.92,0,0.651,28.7,4594.9,0.127,4435,4263.4,0,0,3.5,845.9,0,4321.4,1
The Walt Disney Company (NYSE:DIS),1923,92.45,0,1.25,29,17484.1,0.122,17151,26865,3988,0,5.6,239,0,15643,1
"Thermo Fisher Scientific, Inc. (NYSE:TMO)",1956,146.57,0,0.974,9.6,5056.7,0.19699999999999998,4383.6,2599.3,0,710.8,5.05,50.7,0,4154.4,1
Time Warner Inc. (NYSE:TWX),1985,86.42,1e-05,1.22,27.7,8725.6,-0.00202,8170,2482,29,0,5.64,82,0,7895,1
TOTAL S.A. (ENXTPA:FP),1924,46.86,0.0252,0.709,9.32,25147.9,-0.132,19206,113433,3068,1068,1.69,442,0,22689,3
Toyota Motor Corporation (TSE:7203),1933,55.28,0.10710000000000001,0.846,2.09,26849.3,0.0327,42522,90565.8,7072.4,9395.4,6.98,43.6,0,39870.1,1
"Twenty-First Century Fox, Inc. (NasdaqGS:FOXA)",1922,26.94,0.00482,1.33,0,7229.3,0.0461,6691,1669,1590,0,1.53,208.5,0,6430,1
"Tyson Foods, Inc. (NYSE:TSN)",1935,67.18,0.19039999999999999,0.244,14.7,3730.6,0.32899999999999996,3710,5157,16,75,4.17,39,0,3098,1
