Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months) - Signs indicate cash flow effects,Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Day Close Price [Latest] ($USD, Historical rate)",Corporations - % Owned [Latest] (%),5 Year Beta [Latest],Total Options Out. at the End of Year [Latest Annual] (mm),Expected EBITDA in next 4  quarters,"EBIT, 10 Yr CAGR % [LTM] (%)","EBITDA [LTM] ($USDmm, Historical rate)","Net Property, Plant & Equipment [Latest Quarter] ($USDmm, Historical rate)","Total Minority Interest [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Expense [LTM - 1] ($USDmm, Historical rate)","Basic EPS Excl. Extra Items [LTM] ($USD, Historical rate)","Operating Lease Commitment Due +5 [Latest Annual] ($USDmm, Historical rate)","Pref. Dividends Paid [LTM] ($USDmm, Historical rate)","EBITDA [Latest Annual] ($USDmm, Historical rate)",Corporate Governance - Board Member Term Length (Years)
Atlas Copco AB (OM:ATCO A),1873,28.39,0,0.765,9.2,2827.5,0.0793,2604.5,1536.6,19.3,351.2,1.01,43.8,0,2768.2,1
"Automatic Data Processing, Inc. (NasdaqGS:ADP)",1949,89.08,0,0.798,4.87,2727.2,0.0641,2648.8,701,0,0,3.36,39.5,0,2536.7,1
"Baidu, Inc. (NasdaqGS:BIDU)",2000,167.7,0,2.17,2.2,2700.5,0.518,2800,1676.6,552,1465.7,13.8,61.2,0,2698.4,NA
BASF SE (DB:BAS),1865,86.04,0,1.01,0,11782.5,-0.0223,10657,28477.5,671.8,2090.1,4.54,133.6,0,11047.5,5
Baxter International Inc. (NYSE:BAX),1931,46.99,0,0.647,35.8,2196.5,-0.0542,1955,NA,21,640,8.97,72,0,1494,3
Bayer AG (DB:BAYN),1863,97.81,0,0.743,0,12667.9,0.09720000000000001,11946.3,13938.1,109.4,5034.1,6.15,85.8,0,10753.2,5
Bayerische Motoren Werke Aktiengesellschaft (DB:BMW),1916,84.14,0,1.36,0,16752.7,0.0917,16881.9,59420,250,4747.6,11.8,272.3,0,13902.8,5
BCE Inc. (TSX:BCE),1970,44.22,0,0.082,9.67,6798.8,0.0368,6370.1,16668.6,228.4,103.2,2.41,111,-108.2,5752.2,1
"Becton, Dickinson and Company (NYSE:BDX)",1897,174.99,0,0.934,0,3999.3,0.062400000000000004,3279.3,NA,0,771,4.59,0,0,3279.3,1
Biogen Inc. (NasdaqGS:BIIB),1978,277,0,0.945,0.107,6124.1,0.235,6251.2,2387,-5.78,1971.9,17.7,63.2,0,5615.3,1
Boston Scientific Corporation (NYSE:BSX),1979,21.56,0,0.895,31.1,2554.4,-0.025699999999999997,2090,1500,0,904,0.06,21,0,1849,1
Bridgestone Corporation (TSE:5108),1931,37.21,0.0209,0.93,1,6448.2,0.09230000000000001,6775.1,12894.8,586.5,854.3,3.27,0,0,6004.4,NA
Bristol-Myers Squibb Company (NYSE:BMY),1887,51.01,0,0.724,10.3,6486.3,0.0426,5706,4790,194,5290,2.02,62,0,4985,1
British American Tobacco p.l.c. (LSE:BATS),1902,56.6,0.005580000000000001,0.444,10.3,7717.7,0.0579,7003.5,4352.6,410.4,213.2,3.09,47.2,0,7869,1
BT Group plc (LSE:BT.A),2001,4.53,0.2024,0.569,197,9976.9,0.0274,8747.8,21161.1,0,763.1,0.374,720.1,0,8764.2,1
Canadian National Railway Company (TSX:CNR),1919,61.96,0,0.604,5.9,5019.8,0.0582,4934,25111,0,0,3.47,38.2,0,4630,1
Canadian National Railway Company (TSX:CNR),1919,61.96,0,0.604,5.9,5019.8,0.0582,4934,25111,0,0,3.47,38.2,0,4630,1
Canon Inc. (TSE:7751),1933,28.81,0.0151,0.717,1.3,4809.7,-0.0932,5069.8,11256.8,1792.7,3125.8,1.58,0,0,5229.1,1
Carnival Corporation (NYSE:CCL),1972,48.04,0.04019999999999999,0.81,0.035,4933.3,0.00431,4407,32864,0,0,3.23,29,0,3624,1
Carnival plc (LSE:CCL),1850,48.17,0.00024,0.186,0.035,5000.4,0.00431,4407,32864,0,0,3.23,29,0,3624,1
Caterpillar Inc. (NYSE:CAT),1925,82.31,0,1.54,38.3,6425.5,-0.0708,5365,11194,72,2107,1.03,68,0,7264,1
CBS Corporation (NYSE:CBS),1986,57.01,0.0883,1.81,11.3,3453.8,0.0182,3388,1345,0,0,3.65,86,0,3107,1
Celgene Corporation (NasdaqGS:CELG),1980,103.44,0,1.49,75.7,7129.4,0.39,4037.7,891.3,0,3763.2,2.73,19.6,0,3046.8,1
Central Japan Railway Company (TSE:9022),1987,167.92,0.0204,0.622,0,8068.7,0.0443,8126.8,43570.7,324.5,732.3,17.9,0,0,7352.1,NA
"Charter Communications, Inc. (NasdaqGS:CHTR)",1999,250.23,0.23399999999999999,0.669,3.92,15374.5,0.174,7417,32881,0,0,17.9,12,0,3400,NA
Cheung Kong Property Holdings Limited (SEHK:1113),2015,7.47,0.24559999999999998,NA,0,3454.9,NA,3544.2,18193.2,1242.6,0,0.629,0,0,2853.9,3
China Communications Construction Company Limited (SEHK:1800),2006,1.15,0.6384000000000001,1.08,0,6028.9,0.171,5344.4,10283.3,3665.5,1093,0.149,0,0,4867.5,3
