Company Name,Exchange:Ticker,Geographic Locations,Market Cap,PE,PBV,EV/Invested Capital,EV/Sales,EV/EBITDA,EV/EBITDAR,Expected growth in EPS - Next 5 years,CAGR- Revenues,Beta,Standard devaition in stock price,ROE,ROIC,Operating Margin,EBITDAR/Sales,Net Margin,Debt/Capital (Book),Debt/Capital (Market),Invested Capital,Capitalized R&D,Std Dev in EBITDAR (Last 10 years),Average EBIT (Last 10 years),CV in EBIT,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)","Total Debt [Latest Annual] ($USDmm, Historical rate)","Total Cash & ST Investments [Latest Annual] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","Total Revenue [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Total Equity [Latest Annual] ($USDmm, Historical rate)","Common Dividends Paid [LTM] ($USDmm, Historical rate)","Repurchase of Common Stock [LTM] ($USDmm, Historical rate)","Issuance of Common Stock [LTM] ($USDmm, Historical rate)",Primary Industry,Primary Sector,"Total Enterprise Value [My Setting] [Latest] ($USDmm, Historical rate)",Float % [Latest],"Daily Value Traded [Latest - 1 Year(s)] ($USDmm, Historical rate)","Net Income [LTM] ($USDmm, Historical rate)",LT EPS Growth Rate - Capital IQ [Latest] (%),"Total Revenues, 5 Yr CAGR % [LTM] (%)","EBITDA, 5 Yr CAGR % [LTM] (%)","Net Income, 5 Yr CAGR % [LTM] (%)",Effective Tax Rate [LTM] (%),"R&D Expense [LTM - 40] ($USDmm, Historical rate)","R&D Expense [LTM - 36] ($USDmm, Historical rate)","R&D Expense [LTM - 32] ($USDmm, Historical rate)","R&D Expense [LTM - 28] ($USDmm, Historical rate)","R&D Expense [LTM - 24] ($USDmm, Historical rate)","R&D Expense [LTM - 20] ($USDmm, Historical rate)","R&D Expense [LTM - 16] ($USDmm, Historical rate)","R&D Expense [LTM - 12] ($USDmm, Historical rate)","R&D Expense [LTM - 8] ($USDmm, Historical rate)","R&D Expense [LTM - 4] ($USDmm, Historical rate)","R&D Expense [LTM] ($USDmm, Historical rate)",2 Year Beta R-Squared [Latest],2 Year Beta [Latest],"Day Close Price [Latest] ($USD, Historical rate)","52 Week Low Price [Latest] ($USD, Historical rate)","52 Week High Price [Latest] ($USD, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 40] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 36] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 32] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 28] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 24] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 20] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 16] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 12] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 8] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM - 4] ($USDmm, Historical rate)","EBITDAR (Excl. SBC and Incl. Equity Inc. from Affiliates) [LTM] ($USDmm, Historical rate)","EBIT [LTM - 36] ($USDmm, Historical rate)","EBIT [LTM - 32] ($USDmm, Historical rate)","EBIT [LTM - 28] ($USDmm, Historical rate)","EBIT [LTM - 24] ($USDmm, Historical rate)","EBIT [LTM - 20] ($USDmm, Historical rate)","EBIT [LTM - 16] ($USDmm, Historical rate)","EBIT [LTM - 12] ($USDmm, Historical rate)","EBIT [LTM - 8] ($USDmm, Historical rate)","EBIT [LTM - 4] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)"
"Prestige Brands Holdings, Inc. (NYSE:PBH)",NYSE:PBH,United States of America (Primary),2649.9,38.62827988338193,3.560257960499799,1.682248975409836,5.101477122613185,14.327150084317031,5.101477122613185,0.12,0.165,0.934,0.4061155085071242,0.09216713690716109,0.07285164788251366,0.2049329890716945,0.3560706136663864,0.08238261078419598,0.6858963538149899,0.3801693488023952,2342.4,0,75.62367427671782,152.82999999999998,0.4948221833194911,2649.9,1625.3,27.2,296.5,832.7,271.3,744.3,0,-1.44,3.71,Pharmaceuticals,Healthcare,4099.1,99.6,,68.6,12,16.5,21.2,13.6,37.1,0,0,0,0,0,0,0,0,0,0,0,0.256,0.934,50.06,43.6,58.09,0,0,0,0,0,0,0,0,0,0,0,91,88.2,76.8,84.8,103.3,162.6,207.2,176.4,266.7,271.3
The Medicines Company (NasdaqGS:MDCO),NasdaqGS:MDCO,United States of America (Primary),2536.5,NA,3.4661109592784918,3.185174914675769,13.071020019065777,NA,7.585892116182573,0,-0.15,0.812,0.7232922181158078,-0.27644165072424165,-0.3225255972696246,-1.4413727359389894,-0.49571020019065776,-0.9642516682554814,0.44171498321635644,0.18584496870486278,2780.6200000000003,1843.0200000000002,122.233754789747,-22.608999999999995,-5.406420221581982,2536.5,579,373.2,-255.7,209.8,-302.4,731.8,0,0,32.9,Pharmaceuticals,Healthcare,2606.2,82.6,,-202.3,,-15,,,,57.4,73.1,105.8,91.9,103.1,109.6,133.6,134.6,150.2,138.3,151.7,0.061,0.812,36.46,27.5,43,0,0,0,0,0,0,0,0,0,0,0,-21.8,12.2,3.81,28.9,58.9,71,65.3,38.1,-180.1,-302.4
Nektar Therapeutics (NasdaqGS:NKTR),NasdaqGS:NKTR,United States of America (Primary),2202.4,NA,342.5194401244168,NA,12.792114695340501,NA,5.817440912795436,0,0.106,1.21,0.8215110351981774,-25.73872472783826,1.9626168224299076,-0.6397849462365591,0.6505376344086021,-0.9886499402628435,0.9747178862108284,0.10117128514875728,2235.0999999999995,2289.6699999999996,46.732834043932954,-86.7,-0.5390176937016488,2202.4,247.9,308.9,-91.8,167.4,-107.1,6.43,0,0,34.7,Pharmaceuticals,Healthcare,2196.4,99.4,,-165.5,,10.6,,,,149.2,156.8,148.4,115.7,101.3,124.9,135.6,188.1,157.5,174.1,200.7,0.105,1.21,14.41,10.5,19.98,0,0,0,0,0,0,0,0,0,0,0,-94.4,-121.4,-125.6,-13.2,-97.4,-127.9,-127.6,-14.9,-37.5,-107.1
"Pacira Pharmaceuticals, Inc. (NasdaqGS:PCRX)",NasdaqGS:PCRX,United States of America (Primary),1402.6,NA,6.4221611721611715,2.3994676346037505,4.946847507331378,NA,4.289574062301335,0.7,0.82,1.11,0.9729160879981966,-0.1671245421245421,-0.18390804597701146,-0.11143695014662755,0.08834310850439882,-0.13379765395894427,0.3265494912118409,0.07020218760357971,449.73199999999997,284.43199999999996,20.194171326290057,-27.869999999999997,-0.7245845470502353,1402.6,105.9,159,-17.7,272.8,-30.4,218.4,0,0,8.37,Pharmaceuticals,Healthcare,1349,99.7,,-36.5,70,82,,,,12.7,18,20.1,33.2,22.5,16.4,8.82,20,19.7,19.4,41.8,0.063,1.11,37.5,30.3,80.25,-6.4,0,0,-36.6,0,0,0,0,0,0,0,-18.9,-23.3,-45.2,-24.5,-30.4,-45.2,-56.1,-22.9,18.2,-30.4
"Aerie Pharmaceuticals, Inc. (NasdaqGM:AERI)",NasdaqGM:AERI,United States of America (Primary),1326.9,NA,70.57978723404256,83.43148148148138,NA,NA,25.958498023715418,0,0,1.22,1.769777190594292,-4.792553191489361,-16.314814814814795,#DIV/0!,#DIV/0!,#DIV/0!,0.867605633802817,0.08495965795462382,463.92999999999995,458.53000000000003,32.34761196750078,-46.559999999999995,-0.6947511161404808,1326.9,123.2,136.6,-87.2,0,-88.1,18.8,0,0,172.5,Pharmaceuticals,Healthcare,1196.8,63.9,,-90.1,,,,,,,,,,,,10.7,10.7,23.4,41.7,50.6,0.023,1.22,39.75,10.8,41.72,,,,,,,-13.6,0,0,0,0,,,,,,-14.2,-18.7,-40.7,-71.1,-88.1
"Depomed, Inc. (NasdaqGS:DEPO)",NasdaqGS:DEPO,United States of America (Primary),1322.8,NA,4.198032370675976,1.879665496819478,4.331001805054152,13.517605633802818,4.058139534883721,0.16,0.256,0.457,1.059784653177763,-0.23801967629324022,0.03421803026979601,0.0703971119133574,0.38763537906137185,-0.16922382671480146,0.719062054208274,0.3787629737472408,1117.1789999999999,205.379,54.6095225559507,22.1557,2.4648069145163864,1322.8,806.5,209.8,142,443.2,31.2,315.1,0,0,8.94,Pharmaceuticals,Healthcare,1901,82.3,,-75,16,25.6,25.8,,,22.5,27.4,21.7,38.9,19.3,18.2,15.1,9.23,7.11,13.2,29.8,0.009,0.457,21.48,12.3,27.02,0,0,0,0,0,0,0,0,0,0,0,8.61,-17.8,-29.8,-0.903,44.7,-36.7,-2.15,90.2,134.2,31.2
"TherapeuticsMD, Inc. (AMEX:TXMD)",AMEX:TXMD,United States of America (Primary),1315.1,NA,20.841521394611725,NA,60.9951219512195,NA,16.15503875968992,0,0.606,1.61,1.0140716500698606,-1.3391442155309032,52.99999999999995,-4.136585365853659,-1.35609756097561,-4.121951219512195,0,0,748.496,750.096,35.34980716590497,-42.443333333333335,-0.8328706628266308,1315.1,0,64.7,-84.7,20.5,-84.8,63.1,0,0,137.9,Pharmaceuticals,Healthcare,1167.6,71,,-84.5,,60.6,,,,,,,,,0.278,2.98,9.07,34.9,73,56.9,0.122,1.61,6.69,4.39,11.26,,,,,,0,0,0,0,0,0,,,,,-4.06,-12.9,-23.2,-45.7,-84,-84.8
"Dermira, Inc. (NasdaqGS:DERM)",NasdaqGS:DERM,United States of America (Primary),1255.4,NA,6.767654986522912,NA,8745.378151260506,NA,11.98700745228579,0,0,0.794,0.8523511237132488,-0.6086253369272238,3.8390410958904124,-942.0168067226891,-212.60504201680672,-948.7394957983195,0,0,571.1300000000001,600.33,40.90072330248777,-54.625,-0.7487546599997761,1255.4,0,214.7,-112,0.119,-112.1,185.5,0,0,138.5,Pharmaceuticals,Healthcare,1013.5,70.9,,-112.9,,,,,,,,,,,,,17.1,25.2,53.5,86.7,0.042,0.794,35.26,17.4,36.34,,,,,,,,-19.8,0,0,0,,,,,,,-20.2,-31.6,-54.6,-112.1
"Innoviva, Inc. (NasdaqGS:INVA)",NasdaqGS:INVA,United States of America (Primary),1214.5,31.627604166666668,NA,4.786630036630037,15.740248226950355,20.016910935738444,15.497076023391815,0.741,0.34,0.931,0.934871118568401,-0.11208406304728545,0.4056776556776558,0.7854609929078014,0.8020390070921986,0.3404255319148936,1.8444663544491005,0.38124108416547786,484.3999999999999,266,71.99966126463526,-53.870000000000005,-1.336544667990259,1214.5,748.3,187.3,88.7,112.8,88.6,-342.6,-1.08,-91.7,0,Pharmaceuticals,Healthcare,1788.6,53,,38.4,74.1,34,,,,170.4,162.3,97.8,74.3,76,88.6,122.8,36.4,9.2,2.77,1.77,0.048,0.931,11.17,7.56,14.15,0,0,0,0,0,0,0,0,0,0,0,-175.9,-106.5,-74.6,-81.1,-92.1,-18.6,-51.4,-41.5,14.4,88.6
"Supernus Pharmaceuticals, Inc. (NasdaqGM:SUPN)",NasdaqGM:SUPN,United States of America (Primary),1183.3,45.337164750957854,9.952060555088309,4.830802942557521,6.458443045220378,39.589122807017546,5.250302466263379,0.42,0,1.15,0.9238253803253803,0.21951219512195122,0.40335263734543747,0.14751116199198627,0.3932455638236978,0.1493989696622782,0.05702276151954953,0.00603952994145268,363.65000000000003,299.76000000000005,37.25734187793761,-17.957142857142856,-2.0747923082383717,1183.3,7.19,62.2,28.5,174.7,26.9,118.9,0,0,1.85,Pharmaceuticals,Healthcare,1128.7,95.2,,26.1,42,,,,4.2,,,,,19.3,35.1,26,21.5,18.3,21,40.2,0.075,1.15,23.9,9.51,26.84,,,,,-17.1,-37.7,0,0,0,0,0,,,,-19,-40.1,-37.3,-58.4,-38.2,40.4,26.9
Phibro Animal Health Corporation (NasdaqGM:PAHC),NasdaqGM:PAHC,United States of America (Primary),1138.9,14.946194225721785,12.584530386740333,2.06558837890625,1.9377990430622014,12.868490732568405,1.9098768666492012,0.05,0,0.788,0.6372840344309125,0.8419889502762431,0.22412109375,0.12200956937799043,0.1652046783625731,0.10127591706539076,0.7958032490974729,0.2364574953070528,526.9649999999999,117.365,25.13783337256151,52.61999999999999,0.4777239333440044,1138.9,352.7,33.6,113.3,752.4,91.8,90.5,-15.7,0,3.32,Pharmaceuticals,Healthcare,1444.1,46.8,,76.2,5,,,,,0,0,0,4.85,4.65,5.66,5.69,6.64,8.21,9.51,11,0.074,0.788,28.9,16.8,35.69,0,0,0,0,0,0,0,0,0,0,0,26.5,32.7,30.2,26.6,41.7,53.8,59.4,77.9,85.6,91.8
Corcept Therapeutics Incorporated (NasdaqCM:CORT),NasdaqCM:CORT,United States of America (Primary),1081.4,240.31111111111113,58.45405405405406,38.251964285714266,14.73793103448276,154.40751445086704,11.37912673056443,2.332,0,1.84,1.0151774018528508,0.24324324324324326,1.2178571428571425,0.09406896551724138,0.39062068965517244,0.06206896551724138,0.5978260869565217,0.024799350707908736,227.11099999999996,221.511,14.73371436158883,-21.955,-0.671086967050277,1081.4,27.5,40.4,6.92,72.5,6.82,18.5,0,0,6.64,Pharmaceuticals,Healthcare,1052.3,71.8,,4.5,233.2,,,,,22.4,8.11,12.1,15.4,18,19,15.9,18.8,21.2,15.1,21.4,0.159,1.84,9.74,3.22,10,0,0,0,0,0,0,0,0,0,0,0,-11.8,-18.1,-21.1,-24.8,-30.2,-36.2,-41.4,-34.6,-8.17,6.82
Impax Laboratories Inc. (NasdaqGS:IPXL),NasdaqGS:IPXL,United States of America (Primary),1071.3,NA,1.0083772590361444,1.9143031571602998,1.2724369562823477,5.4841006169909825,1.1620072405470636,0.19,0.149,0.803,0.774705348453899,-0.17036897590361444,0.11128553985696843,0.1405131593436846,0.3270564915758176,-0.1993172558088316,0.2855413584398117,0.283842502841099,2110.74,964.1399999999999,128.97702163994606,101.78999999999999,1.267089317614167,1071.3,424.6,340.4,210.7,908.1,127.6,1062.4,0,0,9.68,Pharmaceuticals,Healthcare,1669.2,81.7,,-181,19,14.9,16.6,,,18.6,29.6,56.8,62.7,79.8,85.3,79.1,73.8,79.4,67.5,86.3,0.052,0.803,14.5,13.4,45,0,0,0,0,0,0,0,0,0,0,0,1,29,15.7,449.5,82.1,122.5,59.8,70,60.7,127.6
"Amphastar Pharmaceuticals, Inc. (NasdaqGS:AMPH)",NasdaqGS:AMPH,United States of America (Primary),944.4,45.40384615384615,3.195939086294416,2.460950092421442,3.4242085661080073,18.573737373737373,3.007523716061498,0.25,0,1,0.7137742529753551,0.07038917089678512,0.09108465804066543,0.0917631284916201,0.3229050279329609,0.07746741154562384,0.12210338680926916,0.04170471841704718,690.687,420.18700000000007,19.931661702881055,2.3327142857142853,8.544407613458718,944.4,41.1,66.1,49.5,268.5,35.4,295.5,0,-14.3,21.8,Pharmaceuticals,Healthcare,919.7,78.7,,20.8,25,,,,30.4,,,,,2.63,8.45,10.3,34.5,28.1,36.1,37.2,0.095,1,20.52,8.32,21.53,,,,,0.262,3.06,11.6,0,0,0,0,,,,-1.81,-6.6,0.489,21.2,-7.55,-24.8,35.4
"Lannett Company, Inc. (NYSE:LCI)",NYSE:LCI,United States of America (Primary),897.3,NA,1.618214607754734,1.8748591549295777,2.7691564713457817,6.8153724247226615,2.559440559440559,0.175,0.413,1.05,0.9761531642114367,-0.0321009918845807,0.1499927399448236,0.3325820991629105,0.4882485511912427,-0.02865421764327109,0.6569325001546742,0.5419835638813741,1759.531,382.13100000000003,93.45882929106033,65.0587,1.436530845083906,897.3,1061.8,238.9,252.4,621.2,206.6,554.5,0,-2.16,4.62,Pharmaceuticals,Healthcare,1698.3,73.7,,-17.8,17.5,41.3,110,,,8.74,6.93,5.78,9.59,10.3,8.97,13.2,17.2,29.3,30.5,50.9,0.056,1.05,24.25,16.8,44.49,0,0,0,0,0,0,0,0,0,0,0,-0.453,-2.31,19.5,7.68,1.01,9.16,24.5,153.4,231.5,206.6
Canopy Growth Corporation (TSX:CGC),TSX:CGC,Canada (Primary),882.8,NA,9.243979057591623,0.9381637831603228,47.759562841530055,NA,45.16795865633075,0,0,0.962,0.9762225243361662,-0.05549738219895288,-0.04163783160322953,-0.1972677595628415,0.0021857923497267777,-0.2896174863387978,0.03144016227180527,0.0034992662828761713,90.13879999999999,3.4388,3.815983927289701,-2.0233333333333334,-1.8859887614281883,882.8,3.1,11.9,-1.01,18.3,-3.61,95.5,0,0,52.6,Pharmaceuticals,Healthcare,854.9,88.9,,-5.3,,,,,,,,,,,,,,0.106,0.256,1.05,0.047,0.962,8.22,1.66,8.57,,,,,,,,,0,0,0,,,,,,,,-4.79,2.33,-3.61
WAVE Life Sciences Ltd. (NasdaqGM:WVE),NasdaqGM:WVE,United States of America (Primary),876.8,NA,5.432465923172242,-205.71176470588026,884.7218788627936,NA,23.007489793950302,0,0,1.86,1.2568478090422643,-0.2726146220570012,-129.41176470588107,-54.388133498145855,-16.440049443757726,-54.388133498145855,0.0008666584127770213,0.00015964604191848932,91.118,90.778,19.100125654036933,-22.16,-0.8619190277092479,876.8,0.14,161.2,-43.6,0.809,-44,161.4,0,0,131.6,Pharmaceuticals,Healthcare,715.8,42.5,,-44,,,,,,,,,,,,,,4.61,6.31,30.3,0.106,1.86,37.35,8.95,38.5,,,,,,,,,0,0,0,,,,,,,,-8.58,-13.9,-44
"Reata Pharmaceuticals, Inc. (NasdaqGM:RETA)",NasdaqGM:RETA,United States of America (Primary),806.6,NA,NA,NA,15.322645290581164,NA,8.90104772991851,0,0,0,#DIV/0!,0.014055636896046853,0.010184010152284264,-0.06432865731462926,0.6733466933867736,-0.07695390781563126,0,0,82.84000000000003,398.04,1.767278416096343,-2.521,-0.7010227751274666,806.6,0,42,-2.4,49.9,-3.21,-273.2,0,0,64.7,Pharmaceuticals,Healthcare,710.9,43.6,,-3.84,,,,,,,,,,,,,,45.3,36.2,36,,,36.11,12.6,41.6,,,,,,,,,2.53,0,0,,,,,,,,-3.84,-0.513,-3.21
"ANI Pharmaceuticals, Inc. (NasdaqGM:ANIP)",NasdaqGM:ANIP,United States of America (Primary),694,87.9594423320659,4.3347907557776395,0.9236565656565654,6.015668202764977,13.54149377593361,5.8313231483963195,0,0,1.5,0.8549108042488857,0.04928169893816365,0.14203703703703704,0.15552073732718896,0.475852534562212,0.07271889400921659,0.41462522851919564,0.14045082982412685,151.0304,32.230399999999996,16.299979294465377,16.705000000000002,0.9757545222667091,694,113.4,154.7,48.2,108.5,29.5,160.1,0,-2.62,1.41,Pharmaceuticals,Healthcare,796.7,63,,7.89,,,,,42.8,,,,,,,0.799,1.71,2.63,2.78,3.43,0.149,1.5,59.93,26.8,70.92,,,,,,,0.561,0,0,0,0,,,,,,0.005,2.82,14,37.2,29.5
"Sucampo Pharmaceuticals, Inc. (NasdaqGM:SCMP)",NasdaqGM:SCMP,United States of America (Primary),683,50.97014925373134,7.905092592592592,3.3381344902386116,3.8940677966101696,7.033163265306123,3.1897416120323947,0.142,0.341,1.34,1.0693519926621573,0.1550925925925926,0.23699349240780912,0.25718926553672317,0.774482109227872,0.06308851224105462,0.7449822904368358,0.26983108830446867,625.3399999999999,394.8399999999999,28.578826661242292,18.740000000000002,1.525017431229578,683,252.4,108.3,117.6,212.4,69.5,86.4,0,-44,2.68,Pharmaceuticals,Healthcare,773.2,57.3,,13.4,14.2,34.1,,,21.4,20.5,26.3,45,37.6,22.4,33.3,21.9,21.6,21.7,28.2,46.9,0.076,1.34,15.95,9.59,18.75,0,0,0,0,0,0,0,0,0,0,0,20,31.2,-2.3,17.1,-28.4,-12.1,24,18.5,49.9,69.5
"Intra-Cellular Therapies, Inc. (NasdaqGS:ITCI)",NasdaqGS:ITCI,United States of America (Primary),618.7,NA,1.2992440151196978,339.1359999999998,545.6273764258557,NA,1.498491066487057,0,0,1.75,1.8786076404259262,-0.24737505249895003,-119.6,-454.75285171102655,-90.87452471482891,-447.90874524714826,0,0,814.3359999999998,813.3359999999999,54.6513220334147,-48.62,-1.1240502269316064,618.7,0,475.2,-119.4,0.263,-119.6,476.2,0,0,0.786,Pharmaceuticals,Healthcare,205.9,78.1,,-117.8,,,,,,,,,,,,7.66,17.4,15.7,76.5,95.5,0.042,1.75,14.3,10.8,59.96,,,,,,,12.3,0,0,0,0,,,,,,11.1,-19.2,-23.7,-91.7,-119.6
Omeros Corporation (NasdaqGM:OMER),NasdaqGM:OMER,United States of America (Primary),577.6,NA,NA,NA,16.923728813559322,NA,6.769491525423729,0,0.52,0.854,1.4409738210464393,2.553435114503817,12.872340425531908,-1.7090395480225988,-0.20056497175141247,-1.8898305084745766,2.110169491525424,0.07937519923493784,564.7500000000001,569.45,21.47480200400254,-38.501,-0.5577725774396131,577.6,49.8,28.3,-60.2,35.4,-60.5,-26.2,0,0,40.5,Pharmaceuticals,Healthcare,600.7,94.1,,-66.9,,52,,,,,5.8,17.5,17.4,21.2,21.8,31.5,35.5,46.4,45.2,53.1,0.017,0.854,13.46,7.2,16.8,,-7.45,0,0,0,0,0,0,0,0,0,-7.71,-23,-21.9,-26.4,-26.1,-35.2,-48.1,-62.9,-73.2,-60.5
"MyoKardia, Inc. (NasdaqGS:MYOK)",NasdaqGS:MYOK,United States of America (Primary),551.6,NA,5.874334398296059,NA,30.93661971830986,NA,9.00204918032787,0,0,1.82,1.1062630859190663,-0.37593184238551647,1.9239130434782616,-2.4929577464788735,0.021126760563380583,-2.4859154929577465,0,0,251.37999999999994,269.78,11.419865731843498,-22.53333333333333,-0.506798775081812,551.6,0,112.3,-34.3,14.2,-35.4,93.9,0,0,56,Pharmaceuticals,Healthcare,474.5,32.1,,-35.3,,,,,,,,,,,,,,11.6,25.1,34.6,0.131,1.82,17.55,6.24,22.83,,,,,,,,,0,0,0,,,,,,,,-13.6,-18.6,-35.4
"Revance Therapeutics, Inc. (NasdaqGM:RVNC)",NasdaqGM:RVNC,United States of America (Primary),529,NA,2.088432688511646,25.644514767932442,950.6,NA,5.58082191780822,0,0,1.56,1.2058818810775418,-0.333991314646664,-8.586497890295343,-271.33333333333337,-97.00000000000003,-282,0.03239361295744518,0.015777331249534867,486.93,477.45,16.278103902686784,-60.150000000000006,-0.2706251687894727,529,8.48,252.3,-79.9,0.3,-81.4,253.3,0,0,129.4,Pharmaceuticals,Healthcare,333.9,57,,-84.6,,,,,,,,,,,,,38.5,30.5,41.7,50.8,0.081,1.56,18.55,12.4,41.12,,,,,,,,0,0,0,0,,,,,,,-47.7,-47.1,-64.4,-81.4
"SciClone Pharmaceuticals, Inc. (NasdaqGS:SCLN)",NasdaqGS:SCLN,United States of America (Primary),528.4,14.319783197831978,2.9404563160823596,2.68043422733078,2.6872246696035242,10.83756345177665,2.4825581395348837,0,0.064,0.645,0.7478786666298217,0.20534223706176963,0.4566404853128992,0.22501541850220264,0.3303964757709251,0.23222152297042162,0,0,311.278,232.978,18.435175586060712,18.351,1.0045869754269912,528.4,0,101.4,39.4,158.9,38.5,179.7,0,0,1.31,Pharmaceuticals,Healthcare,398.3,85,,36.9,,6.4,11.7,12.6,7.13,14.1,15.1,22.3,18.6,11.7,14,8.86,5.72,4.66,20.4,13.1,0.036,0.645,10.35,7.37,15.03,0,0,0,0,0,0,0,0,0,0,0,-9.44,-9.19,6.94,20.5,20.5,45,12.7,26.4,31.6,38.5
"Aclaris Therapeutics, Inc. (NasdaqGS:ACRS)",NasdaqGS:ACRS,United States of America (Primary),482.7,NA,5.218378378378378,12.025263157894745,NA,NA,13.670103092783503,0,0,1.07,1.3159260047586263,-0.4464864864864865,-4.9210526315789505,#DIV/0!,#DIV/0!,#DIV/0!,0,0,176.292,168.69199999999998,16.15284907789748,-20.386666666666667,-0.7923241862932053,482.7,0,84.9,-37.2,0,-37.4,92.5,0,0,81.8,Pharmaceuticals,Healthcare,398.6,52.3,,-41.3,,,,,,,,,,,,,,3.49,15.2,29.1,0.032,1.07,22.52,11,33.88,,,,,,,,,-5.18,0,0,,,,,,,,-5.26,-18.5,-37.4
"Collegium Pharmaceutical, Inc. (NasdaqGS:COLL)",NasdaqGS:COLL,United States of America (Primary),475,NA,5.581668625146887,NA,946.3480392156864,NA,28.58380219129405,0.2,0,1.64,1.7200465109990484,-0.8942420681551116,20.026385224274375,-186.0294117647059,-153.6764705882353,-186.51960784313727,0.0740942226090741,0.014134202278906622,99.42,103.21,33.28428057406881,-37.56666666666667,-0.8860056940745911,475,6.81,95.7,-75.8,0.408,-75.9,85.1,0,0,52.3,Pharmaceuticals,Healthcare,388.8,63.7,,-76.1,20,,,,,,,,,,,,,14.2,8.75,13.1,0.044,1.64,16.65,8.24,30.58,,,,,,,,,0,0,0,,,,,,,,-16,-20.8,-75.9
Heska Corporation (NasdaqCM:HSKA),NasdaqCM:HSKA,United States of America (Primary),435,47.90748898678414,5.485498108448929,1.2141492972066883,3.561770573566085,23.937486033519555,3.504670374611484,0.26899999999999996,0.11599999999999999,0.522,0.7742511220527873,0.11450189155107188,0.13566177986012834,0.08207481296758104,0.16508728179551121,0.07547797173732336,0.004656650475078762,0.0008521467897494321,94.88599999999998,22.104999999999993,4.601324176558068,3.7708,1.2202514523597294,435,0.371,6.89,17.9,120.3,13.6,79.3,0,0,0.36,Pharmaceuticals,Healthcare,443.5,90.5,,9.08,26.9,11.6,25.6,36.3,27.4,4.45,2.93,2.03,1.8,1.71,1.64,1.02,1.44,1.39,1.63,1.96,0.022,0.522,63.06,26.3,66,0,0,0,0,0,0,0,0,0,0,0,6.05,2.79,1.26,0.528,3.52,1.85,-3.45,3.91,7.65,13.6
"Clearside BioMedical, Inc. (NasdaqGM:CLSD)",NasdaqGM:CLSD,United States of America (Primary),431.7,NA,40.345794392523366,NA,810.4466019417475,NA,24.821885221528394,0,0,0,#DIV/0!,-2,5.773480662983423,-40.582524271844655,-8.737864077669903,-41.55339805825243,0.3585131894484413,0.013662950100530069,99.181,102.801,7.33777157362279,-12.2325,-0.5998587021150861,431.7,5.98,20.3,-20.8,0.515,-20.9,10.7,,,,Pharmaceuticals,Healthcare,382.3,45.2,,-21.4,,,,,,,,,,,,,2.35,6.17,8.88,16.3,,,20.99,5.65,25.08,,,,,,,,-3.55,0,0,0,,,,,,,-3.93,-9.1,-15,-20.9
"Teligent, Inc. (NasdaqGS:TLGT)",NasdaqGS:TLGT,United States of America (Primary),410.7,NA,6.1482035928143715,2.6846562860438303,6.94516129032258,74.88695652173912,5.499361430395913,0.15,0.528,1.94,1.070350086736158,-0.19311377245508984,0.025374855824682824,0.035483870967741936,0.3556451612903226,-0.20806451612903226,0.6158711903392755,0.20683661645422943,212.85969999999998,126.1597,2.5050422129954,-1.1374,-2.2024285326142077,410.7,107.1,87.2,5.75,62,2.2,66.8,0,0,0.188,Pharmaceuticals,Healthcare,448.6,80.8,,-12.9,15,52.8,,,,1.03,0.611,0.493,0.13,1.03,0.546,2.31,3.22,5.67,11.2,16.3,0.159,1.94,7.73,4.46,9.18,0,0,0,0,0,0,0,0,0,0,0,-1.48,-1.31,-3.44,-4.05,-3.01,-2.55,-1.77,0.346,3.69,2.2
