Company Name,Price,DCF Model,DCF Value,Multiple used,Relative Value,Option Value,Recommendation,% Under or over,% Under or Over: Relative
DIO Corporation,27200,FCFF,20079,EV/EBITDA,22565,,Sell,0.3546491359131432,0.20540660314646586
EA,66.37,FCFF,40.83,PE,49.21,,Sell,0.6255204506490328,0.3487096118675066
Echo Global Logistics,20.53,FCFF,18.22,VEBITDA,5.18,,Sell,0.1267837541163559,2.9633204633204637
Emirates National Bank Dubai,7.3,FCFE,6.84,PBV,8.4,,Hold,0.067251461988304,-0.13095238095238104
Estácio ,15.3,FCFF,12.16,VEBITDA,21.61,,Hold ,0.2582236842105263,-0.29199444701527066
Estee Lauder,84.5,FCFF,76.4,PS,66.05,,Sell,0.1060209424083769,0.279333838001514
Estee Lauder Companies,84.5,FCFF,66.35,PE,85.31,,Buy,0.27354935945742276,-0.009494783729926182
Facebook,$102.12,FCFF,$79.39,P/BV,$106.41,,Buy,0.2863080992568334,-0.04031575979701152
Facebook,103.02,FCFF,86.89,P/BV ,75.81,,Sell ,0.18563701231442042,0.35892362485160256
Facebook,102.12,FCFF,99.7,PS,48.75,,Hold,0.02427281845536622,1.0947692307692307
Facebook,102.12,FCFF,59.25,EV/Sales,84.24,,Sell,0.7235443037974685,0.21225071225071246
Facebook,$106.49,FCFF,$86.03,VEBITDA,$72.58,,Sell,0.23782401487853067,0.4672085974097546
Facebook Inc.,102.12,FCFF,35.42,EV/Sales,38.75,,Sell,1.883116883116883,1.6353548387096777
Fast Retailing,45940,FCFF,23983.62,EV/Sales,34761.7,,Sell,0.9154739776564174,0.3215694284226607
FinTech Group AG,16.7,FCFE,17.29,PBV,16.43,,Hold,-0.034123770965876266,0.016433353621424285
Fortescue Metals Group,1.33,FCFF,1.23,PBV,1.16,,Sell,0.08130081300813008,0.14655172413793127
Franklin Covey,16.18,FCFF,14.19,VEBITDA,15.72,,Hold,0.14023960535588453,0.029262086513994756
Gazprom,133.8,FCFF,544.88,VEBITDA,354.27,,Buy,-0.754441344883277,-0.6223219578287746
Genworth Financial,3.81,FCFF,2.2,PBV,0.42,,Sell,0.7318181818181817,8.071428571428571
Gilead Sciences,104.07,FCFF,126.26,EV/Sales,156.3,,Buy,-0.17574845556787588,-0.3341650671785029
Glencore,0.89,FCFF,6.27,EV/EBITDA,1.96,6.02,Buy,-0.8580542264752791,-0.5459183673469388
"Glencore, Ltd.",1.3,FCFF,1.33,EV/Sales,1.19,1.93,Buy,-0.022556390977443663,0.09243697478991608
GoGo,17.95,FCFF,9.92,EV / Sales,9.57,,Sell,0.8094758064516128,0.8756530825496343
GoPro,18,FCFF,39.01,EV/IC,16.72,,Buy,-0.5385798513201743,0.07655502392344515
GoPro,18.75,FCFF,25.86,PBV,14.13,,Buy,-0.2749419953596287,0.3269639065817409
GoPro,19.15,FCFF,22.68,VS,22.81,,Buy,-0.1556437389770724,-0.1604559403770276
Grou (Private Startup),65.63,FCFF,65.63,PS,11.74,,Buy,0,4.590289608177171
GrubHub,24.03,FCFF,27.69,EV/Sales,35.23,,Buy,-0.1321776814734561,-0.3179108714164064
GrubHub,24.21,FCFF,18.85,P/BV ,26.41,,Sell,0.28435013262599473,-0.08330177962892837
GrubHub Inc.,24.43,FCFF,17.88,EV/Sales,22.31,,Sell,0.366331096196868,0.09502465262214255
Harman Industries,91.39,FCFF,107.57,PE,109.64,,Buy,-0.15041368411267075,-0.16645384896023352
Hertz,14.54,FCFF,8.91,PBV,2.52,,Sell,0.6318742985409651,4.76984126984127
HHC,113.14,FCFF,123.98,P/FFO,178.41,125.85,Buy,-0.08743345700919503,-0.3658427218205257
Horizon Pharma,18.99,FCFF,27.94,VS,33.85,,Buy,-0.3203292770221905,-0.4389955686853767
Hyundai E&C,28800,FCFF,59700,EV/EBITDA,61250,,Buy,-0.5175879396984925,-0.529795918367347
ICICI Ltd.,7.3,DDM,6.76,PBV,6.08,,Sell,0.0798816568047338,0.20065789473684204
Illumina,174.82,FCFE,157.84,PBV,607.74,,Hold,0.10757729346173339,-0.7123440945141015
Imperva,67.03,FCFF,29.34,EV/Sales,18.09,,Sell,1.2845944103612816,2.7053620784964068
Infosys,16.23,FCFF,21.37,PEG Ratio (PE/Growth),24.65,,Buy,-0.24052409920449225,-0.3415821501014198
Infosys,16.42,FCFF,30.44,PE,25.02,,Buy,-0.46057818659658345,-0.3437250199840127
Infosys Limited (NSEI:INFY),1052.35,FCFF,1408.44,PE,1103.73,,Buy,-0.25282582147624333,-0.04655123988656651
Insulet Corporation,36.29,FCFF,29.29,PS,34.25,,Sell,0.23898941618299752,0.059562043795620356
InterXion Holdings NV,26.53,FCFF,13.23,PS,15.57,,Sell,1.0052910052910051,0.703917790622993
JC Penny,7.34,FCFE,12.54,EV/Sales,19.02,,Buy,-0.41467304625199364,-0.6140904311251314
JCPenney,7.44,FCFF,-4.39,EV / Sales,9.81,9.33,Hold (Chicken),1,-0.24159021406727832
Kakao,113200,FCFE,97500,P/E,59000,,Sell,0.161025641025641,0.9186440677966101
Kohl's Corporation,46.38,FCFF,71.04,EV/Revenue,32.2,,Hold,-0.3471283783783784,0.44037267080745335
Kohl's Corporation,46.38,FCFF,71.04,EV/Revenue,32.2,,Hold,-0.3471283783783784,0.44037267080745335
LendingClub,13.04,FCFF,13.05,PS,5.94,,Sell,-0.0007662835249043765,1.195286195286195
Li Ning,3.93,FCFF,6.52,P/S,6.39,,Buy,-0.3972392638036809,-0.38497652582159614
Limited,96.53,FCFF,97.62,PS,77.33,,Buy,-0.011165744724441762,0.24828656407603789
LinkedIn,230.6,FCFF,166.9,EV/EBITDA,155.4,,Hold,0.38166566806470925,0.48391248391248376
LinkedIn,250.64,FCFF,112.09,PE,110.28,,Sell,1.2360603086805244,1.272760246644904
LinkedIn,230.61,FCFF,150.51,EV/Revenue,137.1,,Sell,0.5321905521227828,0.6820568927789936
LinkedIn (LNKD),230.61,FCFF,138.3,VS,107.1,,Sell,0.667462039045553,1.1532212885154065
Linx SA,47.51,FCFF,33.05,VEBITDA,39.12,,Hold,0.4375189107413011,0.21446830265848682
Lithia,116.36,FCFF,140.31,P/BV,141.04,,Buy,-0.17069346447152733,-0.17498581962563808
"LivePerson, Inc.",7.06,FCFF,12.12,VS,20.56,,Buy,-0.4174917491749175,-0.6566147859922179
Lululemon,46.21,FCFE,44.84,PE,58.4,,Buy,0.03055307760927728,-0.20873287671232876
Lululemon,46.12,FCFF,53.79,VEBITDA,59.22,,Buy,-0.1425915597694739,-0.22120905099628507
Lululemon (LULU),46.12,FCFF,36.44,PBV,42.92,,Sell,0.2656421514818881,0.07455731593662618
Lululemon Athletica,46.12,FCFF,54.87,EV/EBITDA,28.23,,Sell,-0.15946783305995993,0.6337229897272405
Lululemon Athletica,46.12,FCFF,56.6,VEBITDA,51.97,,Buy,-0.18515901060070683,-0.11256494131229555
Lululemon Athletica Inc.,46.12,FCFF,32.09,VEBITDA,27.11,,Sell,0.43720785291368003,0.7012172630025819
Lululemon Athletica Inc.,46.12,FCFF,58.69,EV/Sales,34.47,,Buy,-0.21417617992843752,0.3379750507687844
Lululemon Athletica Inc. ,52.16,FCFF,41.48,EV/EBITDA,41.46,,Sell,0.2574734811957571,0.25808007718282666
lululemon athletics inc.,46.12,FCFF,54.34,VEBITDA,69.75,,Buy,-0.15126978284873027,-0.33878136200716846
Macy's Inc.,36.76,FCFF,37.91,LTM PE,40.66,,HOLD,-0.030335003956739603,-0.09591736350221347
Manappuram Finance Ltd.,25.5,Dividends,29.67,PBV,39.6,,Buy,-0.14054600606673417,-0.3560606060606061
Marcopolo,2.03,FCFE,2.09,PE,3.49,,Hold,-0.028708133971291905,-0.41833810888252154
