Company,Power,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
Abercrombie & Fitch,1,B,-0.0505,0.3424,61.5,73.1
Activision,2,B,0.0836,0.0089,263.2,10.4
Activision,0,B,-0.0377,0.0087,0,12.57
Activision Blizzard,2,B,-0.092,0.026,0,12.01
Acxiom,1,R,-0.0223,0.396,143.74,21.23
Adidas,1,B,-0.0016,0.24,128.7,67.3
Adobe,1,B,-0.0128,0.0498,0,23.8
Adobe Systems,1,B,-0.004199055241482827,0.06784872403360034,6612.3,75.89483169772124
AgFeed,2,B,0.0177,0.147,0,2.86
Allergan,1,B,0.09450287868199937,0.07628014135569683,52.31,55.057212772101316
Allergan,2,B,0.09104888632833982,0.07511340708264551,157.6924,66.79240698062542
Amazon,1,B,0.1444,0.0372,0,143.63
Amazon,0,R,0.1683,0.0142,0,39.65
Amazon,0,R,0.1287,0.0405,120,49.37
Amazon,1,B,-0.0213,0.0144,,105.01
Amazon,0,B,0.1057,0.0218,60,108.61
Amazon,1,R,0.0495,0.0078,0,165.5
Amazon,1,B,0.1364,0.0146,0,174.503902272417
Amazon,1,B,0.1364,0.0146,0,174.503902272417
Amazon,1,B,0.0755,0.0138,0,226
Amazon.com,1,B,0.1457,0.0292,86,130.85
American Apparel,1,B,-0.0975,0.2568,0,4.63
American Apparel,0,B,-0.1183,0.5624,0,4.09
American Apparel,0,B,-0.06893099999999999,0.4711,0,1.6
American Apparrel,0,B,-0.13369999999999999,0.6142,0,7.86
Amgen,0,B,0.1291,0.1563,4430,65.1
Anheuser-Busch InBev,1,B,0.09491366638536133,0.40263386074301316,1734.67,41.51
Apple,1,B,0.106,0.01,0,295
Apple,0,R,0.2223,0.006598,0,301.95
Apple,0,B,0.2486,0,0,312.9
Apple,2,R,0.2705,0.0067,5.2,184.13
Apple,0,B,0.2087,0.0056,2860,253.59
Apple,1,B,0.2062,0.0067,0,280.8
Apple,2,R,0.13580000000000003,0,0,342.54
Apple,1,B,0.1974,0.0071,0,289.11
Apple Inc.,0,B,0.1386136369725798,0.006645718169035079,0,464.5096153604886
Archer Daniels Midland,0,B,0.0361,0.33,447,34
Archer Daniels Midland Company,1,B,0.032385800570239556,0.3431614568832056,448.4,36.53
Barnes & Noble,0,B,-0.0673,0.5206,110.49,33.28
Barnes & Noble,0,B,-0.0512,0.4718,170.42,39.31
Barnes and Noble,0,R,0.0981,0.501,56.09,25.29
Best Buy,0,B,0.1909,0.3042,1025.17,54.13
Best buy,1,R,0.0978,0.4144,1184.2,39.96
Best Buy,1,B,0.1454,0.325,223,50.93
BestBuy,1,B,0.1118,0.3598,615,47.24
BJ's Restaurants,1,B,-0.003,0.1817,0,25.121244353274463
Boston Beer,0,B,0.105,0.0077,0,54.48
Boston Beer,0,B,0.1427,0.0075,9.3,55.86
Boston Beer Company,0,B,0.15575282119162054,0.011862089332966275,9.26,65.02
Boston Beer Company,0,B,0.1535,0.0071,11.13,62.95
BP,0,R,0.08630000000000002,0.3905561115788403,8795.2,209.97
Brazil Fast Food Corporation,1,B,0.3914,0.4081,0,7.78
Brinker International,0,B,0.24313393617229778,0.36692728800617724,40.91,26.52
Brinker International Inc.,1,B,0.008763795628548204,0.3834220364477358,288.8772,16.163814587181225
Brown Foreman,0,B,0.18401999894641055,0.0990753958529243,195.4,62.35
Brown-Forman,1,B,0.15,0.1023,171,45.65
Buffalo Wild Wings,0,B,0.09894495145444071,0.18082967824196597,0,54.47
Cablevision,0,B,-0.153,0.5956,67.44,10.4
Cablevision,0,B,-0.163,0.581,113.9,38.84
Cablevision Systems,0,B,,0.5959,33.72,29.03
California Pizza Kitchen,1,B,-0.07192770473370375,0.2802289397575024,18.216666666666665,28.301915768081905
Cal-Maine,1,B,0.1957,0.1405,35.3,63.56
Cardinal Health,0,B,0.05274,0.2336,200.4,61.03
Caribou,0,B,-0.0031,0.3438,0,11.21
Carnival ,1,B,-0.0128,0.2179,502,39.43
Cemex,0,B,0.01100000000000001,0.597,37.5,12.85
Central Japan Rail,0,B,0.0869,0.6476,1290,8441
Cheesecake Factory,1,B,0.0013,0.3205,80.8,38.64
Cheesecake Factory,0,R,-0.0315,0.2601,96,18.39
Chevron,1,B,0.0408,0.0571,5032,131.34
China Pharmaceutical Group,0,R,0.10640000000000001,0.1571,8.2,1.0987179487179488
Chipotle,1,B,0.0817,0.2342,0.04,70.02
Chipotle,1,B,0.108,0.2033,0.24784,139.16205164374225
Chipotle,0,B,0.11334915669574283,0.20112594192261116,0,132.83711277400062
Chipotle,2,B ,0.1293,0.21,28.58,80.36
Chipotle,2,B ,0.1293,0.21,28.58,80.36
Chipotle,1,B,0.0952,0.1669,23,119.08
Chipotle,1,B,0.10636668601763985,0.23409857657754765,22.86,144.74
Chipotle Mexican Grill,2,R,0.0793,0.233,28.575,55.7
Choice Hotels (CHH),1,B,,0.11,113.64,41.48
Cisco,0,B,0.0453,0.0874,0,17.03
Cisco,0,B,0.06985498905244907,0.07288229297024473,3611,30.89076431606232
Cisco,1,B,0.03380000000000001,0.064,0,26.66
Citrix Sys.,2,B,-0.02446342324902507,0.024510519456260534,1301.9,40.13693087326561
Coach,2,R,0.2725,0.002,0,40.97
